Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"N Zine, C Quinton, R Rouvoy","Pimp My LLM: Leveraging Variability Modeling to Tune Inference Hyperparameters",2026,"arXiv preprint arXiv:2602.17697","arxiv.org","https://arxiv.org/abs/2602.17697","",50,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,3,1,"Large Language Models (LLMs) are being increasingly used across a wide range of tasks. However, their substantial computational demands raise concerns about the energy …","https://arxiv.org/pdf/2602.17697","https://scholar.google.com/scholar?q=related:OLWLSMdlUAYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"R Müller, M Weiß, M Lochau","Finding Optimal Configurations of Cardinality-based Feature Models using Weighted Automata",2025,"Proceedings of the 29th ACM International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3744915.3748464","",65,"2026-04-30 16:26:25","","10.1145/3744915.3748464","","",,,,,0,0.00,0,3,1,"Cardinality-based feature models generalize the notion of configurations from Boolean vectors to Integer-valued vectors to denote the number of instances per selected feature …","https://dl.acm.org/doi/full/10.1145/3744915.3748464","https://scholar.google.com/scholar?q=related:nGM0y4TohzwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"T Matricon, M Acher, H Spieker, A Gotlieb","Efficiently Ranking Software Variants with Minimal Benchmarks",2025,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2509.06716","",68,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,4,1,"Benchmarking is a common practice in software engineering to assess the qualities and performance of software variants, coming from multiple competing systems or from …","https://arxiv.org/pdf/2509.06716","https://scholar.google.com/scholar?q=related:64RsQaXPAXIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"D Escanez-Exposito, J Martinez, E Osaba…","FMCooler: Simulated annealing for feature model configuration selection",2025,"Proceedings of the 29th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3748269.3748488","",71,"2026-04-30 16:26:25","","10.1145/3748269.3748488","","",,,,,0,0.00,0,4,1,"FMCooler is a tool for the automatic optimization in the selection of a configuration from a feature model based on the Simulated Annealing metaheuristic. It is a python-based tool …","https://dl.acm.org/doi/pdf/10.1145/3748269.3748488","https://scholar.google.com/scholar?q=related:4XD7oQRE98gJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Wijaya, S Lazreg, T Fabarisov, A Hein…","Performance Prediction of Cyber-Physical Systems Product Lines in Dynamic Environments",2025,"Proceedings of the 2025 …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3744915.3748476","",73,"2026-04-30 16:26:25","","10.1145/3744915.3748476","","",,,,,0,0.00,0,5,1,"Evaluating performance properties across highly configurable Cyber-Physical Systems (CPS) remains a significant challenge due to the size of configuration spaces and the cost of …","https://dl.acm.org/doi/pdf/10.1145/3744915.3748476","https://scholar.google.com/scholar?q=related:y7Pmqn7p7oAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Gong","Pushing the Boundary: Specialising Deep Configuration Performance Learning",2024,"arXiv preprint arXiv:2407.02706","arxiv.org","https://arxiv.org/abs/2407.02706","",78,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,1,2,"Software systems often have numerous configuration options that can be adjusted to meet different performance requirements. However, understanding the combined impact of these …","https://arxiv.org/pdf/2407.02706?","https://scholar.google.com/scholar?q=related:k3ltSTWu1rQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"Y Xia","Towards Realistic, Applicable and Feasible Configuration-Aware Performance Modeling",2025,"2025 IEEE/ACM 47th International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11024261/?casa_token=Pad6-LiwOwkAAAAA:pTp2GYmWUmjihu-IqN5tEfbwbwRMCgEmCrAqdmoDIOZVLYPazLS5UXFCzvIxoS6OeYjNrTQJNA","",82,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,1,1,"In modern software systems, configurability has become essential for optimizing performance across varying scenarios and user demands. However, predicting performance …","https://ieeexplore.ieee.org/iel8/11024222/11024244/11024261.pdf?casa_token=FqopjBzPYdsAAAAA:PfW1nvvrv4wnpiuIwOB38N1-enzQalJeOORRLWplyNP6H4pjJLLHABeCKb74lu9laEKs3TRNKw","https://scholar.google.com/scholar?q=related:QnTmov5iuzsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Weiß, SI Butt, M Lochau","On Reverse Engineering Cardinality-Based Feature Models",2025,"Proceedings of the 29th ACM International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3748269.3749384","",84,"2026-04-30 16:26:25","","10.1145/3748269.3749384","","",,,,,0,0.00,0,3,1,"We consider the problem of reverse engineering a cardinality-based feature model from a given set of multi-instance feature configurations. Established reverse engineering …","https://dl.acm.org/doi/pdf/10.1145/3748269.3749384","https://scholar.google.com/scholar?q=related:-VXMjnHfCXMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"B Friesel, O Spinczyk","Performance-Aware Behaviour Models for Feature-Dependent Runtime Attributes in Product Lines",2025,"Proceedings of the 19th International Working …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3715340.3715435","",86,"2026-04-30 16:26:25","","10.1145/3715340.3715435","","",,,,,0,0.00,0,2,1,"A product line's features describe its configurable functional properties by means of boolean feature toggles or numeric values. Meanwhile, performance models describe the link …","https://dl.acm.org/doi/full/10.1145/3715340.3715435","https://scholar.google.com/scholar?q=related:s8Svznmv0N0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"F Bildirici","Optimizing Microservice Performance: A Software Configuration Management Changes and Time Series Analysis Framework",2026,"El-Cezeri","dergipark.org.tr","https://dergipark.org.tr/en/pub/ecjse/article/1608747","",89,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,1,1,"Modern microservice architectures demand agile configuration management to ensure optimal performance and reliability. However, the dynamic and distributed nature of these …","https://dergipark.org.tr/en/download/article-file/4473513","https://scholar.google.com/scholar?q=related:AAHWuLWdRO8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Bonvoisin","Reconciling performance and efficient use of hardware resources: the case of configurable software services",2025,"","theses.hal.science","https://theses.hal.science/tel-05424709/","",93,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,1,1,"Information and Communications Technologies (ICTs) are now embedded in almost every aspect of daily life. They shape how we communicate, work, and manage our leisure …","https://theses.hal.science/tel-05424709/file/manuscrit_de_these_alexandre_bonvoisin.pdf","https://scholar.google.com/scholar?q=related:MrN8NCruGxAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Felfernig, A Falkner, D Benavides","Tools and Applications",2024,"Feature Models: AI-Driven Design …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-61874-1_5","",94,"2026-04-30 16:26:25","","10.1007/978-3-031-61874-1_5","","",,,,,0,0.00,0,3,2,"Abstract Feature Models (FMs) are not only an active scientific topic but they are supported by many tools from industry and academia. In this chapter, we provide an overview of …","https://link.springer.com/content/pdf/10.1007/978-3-031-61874-1_5.pdf","https://scholar.google.com/scholar?q=related:cBvXbr7P9t8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Huyghe","Automated Exploration of the Impact of Configuration Parameters on Browser Fingerprints",2025,"","theses.hal.science","https://theses.hal.science/tel-05407593/","",95,"2026-04-30 16:26:25","","","","",,,,,0,0.00,0,1,1,"Web browsers expose numerous API attributes, forming unique fingerprints that enable user tracking without consent. As traditional methods like cookies face restrictions, browser …","https://theses.hal.science/tel-05407593/file/Manuscrit_de_These_Huyghe_Maxime.pdf","https://scholar.google.com/scholar?q=related:sutmONkntOAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
