ferramenta,metadados
Desconhecida,"['lens id', 'title', 'date published', 'publication year', 'publication type', 'source title', 'issns', 'publisher', 'source country', 'author/s', 'abstract', 'volume', 'issue number', 'start page', 'end page', 'fields of study', 'keywords', 'mesh terms', 'chemicals', 'funding', 'source urls', 'external url', 'pmid', 'doi', 'microsoft academic id', 'pmcid', 'citing patents count', 'references', 'citing works count', 'is open access', 'open access license', 'open access colour']"
Desconhecida,"['id', 'doi', 'title', 'display_name', 'publication_year', 'publication_date', 'language', 'type', 'indexed_in', 'countries_distinct_count', 'institutions_distinct_count', 'corresponding_author_ids', 'corresponding_institution_ids', 'apc_list', 'apc_paid', 'fwci', 'cited_by_count', 'is_retracted', 'is_paratext', 'is_xpac', 'mesh', 'locations_count', 'best_oa_location', 'awards', 'referenced_works_count', 'referenced_works', 'related_works', 'updated_date', 'created_date', 'ids.openalex', 'ids.doi', 'primary_location.id', 'primary_location.is_oa', 'primary_location.landing_page_url', 'primary_location.pdf_url', 'primary_location.source.id', 'primary_location.source.display_name', 'primary_location.source.issn_l', 'primary_location.source.issn', 'primary_location.source.is_oa', 'primary_location.source.is_in_doaj', 'primary_location.source.is_core', 'primary_location.source.host_organization', 'primary_location.source.host_organization_name', 'primary_location.source.host_organization_lineage', 'primary_location.source.host_organization_lineage_names', 'primary_location.source.type', 'primary_location.source.raw_type', 'primary_location.license', 'primary_location.license_id', 'primary_location.version', 'primary_location.is_accepted', 'primary_location.is_published', 'primary_location.raw_source_name', 'open_access.is_oa', 'open_access.oa_status', 'open_access.oa_url', 'open_access.any_repository_has_fulltext', 'citation_normalized_percentile.value', 'citation_normalized_percentile.is_in_top_1_percent', 'citation_normalized_percentile.is_in_top_10_percent', 'cited_by_percentile_year.min', 'cited_by_percentile_year.max', 'biblio.volume', 'biblio.issue', 'biblio.first_page', 'biblio.last_page', 'primary_topic.id', 'primary_topic.display_name', 'primary_topic.score', 'primary_topic.subfield.id', 'primary_topic.subfield.display_name', 'primary_topic.field.id', 'primary_topic.field.display_name', 'primary_topic.domain.id', 'primary_topic.domain.display_name', 'has_content.pdf', 'has_content.grobid_xml', 'ids.mag', 'best_oa_location.id', 'best_oa_location.is_oa', 'best_oa_location.landing_page_url', 'best_oa_location.pdf_url', 'best_oa_location.source.id', 'best_oa_location.source.display_name', 'best_oa_location.source.issn_l', 'best_oa_location.source.issn', 'best_oa_location.source.is_oa', 'best_oa_location.source.is_in_doaj', 'best_oa_location.source.is_core', 'best_oa_location.source.host_organization', 'best_oa_location.source.host_organization_name', 'best_oa_location.source.host_organization_lineage', 'best_oa_location.source.host_organization_lineage_names', 'best_oa_location.source.type', 'best_oa_location.source.raw_type', 'best_oa_location.license', 'best_oa_location.license_id', 'best_oa_location.version', 'best_oa_location.is_accepted', 'best_oa_location.is_published', 'best_oa_location.raw_source_name', 'primary_location.source', 'best_oa_location.source', 'apc_list.value', 'apc_list.currency', 'apc_list.value_usd', 'apc_paid.value', 'apc_paid.currency', 'apc_paid.value_usd', 'citation_normalized_percentile', 'cited_by_percentile_year', 'primary_topic', 'abstract', 'authorships.author_position', 'authorships.institutions', 'authorships.countries', 'authorships.is_corresponding', 'authorships.raw_author_name', 'authorships.raw_affiliation_strings', 'authorships.affiliations', 'authorships.author.id', 'authorships.author.display_name', 'authorships.author.orcid', 'institutions.id', 'institutions.display_name', 'institutions.ror', 'institutions.country_code', 'institutions.type', 'institutions.lineage', 'topics.id', 'topics.display_name', 'topics.score', 'topics.subfield.id', 'topics.subfield.display_name', 'topics.field.id', 'topics.field.display_name', 'topics.domain.id', 'topics.domain.display_name', 'keywords.id', 'keywords.display_name', 'keywords.score', 'concepts.id', 'concepts.wikidata', 'concepts.display_name', 'concepts.level', 'concepts.score', 'locations.id', 'locations.is_oa', 'locations.landing_page_url', 'locations.pdf_url', 'locations.license', 'locations.license_id', 'locations.version', 'locations.is_accepted', 'locations.is_published', 'locations.raw_source_name', 'locations.source.id', 'locations.source.display_name', 'locations.source.issn_l', 'locations.source.issn', 'locations.source.is_oa', 'locations.source.is_in_doaj', 'locations.source.is_core', 'locations.source.host_organization', 'locations.source.host_organization_name', 'locations.source.host_organization_lineage', 'locations.source.host_organization_lineage_names', 'locations.source.type', 'locations.source.raw_type', 'locations.source', 'sustainable_development_goals.id', 'sustainable_development_goals.score', 'sustainable_development_goals.display_name', 'grants.funder', 'grants.funder_display_name', 'grants.award_id', 'funders.id', 'funders.display_name', 'funders.ror', 'counts_by_year.year', 'counts_by_year.cited_by_count']"
Desconhecida,"['doi', 'title', 'authors', 'journal', 'year', 'abstract', 'litmapsid', 'cited by', 'references', 'pubmedid', 'tags']"
Desconhecida,"['doi', 'title', 'authors', 'journal', 'year', 'abstract', 'researchrabbitid', 'cited by', 'references', 'pubmedid']"
Desconhecida,"['cites', 'authors', 'title', 'year', 'source', 'publisher', 'articleurl', 'citesurl', 'gsrank', 'querydate', 'type', 'doi', 'issn', 'citationurl', 'volume', 'issue', 'startpage', 'endpage', 'ecc', 'citesperyear', 'citesperauthor', 'authorcount', 'age', 'abstract', 'fulltexturl', 'relatedurl']"
Desconhecida,"['oci', 'citing', 'cited', 'creation', 'timespan', 'journal_sc', 'author_sc']"
Desconhecida,"['title', 'abstract', 'authors', 'year', 'venue', 'journal', 'url', 'isopenaccess', 'openaccesspdf', 'citationcount', 'referencecount', 'isinfluential', 'publicationtypes', 'fieldsofstudy', 'externalids', 'influentialcitationcount', 'authors_names', 'publicationtypes_str', 'externalids_str']"
Desconhecida,"['unnamed: 0', 'unnamed: 1', 'unnamed: 2', 'inclusion criteria (ic)', 'unnamed: 4', 'unnamed: 5', 'exclusion criteria (ec)', 'unnamed: 7', 'unnamed: 8', 'unnamed: 9', 'unnamed: 10', 'unnamed: 11', 'unnamed: 12', 'unnamed: 13', 'unnamed: 14']"
Desconhecida,"['ferramenta', 'metadados']"
Desconhecida,"['unnamed: 0', 'ferramenta', 'metadados']"
