id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W3091727971,,2750,,Cristina Rovira|Jesús Álvarez Valdés|Gemma Molleví|Rubén Nicolás-Sans,https://openalex.org/A5103074994|https://openalex.org/A5075301811|https://openalex.org/A5076610841|https://openalex.org/A5024859048,https://orcid.org/0000-0003-0643-7329|https://orcid.org/0000-0001-7914-7715||https://orcid.org/0000-0002-9234-5764,|||,ESIC Business & Marketing School|ESIC Business & Marketing School|ESIC Business & Marketing School|ESIC Business & Marketing School,https://openalex.org/I4401200333|https://openalex.org/I4401200333|https://openalex.org/I4401200333|https://openalex.org/I4401200333,True|False|False|False,,0.997017,172,https://openalex.org/I4401200333,The digital transformation of business. Towards the datafication of the relationship with customers,https://doi.org/10.1016/j.techfore.2020.120339,Fundação de Amparo à Pesquisa do Estado de São Paulo,26.2107,,False,en,False,closed,Technological Forecasting and Social Change,https://openalex.org/S39307421,0040-1625,journal,Big Data and Business Intelligence,2020-10-05,2020,article
https://openalex.org/W4306726700,"The artificial intelligence (AI) revolution offers significant opportunities to capitalise on the growth of digitalisation and has the potential to enable the ‘system of systems’ approach required in increasingly complex infrastructure systems. This paper reviews the extent to which research in economic infrastructure sectors has engaged with fields of AI, to investigate the specific AI methods chosen and the purposes to which they have been applied both within and across sectors. Machine learning is found to dominate the research in this field, with methods such as artificial neural networks, support vector machines, and random forests among the most popular. The automated reasoning technique of fuzzy logic has also seen widespread use, due to its ability to incorporate uncertainties in input variables. Across the infrastructure sectors of energy, water and wastewater, transport, and telecommunications, the main purposes to which AI has been applied are network provision, forecasting, routing, maintenance and security, and network quality management. The data-driven nature of AI offers significant flexibility, and work has been conducted across a range of network sizes and at different temporal and geographic scales. However, there remains a lack of integration of planning and policy concerns, such as stakeholder engagement and quantitative feasibility assessment, and the majority of research focuses on a specific type of infrastructure, with an absence of work beyond individual economic sectors. To enable solutions to be implemented into real-world infrastructure systems, research will need to move away from a siloed perspective and adopt a more interdisciplinary perspective that considers the increasing interconnectedness of these systems.",3170,3170,Lauren McMillan|Liz Varga,https://openalex.org/A5052274658|https://openalex.org/A5023354852,https://orcid.org/0000-0003-3851-8019|https://orcid.org/0000-0001-6955-478X,GB|GB,University College London|University College London,https://openalex.org/I45129253|https://openalex.org/I45129253,True|False,cc-by,0.99392886,113,https://openalex.org/I45129253,A review of the use of artificial intelligence methods in infrastructure systems,https://doi.org/10.1016/j.engappai.2022.105472,Engineering and Physical Sciences Research Council,11.4119,,False,en,True,hybrid,Engineering Applications of Artificial Intelligence,https://openalex.org/S900972176,0952-1976,journal,Infrastructure Maintenance and Monitoring,2022-10-18,2022,review
https://openalex.org/W4283369044,"Fully automated mental health smartphone apps show strong promise in increasing access to psychological support. Therefore, it is crucial to understand how to make these apps effective. The therapeutic alliance (TA), or the relationship between healthcare professionals and clients, is considered fundamental to successful treatment outcomes in face-to-face therapy. Thus, understanding the TA in the context of fully automated apps would bring us insights into building effective smartphone apps which engage users. However, the concept of a digital therapeutic alliance (DTA) in the context of fully automated mental health smartphone apps is nascent and under-researched, and only a handful of studies have been published in this area. In particular, no published review paper examined the DTA in the context of fully automated apps. The objective of this review was to integrate the extant literature to identify research gaps and future directions in the investigation of DTA in relation to fully automated mental health smartphone apps. Our findings suggest that the DTA in relation to fully automated smartphone apps needs to be conceptualized differently to traditional face-to-face TA. First, the role of bond in the context of fully automated apps is unclear. Second, human components of face-to-face TA, such as empathy, are hard to achieve in the digital context. Third, some users may perceive apps as more non-judgmental and flexible, which may further influence DTA formation. Subdisciplines of computer science, such as affective computing and positive computing, and some human-computer interaction (HCI) theories, such as those of persuasive technology and human-app attachment, can potentially help to foster a sense of empathy, build tasks and goals and develop bond or an attachment between users and apps, which may further contribute to DTA formation in fully automated smartphone apps. Whilst the review produced a relatively limited quantity of literature, this reflects the novelty of the topic and the need for further research.",2950,2950,Fangziyun Tong|Reeva Lederman|Simon D’Alfonso|Katherine Berry|Sandra Bucci,https://openalex.org/A5074817587|https://openalex.org/A5084088772|https://openalex.org/A5009973520|https://openalex.org/A5038785463|https://openalex.org/A5064789798,|https://orcid.org/0000-0003-4005-329X|https://orcid.org/0000-0001-7407-8730|https://orcid.org/0000-0002-7399-5462|https://orcid.org/0000-0002-6197-5333,AU|GB|AU|AU|GB|GB,University of Melbourne|University of Manchester|Manchester Academic Health Science Centre|University of Melbourne|University of Melbourne|University of Manchester|Manchester Academic Health Science Centre|Greater Manchester Mental Health NHS Foundation Trust|Manchester Academic Health Science Centre|University of Manchester|Greater Manchester Mental Health NHS Foundation Trust,https://openalex.org/I165779595|https://openalex.org/I28407311|https://openalex.org/I2799725268|https://openalex.org/I165779595|https://openalex.org/I165779595|https://openalex.org/I28407311|https://openalex.org/I2799725268|https://openalex.org/I15704514|https://openalex.org/I2799725268|https://openalex.org/I28407311|https://openalex.org/I15704514,True|False|False|False|False,cc-by,0.99199246,88,https://openalex.org/I165779595|https://openalex.org/I2799725268|https://openalex.org/I28407311,Digital Therapeutic Alliance With Fully Automated Mental Health Smartphone Apps: A Narrative Review,https://doi.org/10.3389/fpsyt.2022.819623,,11.8338,,False,en,True,gold,Frontiers in Psychiatry,https://openalex.org/S92766711,1664-0640,journal,Digital Mental Health Interventions,2022-06-22,2022,review
https://openalex.org/W4306793395,"Previous studies revealed that Building Information Modeling (BIM) has the potential to reduce project uncertainties, design errors, change orders, and delays, which might facilitate achieving effective dispute management in the construction industry. However, research into the adoption of BIM to holistically enhance effective dispute management is limited compared with the plentiful BIM research in the construction management field. This study explored whether and how BIM adoption can help minimize the chronic problem of dispute in the industry. A structured critical literature review method was employed in this study which involved 102 papers in the fields of BIM and construction disputes. Nine main common causes of disputes (e.g., change order, design error, site problem, contractual problem, payment problem, and delay) and eight primary benefits of BIM application (e.g., improved visual management, design optimization, improved information management, and enhanced collaboration) were identified. A conceptual framework was developed illustrating the mechanism of adopting BIM to facilitate dispute management in the overall life cycle of construction projects. The framework indicates that design error, delay, and change order can be reduced most significantly by most of the BIM benefits, whereas improved visual management, improved information management, and enhanced collaboration are three of the most frequently adopted BIM benefits that can settle the majority of dispute causes. This study contributes to dispute management with a more holistic view of adopting BIM in the life cycle of construction projects, as illustrated in the conceptual framework. In addition, the identified common causes of disputes and primary benefits of BIM application are valuable for on future research in these two areas.",,,Jinpeng Wang|Shang Zhang|Peter Fenn|Xiaowei Luo|Yan Liu|Lilin Zhao,https://openalex.org/A5017196549|https://openalex.org/A5100610630|https://openalex.org/A5076570969|https://openalex.org/A5070975639|https://openalex.org/A5002092921|https://openalex.org/A5032553098,https://orcid.org/0000-0002-6930-6978|https://orcid.org/0000-0003-1596-4139|https://orcid.org/0000-0002-8090-7272|https://orcid.org/0000-0002-9360-7308|https://orcid.org/0000-0001-8706-6712|https://orcid.org/0000-0002-4251-7281,GB|CN|GB|HK|NL|GB,University of Manchester|Suzhou University of Science and Technology|University of Manchester|City University of Hong Kong|Delft University of Technology|Loughborough University,https://openalex.org/I28407311|https://openalex.org/I308837|https://openalex.org/I28407311|https://openalex.org/I168719708|https://openalex.org/I98358874|https://openalex.org/I143804889,True|False|False|False|False|False,,0.97070064,57,https://openalex.org/I28407311,Adopting BIM to Facilitate Dispute Management in the Construction Industry: A Conceptual Framework Development,https://doi.org/10.1061/(asce)co.1943-7862.0002419,,5.7225,,False,en,True,green,Journal of Construction Engineering and Management,https://openalex.org/S2764777209,0733-9364,journal,BIM and Construction Integration,2022-10-19,2022,article
https://openalex.org/W4383369578,,,,Emerson Ramos Cordeiro|Fernando Henrique Lermen|Cleverson Molinari Mello|Alberto Ferraris|Katarína Valášková,https://openalex.org/A5092413547|https://openalex.org/A5002293792|https://openalex.org/A5065529305|https://openalex.org/A5025632015|https://openalex.org/A5018527299,|https://orcid.org/0000-0002-4790-7676|https://orcid.org/0000-0002-9278-1785|https://orcid.org/0000-0003-3125-1710|https://orcid.org/0000-0003-4223-7519,BR|BR|PE|BR|IT|RU|SK,Universidade Estadual do Paraná|Universidade Estadual do Paraná|Universidad Tecnológica del Perú|Universidade Estadual do Paraná|University of Turin|Ural Federal University|University of Žilina,https://openalex.org/I3020652664|https://openalex.org/I3020652664|https://openalex.org/I4210148428|https://openalex.org/I3020652664|https://openalex.org/I55143463|https://openalex.org/I130823665|https://openalex.org/I3122011922,True|False|False|False|False,,0.9979006,56,https://openalex.org/I3020652664,"Knowledge management in small and medium enterprises: a systematic literature review, bibliometric analysis, and research agenda",https://doi.org/10.1108/jkm-10-2022-0800,,26.6801,,False,en,False,closed,Journal of Knowledge Management,https://openalex.org/S50631486,1367-3270,journal,Knowledge Management and Sharing,2023-07-06,2023,article
https://openalex.org/W4403828600,"Bridges are generally acknowledged as one of the vital structures of transportation systems. Meanwhile, they are prone to time-variant damage and deterioration mechanisms over their life span. With that in mind, this research study aims to explore state-of-the-art work in relation to deterioration models and related critical factors of reinforced concrete bridges. Particularly, this study presents a mixed review methodology (scientometric and systematic) that reviews over 300 publications in Scopus and Web of Science databases over the period 1985–2023. The study scrutinized and categorized the wide spectrum of deterioration factors in reinforced concrete bridges with the help of deterioration models. Results manifested that implicating deterioration factors can be grouped into seven main clusters, namely chemical, material properties, design &amp; construction, physical, operational, environmental, and force majeure. In addition, it is noted that hitherto, there has been a lack of sufficient research efforts on non-destructive evaluation-based deterioration models.",1800,1800,Abdelazim Ibrahim|Sherif Abdelkhalek|Tarek Zayed|Abdul Hannan Qureshi|Eslam Mohammed Abdelkader,https://openalex.org/A5084366775|https://openalex.org/A5013025331|https://openalex.org/A5091382230|https://openalex.org/A5086661816|https://openalex.org/A5049257114,|https://orcid.org/0000-0002-4408-5814|https://orcid.org/0000-0003-3249-7712|https://orcid.org/0000-0001-6392-6108|https://orcid.org/0000-0003-0460-7582,EG|HK|HK|HK|HK|EG,Hong Kong Polytechnic University|Benha University|Hong Kong Polytechnic University|Hong Kong Polytechnic University|Hong Kong Polytechnic University|Cairo University,https://openalex.org/I14243506|https://openalex.org/I207547235|https://openalex.org/I14243506|https://openalex.org/I14243506|https://openalex.org/I14243506|https://openalex.org/I145487455,False|False|False|True|False,cc-by,0.98792818,36,https://openalex.org/I14243506,A Comprehensive Review of the Key Deterioration Factors of Concrete Bridge Decks,https://doi.org/10.3390/buildings14113425,,8.9845,,False,en,True,gold,Buildings,https://openalex.org/S4210191137,2075-5309,journal,Infrastructure Maintenance and Monitoring,2024-10-28,2024,review
https://openalex.org/W4327949034,"Defects are essential indicators to gauge the structural integrity and safety of reinforced concrete bridges. Non-destructive inspection has been pervasively explored over the last three decades to localize and characterize surface and subsurface anomalies in reinforced concrete bridges. In addition, different fuzzy set theory-based, computer vision and artificial intelligence algorithms were leveraged to analyze the data garnered from non-destructive evaluation techniques. In light of the foregoing, this research paper presents a mixed review method that encompasses both bibliometric and systematic analyses of the state-of-the-art work pertinent to the assessment of reinforced concrete bridge defects using non-destructive techniques (CBD_NDT). In this context, this study reviews the literature of journal articles and book chapters indexed in Scopus and Web of Science databases from 1991 to the end of September 2022. To this end, 505 core peer-reviewed journal articles and book chapters are compiled for evaluation after conducting forward and backward snowballing alongside removing irrelevant papers. This research study then exploits both VOSVIEWER and Bibiometrix R Package for the purpose of network visualization and scientometric mapping of the appended research studies. Thereafter, this paper carries out a multifaceted systematic review analysis of the identified literature covering tackled bridge defects, used non-destructive techniques, data processing methods, public datasets, key findings and future research directions. The present study is expected to assist practitioners and policymakers to conceive and synthesize existing research and development bodies, and future trends in the domain of the assessment of bridge defects using non-destructive techniques. It can also aid in raising awareness of the importance of defect management in bridge maintenance systems.",1800,1800,Eslam Mohammed Abdelkader|Tarek Zayed|Nour Faris,https://openalex.org/A5049257114|https://openalex.org/A5091382230|https://openalex.org/A5050232764,https://orcid.org/0000-0003-0460-7582|https://orcid.org/0000-0003-3249-7712|https://orcid.org/0000-0003-0714-1028,EG|HK|HK|HK,Hong Kong Polytechnic University|Cairo University|Hong Kong Polytechnic University|Hong Kong Polytechnic University,https://openalex.org/I14243506|https://openalex.org/I145487455|https://openalex.org/I14243506|https://openalex.org/I14243506,True|False|False,cc-by,0.95608851,32,https://openalex.org/I14243506|https://openalex.org/I145487455,"Synthesized Evaluation of Reinforced Concrete Bridge Defects, Their Non-Destructive Inspection and Analysis Methods: A Systematic Review and Bibliometric Analysis of the Past Three Decades",https://doi.org/10.3390/buildings13030800,,4.7542,,False,en,True,gold,Buildings,https://openalex.org/S4210191137,2075-5309,journal,Infrastructure Maintenance and Monitoring,2023-03-17,2023,review
https://openalex.org/W4319441884,"The notion of sport policy is a relatively recent subject of study, but it has been frequently used over the last 20 years, particularly referring to governmental sport policies. However, less research has been conducted in the field of national sport federations (NSFs), which are key non-governmental structures in governing, organising and sustaining the development of sports. The objective of this article is to propose a conceptualisation of the notion of sport policy adapted to NSFs. The proposed approach consists of two steps: first, we conducted an extensive integrative literature review around the notion of sport policy. Second, based on the literature review, we developed a model that conceptualises what an NSF sport policy is. This conceptual model is intended to be a useful analytical tool to design, implement and assess the success of a sport policy for both researchers and practitioners working in the field of NSFs.",2200,2200,Bastien Viollet|Nicolas Scelles|Qi Peng,https://openalex.org/A5090170073|https://openalex.org/A5046621193|https://openalex.org/A5049141449,https://orcid.org/0000-0002-2089-6233|https://orcid.org/0000-0002-6177-5307|https://orcid.org/0000-0002-8730-4458,FR|GB|GB,Université de Poitiers|Centre de Recherche et d’Enseignement de Géosciences de l’Environnement|Manchester Metropolitan University|Manchester Metropolitan University,https://openalex.org/I32881790|https://openalex.org/I4210104942|https://openalex.org/I11983389|https://openalex.org/I11983389,True|False|False,cc-by,0.96659881,13,https://openalex.org/I32881790|https://openalex.org/I4210104942,From Sport Policy to National Federation Sport Policy: An Integrative Literature Review and Conceptualisation Attempt,https://doi.org/10.3390/su15042949,,7.2983,,False,en,True,gold,Sustainability,https://openalex.org/S10134376,2071-1050,journal,Sport and Mega-Event Impacts,2023-02-06,2023,article
https://openalex.org/W4402997020,"Distance learning has grown rapidly in recent years. E-learning can aid teachers of students with disabilities, particularly visually impaired students (VISs), by offering versatility, accessibility, enhanced communication, adaptability, and a wide range of multimedia and non-verbal teaching methods. However, the shift from traditional face-to-face instruction to online platforms, especially during the pandemic, introduced unique challenges for VISs, with respect to including instructional methodologies, accessibility, and the integration of suitable technology. Recent research has shown that the resources and facilities of educational institutions pose challenges for teachers of visually impaired students (TVISs). This study conducts a literature review of research studies from the years 2000 to 2024 to identify significant issues encountered by TVISs with online learning to show the effects of distance learning before, during, and after the pandemic. This systematic literature review examines 25 publications. The evaluation reveals technological problems affecting the educational experience of visually impaired educators through a methodical categorization and analysis of these papers. The results emphasize important problems and suggest solutions, providing valuable knowledge for experts in education and legislation. The study recommends technology solutions to support instructors in providing inclusive online learning environments for VISs.",1600,1600,Rana Ghoneim|Wajdi Aljedaani|Renée Bryce|Yasir Javed|Zafar Iqbal Khan,https://openalex.org/A5107667500|https://openalex.org/A5057627035|https://openalex.org/A5077471766|https://openalex.org/A5019308548|https://openalex.org/A5058902321,|https://orcid.org/0000-0002-6700-719X|https://orcid.org/0000-0002-7060-8586|https://orcid.org/0000-0002-6311-027X|https://orcid.org/0000-0002-5079-2902,US|US|US|SA|SA,University of North Texas|University of North Texas|University of North Texas|Prince Sultan University|Prince Sultan University,https://openalex.org/I123534392|https://openalex.org/I123534392|https://openalex.org/I123534392|https://openalex.org/I142024983|https://openalex.org/I142024983,False|True|False|True|False,cc-by,0.99577603,13,https://openalex.org/I123534392|https://openalex.org/I142024983,Why Are Other Teachers More Inclusive in Online Learning Than Us? Exploring Challenges Faced by Teachers of Blind and Visually Impaired Students: A Literature Review,https://doi.org/10.3390/computers13100247,,25.979,,False,en,True,gold,Computers,https://openalex.org/S4210228075,2073-431X,journal,Online and Blended Learning,2024-09-27,2024,review
https://openalex.org/W2989809658,,3560,,Mahboubeh Dadkhah|Saeed Araban|Samad Paydar,https://openalex.org/A5072142047|https://openalex.org/A5015617590|https://openalex.org/A5035305656,https://orcid.org/0000-0002-0436-8369|https://orcid.org/0000-0002-8205-1631|https://orcid.org/0000-0002-3370-2151,IR|IR|IR,Ferdowsi University of Mashhad|Ferdowsi University of Mashhad|Ferdowsi University of Mashhad,https://openalex.org/I86958956|https://openalex.org/I86958956|https://openalex.org/I86958956,False|True|False,,0.97102058,40,https://openalex.org/I86958956,A systematic literature review on semantic web enabled software testing,https://doi.org/10.1016/j.jss.2019.110485,,6.9196,,False,en,False,closed,Journal of Systems and Software,https://openalex.org/S37879656,0164-1212,journal,Software Testing and Debugging Techniques,2019-11-26,2019,article
