oci,citing,cited,creation,timespan,journal_sc,author_sc
061401030344-061601042391,10.1007/s10664-020-09805-y,10.1007/s10664-005-3862-1,2020-05-07,P14Y7M,yes,no
06190189351-061601042391,10.1002/spip.412,10.1007/s10664-005-3862-1,2009-05,P3Y7M,no,no
0650591917-061601042391,10.1016/j.jss.2006.02.049,10.1007/s10664-005-3862-1,2006-11,P1Y1M,no,no
06210646499-061601042391,10.1007/978-3-031-03884-6_31,10.1007/s10664-005-3862-1,2022,P16Y,no,no
062301965316-061601042391,10.1109/tse.2009.13,10.1007/s10664-005-3862-1,2009-07,P3Y9M,no,no
06170575273-061601042391,10.1088/1742-6596/1755/1/012034,10.1007/s10664-005-3862-1,2021-02-01,P15Y4M,no,no
062203155400-061601042391,10.1145/1890810.1890812,10.1007/s10664-005-3862-1,2010,P4Y,no,no
061403193323-061601042391,10.1109/iwast.2009.5069035,10.1007/s10664-005-3862-1,2009-05,P3Y7M,no,no
062302736610-061601042391,10.1007/978-3-642-35702-2_9,10.1007/s10664-005-3862-1,2013,P7Y,no,no
06303472679-061601042391,10.1007/978-3-642-14347-2_4,10.1007/s10664-005-3862-1,2010,P4Y,no,no
061303108323-061601042391,10.1016/j.infsof.2009.06.010,10.1007/s10664-005-3862-1,2009-11,P4Y1M,no,no
062603305364-061601042391,10.1109/taic-part.2006.1,10.1007/s10664-005-3862-1,,,no,no
06702729724-061601042391,10.1109/compsac.2017.232,10.1007/s10664-005-3862-1,2017-07,P11Y9M,no,no
06603695225-061601042391,10.1145/1147403.1147405,10.1007/s10664-005-3862-1,2006,P0Y,no,no
061203116780-061601042391,10.1016/j.infsof.2012.03.003,10.1007/s10664-005-3862-1,2013-01,P7Y3M,no,no
06530102358-061601042391,10.1145/2364412.2364451,10.1007/s10664-005-3862-1,2012-09-02,P6Y11M,no,no
061803236913-061601042391,10.1145/1370042.1370047,10.1007/s10664-005-3862-1,2008,P2Y,no,no
06402931251-061601042391,10.1145/2816839.2816903,10.1007/s10664-005-3862-1,2015-11-23,P10Y1M,no,no
062302520910-061601042391,10.1109/sbst.2015.12,10.1007/s10664-005-3862-1,2015-05,P9Y7M,no,no
062203120243-061601042391,10.1007/s10009-018-0489-2,10.1007/s10664-005-3862-1,2018-02-28,P12Y4M,no,no
06902948124-061601042391,10.1109/cesi.2013.6618463,10.1007/s10664-005-3862-1,2013-05,P7Y7M,no,no
062603200007-061601042391,10.1016/s0065-2458(10)80002-6,10.1007/s10664-005-3862-1,2010,P4Y,no,no
06140322926-061601042391,10.1007/s10639-018-9780-9,10.1007/s10664-005-3862-1,2018-08-16,P12Y10M,no,no
061903268785-061601042391,10.1109/euromicro.2007.6,10.1007/s10664-005-3862-1,2007-08,P1Y10M,no,no
062201957132-061601042391,10.1109/tse.2014.2312915,10.1007/s10664-005-3862-1,2014-10,P9Y0M,no,no
0640592892-061601042391,10.1016/j.jss.2013.02.020,10.1007/s10664-005-3862-1,2013-06,P7Y8M,no,no
061402627318-061601042391,10.1007/978-3-319-07785-7_5,10.1007/s10664-005-3862-1,2014,P8Y,no,no
06202059647-061601042391,10.1145/3425174.3425214,10.1007/s10664-005-3862-1,2020-10-20,P15Y0M,no,no
062203208203-061601042391,10.1145/1529282.1529405,10.1007/s10664-005-3862-1,2009,P3Y,no,no
061401031003-061601042391,10.1007/s10664-009-9121-0,10.1007/s10664-005-3862-1,2009-12-05,P4Y2M,yes,no
06201887545-061601042391,10.1145/3350768.3352571,10.1007/s10664-005-3862-1,2019-09-23,P13Y11M,no,no
06202089882-061601042391,10.1109/icstw50294.2020.00071,10.1007/s10664-005-3862-1,2020-10,P15Y0M,no,no
