DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1016/j.infsof.2019.07.009,Bug report severity level prediction in open source software: A survey and research opportunities,"Luiz Alberto Ferreira Gomes, Ricardo da Silva Torres, Mario Lticio Cortes",Information and Software Technology,2019,(missing abstract),47080691,64,97,,
10.1016/j.infsof.2021.106609,Grey Literature in Software Engineering: A Critical Review,"F. Kamei, I. Wiese, Crescencio Rodrigues Lima Neto, Ivanilton Polato, V. Nepomuceno, Waldemar Ferreira, Márcio Ribeiro, Carolline Pena, Bruno Cartaxo, G. Pinto, S. Soares",Information and Software Technology,2021,(missing abstract),278290411,57,299,,
10.1109/access.2022.3211949,Evolution of Software Testing Strategies and Trends: Semantic Content Analysis of Software Research Corpus of the Last 40 Years,"Fatih Gurcan, Gonca Gokce Menekse Dalveren, N. Cagiltay, D. Roman, A. Soylu",IEEE Access,2022,"From the early days of computer systems to the present, software testing has been considered as a crucial process that directly affects the quality and reliability of software-oriented products and services. Accordingly, there is a huge amount of literature regarding the improvement of software testing approaches. However, there are limited reviews that show the whole picture of the software testing studies covering the topics and trends of the field. This study aims to provide a general figure reflecting topics and trends of software testing by analyzing the majority of software testing articles published in the last 40 years. A semi-automated methodology is developed for the analysis of software testing corpus created from core publication sources. The methodology of the study is based on the implementation of probabilistic topic modeling approach to discover hidden semantic patterns in the 14,684 published articles addressing software testing issues between 1980 and 2019. The results revealed 42 topics of the field, highlighting five software development ages, namely specification, detection, generation, evaluation, and prediction. The recent accelerations of the topics also showed a trend toward prediction-based software testing actions. Additionally, a higher trend on the topics concerning “Security Vulnerability”, “Open Source” and “Mobile Application” was identified. This study showed that the current trend of software testing is towards prediction-based testing strategies. Therefore, the findings of this study may provide valuable insights for the industry and software communities to be prepared for the possible changes in the software testing procedures using prediction-based approaches.",249775915,41,60,,
10.1016/j.jss.2019.110485,A systematic literature review on semantic web enabled software testing,"Mahboubeh Dadkhah, Saeed Araban, Samad Paydar",Journal of Systems and Software,2020,(missing abstract),208083641,41,170,,
10.5277/e-inf180103,Knowledge management in software testing : A systematic snowball literature review,"Krzysztof Wnuk, Thrinay Garrepalli",e-Informatica Software Engineering Journal,2018,"Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the ben ...",103960947,40,78,,
10.3233/ao-170177,ROoST: Reference Ontology on Software Testing,"É. Souza, R. Falbo, N. Vijaykumar",Appl. Ontology,2017,"Software testing is a complex and critical process for achieving product quality. Its importance has been increasing and well recognized, and there is a growing concern in improving the accomplishment of this process. In this context, Knowledge Management (KM) emerged as an important supporting approach to improve the software testing process. However, managing relevant testing knowledge requires effective means to represent and to associate semantics to a large volume of testing information. To address this concern, we have developed a Reference Ontology on Software Testing (ROoST). ROoST establishes a common conceptualization about the software testing domain, which can serve several KM-related purposes, such as defining a common vocabulary for knowledge workers with respect to the testing domain, structuring testing knowledge repositories, annotating testing knowledge items, and for making search for relevant information easier. In this paper, we present ROoST, and we discuss how it was developed using two ontology pattern languages. Moreover, we discuss how we evaluated ROoST following four complementary approaches: assessment by humans, data-driven evaluation, ontology testing, and application-based evaluation.",214202419,40,75,,
10.1016/j.jss.2018.12.018,Landscaping systematic mapping studies in software engineering: A tertiary study,"Muhammad Uzair Khan, S. Sherin, Muhammad Zohaib Z. Iqbal, Rubab Zahid",Journal of Systems and Software,2019,(missing abstract),279273335,40,234,,
10.1016/j.jss.2018.12.018,Landscaping systematic mapping studies in software engineering: A tertiary study,"Muhammad Uzair Khan, Salman Sherin, Muhammad Zohaib Iqbal, Rubab Zahid",arXiv: Software Engineering,2019,(missing abstract),159975580,39,237,,
10.3390/en11051103,A Study on the Evolution of Carbon Capture and Storage Technology Based on Knowledge Mapping,"Hong Qiu, Luyao Liu",(missing journal),2018,"As a useful technical measure to deal with the problem of carbon dioxide (CO2) emissions, carbon capture and storage (CCS) technology has been highly regarded in both theory and practice under the promotion of the Intergovernmental Panel on Climate Change (IPCC). Knowledge mapping is helpful for understanding the evolution in terms of research topics and emerging trends in a specific domain. In this work knowledge mapping of CCS technology was investigated using CiteSpace. Several aspects of the outputs of publications in the CCS research area were analyzed, such as annual trends, countries, and institutions. The research topics in this particular technology area were analyzed based on their co-occurring keyword networks and co-citation literature networks, while, the emerging trends and research frontiers were studied through the analysis of burst keywords and citation bursts. The results indicated that the annual number of publications in the research field of CCS technology increased rapidly after 2005. There are more CCS studies published in countries from Asia, North America, and Europe, especially in the United States and China. The Chinese Academy of Sciences not only has the largest number of publications, but also has a greater impact on the research area of CCS technology, however, there are more productive institutions located in developed countries. In the research area of CCS technology, the main research topics include carbon emissions and environmental protection, research and development activities, and social practical issues, meanwhile, the main emerging trends include emerging techniques and processes, emerging materials, evaluation of technological performance, and socioeconomic analysis.",18302174,33,116,,
10.1007/s00500-023-08382-8,Nature-inspired metaheuristic methods in software testing,"Niloofar Khoshniat, Amirhossein Jamarani, Ahmad Ahmadzadeh, Mostafa Haghi Kashani, Ebrahim Mahdipour","Soft Computing - A Fusion of Foundations, Methodologies and Applications",2023,(missing abstract),262292117,30,186,,
10.1016/j.jss.2017.06.024,Modeling and automatic code generation for wireless sensor network applications using model-driven or business process approaches: A systematic mapping study,"Sérgio Teixeira, Bruno Alves Agrizzi, J. Filho, Silvana Rossetto, R. Baldam",Journal of Systems and Software,2017,(missing abstract),95957618,26,140,,
10.3233/ao-210255,Ontologies in human-computer interaction: A systematic literature review,"S. D. Costa, M. Barcellos, R. Falbo",Appl. Ontology,2021,"Human–Computer Interaction (HCI) is a multidisciplinary area that involves a diverse body of knowledge and a complex landscape of concepts, which can lead to semantic problems, hampering communication and knowledge transfer. Ontologies have been successfully used to solve semantics and knowledge-related problems in several domains. This paper presents a systematic literature review that investigated the use of ontologies in the HCI domain. The main goal was to find out how HCI ontologies have been used and developed. 35 ontologies were identified. As a result, we noticed that they cover different HCI aspects, such as user interface, interaction phenomenon, pervasive computing, user modeling / profile, HCI design, interaction experience and adaptive interactive system. Although there are overlaps, we did not identify reuse among the 35 analyzed ontologies. The ontologies have been used mainly to support knowledge representation and reasoning. Although ontologies have been used in HCI for more than 25 years, their use became more frequent in the last decade, when ontologies address a higher number of HCI aspects and are represented as both conceptual and computational models. Concerning how ontologies have been developed, we noticed that some good practices of ontology engineering have not been followed. Considering that the quality of an ontology directly influences the quality of the solution built based on it, we believe that there is an opportunity for HCI and ontology engineering professionals to get closer to build better and more effective ontologies, as well as ontology-based solutions.",102660155,19,97,,
10.1145/3266237.3266240,Evaluating strategies for forward snowballing application to support secondary studies updates: emergent results,"K. Felizardo, Anderson Y. Iwazaki da Silva, É. Souza, N. Vijaykumar, E. Nakagawa",Brazilian Symposium on Software Engineering,2018,"Context: Secondary studies should be updated from time to time to include new evidence to preserve their value. It is recognized that one search technique to update secondary studies is forward snowballing and that the number of studies identified is dependent on the electronic databases selected. However, there is no consensus on what electronic database is most appropriate for applying forward snowballing. Objective: The main goal of this study is to evaluate the use of different electronic databases for applying forward snowballing to update secondary studies. Method: Six updates were performed using forward snowballing with support from two electronic databases, one specific (IEEE Xplore) and the other generic (Google Scholar) and three combinations were evaluated to obtain new evidence during secondary studies updating: (1) searching using Google Scholar as electronic database; (2) searching using IEEE Xplore as electronic database; and (3) searching using both, IEEE Xplore and Google Scholar as complementary electronic databases. Results: The use of a specific electronic database is not indicated for forward snowballing application to update SLRs, since many relevant studies may not be identified. However, the use of a generic database is sufficient to discover the majority of the studies. Conclusions: The emergent contribution of our work to the body of knowledge in the SLR field is to add empirical evidence regarding the use of different electronic databases to support forward snowballing application during secondary studies updates. These results should help reviewers when they decide to find evidences to update their SLRs.",161598347,16,14,,
