Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M Noroozi, S Saedi, M Taherian…","SRAD: a semantic rapid method for software development",2012,"Proceedings of the Fifth …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2347583.2347597","",15,"2026-05-13 23:10:39","","10.1145/2347583.2347597","","",,,,,0,0.00,0,4,14,"Using the Semantic Web (SW) technologies in Software Engineering (SE) is one way of overcoming current SE problems. In this article, we have proposed a semantic method for …","https://dl.acm.org/doi/pdf/10.1145/2347583.2347597","https://scholar.google.com/scholar?q=related:RKSwlHFcOmIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Ruiz, PJ Tuya González, D Crespo","Simulation-based optimization for software dynamic testing processes",2014,"International Journal on …","digibuo.uniovi.es","https://digibuo.uniovi.es/dspace/handle/10651/30822","https://scholar.google.com/scholar?cites=9114762696336449141&as_sdt=2005&sciodt=0,5&hl=en",7,"2026-05-13 23:10:39","","","","",,,,,3,0.25,1,3,12,"Managing software development projects requires the coordination of different processes that may be performed by different teams, eg, a development team and a separate testing …","https://digibuo.uniovi.es/dspace/bitstream/handle/10651/30822/soft_v7_n12_2014_30.pdf?sequence=1","https://scholar.google.com/scholar?q=related:dZ4dV2Ekfn4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"ALS da Cunha Freitas, R Vieira","Ontologias para Teste de Desempenho de Software",,"","","","",18,"2026-05-13 23:10:39","CITATION","","","",,,,,0,0.00,0,2,,"","","https://scholar.google.com/scholar?q=related:5xLYMLuMl50J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"ALSC Freitas","Ontologia para teste de desempenho de software",2013,"","tede2.pucrs.br","https://tede2.pucrs.br/tede2/handle/tede/5224","https://scholar.google.com/scholar?cites=10619252915659519642&as_sdt=2005&sciodt=0,5&hl=en",9,"2026-05-13 23:10:39","","","","",,,,,4,0.31,4,1,13,"RESUMO O teste de software é uma técnica utilizada para fornecer informações sobre a qualidade de um software operando em um contexto específico. O tipo de teste responsável …","https://tede2.pucrs.br/tede2/bitstream/tede/5224/1/449315.pdf","https://scholar.google.com/scholar?q=related:mrbqeUMqX5MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"AL SILVA","Ontologia para teste de desempenho de software",2013,"","… Católica do Rio Grande do Sul","","https://scholar.google.com/scholar?cites=12634937958177938691&as_sdt=2005&sciodt=0,5&hl=en",17,"2026-05-13 23:10:39","CITATION","","","",,,,,1,0.08,1,1,13,"","","https://scholar.google.com/scholar?q=related:A51LVCFRWK8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"H Hnatiienko, V Hnatiienko, R Zulunov, T Babenko…","Method for Determining the Level of Criticality Elements when Ensuring the Functional Stability of the System based on Role Analysis of Elements.",2024,"CPITS","ceur-ws.org","https://ceur-ws.org/Vol-3654/paper25.pdf","https://scholar.google.com/scholar?cites=959690066339937930&as_sdt=2005&sciodt=0,5&hl=en",2,"2026-05-13 23:10:39","PDF","","","",,,,,17,8.50,3,5,2,"The introduction of artificial intelligence technologies in the education process has become an urgent need at the current pace of development of society. The integration of various …","https://ceur-ws.org/Vol-3654/paper25.pdf","https://scholar.google.com/scholar?q=related:ir6p2geBUQ0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
52,"K Wnuk, T Garrepalli","Knowledge management in software testing: a systematic snowball literature review",2018,"e-Informatica Software Engineering …","yadda.icm.edu.pl","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-fd27294c-dc79-4c73-a97a-9fd519b0a713","https://scholar.google.com/scholar?cites=10016090599045724182&as_sdt=2005&sciodt=0,5&hl=en",1,"2026-05-13 23:10:39","","","","",,,,,52,6.50,26,2,8,"Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core …","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-fd27294c-dc79-4c73-a97a-9fd519b0a713/c/wnuk_knowledge_1_2018.pdf","https://scholar.google.com/scholar?q=related:Fvg_ElVNAIsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"T Garrepalli","Knowledge Management in software testing",2015,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?cites=15581790248248607548&as_sdt=2005&sciodt=0,5&hl=en",8,"2026-05-13 23:10:39","HTML","","","",,,,,1,0.09,1,1,11,"Knowledge Management in Software Testing diva-portal.org Digitala Vetenskapliga Arkivet Simple search Advanced search - Research publicationsAdvanced search - Student theses …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?q=related:PAOBx6yjPdgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"P Nidagundi, L Novickis","Introduction to Lean Canvas Transformation Models and Metrics in Software Testing.",2016,"Appl. Comput. Syst.","sciendo.com","https://sciendo.com/pdf/10.1515/acss-2016-0004","https://scholar.google.com/scholar?cites=6550730011058938737&as_sdt=2005&sciodt=0,5&hl=en",5,"2026-05-13 23:10:39","PDF","10.1515/acss-2016-0004","","",,,,,25,2.50,13,2,10,"Software plays a key role nowadays in all fields, from simple up to cutting-edge technologies and most of technology devices now work on software. Software development verification …","https://sciendo.com/pdf/10.1515/acss-2016-0004","https://scholar.google.com/scholar?q=related:caOo4Dze6FoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"C Mkhonto","Improving Software Quality Through the Introduction of Tertiary-Level Software Testing Curricula",2016,"","search.proquest.com","https://search.proquest.com/openview/b566579a33a77b3beb255efa2cf362a1/1?pq-origsite=gscholar&cbl=2026366&diss=y","",14,"2026-05-13 23:10:39","BOOK","","","",,,,,0,0.00,0,1,10,"The cost of poor software quality can have a devastating effect on Information Technology (IT) companies. The price of poor software can be very high, leading to loss of revenue, bad …","https://ujcontent.uj.ac.za/esploro/fulltext/graduate/Improving-software-quality-through-the-introduction/9912143207691?repId=124903500007691&mId=135523170007691&institution=27UOJ_INST","https://scholar.google.com/scholar?q=related:ncpbbtSB-hoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
