DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Method for Determining the Level of Criticality Elements when Ensuring the Functional Stability of the System based on Role Analysis of Elements,"Hryhorii Hnatiienko, Vladyslav Hnatiienko, Ravshanbek Zulunov, T. Babenko, Larysa Myrutenko",Cybersecurity Providing in Information and Telecommunication Systems,2023,"The introduction of artificial intelligence technologies in the education process has become an urgent need at the current pace of development of society. The integration of various intelligent technologies is a key factor in this era. The article deals with the issues of adapting the educational process to new technologies. The technology of testing respondents using closed questions focused on multiple-choice answer options is proposed. The paper proposes a new approach to calculating the grade during testing using closed questions oriented to multiple choices. The approaches used earlier in practice were proposed primarily because of their simplicity. However, in connection with the development of soft computing, approaches that were previously used in practice can be supplemented and one should distinguish, for example, a completely incorrect answer from a partially incorrect one.",271543619,1,31,(missing PubMedId)
(missing DOI),Aplicación de la Gestión de Conocimiento al proceso de pruebas de software Applying Knowledge Management to the software testing process,"D. Durán, Adriana Xiomara Reyes Gamboa, J. Builes",(missing journal),2016,"Resumen La gestión del conocimiento tiene como propósito aprovechar el conocimiento para generar valor a nivel organizacional, soportado en procesos, herramientas y actividades para lograr el propósito. En este contexto, las pruebas son un proceso relevante y contribuye en gran medida al aseguramiento de la calidad del producto. A nivel académico y empresarial, existen varias iniciativas para articular la gestión del conocimiento a las pruebas de software, teniendo como problemática común, la falta de reutilización del conocimiento que se deriva en múltiples factores, como: las barreras para compartir el conocimiento, la alta rotación de personal, modelos de gestión de conocimiento con enfoque corporativo y compleja implementación entre otros. En consecuencia, se propone un modelo de implementación para gestionar el conocimiento en los proyectos de pruebas de software, desarrollado por seis procesos: definición de objetivos, identificación, incorporación, preservación, distribución y utilización, basado en artefactos con el propósito de mejorar las pruebas de software. Abstract The purpose of knowledge management is harnessing knowledge to generate value at the organizational level, supported in processes, tools, and activities to achieve the purpose. In this context, testing is a relevant process which contributes greatly to the assurance of product quality. To academic and business levels, there are several initiatives to link knowledge management to software testing, having as a common issue the lack of reuse of knowledge that results in multiple factors e.g. knowledge sharing barriers, high rotation of personnel, knowledge management models with corporate focus and complex implementation, among others. Therefore, an implementation model is proposed to manage knowledge in software testing projects developed by six processes: Definition of objectives, Identification, incorporation, preservation, distribution, and use based on artifacts for the purpose of improving the software tests.",238252336,0,15,(missing PubMedId)
(missing DOI),PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL FACULDADE DE INFORMÁTICA PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO,"Modelos E Técnicas, M. Azambuja",(missing journal),2010,"Finding oil is a hard task that requires large amounts of information and resources. Along decades of research, geoscientists from Petrobras have accumulated great amout of data. Therefore, in petroleum geology other sources of important data are generally dispersed and have many forms of representation. This Master Thesis reports the creation of a database that stored various geophysical, paleogeographic and paleoclimatic data from the South Atlantic. Great part of these data were extracted from stratigraphic charts, converted, and stored as a numeric model. This model is the result of an aggregation of data from the Brazilian Sedimentary Basins and the creation of an algorithm solution able to map collected data at the designated geographical area. These data cover the past 140 millions years. The 140 millions of years correspond to a drift period of the South American Plate from the African west coast to the present location. During this drift several natural changes happened in the Ocean Sedimentary Basins until they reached the actual state. The grouping of these data enhances the potential to knowledge discovery on the factors necessary for the deposit of organic matter and oil generation, in consequence, these new factors may improve the chances of finding oil.",234570264,0,260,(missing PubMedId)
(missing DOI),An Ontology for Guiding Performance Testing,"Artur Freitas, R. Vieira",2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),2014,"Software test is a technique to obtain information about software systems quality. Performance test is a type of software test that aims at evaluating software performance at a given load scenario, but it requires specialized knowledge about tools, activities and metrics of the domain. Since ontology is a promising knowledge representation technique, this paper presents a literature review to identify trends and compare researches of ontologies in the fields of software testing and software performance. Also, to investigate this issue from a practical perspective, it was developed an ontology for representing the core knowledge of performance testing. This paper presents the ontology and compare it with related ones. Then, semantic technologies are explored to demonstrate the practical feasibility of developing ontology-based applications for assisting testers with performance test planning and management.",165292629,19,35,(missing PubMedId)
(missing DOI),Ontologia para teste de desempenho de software,Artur Freitas,(missing journal),2012,(missing abstract),159106019,3,70,(missing PubMedId)
(missing DOI),A Comprehensive Study on Knowledge Management Applied to Embedded System Testing Processes,"Gabriel Habib Medeiros Oliveira, Renan Fonteles Albuquerque, Adriano Bessa Albuquerque",CSE/EUC,2019,"Numerous commercial electronic devices such as computers and mobile phones are composed of embedded systems. In general, these systems present complex functionalities, making the process of developing and testing a challenging task for engineers and designers. Testing is essential for validating any embedded device in order to guarantee that their features are operational and reliable. Improved testing methods could increase the reliability and quality of the devices. In this paper, a test methodology for evaluating commercial embedded devices is proposed. The proposed approach is based on the use of historical knowledge acquired by analyzing and modeling a growing test database composed by information on prior regular test routines. This approach aims to track the similarities among test cases applied in past products in order to optimize the analysis of test cases necessary for the evaluation of recent products that will be submitted to testing processes. A comparative case study was conducted involving the proposed test methodology and a standard test methodology based on test cases in a test routine involving embedded devices produced by a company in the energy solutions business. The empirical results showed a significant improvement in the efficiency of failure and defect detection in the embedded devices, allowing improved management of the processes of development, test, and production.",150434610,1,20,(missing PubMedId)
(missing DOI),A Systematic Mapping Study on Software Reuse,"Bhargava Mithra Konda, Kranthi Kiran Mandava",(missing journal),2009,"Context: Software reuse is considered as the key to a successful software development because of its potential to reduce the time to market, increase quality and reduce costs. This increase in demand made the software organizations to envision the use of software reusable assets which can also help in solving recurring problems. Till now, software reuse is confined to reuse of source code in the name of code scavenging. Now a day, software organizations are extending the concepts of software reuse to other life cycle objects as they realized that reuse of source code alone does not save money. The academia has put forward some assets as reusable and presented methods or approaches for reusing them. Also, for a successful software reuse the organizations should assess the value of reuse and keep track on their reuse programs. The other area which is vital for software reuse is the maintenance. Maintenance of reusable software has direct impact on the cost of the software. In this regard, academia has presented a number of techniques, methods, metrics and models for assessing the value of reuse and for maintaining the reusable software. Objectives: In our thesis, we investigate on the reusable assets and the methods/ approaches that are put forward by the academia for reusing those assets. Also a systematic mapping study is performed to investigate what techniques, methods, models and metrics for assessing the value of reuse and for maintaining the reused software are proposed and we also investigate their validation status as well. Methods: The databases like IEEE Xplore, ACM digital library, Inspec, Springer and Google scholar were used to search for the relevant studies for our systematic mapping study. We followed basic inclusion criteria along with detailed inclusion/exclusion criteria for selecting the appropriate article. Results: Through our systematic mapping study, we could summarize the list of 14 reusable assets along with the approaches/methods for reusing them. Taxonomy for assessing the value of reuse and taxonomy for maintaining the reusable software are presented. We also presented the methods/metrics/models/techniques for measuring reuse to assess its value and for maintaining the reusable software along with their validation status and areas in focus. Conclusion: We conclude that, there is a need for defining a standard set of reusable assets that are commonly accepted by the researchers in the field of software reuse. Most metrics/models/methods/approaches presented for assessing the value of reuse and for maintaining the reuse software are academically validated. Efforts have to be put on industrially validating them using the real data.",134736386,15,106,(missing PubMedId)
(missing DOI),SRAD: a semantic rapid method for software development,"M. Noroozi, Shima Saedi, M. Taherian, Khosro Ghadipasha",C3S2E '12,2012,"Using the Semantic Web (SW) technologies in Software Engineering (SE) is one way of overcoming current SE problems. In this article, we have proposed a semantic method for rapid software development, namely SRAD. From the SRAD point of view, static and dynamic models of software are described in domain ontology and application ontology, respectively. The domain ontology can be a strong substitute for data model and the application ontology contains formal description and implementation of the software functionalities. We have also proposed a method for implementing the software functionalities in the application ontology by using the SW technologies. To execute the software functionalities, any Java compatible rule engine can be used, but for efficiency reasons, we have developed a Running Engine (RE) that supports all types of SWRL atoms. By using the SRAD method, opposed to the current development methods that try to generate code from models, we can produce a formal runnable model of software which encompasses both business logic and program control logic.",127224139,0,51,(missing PubMedId)
(missing DOI),Knowledge management in software testing : A systematic snowball literature review,"Krzysztof Wnuk, Thrinay Garrepalli",e-Informatica Software Engineering Journal,2018,"Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the ben ...",103960947,31,48,(missing PubMedId)
(missing DOI),Domain Ontology Construction and Evaluation for the Entire Process of Software Testing,"Zhe Sun, Chi Hu, Chunlei Li, Linbo Wu",IEEE Access,2020,"As an important part of software engineering, software testing is a knowledge-intensive work. In the process of software testing, inconsistent knowledge expression, diverse knowledge carriers, and a few experienced people have mastered most of the knowledge, which hinders the transfer and sharing of domain knowledge. Ontology is widely used in various stages of software engineering to define the semantic relationship between relevant information and knowledge. To solve the problem of knowledge silo in the process of software testing, this article forms an Entire Process Ontology on Software Testing (EPOST). EPOST covers the concepts and relationships of software testing process information, software test object information, and software defect information. The concepts and terms in the ontology are extracted from ISTQB, SWEBOK, IEEE std.829-2008 standard, and IEEE std.610.12-1990 standard. We adopt a comprehensive ontology construction method based on Dev. 101 method and Methontology method. The developed ontology is successfully evaluated by using validation and verification tests. Ontology verification uses an improved FOCA evaluation method by adding a cohesion metric. The evaluation result infers that EPOST has a high quality of ontology and good domain coverage, and achieves the purpose of ontology construction. Finally, we make a case study on the role of EPOST in software testing process. The results show that ontology-based application in the software testing process can promote the sharing and transmission of domain knowledge, and improve the testing process and testing quality.",74548418,14,35,(missing PubMedId)
