title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Expectations vs Reality - A Secondary Study on AI Adoption in Software Testing,"In the software industry, artificial intelligence (AI) has been utilized more and more in software development activities. In some activities, such as coding, AI has already been an everyday tool, but in software testing activities AI it has not yet made a significant breakthrough. In this paper, the objective was to identify what kind of empirical research with industry context has been conducted on AI in software testing, as well as how AI has been adopted in software testing practice. To achieve this, we performed a systematic mapping study of recent (2020 and later) studies on AI adoption in software testing in the industry, and applied thematic analysis to identify common themes and categories, such as the real-world use cases and benefits, in the found papers. The observations suggest that AI is not yet heavily utilized in software testing, and still relatively few studies on AI adoption in software testing have been conducted in the industry context to solve real-world problems. Earlier studies indicated there was a noticeable gap between the actual use cases and actual benefits versus the expectations, which we analyzed further. While there were numerous potential use cases for AI in software testing, such as test case generation, code analysis, and intelligent test automation, the reported actual implementations and observed benefits were limited. In addition, the systematic mapping study revealed a potential problem with false positive search results in online databases when using the search string""artificial intelligence"".","[{'authorId': '1993364', 'name': 'Katja Karhu'}, {'authorId': '1694561', 'name': 'Jussi Kasurinen'}, {'authorId': '2257285599', 'name': 'Kari Smolander'}]",2025,arXiv.org,"{'volume': 'abs/2504.04921', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/3542882635d8d876999d08df6d751cb471e24d84,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2504.04921, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,48,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/corr/abs-2504-04921', 'ArXiv': '2504.04921', 'DOI': '10.48550/arXiv.2504.04921', 'CorpusId': 277621006}",1,"Katja Karhu, Jussi Kasurinen, Kari Smolander",JournalArticle,"DBLP:journals/corr/abs-2504-04921, ArXiv:2504.04921, DOI:10.48550/arXiv.2504.04921, CorpusId:277621006"
A Framework for Managing Software Testing Outsourcing Projects,,"[{'authorId': '9336060', 'name': 'Fatin Filzahti Ismail'}, {'authorId': '34689457', 'name': 'R. Razali'}]",2017,,"{'volume': '9', 'pages': '35-44', 'name': 'Journal of Telecommunication, Electronic and Computer Engineering'}",https://www.semanticscholar.org/paper/3caa676a57780062261feaeb0d1b74e9b3828316,False,"{'url': '', 'status': None, 'license': None}",2,41,,,['Computer Science'],"{'MAG': '2767937109', 'CorpusId': 168655944}",0,"Fatin Filzahti Ismail, R. Razali",,"MAG:2767937109, CorpusId:168655944"
Automatização de testes em equipes ágeis: um estudo qualitativo usando teoria fundamentada.,,"[{'authorId': '46541157', 'name': 'Gabriella Mayara T. Alves'}, {'authorId': '2287609986', 'name': 'Gabriella Mayara Tavares'}]",2017,,"{'volume': '', 'name': ''}",https://www.semanticscholar.org/paper/3731b4bf4f7be7ef769e14819d4464f28136fba4,False,"{'url': '', 'status': None, 'license': None}",0,75,,,['Philosophy'],"{'MAG': '2887355820', 'CorpusId': 171503299}",0,"Gabriella Mayara T. Alves, Gabriella Mayara Tavares",,"MAG:2887355820, CorpusId:171503299"
Knowledge Creation and Loss within a Software Organization: An Exploratory Case Study,,"[{'authorId': '145867702', 'name': 'Davi Viana'}, {'authorId': '8956664', 'name': 'T. Conte'}, {'authorId': '2055086', 'name': 'S. Marczak'}, {'authorId': '30554847', 'name': 'Raymundo Ferreira'}, {'authorId': '4572461', 'name': 'C. D. Souza'}]",2015,Hawaii International Conference on System Sciences,"{'pages': '3980-3989', 'name': '2015 48th Hawaii International Conference on System Sciences'}",https://www.semanticscholar.org/paper/2a55725bf36140490fe2a27c4264a2bf79e065aa,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/HICSS.2015.477?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/HICSS.2015.477, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",11,31,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/hicss/VianaCMFS15', 'MAG': '1598460439', 'DOI': '10.1109/HICSS.2015.477', 'CorpusId': 4035123}",0,"Davi Viana, T. Conte, S. Marczak, Raymundo Ferreira, C. D. Souza","JournalArticle, Conference","DBLP:conf/hicss/VianaCMFS15, MAG:1598460439, DOI:10.1109/HICSS.2015.477, CorpusId:4035123"
Contributing factors of successful software testing outsourcing,,"[{'authorId': '9336060', 'name': 'Fatin Filzahti Ismail'}, {'authorId': '34689457', 'name': 'R. Razali'}]",2014,2014 8th. Malaysian Software Engineering Conference (MySEC),"{'pages': '55-60', 'name': '2014 8th. Malaysian Software Engineering Conference (MySEC)'}",https://www.semanticscholar.org/paper/4db3d85c00d8f75eaef537ff75cee1e3f6212e38,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/MYSEC.2014.6985988?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/MYSEC.2014.6985988, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",6,35,,['Conference'],['Business'],"{'MAG': '2317954180', 'DOI': '10.1109/MYSEC.2014.6985988', 'CorpusId': 14183223}",1,"Fatin Filzahti Ismail, R. Razali",Conference,"MAG:2317954180, DOI:10.1109/MYSEC.2014.6985988, CorpusId:14183223"
Cost Estimation for Model-Driven Interoperability: A Canonical Data Modeling Approach,,"[{'authorId': '144400133', 'name': 'P. Mork'}, {'authorId': '12921871', 'name': 'W. Melo'}, {'authorId': '108264051', 'name': 'S. Dutcher'}, {'authorId': '123205342', 'name': 'C. Curtis'}, {'authorId': '97560571', 'name': 'M. Scroggs'}]",2014,International Conference on Quality Software,"{'pages': '145-153', 'name': '2014 14th International Conference on Quality Software'}",https://www.semanticscholar.org/paper/34a3345f7cc167994a3ab4cd1cfbe7539346de2c,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/QSIC.2014.51?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/QSIC.2014.51, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",4,32,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/qsic/MorkMDCS14', 'MAG': '2061151175', 'DOI': '10.1109/QSIC.2014.51', 'CorpusId': 277962}",0,"P. Mork, W. Melo, S. Dutcher, C. Curtis, M. Scroggs","JournalArticle, Conference","DBLP:conf/qsic/MorkMDCS14, MAG:2061151175, DOI:10.1109/QSIC.2014.51, CorpusId:277962"
Simulation-Based Evaluation for the Impact of Personnel Capability on Software Testing Performance,"This study presents a decision making process in three steps of knowledge management for test organization using process simulation and financial analysis. First, project cost assessment of test knowledge management process subjects to different project duration and number of staffs. Two knowledge management simulation models representing experienced personnel with knowledge sharing and inexperienced personnel with internal training respectively are employed to contrast test personnel capability. Second, performance evaluation of software testing process by different personnel capability is conducted to simulate system test using three project metrics, namely, duration, effort cost, and quality. Third, a comparative financial analysis is prepared to determine the best solution by return on investment, payback period, and benefit cost ratio. The results from three stages of finding are discussed to arrive at the final scenario. We provide a case study evaluating how software testing industry needs to build effective test organization with high quality personnel for sustainable development and improvement.","[{'authorId': '98552461', 'name': 'Jithinan Sirathienchai'}, {'authorId': '2603119', 'name': 'Peraphon Sophatsathit'}, {'authorId': '35519460', 'name': 'Decha Dechawatanapaisal'}]",2012,,"{'volume': '2012', 'pages': '545-559', 'name': 'Journal of Software Engineering and Applications'}",https://www.semanticscholar.org/paper/ed0be5a9d8a5c76b465a8ab07aca365c2e1ade7a,True,"{'url': 'http://www.scirp.org/journal/PaperDownload.aspx?paperID=21945', 'status': 'HYBRID', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.4236/JSEA.2012.58063?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.4236/JSEA.2012.58063, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",5,44,,,['Engineering'],"{'MAG': '2067926356', 'DOI': '10.4236/JSEA.2012.58063', 'CorpusId': 14532560}",0,"Jithinan Sirathienchai, Peraphon Sophatsathit, Decha Dechawatanapaisal",,"MAG:2067926356, DOI:10.4236/JSEA.2012.58063, CorpusId:14532560"
Trade-off between automated and manual software testing,,"[{'authorId': '3173701', 'name': 'Ossi Taipale'}, {'authorId': '1694561', 'name': 'Jussi Kasurinen'}, {'authorId': '1993364', 'name': 'Katja Karhu'}, {'authorId': '1726281', 'name': 'K. Smolander'}]",2011,International Journal of Systems Assurance Engineering and Management,"{'volume': '2', 'pages': '114-125', 'name': 'International Journal of System Assurance Engineering and Management'}",https://www.semanticscholar.org/paper/01c3a339665ba84d88b780b17617a86d6fad7262,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/S13198-011-0065-6?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/S13198-011-0065-6, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",58,50,,['JournalArticle'],"['Computer Science', 'Engineering']","{'DBLP': 'journals/saem/TaipaleKKS11', 'MAG': '1973637110', 'DOI': '10.1007/S13198-011-0065-6', 'CorpusId': 9263505}",3,"Ossi Taipale, Jussi Kasurinen, Katja Karhu, K. Smolander",JournalArticle,"DBLP:journals/saem/TaipaleKKS11, MAG:1973637110, DOI:10.1007/S13198-011-0065-6, CorpusId:9263505"
Who tested my software? Testing as an organizationally cross-cutting activity,"There is a recognized disconnect between testing research and industry practice, and more studies are needed on understanding how testing is conducted in real-world circumstances instead of demonstrating the superiority of specific methods. Recent literature indicates that testing is a cross-cutting activity that involves various organizational roles rather than the sole involvement of specialized testers. This research empirically investigates how testing involves employees in varying organizational roles in software product companies. We studied the organization and values of testing using an exploratory case study methodology through interviews, defect database analysis, workshops, analyses of documentation, and informal communications at three software product companies. We analyzed which employee groups test software in the case companies, and how many defects they find. Two companies organized testing as a team effort, and one company had a specialized testing group because of its different development model. We found evidence that testing was not an action conducted only by testing specialists. Testing by individuals with customer contact and domain expertise was an important validation method. We discovered that defects found by developers had the highest fix rates while those revealed by specialized testers had the lowest. The defect importance was susceptible to organizational competition of resources (i.e., overvaluing defects of reporter’s own products or projects). We conclude that it is important to understand the diversity of individuals participating in software testing and the relevance of validation from the end users’ viewpoint. Future research is required to evaluate testing approaches for diverse organizational roles. Finally, to improve defect information, we suggest increasing automation in defect data collection.","[{'authorId': '144811716', 'name': 'M. Mäntylä'}, {'authorId': '2330110', 'name': 'Juha Itkonen'}, {'authorId': '2099876', 'name': 'Joonas Iivonen'}]",2011,Software quality journal,"{'volume': '20', 'pages': '145 - 172', 'name': 'Software Quality Journal'}",https://www.semanticscholar.org/paper/4ba2105ef11089ee3b82df4c1a509956b033842d,True,"{'url': 'https://link.springer.com/content/pdf/10.1007/s11219-011-9157-4.pdf', 'status': 'HYBRID', 'license': 'CCBYNC', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1007/s11219-011-9157-4?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/s11219-011-9157-4, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",41,41,,['JournalArticle'],"['Computer Science', 'Engineering']","{'DBLP': 'journals/sqj/MantylaII12', 'MAG': '2047103478', 'DOI': '10.1007/s11219-011-9157-4', 'CorpusId': 14421482}",1,"M. Mäntylä, Juha Itkonen, Joonas Iivonen",JournalArticle,"DBLP:journals/sqj/MantylaII12, MAG:2047103478, DOI:10.1007/s11219-011-9157-4, CorpusId:14421482"
Factors with Negative Influence on Software Testing Practice in Spain: A Survey,,"[{'authorId': '2285873929', 'name': 'Luis Fernández-Sanz'}, {'authorId': '2265926705', 'name': 'M. Teresa Villalba'}, {'authorId': '1698905', 'name': 'J. Hilera'}, {'authorId': '6922892', 'name': 'R. Lacuesta'}]",2009,European Conference on Software Process Improvement,{'pages': '1-12'},https://www.semanticscholar.org/paper/74b33366388e8da741b497b8b09797355feb8a9f,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/978-3-642-04133-4_1?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/978-3-642-04133-4_1, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",23,24,,"['JournalArticle', 'Review']","['Engineering', 'Computer Science']","{'MAG': '1585452567', 'DBLP': 'conf/eurospi/SanzVHG09', 'DOI': '10.1007/978-3-642-04133-4_1', 'CorpusId': 31308665}",2,"Luis Fernández-Sanz, M. Teresa Villalba, J. Hilera, R. Lacuesta","JournalArticle, Review","MAG:1585452567, DBLP:conf/eurospi/SanzVHG09, DOI:10.1007/978-3-642-04133-4_1, CorpusId:31308665"
