Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"FF Ismail, R Razali","A qualitative empirical investigation of hidden cost for software testing outsourcing projects",2024,"International Journal of Productivity …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJPQM.2024.140629","",6,"2026-01-15 12:24:19","","10.1504/IJPQM.2024.140629","","",,,,,0,0.00,0,2,2,"The main concern of involving organisations in an outsourced project is not only getting the job done, but also the job needing to be completed with the desired quality within the …","","https://scholar.google.com/scholar?q=related:Qc_fR3lyPKgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"CPC Giachetti, S Cavalletto","Collaborative Innovation and Imitation in the KIBS Industry",,"academia.edu","","https://www.academia.edu/download/81846224/859058-1209078.pdf","",13,"2026-01-15 12:24:19","PDF","","","",,,,,0,0.00,0,2,,"The importance of innovation for the economic development has made it a subject studied extensively in economic literature. Today it is considered one of the main drivers of …","https://www.academia.edu/download/81846224/859058-1209078.pdf","https://scholar.google.com/scholar?q=related:SxwBJUapNkoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"SH Sahir, RA Shichiyakh","The concept of outsourcing used by companies due to enhancement of need of business processes and software applications",2020,"International Journal of Advanced …","researchgate.net","https://www.researchgate.net/profile/Sahir-Syafrida-Hafni/publication/348162197_The_concept_of_outsourcing_used_by_companies_due_to_enhancement_of_need_of_business_processes_and_software_applications/links/5ff16272299bf140886884a1/The-concept-of-outsourcing-used-by-companies-due-to-enhancement-of-need-of-business-processes-and-software-applications.pdf","",17,"2026-01-15 12:24:19","PDF","","","",,,,,0,0.00,0,2,6,"The manner in which organization expend and purchase has changed nearly to the point of being unrecognizable over the last decade. The leader of toady enters around making cost …","https://www.researchgate.net/profile/Sahir-Syafrida-Hafni/publication/348162197_The_concept_of_outsourcing_used_by_companies_due_to_enhancement_of_need_of_business_processes_and_software_applications/links/5ff16272299bf140886884a1/The-concept-of-outsourcing-used-by-companies-due-to-enhancement-of-need-of-business-processes-and-software-applications.pdf","https://scholar.google.com/scholar?q=related:G5XHT8dzQi4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Cavalletto","Collaborative Innovation and Imitation in the KIBS Industry",2017,"","unitesi.unive.it","https://unitesi.unive.it/handle/20.500.14247/19466","",18,"2026-01-15 12:24:19","","","","",,,,,0,0.00,0,1,9,"In today's economy, innovation–broadly defined as the commercialization of new knowledge-has become one of the key drivers of productivity and growth. Its prominent role has made it …","https://unitesi.unive.it/bitstream/20.500.14247/19466/1/859058-1209078.pdf","https://scholar.google.com/scholar?q=related:Qx7tvZMxH2EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"O Václav","IDIMT-2017",2017,"","academia.edu","https://www.academia.edu/download/89520376/IDIMT_proceedings_2017.pdf","",20,"2026-01-15 12:24:19","PDF","","","",,,,,0,0.00,0,1,9,"We have come a long way from the first IDIMT Conference in 1993 in Kubova Hut1, which was initially not even called IDIMT! Since then we have made continuous improvements and …","https://www.academia.edu/download/89520376/IDIMT_proceedings_2017.pdf","https://scholar.google.com/scholar?q=related:f7rY4JP9GZ4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"І ГОРБАТЮК","PECULIARITIES OF PROJECT MANAGEMENT IN THE CONTEXT OF SOFTWARE ENGINEERING ОСОБЛИВОСТІ ПРОЄКТНОГО УПРАВЛІННЯ В …",,"researchgate.net","","https://www.researchgate.net/profile/Illia-Gorbatiuk/publication/367982332_PECULIARITIES_OF_PROJECT_MANAGEMENT_IN_THE_CONTEXT_OF_SOFTWARE_ENGINEERING/links/6788bd1b55274940f12ca26b/PECULIARITIES-OF-PROJECT-MANAGEMENT-IN-THE-CONTEXT-OF-SOFTWARE-ENGINEERING.pdf","",21,"2026-01-15 12:24:19","PDF","","","",,,,,0,0.00,0,1,,"The article is related to the problem of training future bachelors in software engineering for project management activities, which is caused by ensuring the quality and reliability of the …","https://www.researchgate.net/profile/Illia-Gorbatiuk/publication/367982332_PECULIARITIES_OF_PROJECT_MANAGEMENT_IN_THE_CONTEXT_OF_SOFTWARE_ENGINEERING/links/6788bd1b55274940f12ca26b/PECULIARITIES-OF-PROJECT-MANAGEMENT-IN-THE-CONTEXT-OF-SOFTWARE-ENGINEERING.pdf","https://scholar.google.com/scholar?q=related:QpxEKzxNVN4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"D de Autoría","Estrategia de Gestión del Conocimiento para el Laboratorio de Pruebas de Software de la Universidad de las Ciencias Informáticas",,"researchgate.net","","https://www.researchgate.net/profile/Celia-Soulary-Reyes/publication/316558394_Estrategia_de_Gestion_del_Conocimiento_para_el_Laboratorio_de_Pruebas_de_Software_de_la_Universidad_de_las_Ciencias_Informaticas/links/590407aaaca272116d2fcbf7/Estrategia-de-Gestion-del-Conocimiento-para-el-Laboratorio-de-Pruebas-de-Software-de-la-Universidad-de-las-Ciencias-Informaticas","",22,"2026-01-15 12:24:19","DOC","","","",,,,,0,0.00,0,1,,"La gestión del conocimiento constituye un factor clave en las organizaciones que realizan pruebas de software externas. Dado el papel predominante que desempeñan las personas …","https://www.researchgate.net/profile/Celia-Soulary-Reyes/publication/316558394_Estrategia_de_Gestion_del_Conocimiento_para_el_Laboratorio_de_Pruebas_de_Software_de_la_Universidad_de_las_Ciencias_Informaticas/links/590407aaaca272116d2fcbf7/Estrategia-de-Gestion-del-Conocimiento-para-el-Laboratorio-de-Pruebas-de-Software-de-la-Universidad-de-las-Ciencias-Informaticas","https://scholar.google.com/scholar?q=related:ASTAbi7DbB4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"KR Felizardo, FC Souza, ACC Souza…","Assessing Diversity in Creating Seed Set for Snowballing Search for Systematic Literature Review in Software Engineering",2025,"Forthcoming in the The …","ime.usp.br","https://www.ime.usp.br/~gerosa/papers/ESEM___Snowballing.pdf","https://scholar.google.com/scholar?cites=1410524962808794697&as_sdt=2005&sciodt=0,5&hl=en",7,"2026-01-15 12:24:19","PDF","","","",,,,,1,1.00,0,4,1,"Background: Systematic literature reviews (SLRs) require robust search strategies to ensure comprehensive coverage. Although database searches have traditionally been the primary …","https://www.ime.usp.br/~gerosa/papers/ESEM___Snowballing.pdf","https://scholar.google.com/scholar?q=related:SQ4K-_owkxMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"R Gentry, F Shirazi","A knowledge management analysis of an in-house manual software testing",2015,"International Journal of Computer …","researchgate.net","https://www.researchgate.net/profile/Farid-Shirazi/publication/273633360_A_Knowledge_Management_Analysis_of_an_In-_House_Manual_Software_Testing/links/55102fc30cf2a95b5b427685/A-Knowledge-Management-Analysis-of-an-In-House-Manual-Software-Testing.pdf","https://scholar.google.com/scholar?cites=2254312419802277484&as_sdt=2005&sciodt=0,5&hl=en",14,"2026-01-15 12:24:19","PDF","","","",,,,,1,0.09,1,2,11,"This case study uses the Transaction Cost and Knowledge Management theories to investigate to what extent software development companies will employ in-house Manual …","https://www.researchgate.net/profile/Farid-Shirazi/publication/273633360_A_Knowledge_Management_Analysis_of_an_In-_House_Manual_Software_Testing/links/55102fc30cf2a95b5b427685/A-Knowledge-Management-Analysis-of-an-In-House-Manual-Software-Testing.pdf","https://scholar.google.com/scholar?q=related:bOYQszPtSB8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"WY Lee, YW Ko","Real-time scheduling of parallel tasks on fewest processors",2006,"2006 International Conference on Hybrid …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4021267/","https://scholar.google.com/scholar?cites=13788435953130472845&as_sdt=2005&sciodt=0,5&hl=en",15,"2026-01-15 12:24:19","","","","",,,,,1,0.05,1,2,20,"A polynomial-time scheduling algorithm is proposed for the real-time parallel tasks on multiprocessors. The algorithm always finds a feasible schedule using the fewest …","","https://scholar.google.com/scholar?q=related:jQWR8nFdWr8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
