DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1108/IJLSS-06-2024-0130,Exploring continuous improvement and Industry 4.0 integration through the lens of the digital transformation pyramid,T. Thomas,International Journal of Lean Six Sigma,2026,"Purpose Continuous improvement (CI) and Industry 4.0 (I4.0) integration is vital for manufacturing success, but still emerging. This study aims to examine its current state through a literature review. We then propose a framework to aid this crucial integration. Design/methodology/approach This study used literature review to investigate the current state of integration between CI tools and I4.0 technologies. The author conducted a thorough review of papers published from 2011 to 2023. A keyword search strategy identified 81 relevant studies. In addition, an iterative backward and forward snowballing approach was used to locate more studies. Finally, the chosen articles were analysed to reveal key findings in the integration of CI and I4.0 (CI 4.0). Findings This study introduces a novel approach to analyse the digital transformation of CI tools. The investigation applies the digital transformation pyramid to analyse the integration of CI tools with I4.0 technologies. This study explores the transformation of CI tools through three key stages: digitization, digitalization and digital transformation. In addition, the investigation proposes a conceptual framework for the digital transformation of CI practices. Practical implications The outcomes of this study assist decision makers in selecting the most suitable I4.0 technologies to enhance CI and implement data-driven approaches. Originality/value This study not only advances existing knowledge by exploring how CI tools complement I4.0 technologies but also provides a structured approach for their integration. The insights gained help practitioners identify appropriate I4.0 technologies for digitally transforming CI practices.",f91d87d4-9226-4fbc-80dd-6597592d28a6,0,110,(missing PubMedId)
10.2196/79762,Analyzing Social Media to Infer Mental Health Status and Affective States for Crisis and Disaster Management: A Scoping Review (Preprint),"Francesca Müller,  Samuel Tomczyk,  Frank Fiedrich",Journal of Medical Internet Research,2025,(missing abstract),71dd5338-330a-49c0-b93d-cc25dcbf1631,0,133,(missing PubMedId)
10.1016/J.HSSUST.2026.04.002,Sustainable Human Settlements in the 21st Century: A Multidimensional Review of Challenges and Solutions,Asif Raihan,Human Settlements and Sustainability,2026,"Sustainable human settlements are central to addressing the intertwined challenges of rapid urbanization, climate change, resource scarcity, and socio-spatial inequality in the 21st century. As cities, towns, peri-urban areas, and rural settlements continue to expand and transform, there is a growing need for integrated frameworks that capture the multidimensional nature of settlement sustainability. This review synthesizes interdisciplinary scholarship on sustainable human settlements to examine key challenges, solution pathways, and emerging research gaps across environmental, social, economic, technological, and governance dimensions. Using a structured literature review approach, 112 peer-reviewed journal articles published between 2000 and 2025 were systematically analyzed from Scopus, Web of Science, and ScienceDirect databases. The findings reveal that sustainability challenges are deeply interconnected and are exacerbated by governance fragmentation, unequal resource access, and uneven technological deployment. At the same time, global case studies demonstrate that integrated spatial planning, climate-resilient and nature-based solutions, inclusive governance, smart technologies, and policy integration across scales can generate synergistic sustainability outcomes. However, the review also highlights persistent gaps related to longitudinal evidence, equity-centered analysis, underrepresentation of the Global South and rural contexts, and limited integration of qualitative and participatory approaches with emerging digital tools. By advancing a multidimensional and urban–rural continuum perspective, this study contributes a holistic synthesis that bridges fragmented bodies of knowledge and supports more inclusive, resilient, and context-sensitive pathways toward sustainable human settlements. The review offers actionable insights for researchers, planners, and policymakers seeking to align settlement development with global sustainability and climate goals.",0a0fa9ed-998c-4367-a88c-9ae836b8c4e6,0,158,(missing PubMedId)
10.1145/3806653,Generative AI for Testing of Autonomous Driving Systems: A Survey,"Qunying Song,  He Ye,  Mark Harman,  Federica Sarro",ACM Transactions on Software Engineering and Methodology,2026,"Autonomous driving systems (ADS) have been an active area of research, with the potential to deliver significant benefits to society. However, before large-scale deployment on public roads, extensive testing is necessary to validate their functionality and safety under diverse driving conditions. Therefore, different testing approaches are required, and achieving effective and efficient testing of ADS remains an open challenge. Recently, generative AI has emerged as a powerful tool across many domains and is increasingly applied to ADS testing due to its ability to interpret context, reason about complex tasks, and generate diverse outputs. To understand its role in ADS testing, we systematically analyzed 92 relevant studies and synthesized their findings into six major application categories, primarily centered on scenario-based testing. We further evaluated the effectiveness of these approaches and compiled a comprehensive set of resources, including 37 datasets, 17 simulators, 61 ADS systems, 141 metrics, and 100 benchmarks used for evaluation. In addition, we identified 27 limitations in existing research and outlined six major directions for future work. This survey provides an overview and practical insights into the use of generative AI for testing ADS, highlights existing challenges, and outlines future research opportunities in this rapidly evolving field.",dc0c3957-3973-4ab9-97ce-d47733340c14,0,46,(missing PubMedId)
10.1027/1016-9040/A000579,Eye-Tracking in Reading Research,"Timothy C. Papadopoulos,  Argyro Fella,  Cengiz Acartürk,  Ekrem Bahçekapılı,  Kimete Canaj,  Kristina Cergol,  Nazik Dinçtopal Deniz,  Nora Hollenstein,  Gordana Hržica,  Marija Jozipović,  Ramunė Kasperẹ,  Dorota Klimek-Jankowska,  Hans Knudsen,  Julia Krebs,  Izabela Krejtz,  Magda Leszko,  Marta Łockiewicz,  Jurgita Motiejūnienė,  Aysegul Ozkan,  Marijan Palmovic,  Paula Luegi,  Ana Matić Škorić,  Belgüzar Nilay Türkan,  Funda Yildirim,  Duygun Erol Barkana",European Psychologist,2026,"Abstract: Eye-tracking methods have become a valuable tool for reading research, as they provide significant evidence on the behavioral and cognitive performance of developing readers. They also help identify reading behavior patterns among children with neurodevelopmental conditions, such as reading difficulties (RD) or attention-deficit hyperactivity disorder (ADHD). In this paper, we reviewed relevant literature (73 empirical studies) from 2008 to 2023 (15 years). We documented how reading performance was measured through eye-tracking methodology among typical and atypical readers across various languages. To ensure a rigorous and transparent review, we adhered to the PRISMA framework, defined keywords, established inclusion and exclusion criteria, conducted data extraction, and employed a multi-phase selection process. We focused on research samples, stimulus designs, independent variables, eye-tracking systems, and metrics. The results indicated that research involving typically developing children mainly included participants from primary school and employed various eye-tracking methods, with English being the most studied language. Studies on children with RD and ADHD varied significantly in participants’ sample sizes, languages, and experimental designs. The discussion emphasizes the need for standardized data-collection procedures to enhance the reliability and comparability of findings, thereby supporting the development of effective interventions and instructional methods for reading difficulties.",094f44cb-c6dd-4577-921b-9f42404aa003,0,170,(missing PubMedId)
10.1007/S43615-026-00729-1,Advancing Circular Economy of Bio-Based Building Materials: Critical Gaps and Future Prospects,Sardar Edalat,Circular Economy and Sustainability,2026,(missing abstract),152f98e2-0e38-4c6e-af5c-9a8037897a59,0,175,(missing PubMedId)
10.1108/IJQSS-09-2025-0247,Sustainability and customer perceptions in contemporary service experiences: a literature review,"Anand Jaiswal,  M.K.P. Naik,  Rajesh Kumar,  Abhishek Bhushan Singhal",International Journal of Quality and Service Sciences,2026,"Purpose Sustainability is important in-service experiences, yet research on how customers perceive these initiatives remains fragmented across sectors and disciplines. This study aims to review existing literature to provide a structured understanding of the field. It aims to map the intellectual structures, thematic clusters and trends in research on sustainability and customer perceptions from 2015 to 2025. Design/methodology/approach A systematic literature review was conducted using the PRISMA framework. Seventy-six articles were identified from Scopus and manual searches. Bibliometric analysis with R/Biblioshiny and VOS viewer examined publication trends. Intellectual mapping used keyword co-occurrence, trend topics, and sector-specific evidence to identify concepts and theoretical underpinnings. Thematic mapping was then applied to classify the dominant research themes within the field. Findings The study shows a steady rise in research on sustainability and customer perceptions in service settings, with contributions from more than 250 authors across 48 journals. While the research is globally distributed, collaboration is more common within regions than across them. Most studies focus on customers and emphasize themes such as perceived sustainability, service quality, satisfaction, loyalty and engagement. The findings also show that sustainability in services is shaped through customer experiences rather than just operational practices. Trust, credibility and digital interaction play an important role in how customers evaluate and respond to sustainable service offerings. Research limitations/implications Findings inform theory development and practice. Future research should explore underrepresented sectors, technology-enabled services, cross-cultural contexts, multistakeholder perspectives and longitudinal dynamics. Originality/value This study consolidates existing literature and integrates bibliometric, intellectual and thematic perspectives. It provides an overview of how sustainability and customer perceptions have been examined in service experiences.",d69a2ca2-fb86-4aa0-9e3e-81f3ae4c2a62,0,54,(missing PubMedId)
10.1016/J.JENVMAN.2026.129319,When similar chemicals meet different rules: Environmental standards in the licensing of medicinal and plant protection products in the EU and USA,"Sophie E. Cook,  Martin Scheringer,  Eva Lieberherr",Journal of Environmental Management,2026,"This article presents a comparative analysis of environmental standards employed in the licensing of human medicinal products (HMPs), veterinary medicinal products (VMPs), and plant protection products (PPPs) across the European Union (EU) and United States of America (USA). Despite structural and functional similarities, these chemicals are regulated separately, resulting in divergent environmental (risk) assessment (E(R)A) procedures. Using a qualitative case study approach, this research examines domestic licensing procedures across four thematic areas: institutional context, E(R)A requirements, post-authorisation obligations, and the treatment of legacy and generic products. We frame our analysis through the lens of three policy design concepts - integration, participation, and stringency - revealing that PPPs are subject to the most stringent environmental standards, followed by VMPs, and HMPs subject to the least. EU regulations are generally more stringent than those in the USA, particularly regarding E(R)A data requirements, substitution obligations, and the practical weight of the E(R)A in influencing licensing decision making. Our study identifies regulatory gaps, especially in the treatment of legacy products, co-formulants and categorical exclusions. We thus propose five policy recommendations to enhance the stringency of environmental standards in the licensing of these products: legislative enshrinement of E(R)A data requirements for pharmaceuticals; reduction of E(R)A categorical exclusion eligibility; extension of substitution obligation to pharmaceuticals; periodic licence renewals for medicinal products involving re-evaluation of E(R)A data; and E(R)As covering complete product formulations, not only active substances. This research contributes a novel cross sectoral and cross-jurisdictional perspective on synthetic chemicals regulation and environmental governance.",4fd4cddc-28ea-470a-bd4c-87c51631a2b8,0,53,https://pubmed.ncbi.nlm.nih.gov/41894966
10.1007/S11301-026-00587-Z,Catalyzing public procurement of innovation: a typology of intermediary functions,"Hendrik Hermann Bangert,  Christian von Deimling,  Michael Eßig",Management Review Quarterly,2026,"Public procurement is increasingly recognized as a strategic lever for stimulating innovation and addressing complex societal challenges. Despite political commitment across Europe and beyond, the implementation of public procurement of innovation (PPoI) remains fraught with structural, procedural, and organizational challenges. Innovation intermediaries—actors that broker, coordinate, or facilitate innovation processes, demonstrate promise in overcoming these barriers. However, their role in procurement management is conceptually underdeveloped and empirically confined to highly complex cases. Existing studies rarely reflect the regulatory particularities of public procurement, especially its legal obligations for openness, competition, and transparency. To address this gap, this study proposes a function-based typology of innovation intermediaries, identifying six types—Networker, Mediator, Foundation Layer, Resource Orchestrator, Tendering Facilitator, and Compliance Facilitator—linked to four procurement situations: efficient, adapted, technological, and experimental. The typology improves conceptual clarity, offers practical guidance for procurement practitioners, and provides a foundation for future empirical and theoretical PPoI research.",c2325ae6-fcdb-4aec-bcda-337a08126cbc,0,187,(missing PubMedId)
10.1007/S10758-026-09958-7,Educational Robotics in Preschool and Primary Education: A Systematic Review of LEGO® WeDo and WeDo 2.0 Interventions and Implications for Extended Education,"Helvi Koch,  Nanine Lilla,  Marianne Schüpbach",Technology Knowledge and Learning,2026,"Educational Robotics is increasingly being integrated into regular classroom teaching and offered as part of extended education to foster 21st-century skills. Among various Educational Robotics tools, LEGO® Education WeDo and WeDo 2.0 are frequently used in school-based settings, including regular instruction and extended education programs. This systematic review examines empirical intervention studies utilizing LEGO® Education WeDo or WeDo 2.0 to identify outcome variables, categorize them into broader domains (cognitive, socio-emotional/motivational, and creativity-related), and analyse the effects of these interventions. Following PRISMA guidelines, peer-reviewed studies from the last 10 years were identified via academic databases and a search engine. Inclusion criteria focused on participants aged 5–11 (ISCED levels 0 and 1), interventions using LEGO® Education WeDo or WeDo 2.0, and quantitative research designs with pre- and post-tests or at least two comparison groups. From an initial pool of N = 193 publications, n = 20 met the inclusion criteria. Findings indicate that WeDo and WeDo 2.0 interventions positively impact cognitive (e.g., computational thinking, problem-solving), socio-emotional and motivational (e.g., intrinsic motivation, STEM attitudes, self-efficacy), and creativity-related outcomes (e.g., divergent thinking), with reported effect sizes ranging from medium to large. However, methodological limitations remain, including small sample sizes and insufficient intervention descriptions. The review highlights the value of LEGO® Education WeDo and WeDo 2.0 for fostering diverse competencies in young learners and underlines the need for more rigorous research designs characterized by greater methodological transparency and robustness.",bdc9b9dd-f3b4-4e09-ab69-3d5bb07fcb35,0,72,(missing PubMedId)
