Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S Vasconcelos","University of Aveiro, Águeda School of Technology and Management &Research Centre on Didactics and Technology in the Education of Trainers, Portugal ORCID …",,"Language and Intercultural Competence Education in …","books.google.com","https://books.google.com/books?hl=en&lr=&id=gYw3EQAAQBAJ&oi=fnd&pg=PA31&ots=dM88c6nUYZ&sig=BGgNKNQOKUE_3bnMGWxiPuJjHek","",23,"2026-05-07 16:04:28","","","","",,,,,0,0.00,0,1,,"University of Aveiro, Águeda School of Technology and Management &Research Centre on Didactics and Technology in the Education of Trainers, Portugal ORCID: https://orcid. org/0000-0001-8287-258X …","","https://scholar.google.com/scholar?q=related:CEogX-S4HRIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"I von Nostitz-Wallwitz, J Krüger, T Leich","Towards improving industrial adoption: the choice of programming languages and development environments",2018,"Proceedings of the 5th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3195546.3195548","https://scholar.google.com/scholar?cites=10852711107967360937&as_sdt=2005&sciodt=0,5&hl=en",16,"2026-05-07 16:04:28","","10.1145/3195546.3195548","","",,,,,6,0.75,2,3,8,"While promising software engineering approaches are proposed every day, only few are adapted by professional developers. There are many potential reasons for this, such as …","https://dl.acm.org/doi/pdf/10.1145/3195546.3195548","https://scholar.google.com/scholar?q=related:qZ9UqECTnJYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"FS Ikuja, LV Haule, J Machuve","Towards Effective Academia-Industry Collaborations: The Case of Higher Learning Institutions in Tanzania",2025,"Tanzania Journal of Engineering and …","ajol.info","https://www.ajol.info/index.php/tjet/article/view/305643","",15,"2026-05-07 16:04:28","","","","",,,,,0,0.00,0,3,1,"Industries are the main consumers of products from higher learning institutions (HLIs); graduates for employment and research outputs for socio-economic development. Research …","https://www.ajol.info/index.php/tjet/article/download/305643/287335","https://scholar.google.com/scholar?q=related:91F76y2r5wAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"A Ahmed","The Importance of Collaboration between Academia and Practice",2024,"Strategies for Brand Communications and …","gbppublications.com","https://www.gbppublications.com/_files/ugd/5e526c_c3bf3b6cf4554b91a722de8e7c512c9a.pdf#page=53","https://scholar.google.com/scholar?cites=652412895964709583&as_sdt=2005&sciodt=0,5&hl=en",14,"2026-05-07 16:04:28","PDF","","","",,,,,1,0.50,1,1,2,"The intersection of academics and industry practice has emerged as a focal point for driving innovation and defining the direction of marketing campaigns. Traditional barriers between …","https://www.gbppublications.com/_files/ugd/5e526c_c3bf3b6cf4554b91a722de8e7c512c9a.pdf#page=53","https://scholar.google.com/scholar?q=related:z0LcfhLWDQkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"P Runeson, S Minör","The 4+ 1 view model of industry--academia collaboration",2014,"Proceedings of the 2014 international workshop …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2647648.2647651","https://scholar.google.com/scholar?cites=16849729416589991272&as_sdt=2005&sciodt=0,5&hl=en",8,"2026-05-07 16:04:28","","10.1145/2647648.2647651","","",,,,,30,2.50,15,2,12,"Industry--academia projects exist in complex contexts of various stakeholders, time perspectives, and goals. In order to analyze projects and communicate about them, we have …","https://dl.acm.org/doi/pdf/10.1145/2647648.2647651","https://scholar.google.com/scholar?q=related:aN1LdaFD1ukJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"A Sureka, A Tripathi, S Dabral","Survey results on threats to external validity, generalizability concerns, data sharing and university-industry collaboration in mining software repository (MSR) research",2015,"arXiv preprint arXiv:1506.01499","arxiv.org","https://arxiv.org/abs/1506.01499","https://scholar.google.com/scholar?cites=136574311471716625&as_sdt=2005&sciodt=0,5&hl=en",19,"2026-05-07 16:04:28","","","","",,,,,3,0.27,1,3,11,"Mining Software Repositories (MSR) is an applied and practise-oriented field aimed at solving real problems encountered by practitioners and bringing value to Industry …","https://arxiv.org/pdf/1506.01499","https://scholar.google.com/scholar?q=related:ERm32Jw15QEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"S Eldh","Some researcher considerations when conducting empirical studies in industry",2013,"2013 1st International Workshop on Conducting …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6618476/?casa_token=cdjVaLdBud4AAAAA:hzgjv4Avd0RgyG-mjnvW2ef8sJwZVRHKAgqLUCZorBzFNtEtzYtbka4jAWj4ZKBl8IUtFo7ILXL7","https://scholar.google.com/scholar?cites=2932947200907913169&as_sdt=2005&sciodt=0,5&hl=en",13,"2026-05-07 16:04:28","","","","",,,,,11,0.85,11,1,13,"Research collaborations must be set up for a win-win relationship, avoiding many hurdles along the way. In this short paper the goal is to identify some considerations when …","https://ieeexplore.ieee.org/iel7/6599110/6618457/06618476.pdf?casa_token=cmYyf7Hf72QAAAAA:0JAKsgtQElb0AGJz0pGaYKbhD8GlB5y93A8jDVCacUPvweCvjNJe7Mbl_vRnZodDJv8cxN-Jrgm2","https://scholar.google.com/scholar?q=related:0acXl_DrsygJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
407,"M Kalenda, P Hyna, B Rossi","Scaling agile in large organizations: Practices, challenges, and success factors",2018,"Journal of Software: Evolution …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1954?casa_token=sb4u-g7weW4AAAAA:yMpRLsIXG_l2HaJ_TgwMxxBIHeeqroyj5YGSjK83NTgof92aLR2zfRHS-oiNfSN7IOEFO2bq_YHKCNtE","https://scholar.google.com/scholar?cites=299695017978614876&as_sdt=2005&sciodt=0,5&hl=en",2,"2026-05-07 16:04:28","","10.1002/smr.1954","","",,,,,407,50.88,136,3,8,"Context: Agile software development has nowadays reached wide adoption. However, moving agile to large‐scale contexts is a complex task with many challenges involved …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/smr.1954?casa_token=BV6Sm_2qkfwAAAAA:gD_KpJJD6Ya8hbVztawrA5fSOqdpGA8D_fltvgJQenCHdKF9BamBhgwueXtVTQ9YIzj4TCjdKCoQL4xp","https://scholar.google.com/scholar?q=related:XNSR7we7KAQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"I Kuzmanovska, A McRobert","Reflections on Applied Design Research: A Tale of Two Theses",2020,"Real/Material/Ethereal …","research.monash.edu","https://research.monash.edu/en/publications/reflections-on-applied-design-research-a-tale-of-two-theses/","",24,"2026-05-07 16:04:28","","","","",,,,,0,0.00,0,2,6,"This paper investigates the nature of design research in an applied context by reflecting on the authors' own experiences conducting doctoral projects with industry partners. It is hoped …","https://research.monash.edu/files/375882895/375882478.pdf","https://scholar.google.com/scholar?q=related:l-Yb0cfM_OYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"S Martínez-Fernández, HM Marques","Practical experiences in designing and conducting empirical studies in industry-academia collaboration",2014,"Proceedings of the 2nd …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2593690.2593696","https://scholar.google.com/scholar?cites=7343530047048253071&as_sdt=2005&sciodt=0,5&hl=en",12,"2026-05-07 16:04:28","","10.1145/2593690.2593696","","",,,,,17,1.42,9,2,12,"More and more, software engineering researchers are motivated to solve real problems that bring value to industry. An example is the industry-academia collaboration described in this …","https://dl.acm.org/doi/pdf/10.1145/2593690.2593696","https://scholar.google.com/scholar?q=related:j_63i6t16WUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
