DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),A Survey for What Developers Require in AI-powered Tools that Aid in Component Selection in CBSD,"Mahdi Jaberzadeh Ansari, Ann Barcomb",International Conference on Evaluation & Assessment in Software Engineering,2025,"Although it has been more than four decades that the first components-based software development (CBSD) studies were conducted, there is still no standard method or tool for component selection which is widely accepted by the industry. The gulf between industry and academia contributes to the lack of an accepted tool. We conducted a mixed methods survey of nearly 100 people engaged in component-based software engineering practice or research to better understand the problems facing industry, how these needs could be addressed, and current best practices employed in component selection. We also sought to identify and prioritize quality criteria for component selection from an industry perspective. In response to the call for CBSD component selection tools to incorporate recent technical advances, we also explored the perceptions of professionals about AI-driven tools, present and envisioned.",297706319,0,41,(missing PubMedId)
(missing DOI),Industry-Academia Collaboration (IAC): Preliminary Findings of a Tertiary Review,"Támara Dallegrave, Cleyton Rodrigues, Dênis Marques, Wylliams Barbosa Santos",Lecture notes in networks and systems,2025,(missing abstract),296826407,0,29,(missing PubMedId)
(missing DOI),Industry-Academia Collaboration (IAC): Preliminary Findings of a Tertiary Review,"Támara Dallegrave, Dênis Marques, Cleyton Rodrigues, Wylliams Barbosa Santos",Lecture notes in networks and systems,2025,(missing abstract),296655035,0,30,(missing PubMedId)
(missing DOI),Improving the Writing Quality of User Stories: A Canonical Action Research Study,"Sabine Molenaar, Fabiano Dalpiaz",Lecture notes in computer science,2025,(missing abstract),293548515,1,21,(missing PubMedId)
(missing DOI),An Advanced Process Control Application Framework: Development and Test-Bench Validation,"V. Vansovits, E. Petlenkov, A. Tepljakov, K. Vassiljeva",2025 IEEE 19th International Conference on Control & Automation (ICCA),2025,"In this paper, we present a software framework implementing Model Predictive Control (MPC), a widely adopted method in industrial automation. Designed for versatility, it operates with a range of target platforms-such as programmable logic controllers and distributed control systems. Notably, beyond its core MPC functionality, the framework supports multiple real-time simulation models, positioning it not merely as a conventional controller but also as a foundational digital twin for industrial processes. This capability facilitates a seamless transition from academic research to real-world application-an area that often proves challenging due to the gap between laboratory settings and practical industry requirements. The experimental validation on a laboratory test bench demonstrates the effectiveness of the proposed solution, underscoring its role as a bridge between academic developments and industrial implementation.",291133357,0,37,(missing PubMedId)
10.1109/SEIGS66664.2025.00017,Challenges of Conducting Research in Software Engineering: A case of graduate students in low resource contexts,"Rashidah Kasauli, Hawa Nyende, Halimu Chongomweru, Nasser Kimbugwe",2025 IEEE/ACM Symposium on Software Engineering in the Global South (SEiGS),2025,"Software engineering in low-resourced countries is just gaining momentum. A considerable number of students enroll for the masters program at Makerere University in hope of achieving the successful promises that come with undertaking studies in software engineering. However, many find themselves not completing studies, especially during the research year. Based on interviews with 10 of the 24 students opting for software engineering and at different stages of research, this paper presents challenges that graduate students face while undertaking software engineering research. We find challenges relating to the technical aspects of the research being conducted as well as administrative concerns. We conclude by highlighting the need for funding and improved domain support.",bd743f12-98fd-4bf9-a666-faad8d3d39c0,0,21,(missing PubMedId)
(missing DOI),A Survey for What Developers Require in AI-powered Tools that Aid in Component Selection in CBSD,"Mahdi Jaberzadeh Ansari, Ann Barcomb",arXiv.org,2025,"Although it has been more than four decades that the first components-based software development (CBSD) studies were conducted, there is still no standard method or tool for component selection which is widely accepted by the industry. The gulf between industry and academia contributes to the lack of an accepted tool. We conducted a mixed methods survey of nearly 100 people engaged in component-based software engineering practice or research to better understand the problems facing industry, how these needs could be addressed, and current best practices employed in component selection. We also sought to identify and prioritize quality criteria for component selection from an industry perspective. In response to the call for CBSD component selection tools to incorporate recent technical advances, we also explored the perceptions of professionals about AI-driven tools, present and envisioned.",286380560,0,41,(missing PubMedId)
(missing DOI),AN INTEGRATION OF SOFTWARE TESTING TOOLS AND TECHNIQUES WITH VISUAL GUI INTERFACE IN INDUSTRIAL PRACTICE,"Priyanka Yadu, Bhawana Narain",ShodhKosh Journal of Visual and Performing Arts,2024,"""Software testing with visual Graphical User Interface (GUI) techniques is being done while maintaining a high level of accuracy with the ever-growing demand for speedier delivery of high-quality software, often known as """"Quality at Speed"""". The use of relevant testing methodology(s) and the choice of suitable test automation tools and frameworks are two key components for a successful and efficient software testing project. A mix of numerous distinct testing processes is often necessary when testing software to make sure it is up to par; the use of a single testing method will not be sufficient. Similar to the previous point",282878764,0,17,(missing PubMedId)
(missing DOI),AN INTEGRATION OF SOFTWARE TESTING TOOLS AND TECHNIQUES WITH VISUAL GUI INTERFACE IN INDUSTRIAL PRACTICE,"Priyanka Yadu, Bhawana Narain",ShodhKosh Journal of Visual and Performing Arts,2024,"Software testing with visual Graphical User Interface (GUI) techniques is being done while maintaining a high level of accuracy with the ever-growing demand for speedier delivery of high-quality software, often known as ""Quality at Speed"". The use of relevant testing methodology(s) and the choice of suitable test automation tools and frameworks are two key components for a successful and efficient software testing project. A mix of numerous distinct testing processes is often necessary when testing software to make sure it is up to par; the use of a single testing method will not be sufficient. Similar to the previous point, finding the right tool combination for automated testing is difficult because no single tool can meet all of the needs. The first step in performing successful and efficient software testing is to familiarize industrial professionals with the various testing techniques, tools, and frameworks. An in-depth examination of the various test automation tools and frameworks is provided in this paper. An explanation of the various frameworks for test automation was delivered after an overview of automated testing and the categories it fits under. Finally, a brief summary of a few of the most popular automation solutions was provided, along with a comparison of those programs.",279787201,0,16,(missing PubMedId)
10.1007/S13198-019-00899-2,Gap between academia and industry: a case of empirical evaluation of three software testing methods,Sheikh Umar Farooq,International Journal of System Assurance Engineering and Management,2019,(missing abstract),2d9b24b7-027a-4e09-b55d-548b6f9b6dc7,2,63,(missing PubMedId)
(missing DOI),Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,"V. Garousi, K. Petersen, Barış Özkan",Information and Software Technology,2016,(missing abstract),276788080,253,90,(missing PubMedId)
(missing DOI),The 4+1 View Model of Industri–Academia Collaboration,"Per Runeson, Sten Min¨or",(missing journal),2013,"Industry–academia projects exist in complex contexts of various stakeholders, time perspec-tives, and goals. In order to analyze projects and communicate about them, we have deﬁned an “architectural” model for industry– academia collaboration, inspired by Kruchten’s software architecture model. The model has four views of i) time, ii) space, iii) activity and iv) domain, corresponding to the ques-tions: when, where, how and what. The +1 view is the scenario, binding the other four to-gether. We illustrate the model by applying it to the Industrial Excellence Center EASE and the Sigrun Software Innovation and Engineering Institute. The model helps analyzing industry–academia collaboration projects, to ﬁnd gaps and reduce redundant work.",269988887,25,10,(missing PubMedId)
(missing DOI),Prioritizing Industrial Security Findings in Agile Software Development Projects,"Markus Voggenreiter, Ulrich Schöpp",2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2023,"Automating repetitive activities is a key principle in most software development approaches employed in the industry. This implies that security activities and all related processes should be investigated for automation capabilities, particularly the management of security findings and vulnerabilities. Consid-ering the limited time available for each release and the vast flood of findings by automated security testing, prioritizing security finding responses is essential. In this paper, we present a partially automated process to prioritize security findings in industrial software development projects. We utilize a two-staged calculation process to produce a prioritization score, representing the finding's severity and factors like stakeholder input alike. This process was evaluated by conducting structured interviews with security professionals while also integrating the approach in ongoing industrial software development projects. The results indicate the potential of the process in terms of usefulness and correctness for agile software development projects.",263511298,1,24,(missing PubMedId)
(missing DOI),Machine Learning Software Engineering in Practice: An Industrial Case Study,"Md Saidur Rahman, Emilio Rivera, Foutse Khomh, Yann‐Gaël Guéhéneuc, Bernd Lehnert",arXiv: Software Engineering,2019,"SAP is the market leader in enterprise software offering an end-to-end suite of applications and services to enable their customers worldwide to operate their business. Especially, retail customers of SAP deal with millions of sales transactions for their day-to-day business. Transactions are created during retail sales at the point of sale (POS) terminals and then sent to some central servers for validations and other business operations. A considerable proportion of the retail transactions may have inconsistencies due to many technical and human errors. SAP provides an automated process for error detection but still requires a manual process by dedicated employees using workbench software for correction. However, manual corrections of these errors are time-consuming, labor-intensive, and may lead to further errors due to incorrect modifications. This is not only a performance overhead on the customers' business workflow but it also incurs high operational costs. Thus, automated detection and correction of transaction errors are very important regarding their potential business values and the improvement in the business workflow. In this paper, we present an industrial case study where we apply machine learning (ML) to automatically detect transaction errors and propose corrections. We identify and discuss the challenges that we faced during this collaborative research and development project, from three distinct perspectives: Software Engineering, Machine Learning, and industry-academia collaboration. We report on our experience and insights from the project with guidelines for the identified challenges. We believe that our findings and recommendations can help researchers and practitioners embarking into similar endeavors.",c5586433-ff68-413f-bac9-693e47ce2ce1,54,51,(missing PubMedId)
(missing DOI),Systematic literature reviews in agile software development,"Rashina Hoda, Norsaremah Salleh, John Grundy, Hui Mien Tee",Information & Software Technology,2017,(missing abstract),260987442,227,84,(missing PubMedId)
(missing DOI),Exploring the under-explored terrain of non-open source data for software engineering through the lens of federated learning,"Shriram Shanbhag, S. Chimalakonda",ESEC/SIGSOFT FSE,2022,"The availability of open source projects on platforms like GitHub has led to the wide use of the artifacts from these projects in software engineering research. These publicly available artifacts have been used to train artificial intelligence models used in various empirical studies and the development of tools. However, these advancements have missed out on the artifacts from non-open source projects due to the unavailability of the data. A major cause for the unavailability of the data from non-open source repositories is the issue concerning data privacy. In this paper, we propose using federated learning to address the issue of data privacy to enable the use of data from non-open source to train AI models used in software engineering research. We believe that this can potentially enable industries to collaborate with software engineering researchers without concerns about privacy. We present the preliminary evaluation of the use of federated learning to train a classifier to label bug-fix commits from an existing study to demonstrate its feasibility. The federated approach achieved an F1 score of 0.83 compared to a score of 0.84 using the centralized approach. We also present our vision of the potential implications of the use of federated learning in software engineering research.",251036196,19,46,(missing PubMedId)
(missing DOI),Challenges and best practices in industry-academia collaborations in software engineering,"Vahid Garousi, Kai Petersen, Baris Ozkan",Information & Software Technology,2016,(missing abstract),261209676,267,95,(missing PubMedId)
(missing DOI),Introducing Data Science Techniques into a Company Producing Electrical Appliances,"Tim Kreuzer, Andrea Janes",Springer eBooks,2021,"AbstractIndustry-academia collaboration in the field of software engineering is posing many challenges. In this paper, we describe our experience in introducing data science techniques into a company producing electrical appliances. During the collaboration, we worked on-site together with the engineers of the company, focusing on steady communication with the domain experts and setting up regular meetings with the stakeholders. The continuous exchange of expertise and domain knowledge was a key factor in our collaboration. This paper presents the adopted collaboration approach, the technology transfer process, the results of the collaboration, and discusses lessons learned.KeywordsTechnology transferIndustry-Academia collaborationData science",248962888,0,12,(missing PubMedId)
10.1007/S10639-022-11276-1,An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths,"Ruchika Malhotra, Massoud Massoudi, Rajni Jindal",Education and Information Technologies : Official Journal of the IFIP technical committee on Education,2022,"Industry-academia collaboration (IAC) has long been a source of discussion in various ways. A vital first step toward closing the gap is fostering alumni engagement in industry and academia. Industry-academia collaborations are like earth and water, and they live in harmony. They cannot exist apart from one another. The collaborative effort between industry and academia promotes improvement and innovation in technology and innovative research and enables the university to be more relevant to the industry. This article proposes a collaborative approach based on alumni influences and uses secondary data on the influences of alumni in engineering to enrich the collaboration between industry and academia. The industry and academia utilize the alumni’s potential to facilitate communication and offer their students and staff facilities. The research findings can be used by policymakers to innovate in the field of engineering and to strengthen the partnership between industry and academia in society. The model enables academia and industry to utilize the alumni strengths in enriching the collaboration; it also enhances academic research output, recruitment, fundraising, marketing, product promotion, and internship opportunities for students via alumni active participation. We propose some significant agendas for future work.",5ac5980f-a535-4b2b-b6d0-6cf2d6c03d4b,32,87,(missing PubMedId)
(missing DOI),SOFTWARE QUALITY ASSURANCE COMPETENCE CENTRE,Alena Buchalcevová,(missing journal),2016,"The main contribution of this paper lies in the demonstration of a real academic-industry collaboration in the field of Software Quality Assurance. This collaboration is illustrated on the example of the Software Quality Assurance Competence Centre, being a part of the Faculty of Informatics and Statistics, at the University of Economics in Prague since 2012. Two successful projects implemented by the SQA CC are presented to illustrate the core activities of the competence centre. The main areas that are specific to competence centre management are identified and further discussed in lessons learned.",238381035,0,15,(missing PubMedId)
