Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Awakening: Modern Challenges and Opportunities of Software Engineering Research","Software engineering research benefited for decades from openly available tools, accessible systems, and problems that could be studied at modest scale. Today, many of the most relevant software systems are large, proprietary, and embedded in industrial contexts that are difficult to access or replicate in academia. We review how the field reached this point, identify structural challenges facing contemporary research, and argue that incremental methodological refinement is insufficient. We discuss practical directions forward, including industrial PhDs, long-term industry-academia collaborations, larger research teams, moonshot projects, and changes to funding and evaluation practices.","D. Spinellis; Zoe Kotti","2026","ArXiv.org","10.1145/3793657.3793901","-","true","https://doi.org/10.1145/3793657.3793901","Field (mathematics); Software; Engineering; Software engineering; Engineering management; Engineering ethics; Social software engineering; Replicate; Computer science; Management science","-","-","Include"
"Strategising Industry 4.0 for Viksit Bharat 2047: an inclusive approach to public policy design with applications in tourism","
 
 This study aims to examine the state and structure of India’s I4.0 (Industry 4.0) policy, as well as its actors, actions and processes through an inclusive value-first approach at the national and regional levels.
 
 
 
 The study adopted a systematic literature search and utilised a generalised situation-actor-process-learning-action-performance (SAP-LAP) inquiry method with the Influencer-Facilitator-Initiative (IFI) framework to identify facilitators for a value-first I4.0 policy for India. The state of Himachal Pradesh (HP) in India was taken as a regional context to demonstrate the potential of I4.0 technologies in tourism.
 
 
 
 The study identified 22 facilitators for value-first I4.0 policy and provides national (India) and regional (HP) level policy recommendations, highlighting implications and pathways for Viksit Bharat 4.0.
 
 
 
 More empirical research is needed to understand the I4.0 policy landscape in developing countries across various industrial sectors to meaningfully inform policy recommendations.
 
 
 
 Findings guide policymakers, managers and officials to understand the I4.0 landscape and develop policies for Viksit Bharat 4.0 at the national and regional levels.
 
 
 
 The value-first approach adopted by the study promotes inclusive development and improves policy intention without compromising on delivery.
 
 
 
 This study uses SAP-LAP inquiry with the IFI framework for a strategic overview of India’s I4.0 policy landscape. It adds to I4.0 literature in geographical (HP) and application (tourism) contexts.
","Mayank Pathak; Pinosh Kumar Hajoary","2026","Journal of Science and Technology Policy Management","10.1108/jstpm-10-2024-0422","-","-","https://doi.org/10.1108/jstpm-10-2024-0422","","-","-","Include"
"Automated software engineering knowledge transfer: A case study on small and medium-sized software enterprises in Thailand","• ASE knowledge transfer activities were somewhat successful in increasing the awareness and the adoption of ASE tools and techniques in four Thai SSMEs. • Knowledge transfer activities should be tailored to the needs of the SSMEs. • The support from researchers is crucial for the successful adoption of ASE tools and techniques in SSMEs. • The study involving SSMEs needs to be aware of their rapid changes of teams and projects. Knowledge transfer of ASE tools and techniques to Small and Medium-sized Software Enterprises (SSMEs) is a challenging task due to their limited resources. The presented case study performed knowledge transfer interventions within four SSMEs in Thailand, using multiple activities including training, online questionnaires, ASE tool adoption, retrospective meetings, and an overall project evaluation. We found that while the knowledge transfer activities were successful in increasing awareness, the degree of adoption success varied significantly. The companies successfully adopted SonarQube, a tool with a low adoption cost, but struggled to implement unit testing, which demands a high, distributed effort from the entire team. The key lessons learned from this project are that (1) knowledge transfer activities with SSMEs should begin with foundational practices over advanced ASE techniques, (2) ASE tools with low adoption cost and wide benefits (SonarQube) lead to more successful adoption than tools with high adoption cost (unit testing), (3) the researchers must overcome the knowing-doing gap by providing embedded support to the SSMEs, and (4) future knowledge transfer projects must include SSMEs as one of the main target groups.","Chaiyong Ragkhitwetsagul; J. Krinke; Morakot Choetkiertikul; T. Sunetnanta; Federica Sarro","2026","Journal of Systems and Software","10.1016/j.jss.2026.112817","-","true","https://doi.org/10.1016/j.jss.2026.112817","Knowledge transfer; Knowledge management; Software; Computer science; Task (project management); Key (lock); Process management; Engineering management; Technology transfer; Software development","en","-","Include"
"Towards a Closer Collaboration Between Practice and Research in Agile Software Development Workshop: A Summary and Research Agenda","Agile software development principles and values have been widely adopted across various industries, influencing products and services globally. Despite its increasing popularity, a significant gap remains between research and practical implementation. This paper presents the findings of the first international workshop designed to foster collaboration between research and practice in agile software development. We discuss the main themes and factors identified by the workshop participants that contribute to this gap, strategies to bridge it, and the challenges that require further research attention.","Michael Neumann; Eva-Maria Schön; Mali Senapathi; Maria Rauschenberger; Tiago Silva da Silva","2025","arXiv.org","10.48550/arxiv.2507.10785","2","-","https://doi.org/10.48550/arxiv.2507.10785","","-","-","Include"
"Curious, Critical Thinker, Empathetic, and Ethically Responsible: Essential Soft Skills for Data Scientists in Software Engineering","Background. As artificial intelligence and AI-powered systems continue to grow, the role of data scientists has become essential in software development environments. Data scientists face challenges related to managing large volumes of data and addressing the societal impacts of AI algorithms, which require a broad range of soft skills. Goal. This study aims to identify the key soft skills that data scientists need when working on AI-powered projects, with a particular focus on addressing biases that affect society. Method. We conducted a thematic analysis of 87 job postings on LinkedIn and 11 interviews with industry practitioners. The job postings came from companies in 12 countries and covered various experience levels. The interviews featured professionals from diverse backgrounds, including different genders, ethnicities, and sexual orientations, who worked with clients from South America, North America, and Europe. Results. While data scientists share many skills with other software practitioners—such as those related to coordination, engineering, and management—there is a growing emphasis on innovation and social responsibility. These include soft skills like curiosity, critical thinking, empathy, and ethical awareness, which are essential for addressing the ethical and societal implications of AI. Conclusion. Our findings indicate that data scientists working on AI-powered projects require not only technical expertise but also a solid foundation in soft skills that enable them to build AI systems responsibly, with fairness and inclusivity. These insights have important implications for recruitment and training within software companies and for ensuring the long-term success of AI-powered systems and their broader societal impact.","Matheus de Morais Leça; Ronnie de Souza Santos","2025","2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS)","10.1109/icse-seis66351.2025.00021","4","-","https://doi.org/10.1109/icse-seis66351.2025.00021","","-","-","Include"
"Bridging the Gap Between Industry Needs and Student Skills for Quality Education Through Sdgs: An Industry-Academia Collaboration in Curriculum Development","Objective: This study aims to explore the intricate relationship between student skills and industry demands, proposing a robust Industry-Academia Collaboration (IAC) framework to enhance curriculum alignment with dynamic industry requirements, thereby contributing to quality education and sustainable development goals (SDGs). 
  
Theoretical Framework: Grounded in Action Research, this study adopts a post-positivist approach to examine and address real-world educational challenges. By embedding critical thinking and participatory research, the framework aims to foster a symbiotic relationship between academia and industry. 
  
Method: Utilizing insights from two action research studies conducted in collaboration with universities, this method emphasizes iterative development and participatory research. The approach is centered on continuous engagement with industry partners, allowing for ongoing refinements and adaptations in educational strategies and interventions. 
  
Results and Discussion: Findings reveal that sustained Industry-Academia Collaboration facilitates multiple iterations of curriculum refinement, leading to enhanced alignment with industry needs and improved educational outcomes. The collaborative process not only bridges the skill gap but also fosters a deeper understanding of the practical application of academic knowledge in real-world settings. 
  
Research Implications: The study highlights the critical role of iterative collaboration in curriculum development, suggesting that such approaches are essential for achieving SDG 4, which focuses on quality education. 
  
Originality/Value: This research contributes to the literature by demonstrating how action research can effectively enhance Industry-Academia Collaboration, thereby supporting the integration of SDGs into curriculum development.","A. R.; Suganya V.","2024","Journal of Lifestyle and SDGs Review","10.47172/2965-730x.sdgsreview.v4.n04.pe03616","8","-","https://doi.org/10.47172/2965-730x.sdgsreview.v4.n04.pe03616","","-","-","Include"
"Industry Academia and Government Collaboration to Reduce Gaps in Software Engineering: Applications for Students and Professionals in Career Transition","The development of skills in Software Engineering disciplines often faces challenges when applied to real projects in the software industry. An effective practice to overcome these difficulties is collaboration between industry and academia. This collaboration aims to strengthen the exchange of knowledge between the two contexts, promoting the advancement of industry through Research and Development (R&D), and in academia, applying knowledge in real contexts and even funding research. This study explores application development and the perceptions of undergraduate, master’s and doctoral students in Computer Engineering, as well as professionals in career transition (with Now and Low Code profiles), about projects with real clients and collaboration policies between industry and academia.","D. Marques; Richard Rocha; B. Santos; Felipe Pacheco; Cleyton Rodrigues; W. Santos","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701690","1","-","https://doi.org/10.1145/3701625.3701690","","-","-","Include"
"Software Industry Perception of Academic Collaboration","Software Engineering is shaped and used by both the industry and academia, whose goals and contributions are different. Since there are some mismatches in perceptions of software practitioners about academics and academic activities, the level of Industry-Academia Collaboration (IAC) is low. To investigate different opinions to increase such IACs, we conducted an online survey. The survey was responded by 628 software practitioners, whose undergraduate degree was completed in Türkiye, working in 13 countries. In this study, we explored how the perceptions about academia are varying with different cross-factors. The results showed that the perceptions are directly related to the profiles of the practitioners and previous experience on IACs. We believe that this study sheds light on improving mutual understanding of each side to bridge the gap between industry and academia.","Deniz Akdur","2024","2024 9th International Conference on Computer Science and Engineering (UBMK)","10.1109/ubmk63289.2024.10773510","1","-","https://doi.org/10.1109/ubmk63289.2024.10773510","","-","-","Include"
"Industry Adoption of UVL: What We Will Need","Since 2018, in the Software Product Line community, the MODEVAR initiative is working on coming up with a simple, standard variability modeling language and has proposed the Universal Variability Language (UVL). UVL has already been integrated in multiple tools such as FeatureIDE and FLAMA and it has also already been adopted by other academics outside the MODEVAR initiative. This short position paper outlines the challenges for industry adoption of UVL the community needs to work on.","Rick Rabiser","2024","Software Product Lines Conference","10.1145/3646548.3676597","3","-","https://doi.org/10.1145/3646548.3676597","","-","-","Include"
"Agile Minds, Innovative Solutions, and Industry-Academia Collaboration: Lean R&D Meets Problem-Based Learning in Software Engineering Education","[Context] Software Engineering (SE) education constantly seeks to bridge the gap between academic knowledge and industry demands, with active learning methods like Problem-Based Learning (PBL) gaining prominence. Despite these efforts, recent graduates struggle to align skills with industry needs. Recognizing the relevance of Industry–Academia Collaboration (IAC), Lean R&D has emerged as a successful agile-based research and development approach, emphasizing business and software development synergy. [Goal] This paper aims to extend Lean R&D with PBL principles, evaluating its application in an educational program designed by ExACTa PUCRio for Americanas S.A., a large Brazilian retail company. [Method] The educational program engaged 40 part-time students receiving lectures and mentoring while working on real problems, coordinators and mentors, and company stakeholders in industry projects. Empirical evaluation, through a case study approach, utilized structured questionnaires based on the Technology Acceptance Model (TAM). [Results] Stakeholders were satisfied with Lean R&D PBL for problem-solving. Students reported increased knowledge proficiency and perceived working on real problems as contributing the most to their learning. [Conclusion] This research contributes to academia by sharing Lean R&D PBL as an educational IAC approach. For industry, we discuss the implementation of this proposal in an IAC program that promotes workforce skill development and innovative solutions.","Lucas Romao; Marcos Kalinowski; Clarissa Barbosa; Allysson Allex Ara'ujo; Simone D. J. Barbosa; H. Lopes","2024","Brazilian Symposium on Software Engineering","10.48550/arxiv.2407.15982","6","-","https://doi.org/10.48550/arxiv.2407.15982","","-","-","Include"
