Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"ACA Lopes","“Picos e Avelã à Descoberta da Floresta do Tesouro!”–Construção de um Programa de Prevenção Primária de Abuso Sexual para Crianças em Idade Pré-Escolar",2017,"","search.proquest.com","https://search.proquest.com/openview/442c723c08f7c495e99ab720b3cfdebb/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?cites=4096828752893969226&as_sdt=2005&sciodt=0,5&hl=en",475,"2026-05-05 09:36:02","","","","",,,,,2,0.22,2,1,9,"O abuso sexual de crianças é uma problemática com prevalência significativa por todo o mundo, com consequências graves para as vítimas, a curto, médio e longo prazos. Apesar …","https://repositorio.iscte-iul.pt/bitstream/10071/14774/1/2017_ESCH_DPSO_Dissertacao_Ana%20Catarina%20Alves%20Lopes.pdf","https://scholar.google.com/scholar?q=related:SgPaeQvc2jgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"CB Hardless","“E‐discussion”: a group support system for co‐present knowledge sharing",2007,"Business Process Management Journal","emerald.com","https://www.emerald.com/bpmj/article/13/2/173/258444","https://scholar.google.com/scholar?cites=12387138947297790520&as_sdt=2005&sciodt=0,5&hl=en",400,"2026-05-05 09:36:02","HTML","","","",,,,,3,0.16,3,1,19,"Purpose This paper aims to inform the design of competence development systems for project management, based on a situated learning design framework. Design/methodology …","https://www.emerald.com/bpmj/article/13/2/173/258444","https://scholar.google.com/scholar?q=related:OEoXIT7156sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"Μ Αθανασάκη","Διερεύνηση της επίδρασης των συστημάτων ERP στη διοικητική λογιστική και τον εσωτερικό έλεγχο. Εμπειρική έρευνα.",2014,"","… (ΣΔ Ο), ΠΜΣ Λογιστική και Ελεγκτική","","",621,"2026-05-05 09:36:02","CITATION","","","",,,,,0,0.00,0,1,12,"","","https://scholar.google.com/scholar?q=related:LhHQHHEAMwgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
33,"R Alt","Überbetriebliches Prozessmanagement",2008,"Logos, Berlin","researchgate.net","https://www.researchgate.net/profile/Rainer-Alt/publication/44939208_Uberbetriebliches_Prozessmanagement_Gestaltungsalternativen_und_Vorgehen_am_Beispiel_integrierter_Prozessportale/links/603fe3e5a6fdcc9c780f63ba/Ueberbetriebliches-Prozessmanagement-Gestaltungsalternativen-und-Vorgehen-am-Beispiel-integrierter-Prozessportale.pdf","https://scholar.google.com/scholar?cites=6989439190918817643&as_sdt=2005&sciodt=0,5&hl=en",251,"2026-05-05 09:36:02","PDF","","","",,,,,33,1.83,33,1,18,"Collaborative Computing Page 1 Überbetriebliches Prozessmanagement Gestaltungsalternativen und Vorgehen am Beispiel integrierter Prozessportale Auszug aus: Alt, Rainer: Überbetriebliches …","https://www.researchgate.net/profile/Rainer-Alt/publication/44939208_Uberbetriebliches_Prozessmanagement_Gestaltungsalternativen_und_Vorgehen_am_Beispiel_integrierter_Prozessportale/links/603fe3e5a6fdcc9c780f63ba/Ueberbetriebliches-Prozessmanagement-Gestaltungsalternativen-und-Vorgehen-am-Beispiel-integrierter-Prozessportale.pdf","https://scholar.google.com/scholar?q=related:a-fomel5_2AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Li","Working papers in Information Systems",,"","","","",600,"2026-05-05 09:36:02","CITATION","","","",,,,,0,0.00,0,1,,"","","https://scholar.google.com/scholar?q=related:-4GCd7Br-QMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Haj-Bolouri, CM Östlund, M Rossi…","Work-integrated learning as an outcome of using action design research in practice",2019,"… Conference on Design …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-19504-5_7","https://scholar.google.com/scholar?cites=4853150012803673553&as_sdt=2005&sciodt=0,5&hl=en",310,"2026-05-05 09:36:02","","10.1007/978-3-030-19504-5_7","","",,,,,4,0.57,1,4,7,"Abstract This paper highlights Work-Integrated Learning (WIL) as an outcome of using Action Design Research (ADR) in practice. We argue that ADR is a subtype of Design …","https://research.aalto.fi/files/39319733/Work_Integrated_Learning_as_an_Outcome_of_Using_Action_Design_Research_in_Practice_002_.pdf","https://scholar.google.com/scholar?q=related:0W3YOjnaWUMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"L Svensson","Work-Integrated Learning as an Outcome of Using Action Design Research in Practice",2019,"Extending the Boundaries of Design Science Theory …","Springer","https://link.springer.com/content/pdf/10.1007/978-3-030-19504-5.pdf#page=102","",477,"2026-05-05 09:36:02","","10.1007/978-3-030-19504-5","","",,,,,0,0.00,0,1,7,"This paper highlights Work-Integrated Learning (WIL) as an outcome of using Action Design Research (ADR) in practice. We argue that ADR is a subtype of Design Science Research …","","https://scholar.google.com/scholar?q=related:Ci6QU8ep8G8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Haj-Bolouri, M Rossi","Work-Integrated Learning as a Practical Outcome of Action Design Research",,"researchgate.net","","https://www.researchgate.net/profile/Amir-Haj-Bolouri/publication/324984210_Work-Integrated_Learning_as_a_Practical_Outcome_of_Action_Design_Research/links/5b28527da6fdcca0f09c47aa/Work-Integrated-Learning-as-a-Practical-Outcome-of-Action-Design-Research.pdf","",476,"2026-05-05 09:36:02","PDF","","","",,,,,0,0.00,0,2,,"This work-in-progress paper highlights Work-Integrated Learning (WIL) as a practical outcome of Action Design Research (ADR). We argue that ADR is a prominent methodology …","https://www.researchgate.net/profile/Amir-Haj-Bolouri/publication/324984210_Work-Integrated_Learning_as_a_Practical_Outcome_of_Action_Design_Research/links/5b28527da6fdcca0f09c47aa/Work-Integrated-Learning-as-a-Practical-Outcome-of-Action-Design-Research.pdf","https://scholar.google.com/scholar?q=related:8XyTzx7u8jQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"E Cudjoe, K Frimpong-Manso, A Abdullah…","When practice and research meet: demonstration of a practice research methodology in co-producing an assessment tool",2026,"… Journal of Social …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/13645579.2026.2625170","",138,"2026-05-05 09:36:02","","10.1080/13645579.2026.2625170","","",,,,,0,0.00,0,4,1,"Practice research is a meeting point between practice and research involving collaborations and negotiations to ensure findings from research are usable to improve services and living …","https://www.tandfonline.com/doi/pdf/10.1080/13645579.2026.2625170","https://scholar.google.com/scholar?q=related:URr5g6FdbT4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"R Gleasurea","When is a problem a design science problem",2015,"Systems, Signs &Actions","researchgate.net","https://www.researchgate.net/profile/Rob-Gleasure/publication/371370316_When_is_a_problem_a_design_science_problem/links/6480b8e6d702370600da4c1e/When-is-a-problem-a-design-science-problem.pdf","https://scholar.google.com/scholar?cites=5501316711879296085&as_sdt=2005&sciodt=0,5&hl=en",179,"2026-05-05 09:36:02","PDF","","","",,,,,14,1.27,14,1,11,"This study investigates the types of research problem for which Design Science Research (DSR) is suitable. This requires that DSR approaches are compared and contrasted with …","https://www.researchgate.net/profile/Rob-Gleasure/publication/371370316_When_is_a_problem_a_design_science_problem/links/6480b8e6d702370600da4c1e/When-is-a-problem-a-design-science-problem.pdf","https://scholar.google.com/scholar?q=related:VUR8-GaaWEwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
