DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.2139/ssrn.1839832,An Investigation of Competing Values in Development of a Voluntary Organization,"T. Crim, L. Grabowski, Cathy Neher, L. Mathiassen",(missing journal),2011,"Competing Values Framework (CVF) has attracted attention in the organization literature but little is known about how competing values can inform development of voluntary organizations. Against this backdrop, we present an action research study into Right in the Community (RitC), a voluntary agency which provides services to developmentally disabled in Cobb County, Georgia. Collaborating with researchers and agency management, staff, and board, the study had a dual purpose: 1) develop agency’s identity, organization, management practices, and ability to plan for the future, and 2) adapt CVF to support development of voluntary organizations. Thus, we demonstrate the value of CVF for developing voluntary organizations by revealing how its dimensions of organizational focus, structural preference, and managerial concern positively informed the efforts at RitC. Also, tensions between heart and head were important and, therefore, in the context of voluntary organizations we propose to extend the CVF with a dimension of motivational trait.",71836090,3,51,,
10.1007/0-387-25590-7_7,Crossing the Chasm in Software Process Improvement,"Anna E Börjesson, Fredrik Martinsson, Magnus Timmerås",Kluwer Academic Publishers eBooks,2005,"Software process improvement (SPI) is a well-known approach to enhance software quality and business efficiency. The approach has been widely used, discussed, adopted, and criticized within the software community since Watts Humphrey’s introduction of SPI in 1989. SPI is a particular instance of diffusion of innovations. One challenging difficulty within diffusion of innovations is crossing the chasm between early adopters and early majority. To explore this issue in relation to SPI, we have studied an initiative implementing a new change request process and tool at the telecom company Ericsson AB in Gothenburg, Sweden. An action research approach was adopted with the double purpose of supporting the SPI initiative toward success while at the same time learning about tactics that SPI change agents can adopt to successfully cross the chasm. The study identifies a tactic, the guerrilla tactic, that SPI change agents can use to successfully cross the chasm and it discusses lessons from practicing this tactic in relation to the SPI and diffusion of innovation literature.",64900413,3,48,,
(missing DOI),Perceptions and Processes in Assessing Software Requirements Practices,"Nannette P. Napier, L. Mathiassen, Roy D. Johnson",Americas Conference on Information Systems,2006,"Requirements engineering is a key discipline in analysis and design of business software. There are commonly accepted processes available for requirements engineering, but many organizations struggle to implement and follow these processes. A number of methods have therefore been developed to help assess and improve requirements practices. This exploratory study reports from a project at TelSoft in which we combined process assessments and stakeholder perceptions to arrive at recommendations for improving requirements practices. The paper presents the combined approach, experiences from using the approach at TelSoft, and the resulting insights and recommendations. On that basis, we offer a critical evaluation of the dominant process-driven approach and show how requirements assessment can benefit from the perceptions and active participation of key stakeholders.",276382096,3,45,,
(missing DOI),IT PROJECT PORTFOLIO MANAGEMENT: CONTROL PROBLEMS IN A PUBLIC ORGANIZATION,"Lars Kristian Hansen, Pernille Kræmmergaard",(missing journal),2012,"As public organizations increasingly rely on IT-enabled development to provide faster cycle times and better services, IT Project Portfolio Management (IT PPM) has become a high priority issue. This research adopts engaged scholarship to investigate IT PPM practices within a large local government. The investigation applies Control Theory to analyze rich data from the local government covering multiple levels of analysis and several units with quite diverse functions to address the following question of practical and theoretical relevance: how does a large public organization control IT PPM and what problems are caused by this control? By drawing on the theory’s distinction between different modes of control five problems in control is identified: (1) weak accountability processes between the political and the administrative level, (2) weak accountability processes between director level and the IT executives, (3) IT projects established on incomplete information about internal recourses, (4) Lack of operational goals to hold IT projects accountable, (5) No account of actual IT project costs. These results may be used to inform further research into IT PPM and to help managers improve IT PPM practices in public organizations in their effort of increase the level of e-Government.",52386267,3,43,,
10.1007/978-3-642-25370-6_20,Operational and Structural Business IT Alignment,"Mats-Åke Hugoson, Kalevi Pessi",Lecture notes in business information processing,2011,"In recent years, Enterprise Architecture has gradually emerged as the preeminent means to change and transform large organizations. By employing Architectural Principles, organizations strive to master the complexity inherent in business processes and IT system and their harmonious alignment. Unfortunately, very rarely has the coevolutionary and emergent nature of alignment been taken into consideration in IS research. Even if different approaches focus on business IT alignment, most of them have a tendency to focus on alignment as a state or an outcome. In this paper we argue that a dynamic approach is necessary in order to achieve business IT alignment in a long-term perspective. Furthermore we demonstrate that the choice of architectural principles has an impact on the ability to achieve and maintain operational as well as structural alignment. A case study is used as a basis for the analysis. The conclusion is that an Enterprise-centric architecture can create freedom of action for dynamic operational alignment, and that Business-oriented IT management can keep the IS Architecture aligned with the Business Architecture in a long term perspective.",44386490,3,24,,
(missing DOI),Complex Business Negotiation: Understanding Preparation and Planning,Morten Lindholst,(missing journal),2015,(missing abstract),81608148,2,341,,
10.4018/978-1-4666-2542-6.ch002,Building Efficient Assessment Applications with Personalized Feedback: A Model for Requirement Specifications,"C. Bodea, M. Dascalu",(missing journal),2013,"The aim of this chapter is to provide a model for requirement specification, useful in developing efficient e-assessment applications with personalized feedback, which is enhanced by calling a recommender engine. The research was done in the context of using educational technology to facilitate learning processes. The data used to build the requirement model was collected from a set of interviews with the users and creators of an e-assessment application in project management. Requirement analysis assumes human effort and thus introduces uncertainties. To minimize the subjective factor, the data extracted from interviews with the users and the developers of the existing e-assessment application are clustered using a fuzzy logic solution into classes of requirements. These classes are the units of the model. The connections between classes are also mentioned: relations such as “if-then,” “switch,” or” contains” are explained. The requirements analysis conducts a smart set of specifications, obtained in a collaborative manner, useful for the design of e-assessment applications in project management or other similar domains. DOI: 10.4018/978-1-4666-4153-2.ch043",7035690,2,37,,
10.1007/1-4020-8000-x_6,Assessing Improvements of Software Metrics Practices,"Helle Damborg Frederiksen, Lars Mathiassen",Kluwer Academic Publishers eBooks,2004,"There is an extensive literature on design and implementation of software metrics programs, but our knowledge on how to improve and sustain metrics programs that are already implemented is limited. This paper reports from an action research effort to improve metrics practices in a large software organization. We adopt a comprehensive organizational change model to compare and contrast metrics practices before and after the intervention. Our analysis views the metrics program in its organizational context emphasizing management practices, organizational structures, people, technical systems, and underlying metrics rationale. The paper provides insights into tactics for improving software metrics practices, it provides a specific approach to assess such improvements, and it leads to suggestions for how to make software metrics improvements sustainable.",19243727,2,44,,
(missing DOI),Improving practices in a small software firm: an ambidextrous perspective,"Lars Mathiassen, Nannette P. Napier",(missing journal),2007,"Despite documented best practices and specialized tools, software organizations struggle to deliver quality software that is on time, within budget, and meets customer requirements. Managers seeking improved software project outcomes face two dominant software paradigms which differ in their emphasis on upfront planning, customer collaboration, and product documentation: plan-driven and agile. Rather than promoting one approach over the other, this research advocates improving software management practices by developing the organization's ambidextrous capability. Ambidextrous organizations have the ability to simultaneously succeed at two seemingly contradictory capabilities (e.g. discipline and agility) which leads to enhanced organizational performance.  Overall, this study asks the question: How can an ambidextrous perspective facilitate improvement in software practices? Driven by this question, and based on a two year action research study at a small software firm, TelSoft, the objectives of this research are to: (1) Identify dualities involved in improving software practices; (2) Design interventions based on these dualities to improve software practices; (3) Explore the process of becoming an ambidextrous software organization.  The resulting dissertation consists of a summary and four papers that each identify and address particular dualities encountered during software process improvement. The first paper asserts that both process-driven and perception-driven inquiry should be used during assessment of software practices, presents a model that shows how this combination can occur, and demonstrates the use of this model at TelSoft. The second paper explicates two theories for understanding and resolving issues in requirements engineering practice–repeat-ability and response-ability–and argues for the need to negotiate between the two. The third paper identifies a tension between managing legacy and current processes and proposes a model for 9 software process reengineering, a systematic process for leveraging legacy processes created during prior SPI efforts. Finally, the fourth paper applies the theoretical lens of ambidexterity to understand the overall change initiative in terms of the tension between alignment and adaptability.  The study used a variety of data sources to diagnose software practices, including semi-structured interviews, software process documents, meeting interactions, and workshop discussions. Subsequently, we established, facilitated, and tracked focused improvement teams in the areas of customer relations, requirements management, quality assurance, project portfolio management, and process management. Furthermore, we created and trained two management teams with responsibility for ongoing management of SPI and project portfolio management respectively. We argue that these activities improved software practices at TelSoft and provided a stronger foundation for continuous improvement.  Keywords: Ambidexterity, software process improvement (SPI), action research, requirements engineering assessment, action planning, software process reengineering, software management.",20126666,2,149,,
10.1007/978-3-319-50109-3,"Culture, technology, communication. Common world, different futures","Jose Abdelnour-Nocera, Michelle Strano, Charles Ess, Maja van der Velden, Herbert Hrachovec",IFIP advances in information and communication technology,2016,"This volume constitutes the refereed post-conference proceedings of the 10th IFIP WG 13.8 International Conference on Culture, Technology, and Communication, CaTaC 2016, held in London, UK, in June 2016. The 9 revised full papers were carefully reviewed and selected from 22 submissions. The papers explore the intersections between culture, technology, and communication, applying different theoretical and methodological perspectives, genres, and styles. They deal with cultural attitudes towards technology and communication, interaction design, and international development.",26154606,2,181,,
(missing DOI),Sharpening the knowledge domain transfer in practice research design : The BPM assessment,"Marie-Therese Christiansson, Klas Granström",(missing journal),2012,The practice research design described in this paper is based on the common interest of Telge AB and Karlstad University to explore knowledge transfer from research results to their use in practice ...,31985951,2,42,,
(missing DOI),Challenges in IT service management: institution vs. improvisation,"Göran Goldkuhl, Malin Nordström",(missing journal),2014,In many organisations the work of delivering IT services in order to maintain and improve the IT portfolio is a complex task. Different models for IT service management have been developed and they ...,51656533,2,42,,
10.17485/ijst/2009/v2i5.12,Practice-related Research Methods as Part of Scientific Information Systems Research,Raija Halonen,Indian journal of science and technology,2009,"This article discusses the importance of research methods in scientific information systems research. To limit the approach, the emphasis is laid on practice-driven research methods. While the nature of 'research' is dependent on research approach, this article focuses on qualitative research. In addition, the focus is not on research methods but their role in scientific research. Prior literature also reveals that qualitative research and quantitative research are not exclusive; instead, often the approaches are complementary. This article introduces three examples how research methods were used and how they influenced the output.",53495263,2,29,,
10.1080/14623940701816691,Action learning with an information system project: subjective reflections,R. Halonen,(missing journal),2008,"This paper discusses the growth process during which a researcher grew to become a project manager. Besides being a description of the growth process of the researcher, this article considers the change that was seen in the process of student mobility. The breeding ground of this growth process was an information system implementation that was carried out by several universities, and by their student affairs offices in particular. The research method in this study is action research with a case study. Due to the subjective nature of the research goal, action learning is emphasised. The research material is mainly gathered from a personal diary written by the researcher. This real diary, detailing the project’s ups and downs, encapsulates the reflections of the researcher. Furthermore, the outcome of the information system project proves that there have also been changes in the process of student mobility managed by the student affairs officials.",54368272,2,50,,
(missing DOI),A Relevant Issue : Establishing Collaborations with Multiple Practitioners,"Katrin Jonsson, Per Levén",(missing journal),2012,Practice research involves many different stakeholders who contribute to and derive benefit from the research in different ways. While current practice research has already begun to ex-plore practi ...,67984026,2,34,,
10.1007/978-3-030-19504-5_7,Work-Integrated Learning as an Outcome of Using Action Design Research in Practice,"Amir Haj-Bolouri, Christian Östlund, Matti Rossi, Lars Svensson",Lecture Notes in Computer Science,2019,"This paper highlights Work-Integrated Learning (WIL) as an outcome of using Action Design Research (ADR) in practice. We argue that ADR is a subtype of Design Science Research (DSR) and a prominent method for facilitating mutually beneficial collaboration between academia and practice. Subsequently, we tie our work around ADR and WIL to the Scandinavian school of IS-research and worker participation, by emphasizing reflective practice on both researcher and practitioner side. We demonstrate this through two empirical cases and four case episodes. Consequently, the cases highlight building, intervention, and evaluation in the areas of civic orientation and county administration. The narrative around each case focuses on ADR-activities that mediate reflection and learning through iterative cycles. Outcomes from the cases are reported as WIL-outcomes and finally, we conclude this paper by briefly suggesting two implications for future relevant research.",71802346,2,94,,
(missing DOI),Co-Creation in a Boundary Practice: Lessons Learned from an Engaged Scholarship Approach,"Lars-Olof Johansson, Ulrika Lundh Snis",Americas Conference on Information Systems,2013,"In this article, Engaged Scholarship is disentangled from a co-creation and boundary practice perspective. The focus is on the attached inside researcher in collaborative basic research and action  ...",83555711,2,69,,
