Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Leveraging Risk Models to Improve Productivity for Effective Code Un-Freeze at Scale","Changing software is essential to add needed functionality and to fix problems, but changes may introduce defects that lead to outages. This motivates one of the oldest software quality control techniques: a temporary prevention of non-critical changes to the codebase—code freeze. Despite its widespread use in practice, research literature is scant. Historically, code freezes were used as a way to improve software quality by preventing changes during periods before software releases, but code freezes significantly slow down development. To address this shortcoming, we develop and evaluate a family of code un-freeze (permitting changes) strategies tailored to different occasions and products at Meta. They are designed to un-freeze the maximum amount of code without compromising quality. The three primary dimensions to un-freeze involve (a) the exact timing of (and the reasoning behind it) the code freezes, (b) the parts of the organization or the codebase where the codebase freeze is applied to, and (c) the method of screening of the code diffs during the code freeze with the aim to allow low risk diffs and prevent only the most risky diffs. To operationalize the drivers of outages, we consider the entire network of interdependencies among different parts of the source code, the engineers that modify the code, code complexity, and the coordination dependencies and authors’ expertise. Since the code freeze is a balancing act between reducing outages and allowing software development to proceed unimpeded, the performance of the various approaches to code un-freeze is evaluated based on the fraction of flagged/gated changes to measure overhead and the fraction of all outage-causing changes contained within the set of flagged set of changes to measure the ability of the code un-freeze to delay (or prevent) outages. We found that taking into account the risk posed by modifying individual files and the properties of the change we could un-freeze 2 and 2.5 times more changes correspondingly. The change level model is used by Meta in production. For example, during the winter 2023 code freeze, we see that only 16% of changes are gated. Although 42% more changes landed (were integrated into the codebase) compared to the prior year, there was a 52% decrease in outages. This reduction meant less impact on users and less strain on engineers during the holiday period. The risk model has been enormously effective at allowing low-risk changes to proceed while gating high-risk changes and reducing outages.","Audris Mockus; Rui Abreu; Peter C. Rigby; D. Amsallem; P. Bansal; Kaavya Chinniah; Brian Ellis; Peng Fan; Jun Ge; Bingjie He; Kelly Hirano; Sahil Kumar; Ajay Lingapuram; Andrew Loe; Megh Mehta; Venus Montes; Maher Saba; Gursharan Singh; Matt Steiner; Weiyan Sun; Siri Uppalapati; N. Nagappan","2025","ACM Transactions on Software Engineering and Methodology","10.1145/3722216","1","-","https://doi.org/10.1145/3722216","","-","-","Include"
"Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science","To foster a sustainable society within a sustainable environment, we must dramatically reshape our work and consumption activities, most of which are facilitated through software. Yet, most software engineers hardly consider the effects on the sustainability of the IT products and services they deliver. This issue is exacerbated by a lack of methods and tools for this purpose. Despite the practical need for methods and tools that explicitly support consideration of the effects that IT products and services have on the sustainability of their intended environments, such methods and tools remain largely unavailable. Thus, urgent research is needed to understand how to design such tools for the IT community properly. In this article, we describe our experience using design science to create the Sustainability Awareness Framework (SusAF), which supports software engineers in anticipating and mitigating the potential sustainability effects during system development. More specifically, we identify and present the challenges faced during this process. The challenges that we have faced and addressed in the development of the SusAF are likely to be relevant to others who aim to create methods and tools to integrate sustainability analysis into their IT products and services development. Thus, the lessons learned in SusAF development are shared for the benefit of researchers and other professionals who design tools for that end.","Stefanie Betz; B. Penzenstadler; Leticia Duboc; R. Chitchyan; S. Koçak; Ian Brooks; Shola Oyedeji; J. Porras; Norbert Seyff; C. Venters","2024","ACM Transactions on Software Engineering and Methodology","10.1145/3649597","16","-","https://doi.org/10.1145/3649597","","-","-","Include"
"An industry survey on approaches, success factors, and barriers for technology transfer in software engineering","One central aspect of software engineering research is the transfer of the proposed approaches into industrial practice. In the past, a number of technology transfer approaches and experiences from technology transfer projects in software engineering have already been reported. However, many researchers still struggle to get their research results noticed by practitioners. To investigate what is important to practitioners, we conducted a mixed‐methods study that provides us with reliable quantitative data as well as deeper insights from qualitative data. Our results show that there is a mismatch between industry professionals' needs and commonly proposed technology transfer approaches in the software engineering field. For instance, collaboration between industry and academia as well as participation in empirical evaluations is not deemed important from an industry point of view. In contrast, industry professionals emphasize the use of company‐specific pilot projects conducted by industry and the need for experts to be available in every phase of technology transfer.","Marian Daun; Jennifer Brings; Patricia Aluko Obe; B. Tenbergen","2023","Software, Practice & Experience","10.1002/spe.3200","10","-","https://doi.org/10.1002/spe.3200","","-","-","Include"
"Industry-Academia research collaboration in software engineering: The Certus model","Abstract Context Research collaborations between software engineering industry and academia can provide significant benefits to both sides, including improved innovation capacity for industry, and real-world environment for motivating and validating research ideas. However, building scalable and effective research collaborations in software engineering is known to be challenging. While such challenges can be varied and many, in this paper we focus on the challenges of achieving participative knowledge creation supported by active dialog between industry and academia and continuous commitment to joint problem solving. Objective This paper aims to understand what are the elements of a successful industry-academia collaboration that enable the culture of participative knowledge creation. Method We conducted participant observation collecting qualitative data spanning 8 years of collaborative research between a software engineering research group on software V&V and the Norwegian IT sector. The collected data was analyzed and synthesized into a practical collaboration model, named the Certus Model. Results The model is structured in seven phases, describing activities from setting up research projects to the exploitation of research results. As such, the Certus model advances other collaborations models from literature by delineating different phases covering the complete life cycle of participative research knowledge creation. Conclusion The Certus model describes the elements of a research collaboration process between researchers and practitioners in software engineering, grounded on the principles of research knowledge co-creation and continuous commitment to joint problem solving. The model can be applied and tested in other contexts where it may be adapted to the local context through experimentation.","D. Marijan; A. Gotlieb","2020","Information and Software Technology","10.1016/j.infsof.2020.106473","46","-","https://doi.org/10.1016/j.infsof.2020.106473","","-","-","Include"
"Team Discussions and Dynamics During DevOps Tool Adoptions in OSS Projects","In Open Source Software (OSS) projects, pre-built tools dominate DevOps-oriented pipelines. In practice, a multitude of configuration management, cloud-based continuous integration, and automated deployment tools exist, and often more than one for each task. Tools are adopted (and given up) by OSS projects regularly. Prior work has shown that some tool adoptions are preceded by discussions, and that tool adoptions can result in benefits to the project. But important questions remain: how do teams decide to adopt a tool? What is discussed before the adoption and for how long? And, what team characteristics are determinant of the adoption?In this paper, we employ a large-scale empirical study in order to characterize the team discussions and to discern the team-level determinants of tool adoption into OSS projects' development pipelines. Guided by theories of team and individual motivations and dynamics, we perform exploratory data analyses, do deep-dive case studies, and develop regression models to learn the determinants of adoption and discussion length, and the direction of their effect on the adoption. From data of commit and comment traces of large-scale GitHub projects, our models find that prior exposure to a tool and member involvement are positively associated with the tool adoption, while longer discussions and the number of newer team members associate negatively. These results can provide guidance beyond the technical appropriateness for the timeliness of tool adoptions in diverse programmer teams. Our data and code is available at https://github.com/lkyin/tool_adoptions. In this paper, we employ a large-scale empirical study in order to characterize the team discussions and to discern the team-level determinants of tool adoption into OSS projects' development pipelines. Guided by theories of team and individual motivations and dynamics, we perform exploratory data analyses, do deep-dive case studies, and develop regression models to learn the determinants of adoption and discussion length, and the direction of their effect on the adoption. From data of commit and comment traces of large-scale GitHub projects, our models find that prior exposure to a tool and member involvement are positively associated with the tool adoption, while longer discussions and the number of newer team members associate negatively. These results can provide guidance beyond the technical appropriateness for the timeliness of tool adoptions in diverse programmer teams. Our data and code is available at https://github.com/lkyin/tool_adoptions.","Likang Yin; V. Filkov","2020","International Conference on Automated Software Engineering","10.1145/3324884.3416640","15","-","https://doi.org/10.1145/3324884.3416640","","-","-","Include"
"Lessons Learned on Research Co-Creation: Making Industry-Academia Collaboration Work","How to increase the impact of software engineering research in the software industry and the society at large is a critical yet perplexing question to answer. Constrained by curtailed communication between researchers and practitioners, research conducted in a vacuum, or the ""publish or perish"" mindset, research collaborations between industry and academia often fail to deliver on the promise of creating a meaningful impact for practitioners. In an attempt to address these circumstances, this paper gives insights on applying research value co-creation to industry-academia collaboration in software engineering. We observe that the core of co-creation includes commitment, continuous engagement and alignment, aiming to produce value for both sides. Further we contend that co-creation has the potential to bridge the acknowledged research-practice collaboration gap through participative knowledge generation. Our experience stems from an eight-year long large collaborative project between a research organization and Norwegian software industry and public sector services. We suggest that for achieving research impact one needs to rethink the way industry and academia engage in and run collaborative projects. Traditional technology-transfer workflows where research is created in a lab and then pushed to industry practice do not stand the best chance of success. Instead, co-creating research with all stakeholders is likely to bring about the best research impact.","D. Marijan; A. Gotlieb","2020","EUROMICRO Conference on Software Engineering and Advanced Applications","10.1109/seaa51224.2020.00053","9","-","https://doi.org/10.1109/seaa51224.2020.00053","","-","-","Include"
"Practical experiences and value of applying software analytics to manage quality","Background: Despite the growth in the use of software analytics platforms in industry, little empirical evidence is available about the challenges that practitioners face and the value that these platforms provide. Aim: The goal of this research is to explore the benefits of using a software analytics platform for practitioners managing quality. Method: In a technology transfer project, a software analytics platform was incrementally developed between academic and industrial partners to address their software quality problems. This paper focuses on exploring the value provided by this software analytics platform in two pilot projects. Results: Practitioners emphasized major benefits including the improvement of product quality and process performance and an increased awareness of product readiness. They especially perceived the semi-automated functionality of generating quality requirements by the software analytics platform as the benefit with the highest impact and most novel value for them. Conclusions: Practitioners can benefit from modern software analytics platforms, especially if they have time to adopt such a platform carefully and integrate it into their quality assurance activities.","Anna Maria Vollmer; Silverio Martínez-Fernández; A. Bagnato; J. Partanen; Lidia López; Pilar Rodríguez","2019","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2019.8870162","1","-","https://doi.org/10.1109/esem.2019.8870162","","-","-","Include"
"Trying to Increase the Mature Use of Agile Practices by Group Development Psychology Training - An Experiment","There has been some evidence that agility is connected to the group maturity of software development teams. This study aims at conducting group development psychology training with student teams, participating in a project course at university, and compare their group effectiveness score to their agility usage over time in a longitudinal design. Seven XP student teams were measured twice (43+40), which means 83 data points divided into two groups (an experimental group and one control group). The results showed that the agility measurement was not possible to increase by giving a 1.5-hour of group psychology lecture and discussion over a two-month period. The non-significant result was probably due to the fact that 1.5 hours of training were not enough to change the work methods of these student teams, or, a causal relationship does not exist between the two concepts. A third option could be that the experiential setting of real teams, even at a university, has many more variables not taken into account in this experiment that affect the two concepts. We therefore have no conclusions to draw based on the expected effects. However, we believe these concepts have to be connected since agile software development is based on teamwork to a large extent, but there are probably many more confounding or mediating factors.","Lucas Gren; A. Goldman","2019","QuASoQ/TDA@APSEC","10.1109/ms.2019.2955675","1","-","https://doi.org/10.1109/ms.2019.2955675","","-","63-69","Include"
"CERSE - Catalog for empirical research in software engineering: A Systematic mapping study","Context Empirical research in software engineering contributes towards developing scientific knowledge in this field, which in turn is relevant to inform decision-making in industry. A number of em ...","J. Molléri; K. Petersen; E. Mendes","2019","Information and Software Technology","10.1016/j.infsof.2018.08.008","23","-","https://doi.org/10.1016/j.infsof.2018.08.008","","-","-","Include"
"Technical Debt Management in Brazilian Software Organizations: A Need, an Expectation, or a Fact?","Maintenance is often the most expensive and time-consuming of all software system lifecycle phases. Technical Debt (TD) refers to technical decisions on shortcuts and workarounds taken during the software development. It affects the internal quality of software. Therefore, software maintenance can be difficult when the TD is not perceived or managed in the projects. Despite the increasing attention of practitioners and researchers, TD studies indicate its management (TDM) is still incipient. Particularly in Brazilian Software Organizations (BSOs), there is still a lack of information on how practitioners perceive and manage the TD in software projects. This paper reports the results of two studies aiming to investigate the current knowledge level of practitioners from BSOs regarding TD and TDM, and to produce a summary of the available technologies to manage TD. To achieve these objectives, we surveyed practitioners from BSOs and undertook a quasi-Systematic Literature Review (qSLR) to gather specific TDM technologies. The survey results indicated that the general BSOs practitioners' knowledge regarding TD and TDM is still low. Few participants from the survey reported managing TD. The qSLR results provide evidence-based information about a set of TDM technologies, synthesized in evidence briefings to facilitate their use by software practitioners in the industry. Moreover, this paper offers links to a research package to aid in the replication process and support future investigations.","V. Silva; Helvio Jeronimo Junior; G. Travassos","2018","Brazilian Symposium on Software Quality","10.1145/3275245.3275267","8","-","https://doi.org/10.1145/3275245.3275267","","-","-","Include"
"Approaches, success factors, and barriers for technology transfer in software engineering—Results of a systematic literature review","Technology transfer aims at supporting the transfer of results from software engineering research from academia to industrial application.","Jennifer Brings; Marian Daun; S. Brinckmann; Kevin Keller; T. Weyer","2018","J. Softw. Evol. Process.","10.1002/smr.1981","13","-","https://doi.org/10.1002/smr.1981","","-","-","Include"
"The Use of System Development Methodologies in the Development of Mobile Applications: Are they Worthy of Use?","The implementation of system development methodologies (SDMs) in mobile applications (mobile apps) development has a positive effect on companies and their respective software projects. SDMs provide a framework for planning, executing, and managing the process of developing software systems. In this paper, we investigate the worthiness of using of SDMs in the development of mobile applications. A survey was conducted among software developers in various organizations. The organizations included software development companies, financial institutions, telecommunication companies, engineering companies and educational institutions. A total of 152 out of 392 questionnaires distributed, were returned, giving a response rate of 38.8%. Furthermore, the responses were categorized into two groups (users/non-users of SDMs) and T-test analysis was performed to determine the differences between the means of the two groups. The findings indicate that SDMs are effectively used in developing mobile apps and there are significant practical differences between the users and non-users of SDMs in mobile apps development in areas of organizational size, the number of developers in the organization, years of experience, the number of applications developed and application success. The users (companies and individuals) are larger, more experienced and more productive. Furthermore, the use of SDMs in mobile apps development leads to more successful mobile apps. We conclude that SDMs are indeed worthy of use in mobile apps development.","Wilfred Chinedu Okonkwo; Magda Huisman","2018","Annual International Computer Software and Applications Conference","10.1109/compsac.2018.10243","5","-","https://doi.org/10.1109/compsac.2018.10243","","-","-","Include"
"Transfering Software Form Univesities to Industries: A Case Study ICTL","To develop digital control systems (software) is a very attractive idea for solving industrial control problems because the required budget for designing it could be lower than designing hardware for control systems; thus, several universities in Mexico are interested in developing digital control Toolkits that can be deployed in commercial platforms. Moreover, some industries need to improve their conventional control systems, so intelligent control systems are an excellent opportunity for being implemented as industrial solutions. However, when this software is transferred from universities to the industry sector, some considerations must be considered to avoid complications during the technology transfer process. This paper shows how software for intelligent control systems based on LabVIEW (ICTL) was transfer to the industry as well as the main steps that were followed to attract a market sector in the industrial automation segment. Also, this paper illustrates some experiences that were learned during the transferring process at Tecnologico de Monterrey in Mexico.","P. Ponce; A. Molina","2018","International Conference on Engineering, Technology and Innovation","10.1109/ice.2018.8436375","-","-","https://doi.org/10.1109/ice.2018.8436375","","-","-","Include"
"Toward Improving Industrial Adoption: The Choice of Programming Languages and Development Environments","While promising software engineering approaches are proposed every day, only few are adapted by professional developers. There are many potential reasons for this, such as, problems in identifying helpful approaches, missing tools, or lacking practical relevance. With our current research, we are concerned to improve the knowledge transfer from research to practice. In this paper, we discuss the impact of development environments and programming languages on knowledge transfer – considering that many scientific approaches and tools are interesting for professional developers, but rarely adopted by them. We base our discussion mainly on our personal experiences with industry-academia collaborations. To determine whether these experiences also apply to other developers, we additionally conducted a survey with 89 participants from academia and industry. The first results of our on-going work indicate a gap between the development environments and programming languages that are supported or used by researchers and those that are applied in industry. Based on our results, we describe initial discussions that can help to improve collaborations between industry and research.","Ivonne von Nostitz-Wallwitz; J. Krüger; Thomas Leich","2018","2018 IEEE/ACM 5th International Workshop on Software Engineering Research and Industrial Practice (SER&IP)","10.1145/3195546.3195548","5","-","https://doi.org/10.1145/3195546.3195548","","-","-","Include"
"Protocol and Tools for Conducting Agile Software Engineering Research in an Industrial-Academic Setting: A Preliminary Study","Conducting empirical research in software engineering industry is a process, and as such, it should be generalizable. The aim of this paper is to discuss how academic researchers may address some of the challenges they encounter during conducting empirical research in the software industry by means of a systematic and structured approach. The protocol developed in this paper should serve as a practical guide for researchers and help them with conducting empirical research in this complex environment.","Katarzyna Biesialska; Xavier Franch; V. Muntés-Mulero","2018","Conducting Empirical Studies in Industry","10.1145/3193965.3193970","7","-","https://doi.org/10.1145/3193965.3193970","","-","-","Include"
"Continuous and collaborative technology transfer: Software engineering research with real-time industry impact","Abstract Context: Traditional technology transfer models rely on the assumption that innovations are created in academia, after which they are transferred to industry using a sequential flow of activities. This model is outdated in contemporary software engineering research that is done in close collaboration between academia and industry and in large consortia rather than on a one-on-one basis. In the new setup, research can be viewed as continuous co-experimentation, where industry and academia closely collaborate and iteratively and jointly discover problems and develop, test, and improve solutions. Objective: The objective of the paper is to answer the following research questions: How can high-quality, ambitious software engineering research in a collaborative setup be conducted quickly and on a large scale? How can real-time business feedback to continuously improve candidate solutions be gained? Method: The proposed model has been created, refined, and evaluated in two large, national Finnish software research programs. For this paper, we conducted thematic interviews with representatives of four companies who participated in these programs. Results: The fundamental change is in the mindset of the participants from technology push by academia to technology pull by companies, resulting in co-creation. Furthermore, continuous cooperation between participants enables solutions to evolve in rapid cycles and forms a scalable model of interaction between research institutes and companies. Conclusions: The multifaceted nature of software engineering research calls for numerous approaches. In particular, when working with human-related topics such as company culture and development methods, many discoveries result from seamless collaboration between companies and research institutes.","T. Mikkonen; C. Lassenius; T. Männistö; M. Oivo; J. Järvinen","2017","Information and Software Technology","10.1016/j.infsof.2017.10.013","47","-","https://doi.org/10.1016/j.infsof.2017.10.013","","-","-","Include"
"Programming Language Adoption as an Epidemiological Phenomenon","In Software Engineering, technology transfer has been faced as a peer to peer problem, concerning only the adoption and innovation agents. This approach works well when one is just seeking the adoption of a technology by a specific client, but it can not solve a common problem that is the adoption of new technologies by a large mass of potential new users. In wider context, it no longer makes sense to focus on peer to peer transfer. A new way of looking at the problem is necessary. The diffusion of innovations is more natural when it is treated as a spread of information in a community, similar to that observed in epidemics. This work proposes a paradigm shift to show that the adoption of programming languages can be formally treated as an epidemic. This shift of focus allows the dynamics of adoption of programming languages to be mathematically modeled as such, defining models that explain the communities' behavior when adopting programming languages, and allows some forecast to be made.","E. Barreiros; Jones O. Albuquerque; J. P. L. D. Oliveira; Helaine Lins; S. Soares","2017","Brazilian Symposium on Software Engineering","10.1145/3131151.3131188","1","false","https://doi.org/10.1145/3131151.3131188","Computer science; Context (archaeology); Focus (optics); Phenomenon; Programming paradigm; Data science; Work (physics); Programming language; Engineering; Biology","en","-","Include"
