oci,citing,cited,creation,timespan,journal_sc,author_sc
062401956893-0660593219,10.1109/tse.2005.105,10.1016/s0164-1212(99)00031-x,2005-10,P6Y3M,no,no
0620147374-0660593219,10.1016/j.dss.2008.11.009,10.1016/s0164-1212(99)00031-x,2009-03,P9Y8M,no,no
06902284581-0660593219,10.1109/ice/itmc39735.2016.9025866,10.1016/s0164-1212(99)00031-x,2016-06,P16Y11M,no,no
062301003641-0660593219,10.1007/s11219-011-9138-7,10.1016/s0164-1212(99)00031-x,2011-04-28,P11Y9M,no,no
0606320179-0660593219,10.1145/3722216,10.1016/s0164-1212(99)00031-x,2025-03-11,P25Y8M,no,no
06340570144-0660593219,10.1145/3649597,10.1016/s0164-1212(99)00031-x,2024-06-03,P24Y11M,no,no
06402035813-0660593219,10.1109/agile.2007.43,10.1016/s0164-1212(99)00031-x,2007-08,P8Y1M,no,no
062102332719-0660593219,10.1109/compsac.2018.10243,10.1016/s0164-1212(99)00031-x,2018-07,P19Y0M,no,no
061203379994-0660593219,10.1145/336512.336532,10.1016/s0164-1212(99)00031-x,2000,P0Y,no,no
06103583699-0660593219,10.1145/1961258.1961263,10.1016/s0164-1212(99)00031-x,2010,P10Y,no,no
061203116252-0660593219,10.1016/j.infsof.2016.07.006,10.1016/s0164-1212(99)00031-x,2016-11,P17Y4M,no,no
06503713804-0660593219,10.1145/1138046.1138052,10.1016/s0164-1212(99)00031-x,2006,P6Y,no,no
061303212184-0660593219,10.1145/1414004.1414046,10.1016/s0164-1212(99)00031-x,2008,P8Y,no,no
06280387322-0660593219,10.1108/978-1-80382-889-320241012,10.1016/s0164-1212(99)00031-x,2024-03-14,P24Y8M,no,no
061903280750-0660593219,10.1145/3324884.3416640,10.1016/s0164-1212(99)00031-x,2020-12-21,P21Y5M,no,no
06430155145-0660593219,10.1002/spe.3200,10.1016/s0164-1212(99)00031-x,2023-03-14,P23Y8M,no,no
061203115968-0660593219,10.1016/j.infsof.2018.08.008,10.1016/s0164-1212(99)00031-x,2019-01,P19Y6M,no,no
06701890290-0660593219,10.1109/ice.2018.8436375,10.1016/s0164-1212(99)00031-x,2018-06,P18Y11M,no,no
061401030979-0660593219,10.1007/s10664-010-9146-4,10.1016/s0164-1212(99)00031-x,2010-10-06,P11Y3M,no,no
061702332218-0660593219,10.1145/3275245.3275267,10.1016/s0164-1212(99)00031-x,2018-10-17,P19Y3M,no,no
06601357495-0660593219,10.1002/smr.1981,10.1016/s0164-1212(99)00031-x,2018-08-13,P19Y1M,no,no
061803366530-0660593219,10.1109/icsm.2004.1357823,10.1016/s0164-1212(99)00031-x,,,no,no
0690439815-0660593219,10.1007/s00766-009-0080-1,10.1016/s0164-1212(99)00031-x,2009-03-07,P9Y8M,no,no
062503119753-0660593219,10.1007/978-3-540-69566-0_5,10.1016/s0164-1212(99)00031-x,,,no,no
061602347883-0660593219,10.1145/3193965.3193970,10.1016/s0164-1212(99)00031-x,2018-05-28,P18Y10M,no,no
