Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"DS Alves, DJ Smek, ÉF Souza, KR Felizardo…","Updating a systematic literature review on knowledge management diagnostics in software development organizations",2024,"Proceedings of the XXIII …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3701625.3701652","https://scholar.google.com/scholar?cites=11527204463441764604&as_sdt=2005&sciodt=0,5&hl=en",6,"2026-05-06 17:08:23","","10.1145/3701625.3701652","","",,,,,1,0.50,0,5,2,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) …","https://dl.acm.org/doi/pdf/10.1145/3701625.3701652","https://scholar.google.com/scholar?q=related:_GC-wGLb-J8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"GA dos Reis Martins, EF de Souza","Um estudo do modelo das Sete Dimensões da Gestão do Conhecimento em indústrias de software",2022,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbqs_estendido/article/view/23328","",17,"2026-05-06 17:08:23","","","","",,,,,0,0.00,0,2,4,"As empresas de desenvolvimento de software apresentam atividades que geram uma quantidade considerável de conhecimento. Os princípios da Gestão do Conhecimento (GC) …","https://sol.sbc.org.br/index.php/sbqs_estendido/article/download/23328/23155","https://scholar.google.com/scholar?q=related:wEVGltsLBGcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"SA Calimanescu","The use of technologies in knowledge management systems: an empirical research",,"thesis.unipd.it","","https://thesis.unipd.it/handle/20.500.12608/28865","",16,"2026-05-06 17:08:23","","","","",,,,,0,0.00,0,1,,"Companies have always lean on technology and knowledge resource to innovate and improve their businesses. The thesis consists in investigating which are the connections …","https://thesis.unipd.it/bitstream/20.500.12608/28865/1/Calimanescu_Silvia.pdf","https://scholar.google.com/scholar?q=related:_Ez7EPIYVp0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"RP de Mesquita, JT Faria","Rapid Review on Requirement Engineering for Agile Software Development: seeking for disruptive techniques",,"academia.edu","","https://www.academia.edu/download/99523975/20211031-1900-V01-Rapid_Review___RE_ASD___LNCS_Zenodo.pdf","",11,"2026-05-06 17:08:23","PDF","","","",,,,,0,0.00,0,2,,"To achieve the main goal of this work, we have opted to use the Rapid Review protocol. We based our protocol in the Systematic Literature Review (SLR) protocol elaborated by …","https://www.academia.edu/download/99523975/20211031-1900-V01-Rapid_Review___RE_ASD___LNCS_Zenodo.pdf","https://scholar.google.com/scholar?q=related:YmfpcPsYMU8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"K Veena, N Jigeesh","Potential influence of performance management on knowledge management in the light of organisational learning-an empirical study in Indian software industry",2025,"International Journal of Knowledge …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJKL.2025.148774","",5,"2026-05-06 17:08:23","","10.1504/IJKL.2025.148774","","",,,,,0,0.00,0,2,1,"Almost all kinds of industries accepted and adopted organisational learning to improve the performance of individual employees, groups of employees (teams) and the organisation as …","","https://scholar.google.com/scholar?q=related:Dz3JKM_52GwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"JRM García","Modelo de condensación de conocimiento para soporte en la localización de experiencia de la fase de codificación durante el desarrollo de software",2021,"","Universidad Autónoma de San Luis …","","",21,"2026-05-06 17:08:23","CITATION","","","",,,,,0,0.00,0,1,5,"","","https://scholar.google.com/scholar?q=related:z1K48JCpcWMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"G Giachetti, JL De La Vara, B Marín","Mastering Agile Practice Adoption through a Model-Driven Approach for the Combination of Development Methods: G. Giachetti et al.",2023,"Business &Information Systems …","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12599-022-00785-5&casa_token=3aCMuyykhpYAAAAA:-0q3KzQoTNuZLdNfZqQE5it6UQ5LjNtJAReyfki2L-UsOdgi4l35Q_ChcFAHCPCFicKkbIiByMGSxD0FQLA","https://scholar.google.com/scholar?cites=2111430626389199597&as_sdt=2005&sciodt=0,5&hl=en",1,"2026-05-06 17:08:23","HTML","10.1007/s12599-022-00785-5","","",,,,,9,3.00,3,3,3,"Many software companies are adapting their traditional development processes to incorporate agile practices. In this context, it is necessary to count on expert knowledge to …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12599-022-00785-5&casa_token=3aCMuyykhpYAAAAA:-0q3KzQoTNuZLdNfZqQE5it6UQ5LjNtJAReyfki2L-UsOdgi4l35Q_ChcFAHCPCFicKkbIiByMGSxD0FQLA","https://scholar.google.com/scholar?q=related:7QrPxfdOTR0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"M Wolf, C Erfurth","Knowledge management for the digital transformation of enterprises–literature based trend analysis",2019,"International Conference on Innovations for Community …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-22482-0_11","https://scholar.google.com/scholar?cites=16881335887763133438&as_sdt=2005&sciodt=0,5&hl=en",4,"2026-05-06 17:08:23","","10.1007/978-3-030-22482-0_11","","",,,,,13,1.86,7,2,7,"The digital transformation of companies and society is progressing. The rapid realization of projects or the accelerated implementation of new “disruptive” technologies endanger …","","https://scholar.google.com/scholar?q=related:_tMsfIyNRuoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"W Souza, W Silva, GTA Guedes","Knowledge management diagnosis in software organizations: A systematic literature review extension",2024,"… of the 20th Brazilian Symposium on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3658271.3658273","https://scholar.google.com/scholar?cites=2661007875809942399&as_sdt=2005&sciodt=0,5&hl=en",7,"2026-05-06 17:08:23","","10.1145/3658271.3658273","","",,,,,1,0.50,0,3,2,"Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current …","https://dl.acm.org/doi/pdf/10.1145/3658271.3658273","https://scholar.google.com/scholar?q=related:fxsrfpDM7SQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"WS Souza, W Silva, GTA Guedes","Knowledge Management Diagnosis in Software Organizations",2024,"","researchgate.net","https://www.researchgate.net/profile/Williamson-Silva-2/publication/380843694_Knowledge_Management_Diagnosis_in_Software_Organizations_A_Systematic_Literature_Review_Extension/links/67ae0734207c0c20fa88255c/Knowledge-Management-Diagnosis-in-Software-Organizations-A-Systematic-Literature-Review-Extension.pdf","",14,"2026-05-06 17:08:23","PDF","","","",,,,,0,0.00,0,3,2,"RESUMO Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current …","https://www.researchgate.net/profile/Williamson-Silva-2/publication/380843694_Knowledge_Management_Diagnosis_in_Software_Organizations_A_Systematic_Literature_Review_Extension/links/67ae0734207c0c20fa88255c/Knowledge-Management-Diagnosis-in-Software-Organizations-A-Systematic-Literature-Review-Extension.pdf","https://scholar.google.com/scholar?q=related:fbWIH2jEm9IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
