Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
022-493-489-595-86X,Comparative analysis of identity-based-broadcast encryption with attribute-based encryption for reduced storage cost of multi users in a public cloud,,2024,conference proceedings article,AIP Conference Proceedings,0094243x; 15517616; 19350465,AIP Publishing,,Y. Mahi Gayathri; K. S. Rekha,Aim: To minimize the size of public key for public cloud data using Identity-Based Broadcast Encryption (IBBE) algorithm. Materials and Methods: Novel Identity-Based Broadcast Encryption with sample size =20 and Attribute-Based-Encryption (ABE) with sample size = 20 was iterated 10 times to minimize the public key size of text messages. Encryption and Decryption in IBBE depends upon the Identity of the user (E-mail). The identity helps to minimize the public-key size. Results and discussion: IBBE appear to have significantly better public-key size (616 bytes) compared to ABE ciphertext size (789bytes). IBBE algorithm shows a slight increase in significant value of p=1.000 (p>0.05) Conclusion: IBBE appears to have less public-key size of 616 bytes than the ABE algorithm with 789 bytes.,2729,,30001,030001,Encryption; Byte; Attribute-based encryption; Computer science; 40-bit encryption; Public-key cryptography; On-the-fly encryption; Ciphertext; Key (lock); Cloud storage; Cloud computing; Computer security; Computer network; Operating system,,,,,https://pubs.aip.org/aip/acp/article-pdf/doi/10.1063/5.0168813/19545356/030001_1_5.0168813.pdf https://doi.org/10.1063/5.0168813,http://dx.doi.org/10.1063/5.0168813,,10.1063/5.0168813,,,0,007-866-420-662-492; 007-940-091-920-632; 013-517-152-695-678; 021-888-630-585-936; 025-703-998-729-100; 031-386-542-756-769; 034-276-367-196-38X; 039-712-381-768-110; 040-722-500-931-844; 047-768-127-016-661; 049-929-409-344-783; 054-339-079-594-018; 056-429-106-274-047; 058-500-758-919-172; 059-443-772-281-572; 068-225-271-269-787; 073-756-678-096-48X; 080-125-556-734-466; 081-868-938-941-368; 092-412-097-908-216; 097-457-874-257-923; 099-565-596-772-597; 113-031-910-577-52X; 118-992-561-502-347; 131-058-013-113-517; 150-286-110-757-692; 167-532-363-318-469; 170-289-077-421-503; 185-696-180-089-396; 193-758-199-267-632,0,true,,bronze
025-133-793-361-064,Performance and stability Comparison of React and Flutter: Cross-platform Application Development,2022-10-06,2022,conference proceedings article,2022 International Conference on Cyber Resilience (ICCR),,IEEE,,Kamal Kishore; Shanu Khare; Vaibhav Uniyal; Sahil Verma,"Application development is a very important aspect when it comes to business. From small-scale companies to Fortune Companies everyone has an application through which they are running their business whether it is a web-based application or Mobile Application. Now the Mobile market is majorly captured by two Operating systems Android and iOS. Initially, to develop an application for a single project for both Systems separately, companies need to hire separate developers. But ReactJs is a Cross-Platform Application development library and is used to create a frontend for applications. It is majorly used by Facebook, Instagram, Pinterest, etc. It is JavaScript Library. Now Google has also launched its pure cross-platform framework called Flutter. Flutter uses Dart programming language to run. An open-source framework created by Google in 2017 to create applications from a single codebase. This research paper presents the study and comparison of the two most famous cross-platform application development technologies. It starts by discussing the basic functions of the application development methodologies. Followed by, it contains a comparison of the performance of the applications developed by these technologies. After that Stability of applications made by the flutter and React Native is checked on different parameters. There is an implementation of an application using Flutter and React Native which will be used for performance analysis between two applications running Android and Web platforms",,,1,4,JavaScript; Flutter; Android (operating system); Computer science; Codebase; Cross-platform; Software engineering; World Wide Web; Web application; Open source; Porting; Scalability; Operating system; Software; Engineering; Aerodynamics; Aerospace engineering,,,,,,http://dx.doi.org/10.1109/iccr56254.2022.9996039,,10.1109/iccr56254.2022.9996039,,,0,004-164-552-375-57X; 005-864-782-648-039; 011-746-425-650-35X; 025-724-666-439-070; 028-372-755-248-105; 034-963-471-525-491; 047-109-301-487-997; 052-869-683-588-787; 057-637-156-746-623; 069-990-195-617-114; 077-442-099-306-343; 078-042-879-857-131; 107-268-123-877-943; 109-839-746-168-552; 111-399-713-536-166; 113-031-910-577-52X; 150-938-652-966-430,16,false,,
030-663-500-201-892,Agile Lifestyle of Development,2022-10-06,2022,conference proceedings article,2022 International Conference on Cyber Resilience (ICCR),,IEEE,,null Ayushi; Damandeep Kaur; Satbir S Sehgal,"An iterative technique to software development and management that facilitates teams delivering value to their customers rapidly and with fewer problems. Agile method is extensively used in different corporate industry level projects as a light development strategy that aims to meet the changing needs. Short-term repetitions are best used for successful product development. Conventional software development processes do not seem to be very effective in managing rapid change of needs. Aside from the benefits of Agile, criticism of the agile approach claims that it fails to identify structural and aesthetic issues and is therefore hesitant to offer minor decisions throughout the design process. Here, in the middle of this research paper, we try to identify the effects of a much better approach in terms of efficiency and pace to s consistent software development procedure within an organizational and cultural framework.",,,1,5,Agile software development; Pace; Lean software development; Process management; Software development process; Software development; Computer science; New product development; Aside; Software; Agile Unified Process; Iterative and incremental development; Process (computing); Product (mathematics); Knowledge management; Engineering; Software engineering; Business; Marketing; Geometry; Literature; Geodesy; Mathematics; Programming language; Geography; Operating system; Art,,,,,,http://dx.doi.org/10.1109/iccr56254.2022.9996014,,10.1109/iccr56254.2022.9996014,,,0,002-705-397-338-555; 007-650-253-755-831; 014-319-748-749-568; 017-980-284-751-811; 029-772-792-045-058; 036-384-405-139-273; 038-051-878-325-217; 049-196-832-827-795; 049-225-263-001-714; 079-354-662-750-826; 095-195-328-289-477; 103-804-873-955-315; 113-031-910-577-52X; 116-103-220-494-777; 125-308-463-717-58X; 127-095-096-346-778; 132-700-607-529-511; 136-310-900-395-550; 150-938-652-966-430; 157-058-045-319-804,1,false,,
036-870-736-276-954,Influencing factors on knowledge sharing in virtual teams.,2022-08-11,2022,journal article,"Work (Reading, Mass.)",18759270; 10519815,SAGE Publications,Netherlands,Stephanie Tietz; Katja Werner,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">The importance of virtual work is growing. Especially in knowledge-intensive, dynamic and international sectors, virtual teams have become an ubiquitous work form, promising more flexibility and higher performance. To solve complex problems they have to share and assimilate knowledge, but it is difficult in virtual contexts to overcome social distance and to avoid communication issues. Knowledge sharing in virtual teams may be more prone to errors and take more time.</AbstractText>;           <AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">Current studies mainly consider a one-sided perspective, either focusing on technical or human influencing factors for effective knowledge sharing in virtual teams, but not on the interaction between these. This study addresses that gap by exploring success-critical factors for knowledge sharing by using the socio-technical systems-approach.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">The database of the study consists of 26 in-depth interviews. The interviews were partially structured and based on the Critical Incident Technique. Using a deductive categorization scheme consisting of four main categories and 21 subcategories, the frequencies and overlaps of influencing factors on successful knowledge sharing in virtual teams were examined.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Each critical incident reported included factors from all four main categories (technology, structure, people and task) with specific frequencies and connections. Structural influencing factors as well as technological factors are mentioned particularly frequently together.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">The results of the study underline the importance of an integrated socio-technical view on knowledge sharing in virtual teams. Technical and social factors need to be considered simultaneously. The findings can be used for designing and optimizing knowledge sharing processes in virtual teams.</AbstractText>",72,4,1745,1763,Knowledge management; Knowledge sharing; Categorization; Computer science; Flexibility (engineering); Virtual team; Perspective (graphical); Task (project management); Virtual organization; Engineering; Artificial intelligence; Statistics; Geometry; Mathematics; Systems engineering; Grid,COVID-19; Distributed teams; collaborative work; knowledge management; knowledge transfer; socio-technical systems,,,,,http://dx.doi.org/10.3233/wor-211241,35723152,10.3233/wor-211241,,,0,001-626-725-836-915; 001-786-419-637-97X; 002-330-842-353-30X; 004-409-338-533-656; 004-478-990-594-707; 007-308-204-275-109; 008-474-467-571-225; 008-584-994-852-667; 008-608-940-397-99X; 009-981-436-957-275; 011-255-812-029-727; 011-490-568-815-514; 011-670-571-711-335; 011-964-652-361-019; 013-226-470-072-513; 013-350-088-388-849; 014-442-266-389-946; 015-524-513-624-006; 018-560-753-625-064; 019-793-862-304-351; 021-047-729-741-736; 021-816-024-895-19X; 021-854-795-779-776; 023-140-888-819-464; 023-408-928-021-460; 025-261-832-703-52X; 026-249-664-781-979; 026-624-081-646-427; 027-346-097-551-253; 027-667-676-204-51X; 029-131-078-375-658; 030-692-422-546-686; 032-707-605-464-220; 037-774-166-958-30X; 039-069-002-329-485; 040-440-441-614-228; 041-565-705-018-40X; 043-813-890-277-210; 045-379-617-103-387; 048-109-011-676-032; 050-763-886-296-292; 051-618-151-745-638; 051-975-164-698-08X; 053-701-196-817-316; 055-230-111-922-251; 056-757-312-787-241; 057-143-122-698-360; 057-445-053-583-992; 062-510-573-122-320; 063-819-178-767-032; 064-352-693-479-73X; 065-356-961-398-130; 065-692-048-649-377; 068-145-001-084-82X; 070-144-812-657-609; 070-178-299-481-336; 070-190-681-537-486; 071-355-197-573-804; 071-878-836-294-733; 073-080-131-440-585; 073-686-630-884-38X; 075-418-303-418-498; 077-160-234-485-386; 077-274-204-054-847; 077-276-315-480-16X; 077-307-240-982-219; 082-465-192-750-118; 090-833-150-615-774; 091-206-783-693-047; 091-463-274-807-867; 092-813-244-211-417; 100-109-929-536-045; 108-395-710-868-513; 110-017-480-673-764; 110-074-946-591-316; 111-236-404-587-879; 113-031-910-577-52X; 113-807-141-453-113; 114-221-761-175-415; 117-567-631-348-717; 119-233-674-940-414; 119-754-081-809-836; 121-871-071-455-290; 125-800-898-035-734; 126-176-140-973-647; 127-478-082-297-088; 133-418-758-589-439; 133-596-178-675-658; 134-235-004-007-61X; 135-734-465-812-630; 136-211-543-753-36X; 139-422-194-281-833; 144-992-276-330-745; 145-799-664-365-685; 145-881-027-055-898; 162-230-497-809-903; 162-703-960-789-21X; 171-695-492-484-018; 179-886-368-217-302,2,false,,
041-145-228-253-990,Retracted: Real Time Object Detection,2022-10-06,2022,conference proceedings article,2022 International Conference on Cyber Resilience (ICCR),,IEEE,,Simranjeet Kaur; Anup Lal Yadav; Abhishek Joshi,"Introducing YOLO, another way to deal with object identification. Previous object detection function re-uses separators to create location. All things considered, we present the identification object as a repetitive problem in geographically separated jump boxes and related class opportunities. All acquisition pipes are an independent entity, they may be well developed to begin to finish directly on-site operations. Our integrated design is very fast. Our Consequences should be discarded photo rotations continuously at 45 edge every second. An additional moderate practice of the organization, YOLO, processes 155 shocking casings per second. Compared to the best class identification frameworks, YOLO makes many limitations yet very different to expect misleading sides on the basis. Finally, YOLO learns the typical presentation of articles. It overcomes other local techniques, including SSD and R-CNN, while summarizing from conventional images to as diverse as art.",,,1,5,Object (grammar); Computer science; Identification (biology); Class (philosophy); Object detection; Artificial intelligence; Function (biology); Jump; Computer vision; Enhanced Data Rates for GSM Evolution; Pattern recognition (psychology); Botany; Physics; Quantum mechanics; Evolutionary biology; Biology,,,,,,http://dx.doi.org/10.1109/iccr56254.2022.9995738,,10.1109/iccr56254.2022.9995738,,,0,023-862-999-788-052; 031-724-161-619-313; 035-862-810-568-095; 043-022-952-629-736; 049-196-832-827-795; 057-559-658-232-111; 065-763-587-055-717; 082-867-779-945-434; 113-031-910-577-52X; 126-373-276-100-282; 129-580-093-464-13X; 150-938-652-966-430; 153-443-826-388-859,0,false,,
043-219-748-206-217,Foundations of Practice: An Ethnographic Exploration of Software Documentation and its Cultural Implications for an Agile Startup,,2024,journal article,Ethnographic Praxis in Industry Conference Proceedings,1559890x; 15598918,Wiley,,NICOLE TIETZ‐SOKOLSKAYA; SUZANNE WALSH,"<jats:p>This case study offers an in‐depth analysis of the foundational role of documentation for software quality, efficiency, and organizational success. It includes an inside look how a start‐up overcame inefficiencies and scaling challenges by implementing a sociotechnical documentation practice, and 10 recommendations for implementation or assessment based the case study data and a wider analysis of research and expertise. Time pressures of agile workflows that prioritize writing code, coupled with rapidly scaling software and startups, create an environment where documentation often takes a back seat. But its value to organizations and engineering teams as a source of knowledge and a practice of knowledge sharing becomes clear when critical inefficiencies and even chaos to prompt an overhaul of norms and behaviors. The experience at Remesh demonstrates the value of an ethnographic approach to gain a holistic understanding of engineering and work practices and to implement positive change.</jats:p>",2024,1,378,396,Documentation; Agile software development; Ethnography; Software; Software engineering; Sociology; Computer science; Engineering management; Engineering ethics; Engineering; Anthropology; Programming language,,,,,,http://dx.doi.org/10.1111/epic.12210,,10.1111/epic.12210,,,0,005-454-006-898-746; 005-616-317-428-61X; 008-751-373-324-63X; 012-465-699-317-357; 016-353-168-298-440; 023-559-823-737-356; 032-692-794-163-136; 035-184-772-976-134; 040-795-814-553-281; 044-847-119-341-954; 045-056-899-990-861; 048-165-669-103-624; 049-070-886-619-269; 053-881-880-082-628; 059-725-630-068-616; 060-689-954-818-153; 077-095-295-616-361; 077-876-528-129-938; 083-086-331-192-424; 084-915-237-408-577; 090-697-084-162-231; 091-927-485-090-715; 095-587-355-575-770; 096-360-369-987-119; 110-723-269-688-715; 113-031-910-577-52X; 128-113-727-451-092; 130-916-828-988-068; 166-990-543-891-504; 170-257-114-575-290,0,true,cc-by-nc-nd,hybrid
076-804-444-656-758,Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,2024-05-20,2024,conference proceedings article,Proceedings of the 20th Brazilian Symposium on Information Systems,,ACM,,Wesley Souza; Williamson Silva; Gilleanes Thorwald Araujo Guedes,"Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.",,,1,10,Computer science; Extension (predicate logic); Software engineering; Systematic review; Knowledge management; Programming language; Political science; MEDLINE; Law,,,,Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,https://zenodo.org/records/10814854/files/Protocolo.pdf https://doi.org/10.5281/zenodo.10814854,http://dx.doi.org/10.1145/3658271.3658273,,10.1145/3658271.3658273,,,0,000-351-755-892-161; 002-593-823-476-325; 004-872-825-309-867; 008-446-415-484-631; 009-894-948-227-158; 018-686-227-374-270; 021-932-016-269-55X; 023-548-623-329-645; 024-765-221-486-282; 027-636-843-387-05X; 030-816-877-867-488; 033-655-133-983-667; 035-366-701-122-622; 039-821-887-640-846; 042-281-332-233-925; 057-492-700-743-510; 057-665-911-976-763; 058-821-081-159-26X; 061-794-661-168-338; 066-268-783-309-348; 068-204-415-223-065; 070-664-192-959-671; 071-483-296-522-275; 078-905-691-240-640; 080-351-706-015-893; 084-403-517-354-009; 090-224-941-605-894; 092-252-320-406-228; 093-810-742-297-682; 096-638-316-633-732; 104-334-748-401-615; 106-093-896-685-216; 108-160-600-540-043; 113-031-910-577-52X; 114-306-424-542-379; 115-359-809-378-632; 126-104-835-411-242; 134-416-870-429-344; 137-821-747-159-877; 171-432-562-242-045,0,true,,green
104-393-238-579-35X,Implementing a Simplified Risk Management Approach in Agile Software Development: An Experience Report,2023-11-07,2023,conference proceedings article,Proceedings of the XXII Brazilian Symposium on Software Quality,,ACM,,Julio Cesar dos Santos; Vicente Pinto Alves Coelho; Felipe Mello Fonseca; Diogo Silveira Mendonça,"Agile software development projects often overlook risk management. Besides that, the lack of risk management could lead to problems such as delays, budget overruns, and even project termination, especially in distributed software development. In this paper, we address this topic in an industrial context. We implemented a simplified method to manage risks in distributed agile software development projects at Betabit company. The risk management approach proposed includes identifying, recording, and monitoring the risks faced by the company during its projects, enabling the creation of action plans to handle the risks. We assessed the acceptance of the method by applying the Technology Acceptance Model (TAM) questionnaire and open questions among the professionals who used it. The research results showed that the model was well accepted, with 90.1% of participants agreeing that it was useful in risk prevention and management. The benefits found were a broader view of projects, effective communication among teams, knowledge sharing, task clarification, and a structured approach to risk management. The challenging part is to learn how to use the method. Besides that, all respondents would recommend the proposed method to other companies, showing the potential of the method to manage risks in agile software projects.",,,254,263,Agile software development; Risk management; Risk analysis (engineering); Context (archaeology); Knowledge management; Project management; Computer science; Process management; Software development; Software; Engineering management; Engineering; Systems engineering; Software engineering; Business; Paleontology; Finance; Biology; Programming language,,,,,,http://dx.doi.org/10.1145/3629479.3629516,,10.1145/3629479.3629516,,,0,017-811-679-903-157; 045-627-775-109-397; 080-504-874-524-667; 091-801-220-272-739; 098-687-194-996-36X; 113-031-910-577-52X; 124-856-767-591-710; 126-959-648-685-460,0,false,,
119-276-631-892-811,Importance of Secure Software Development Processes and Tools for Developers.,2020-12-30,2020,preprint,arXiv: Software Engineering,,,,Muhammad Danish Roshaidie; William Pang Han Liang; Calvin Goh Kai Jun; Kok Hong Yew; null Fatima-tuz-Zahra,"In this research paper of secure software systems, authors have discussed what the proper development process is when it comes to creating a secure software, which will be suited for developers and relevent stakeholders alike. Secure Software Development Process for Developers is of crucial importance for software engineers as more and more software-based devices are becoming commonly available, and cloud services are evolving which require for the software to be constantly connected to the internet. With this in mind, Secure Software Development needs to be transformed to something most developers can rely upon to make applied software safe and have the capability to mitigate against potential attacks by hackers. Furthermore, in this paper, existing Secure Software Development Process ideas and implementations are reviewed and investigated using the research paper pool available online. Thereafter, an approach is proposed to enhance the security aspect in software development process to resolve security issues. Lastly, the paper concludes with final remarks on practical implementation of security features in software development phases for production of secure and reliable software programs and systems.",,,,,The Internet; Software engineering; Software system; Software development process; Implementation; Software; Computer science; Process (engineering); Software development; Cloud computing,,,,,https://dblp.uni-trier.de/db/journals/corr/corr2012.html#abs-2012-15153 https://ui.adsabs.harvard.edu/abs/2020arXiv201215153D/abstract https://arxiv.org/pdf/2012.15153 https://arxiv.org/abs/2012.15153,https://dblp.uni-trier.de/db/journals/corr/corr2012.html#abs-2012-15153,,,3115342344,,0,002-076-428-852-612; 007-646-033-869-392; 009-766-429-888-353; 017-849-162-672-505; 018-546-831-750-290; 023-635-182-456-256; 033-415-342-045-009; 035-082-193-055-712; 036-127-336-199-178; 038-051-878-325-217; 040-138-860-948-575; 049-196-832-827-795; 054-147-266-467-026; 064-098-532-681-24X; 070-929-392-722-987; 071-634-952-447-708; 080-742-414-747-919; 085-405-063-111-71X; 108-711-821-009-625; 112-503-589-157-76X; 113-031-910-577-52X; 125-308-463-717-58X; 142-005-461-182-428; 182-607-041-102-38X,0,true,,unknown
144-312-320-765-892,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,2024-11-05,2024,conference proceedings article,Proceedings of the XXIII Brazilian Symposium on Software Quality,,ACM,,Daniela dos Santos Alves; Deivid José Smek; Érica Ferreira de Souza; Katia Romero Felizardo; Nandamudi L. Vijaykumar,,,,125,135,Computer science; Software engineering; Software development; Data science; Software; Knowledge management; Programming language,,,,,,http://dx.doi.org/10.1145/3701625.3701652,,10.1145/3701625.3701652,,,0,001-162-203-276-487; 001-319-036-333-28X; 005-842-894-870-067; 024-043-679-120-974; 024-843-062-294-216; 027-476-833-806-054; 031-056-855-501-837; 031-307-112-855-507; 034-702-120-144-00X; 040-795-814-553-281; 043-894-684-983-680; 044-647-273-143-44X; 047-260-023-419-020; 049-382-806-003-484; 063-332-637-558-607; 072-340-374-829-378; 080-351-706-015-893; 088-605-958-352-819; 096-638-316-633-732; 103-127-105-768-597; 103-584-554-904-850; 113-031-910-577-52X; 118-731-693-819-164; 124-763-383-906-979; 125-039-593-949-415; 137-137-797-450-610; 140-397-216-738-245; 143-193-604-404-049; 147-724-863-924-60X; 157-368-136-778-081; 182-097-887-968-892; 182-198-474-715-865; 195-773-468-220-401,1,false,,
