"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UPLCZ423","journalArticle","2024","Souza, Luana Müller de; Brito, Tiago Martins de; Lucena, Maria Laura; Gomes, Apuena Vieira","Desenvolvimento Ágil e Documentação de Requisitos Rumo a Práticas Mais Efetivas: Uma Revisão Sistemática","Workshop on Requirements Engineering","","","","https://api.semanticscholar.org/CorpusID:271023008","","2024","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K828LXTD","conferencePaper","2022","Santos, Juliana Oliveira dos; Martins, Guilherme Augusto dos Reis; Souza, Érica Ferreira de; Felizardo, Kátia Romero; Meinerz, Giovani Volnei","Perceptions of knowledge management in Brazilian software development companies","Conferencia Iberoamericana de Software Engineering","","","","https://api.semanticscholar.org/CorpusID:251504145","","2022","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYFNDJF7","journalArticle","2021","Souza, Érica Ferreira de; Falbo, Ricardo de Almeida; Vijaykumar, Nandamudi Lankalapalli; Felizardo, Kátia Romero; Meinerz, Giovani Volnei; Specimille, Marcos S.; Coelho, Alexandre G. N.","Development of an Ontology-based Approach for Knowledge Management in Software Testing","J. Softw. Eng. Res. Dev.","","","","https://api.semanticscholar.org/CorpusID:244589177","","2021","2026-01-23 19:00:08","2026-01-23 19:00:08","","12:1-12:21","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVZGVYG3","journalArticle","2024","Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Kátia Romero; Vijaykumar, Nandamudi Lankalapalli","Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Proceedings of the XXIII Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:274967657","","2024","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74GKW56T","journalArticle","2024","Erhan, Trihadi Pudiawan; Japutra, Arnold; Doorn, Sebastiaan Van","Digital product development team external knowledge processes and ambidexterity: a multi-mediation analysis of the absorptive capacity framework","J. Knowl. Manag.","","","","https://api.semanticscholar.org/CorpusID:270718845","","2024","2026-01-23 19:00:08","2026-01-23 19:00:08","","2610-2634","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WXYGUES","conferencePaper","2025","Costa, Ana Claudia M. P.; Fantini, Julia Beiroco O.; Souza, Érica Ferreira de; Silva, Gláucia Braga e; Rebelo, Luciana; Felizardo, Kátia Romero; Meinerz, Giovani Volnei","Impact of Generative Artificial Intelligence on Knowledge Management in Software Engineering: A Systematic Mapping Study","Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:283632722","","2025","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49GAQIYQ","conferencePaper","2023","Dobrica, Liliana","ONTOLOGY-BASED TOOLS FOR ARCHITECTURE ANALYSIS OF CYBER-PHYSICAL SYSTEMS","","","","","https://api.semanticscholar.org/CorpusID:262051778","","2023","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z266USET","journalArticle","2022","Ding, Xiang; Zhang, Cheng","How Can We Cope with the Impact of Microservice Architecture Smells?","Proceedings of the 2022 11th International Conference on Software and Computer Applications","","","","https://api.semanticscholar.org/CorpusID:249400296","","2022","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MK6I9Y8","journalArticle","2023","Kudyba, Stephan; Cruz, Agnel D.","Understanding project success involving analytic-based decision support in the digital era: a focus on IC and agile project management","Journal of Intellectual Capital","","","","https://api.semanticscholar.org/CorpusID:260082315","","2023","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FI93NEVE","journalArticle","2022","Saarikallio, Matti; Tyrväinen, Pasi","Quality culture boosts agile transformation—Action research in a business‐to‐business software business","Journal of Software: Evolution and Process","","","","https://api.semanticscholar.org/CorpusID:251966130","","2022","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4CSVP5HE","journalArticle","2025","Brasen, L. P. H.; Tambo, Torben","Agile and asset management: Efficiency in decision-making for operational life-cycle projects in transmission system operators","Energy Research &amp; Social Science","","","","https://api.semanticscholar.org/CorpusID:282351151","","2025","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"776Q7YDR","journalArticle","2022","Hustad, Eli; Nakayama, Makoto; Sutcliffe, Norma G.; Beckfield, Merri","Knowledge Mobilization in Agile Information Systems Projects: A Literature Analysis","European Conference on Knowledge Management","","","","https://api.semanticscholar.org/CorpusID:251860196","","2022","2026-01-23 19:00:08","2026-01-23 19:00:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
