oci,citing,cited,creation,timespan,journal_sc,author_sc
06403874828-061203115883,10.3390/systems10050151,10.1016/j.infsof.2019.04.008,2022-09-14,P3Y1M,no,no
061802642029-061203115883,10.1049/iet-sen.2019.0272,10.1016/j.infsof.2019.04.008,2020-06,P0Y10M,no,yes
06190790075-061203115883,10.32604/cmc.2021.014830,10.1016/j.infsof.2019.04.008,2021,P1Y,no,no
06250588764-061203115883,10.1007/s11042-020-09896-1,10.1016/j.infsof.2019.04.008,2020-11-05,P1Y3M,no,no
061504297451-061203115883,10.1108/jabs-07-2023-0274,10.1016/j.infsof.2019.04.008,2024-07-08,P4Y11M,no,no
062401884539-061203115883,10.3390/math10030446,10.1016/j.infsof.2019.04.008,2022-01-30,P2Y5M,no,yes
06603850928-061203115883,10.1109/tse.2022.3176725,10.1016/j.infsof.2019.04.008,2022,P2Y,no,no
061703859884-061203115883,10.3390/info14060322,10.1016/j.infsof.2019.04.008,2023-06-06,P3Y10M,no,no
061601913648-061203115883,10.1007/978-3-030-67084-9_3,10.1016/j.infsof.2019.04.008,2021,P1Y,no,no
06430112527-061203115883,10.59653/jbmed.v1i02.149,10.1016/j.infsof.2019.04.008,2023-08-04,P4Y0M,no,no
062103426390-061203115883,10.1007/s40171-022-00311-2,10.1016/j.infsof.2019.04.008,2022-08-18,P3Y0M,no,no
06702347068-061203115883,10.1155/2022/3556809,10.1016/j.infsof.2019.04.008,2022-05-30,P2Y9M,no,no
06430112446-061203115883,10.1080/00472778.2023.2169705,10.1016/j.infsof.2019.04.008,2023-02-23,P3Y6M,no,no
06503021773-061203115883,10.3390/app112210633,10.1016/j.infsof.2019.04.008,2021-11-11,P2Y3M,no,no
061103131175-061203115883,10.1016/j.infsof.2021.106733,10.1016/j.infsof.2019.04.008,2022-02,P2Y6M,yes,no
062504287616-061203115883,10.1007/s10664-024-10480-6,10.1016/j.infsof.2019.04.008,2024-06-04,P4Y10M,no,no
06304801570-061203115883,10.1145/3658271.3658273,10.1016/j.infsof.2019.04.008,2024-05-20,P4Y9M,no,no
0620588084-061203115883,10.1016/j.jss.2021.110973,10.1016/j.infsof.2019.04.008,2021-08,P2Y0M,no,no
06502219311-061203115883,10.1007/s10799-021-00343-7,10.1016/j.infsof.2019.04.008,2021-11-05,P2Y3M,no,no
061301141932-061203115883,10.1109/access.2020.2964432,10.1016/j.infsof.2019.04.008,2020,P0Y,no,no
062604228454-061203115883,10.1134/s0361768823080182,10.1016/j.infsof.2019.04.008,2023-12,P4Y4M,no,yes
061403547746-061203115883,10.55351/prajaiswara.v3i2.51,10.1016/j.infsof.2019.04.008,2022-11-24,P3Y3M,no,no
06802362541-061203115883,10.1155/2021/6611407,10.1016/j.infsof.2019.04.008,2021-01-23,P1Y5M,no,no
061702975064-061203115883,10.1109/icssp-icgse52873.2021.00021,10.1016/j.infsof.2019.04.008,2021-05,P1Y9M,no,no
06320445551-061203115883,10.1063/5.0211246,10.1016/j.infsof.2019.04.008,2024,P4Y,no,no
06320388770-061203115883,10.2478/fcds-2023-0018,10.1016/j.infsof.2019.04.008,2023-12-01,P4Y4M,no,no
061603517692-061203115883,10.1016/j.jss.2022.111572,10.1016/j.infsof.2019.04.008,2023-03,P3Y7M,no,no
0604956648-061203115883,10.1145/3701625.3701652,10.1016/j.infsof.2019.04.008,2024-11-05,P5Y3M,no,no
06402285046-061203115883,10.1007/978-3-030-63329-5_11,10.1016/j.infsof.2019.04.008,2020-11-07,P1Y3M,no,no
0607167599-061203115883,10.1109/aece62803.2024.10911186,10.1016/j.infsof.2019.04.008,2024-11-22,P5Y3M,no,no
