Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"Demir, Mahmut; Demir, Şirvan Şen; Yaşar, Emre; ",Big data and innovative organizational performance: Evidence from a moderated‐mediated model,Creativity and Innovation Management,31,4,696-709,2022,Wiley Online Library
"Loeza-Mejía, Cecilia-Irene; Sánchez-DelaCruz, Eddy; José-Guzmán, Irahan-Otoniel; ",Machine learning methodologies: history and challenges,Evolutionary Intelligence,18,3,58,2025,Springer
"Gunjal, Pramod R; Jondhale, Satish R; Mauri, Jaime Lloret; Agrawal, Karishma; ",Internet of things: Theory to practice,,,,,2024,CRC Press
"Parreiras, Elaine Martins; Silva, Patrícia Nascimento; ","Modelos de gestão do conhecimento: fatores, dimensões e aplicações vigentes (2014-2023)",Informação & Informação,30,2,497-537,2025,
"Rohajawati, Siti; Rahayu, Puji; Misky, Afny Tazkiyatul; Sholehah, Khansha Nafi Rasyidatus; Rahim, Normala; Setyodewi, RR; ",Unveiling Insights: A Knowledge Discovery Approach to Comparing Topic Modeling Techniques in Digital Health Research,INTENSIF: Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi,8,1,108-121,2024,Universitas Nusantara PGRI Kediri
"Fattah, Ikhsan A; Prabowo, Harjanto; Tjhin, Viany Utami; Rahim, Rano Kartono; ",The interplay between business analytics capabilities and decision-making performance in Indonesia's public sector,Digital Business,,,100132,2025,Elsevier
"Kodua-Ntim, Kwame; Fombad, Madelein; ",Challenges and strategies for open access in South Africa: A knowledge management approach,Information Development,,,02666669241257188,2024,"SAGE Publications Sage UK: London, England"
"Gokilakrishnan, G; Prabha, D; Srinivasan, S; Thirumurugaveerakumar, S; ",A critical analysis of the block chain in manufacturing system implementation,2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS),1,,2281-2289,2023,IEEE
"Donaldson, Marsha; ",Do Males Use AI Tools Differently than Female Students When Conducting Social Science Research?,,,,,2025,Liberty University
"Blanco-Mesa, Fabio; Vinchira, Omar; Cuy, Yesica; ",Forgotten Factors in Knowledge Conversion and Routines: A Fuzzy Analysis of Employee Knowledge Management in Exporting Companies in Boyacá,Mathematics,11,2,412,2023,MDPI
"de Menezes Lima, José Jerônimo; de Menezes, Luciana Hahn; Teixeira, Maria do Rocio Fontoura; Redaelli, Emir José; ",Perspectivas e tendências em gestão do conhecimento organizacional,Brazilian Journal of Business,7,2,e79125-e79125,2025,
"Shafahi, Saeed; Chenari, Alireza; Afkaneh, Soghra; ",Investigating the impact of future study development indicators of knowledge management in Islamic Azad Universities of Tehran province,Sociology of Education,9,2,71-82,2023,Iranian Association for Sociology of Education (IASE)
"Kosilova, Ksenija; Birzniece, Ilze; ",Survey on Organizational Chat Conversation Analysis: Exploring Dialogue Summarization from a Knowledge Discovery Perspective,Complex Systems Informatics and Modeling Quarterly,,39,86-104,2024,
"Albrychiewicz-Słocińska, Anna; ",Learning Problems in a Remote Working Situation: A Generation Z Perspective,ECKM 2023 24th European Conference on Knowledge Managemen Vol 1,,,,2023,Academic Conferences and publishing limited
"Khurana, Harpriya; Thakur, Manish; ",Transforming Climate Change Understanding: Harnessing The Power of Data and Machine Learning,"Biotechnology Innovations for a Sustainable Future: Integrating Clean Energy, Life on the Planet, Clean Water, and Climate Action",,,1793-1808,2026,Springer
"Robbi Rahim, Robbi; Unik Hanifah Salsabila, Salsabila; Akhmad Anwar Dani, Anwar Dani; Eka Maya SS Ciptaningsih, Maya; M Mohzana, Mohzana; ",Data Mapping using Combining Clustering Methods and C. 45 Classification,International Journal of Electronics and Communication Engineering,10,,96-104,2023,
"Sardjono, Wahyu; Retnowardhani, Astari; Lusia, Erma; Zarlis, Muhammad; ",A model for evaluating how well disaster knowledge management systems work to disseminate information about mitigating the effects of natural disasters,IOP Conference Series: Earth and Environmental Science,1564,1,012100,2025,IOP Publishing
"Regaliza, Julio César Puche; Alfonso, Santiago Porras; Yusta, Silvia Casado; Bonrostro, Joaquín Pacheco; ",Impact of Gamification to Understanding Bayes’ Theorem: A Study Using the Monty Hall Dilemma Simulation,Dirección y Organización,,86,16-28,2025,
"Sardjono, Wahyu; Retnowardhani, Astari; Lusia, Erma; Zarlis, Muhammad; Perdana, Widhilaga Gia; ",Evaluation Model of Urban Regional Knowledge Management Systems in Indonesia for Natural Disaster Mitigation,2024 6th International Conference on Cybernetics and Intelligent System (ICORIS),,,1-6,2024,IEEE
"Smith, Brian D; ","New drugs, fair prices: managing the pharmaceutical innovation ecosystem for sustainable and affordable new medicines",,,,,2022,Routledge
"Pawlak, Robert; Wyrozębski, Paweł; Pietras, Ilona; Parys, Joanna; ",The Use of Machine Learning in Enhancing Data and Information Management Processes in the Context of Knowledge Management,e-mentor,108,1,,2025,
"Rohajawati, Siti; Setyodewi, Hutanti; Tresnanto, Ferryansyah Muji Agustian; Marianthi, Debora; Sihotang, Maruli Tua Baja; ",Knowledge management approach in comparative study of air pollution prediction model,Applied Computer Science,20,1,173-188,2024,
"FATTAH, IKHSAN A; PRABOWO, HARJANTO; TJHIN, VIANY UTAMI; RAHIM, RANO KARTONO; ",Enhancing Decision-Making of Data-Driven Culture: A Vital Turning Point for the Success of Strategic Transformation in Public Sectors,innovation,15,16,17,,
"Regaliza, Julio César Puche; Alfonso, Santiago Porras; Yusta, Silvia Casado; Bonrostro, Joaquín Pacheco; ",El Impacto de la Gamificación en la Compresión del Teorema de Bayes: Un Estudio Utilizando la Simulación del Dilema de Monty Hall,"Dirección y organización: Revista de dirección, organización y administración de empresas",86,,16-28,2025,
