Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Artificial intelligence in traditional Chinese medicine: from systems biological mechanism discovery, real-world clinical evidence inference to personalized clinical decision support.","Traditional Chinese medicine (TCM) represents a paradigmatic approach to personalized medicine, developed through the systematic accumulation and refinement of clinical empirical data over more than 2000 years, and now encompasses large-scale electronic medical records (EMR) and experimental molecular data. Artificial intelligence (AI) has demonstrated its utility in medicine through the development of various expert systems (e.g., MYCIN) since the 1970s. With the emergence of deep learning and large language models (LLMs), AI's potential in medicine shows considerable promise. Consequently, the integration of AI and TCM from both clinical and scientific perspectives presents a fundamental and promising research direction. This survey provides an insightful overview of TCM AI research, summarizing related research tasks from three perspectives: systems-level biological mechanism elucidation, real-world clinical evidence inference, and personalized clinical decision support. The review highlights representative AI methodologies alongside their applications in both TCM scientific inquiry and clinical practice. To critically assess the current state of the field, this work identifies major challenges and opportunities that constrain the development of robust research capabilities-particularly in the mechanistic understanding of TCM syndromes and herbal formulations, novel drug discovery, and the delivery of high-quality, patient-centered clinical care. The findings underscore that future advancements in AI-driven TCM research will rely on the development of high-quality, large-scale data repositories; the construction of comprehensive and domain-specific knowledge graphs (KGs); deeper insights into the biological mechanisms underpinning clinical efficacy; rigorous causal inference frameworks; and intelligent, personalized decision support systems.","D. Yan; Qiguang Zheng; Kai Chang; Rui Hua; Yiming Liu; Jingyan Xue; Zixin Shu; Yunhui Hu; Pengcheng Yang; Yu Wei; Jidong Lang; Haibin Yu; Xiaodong Li; Runshun Zhang; Wenjia Wang; Baoyan Liu; Xuezhong Zhou","2025","Chinese Journal of Natural Medicines","10.1016/s1875-5364(25)60983-6","4","Include"
"Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.","Daniela dos Santos Alves; Deivid José Smek; É. Souza; K. Felizardo; N. L. Vijaykumar","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701652","1","Include"
"An Efficient Ontology‐Based Semantic Interoperability Using MSGO‐RNN in Cloud Computing","Semantic interoperability (SI) is defined as the capability of interpreting the nature of the information exchanged inside cloud computing (CC). For SI, ontology is selected as a solution. A hierarchical structure is offered by an ontology that comprises semantic relations between the application and the cloud server (CS). Even though different methods are introduced, ontology centered on semantic relation between the application and CS is not yet attained for achieving accurate interoperability. An ontology‐centered SI in CC utilizing a modified Shell Game optimization‐centered recurrent neural network (MSGO‐RNN) is presented in this work. Here, accessing the data from the data warehouse is initiated that experiences different standardization functions for improving the data’s quality, namely, data extraction, data cleaning, data transformation, data loading, and refreshing. Then, the data are passed via the semantic layer (SL), which offers a constant way of interpreting data. Then, for enhancing the accuracy rate of interoperability along with offering a low computational time, the relevant feature is chosen utilizing genetic crossover mutation‐centered improved fertile field (GCM‐IFF) optimization. Ontology is created utilizing the Protégé tool centered on the data, and respective manipulation is executed utilizing HermiT ontology web language (OWL) reasoner. Lastly, to attain cloud interoperability, the features are trained and tested by employing the MSGO‐RNN. The experimental outcome exhibits that when compared with the top‐notch methods, an accuracy of 96.32% is acquired by the framework for choosing the CS, and less time of 22567 ms is acquired by the framework for training.","Chithambaramani R.; J. K.; K. B. V.; P. Mohan","2024","Journal of Optimization","10.1155/2024/4974938","1","Include"
"Traceability of Architectural Design Decisions and Software Artifacts: A Systematic Mapping Study","Abstract The definition of architecture is a crucial task in software development, where the architect is responsible for making the right decisions to meet specific functional and quality requirements. These architectural design decisions form the foundation that shapes the arrangement of elements within a system. Unfortunately, these decisions are often poorly documented, implicit in various artifacts, or inadequately updated, leading to negative consequences on the maintainability of a system and resulting in rework and cost overruns. The objective of this systematic mapping study is to comprehend the current state regarding approaches for traceability of architectural design decisions and how these decisions are linked with the different artifacts used in software development. To achieve this, an information extraction protocol is followed, utilizing databases with search strings, inclusion, and exclusion criteria. The findings demonstrate that this knowledge is highly relevant; however, it is rarely explicitly documented. As a result, most works propose diverse approaches to extract this knowledge from existing technical documentation, commonly used tools, and other sources of product and process information. In contrast, it is evident that there is no standard for documenting design decisions, leading each author to present a subjective version of what is important and where to trace these decisions. This suggests that there is still a significant amount of research to be conducted regarding the traceability of these architectural design decisions and their connection with software artifacts. Such research could lead to intriguing new proposals for investigation.","Santiago Hyun; Julio Ariel Hurtado","2023","Foundations of Computing and Decision Sciences","10.2478/fcds-2023-0018","2","Include"
"Formalization of a Product-Process-Resource Model within Aircraft Component Maintenance, Repair, and Overhaul","Maintenance, Repair and Overhaul (MRO) of aircraft components is a complex and critical process with high product and process variability. To ensure the safety and reliability of aircraft, it is crucial to have accurate and up-to-date information about components throughout their life-cycle. However, this information is often scattered across various systems and stakeholders, resulting in data fragmentation and inconsistency. Data integration is needed to create a unified and comprehensive view of the components life-cycle. The Product-Process-Resource (PPR) modeling framework is a cross-industry framework that provides a comprehensive view of the various dimensions involved. The framework is applied to the MRO service provider domain. This paper explores the use of standards and norms to formalize an information model based on the PPR approach to improve data integration and ensure a high level of reuse. The proposed model integrates several community maintained standards such as VDI/VDE 3682, EASA Part 145, EASA Part M, DIN 13306, DIN EN 61512, and IATA’s ONE Record to provide a standardized and consistent representation of component MRO data.","Maximilian Rappl; Max Bergmann; A. Fay","2023","International Conference on Industrial Informatics","10.1109/indin51400.2023.10218093","-","Include"
"Mining architectural information: A systematic mapping study","Mining Software Repositories (MSR) has become an essential activity in software development. Mining architectural information (e.g., architectural models) to support architecting activities, such as architecture understanding, has received significant attention in recent years. However, there is a lack of clarity on what literature on mining architectural information is available. Consequently, this may create difficulty for practitioners to understand and adopt the state-of-the-art research results, such as what approaches should be adopted to mine what architectural information in order to support architecting activities. It also hinders researchers from being aware of the challenges and remedies for the identified research gaps. We aim to identify, analyze, and synthesize the literature on mining architectural information in software repositories in terms of architectural information and sources mined, architecting activities supported, approaches and tools used, and challenges faced. A Systematic Mapping Study (SMS) has been conducted on the literature published between January 2006 and December 2022. Of the 104 primary studies finally selected, 7 categories of architectural information have been mined, among which architectural description is the most mined architectural information; 11 categories of sources have been leveraged for mining architectural information, among which version control system (e.g., GitHub) is the most popular source; 11 architecting activities can be supported by the mined architectural information, among which architecture understanding is the most supported activity; 95 approaches and 56 tools were proposed and employed in mining architectural information; and 4 types of challenges in mining architectural information were identified. This SMS provides researchers with promising future directions and help practitioners be aware of what approaches and tools can be used to mine what architectural information from what sources to support various architecting activities.","Musengamana Jean de Dieu; Peng Liang; Mojtaba Shahin; Chen Yang; Zengyang Li","2022","Empirical Software Engineering","10.1007/s10664-024-10480-6","5","Include"
"What Researchers are Currently Saying about Ontologies: A Review of Recent Web of Science Articles","Traditionally connected to philosophy, the term ontology is increasingly related to information systems areas. Some researchers consider the approaches of the two disciplinary contexts to be completely different. Others consider that, although different, they should talk to each other, as both seek to answer similar questions. With the extensive literature on this topic, we intend to contribute to the understanding of the use of the term ontology in current research and which references support this use. An exploratory study was developed with a mixed methodology and a sample collected from the Web of Science of articles published in 2018. The results show the current prevalence of computer science in studies related to ontology and also of Gruber's view suggesting ontology as kind of conceptualization, a dominant view in that field. Some researchers, particularly in the field of biomedicine, do not adhere to this dominant view but to another one that seems closer to ontological study in the philosophical context. The term ontology, in the context of information systems, appears to be consolidating with a meaning different from the original, presenting traces of the process of “metaphorization” in the transfer of the term between the two fields of study.","Luís Miguel Oliveira Machado; M. Almeida; R. R. Souza","2020","Knowledge organization","10.5771/0943-7444-2020-3-199","10","Include"
"Ontology-based systems engineering: A state-of-the-art review","Abstract In recent years ontology-based systems engineering has grown significantly. Its raison d’etre is to use ontologies to improve the systems engineering body of knowledge. Specifically, ontologies act as an enabler of good knowledge management as they focus on establishing well-defined domain concepts in terms of terminologies, definitions, and relationships. In addition, the use of formal semantics is essential for explicit, sharable, and reusable knowledge representation. However, little research exists that evaluates the impact and real benefits of ontologies for systems engineering. A thorough review of the state of the art of ontology-based systems engineering will contribute to the future development of the discipline. Therefore, the primary objective of this paper is to draw a clear roadmap of how ontologies support systems engineering and to determine what extent they have been applied in this domain. This review contributes to a holistic examination of the primary studies relevant to the topic of ontology-based systems engineering, spanning nearly two decades. The findings provide an integrated and comprehensive understanding of and shed new light on (1) the systems engineering knowledge areas supported by ontologies; (2) the contribution that ontologies make to systems engineering problems; (3) the existing ontologies that are created to support systems engineering; and (4) the techniques adopted from an ontology engineering perspective. It assesses the influence of ontologies in systems engineering knowledge areas, expounding and highlighting the effects of ontologies. All in all, it presents a comprehensive summary of the state of the art of ontology-based systems engineering, as well as illuminating a roadmap for future directions.","Lan Yang; K. Cormican; Ming Yu","2019","Computers in industry (Print)","10.1016/j.compind.2019.05.003","125","Include"
"Coupling ontology with reference architectures to facilitate the instantiation process of software system architectures","A reference architecture can be defined as a generic architecture for a set of information systems that is used as a basis to a software system architecture. It provides the foundation for the design of concrete architectures in terms of architectural design guidelines and architectural elements. In addition, it can be used by many software developers and architects to design software system architectures’ instances that best fit their customers’ requirements.&lt;br/&gt;&#13;\n&lt;br/&gt;Software system architectures play an essential role in defining the achievement of software systems. Therefore, it can be derived efficiently from a well-structured reference architecture. There is a lack of a well-defined methodology that instantiates the knowledge of the reference architecture to a clear and customised software system architecture. Consequently, the instantiation process of the software system architecture from the reference architecture is a difficult task because the reference architecture includes a huge amount of knowledge. This knowledge is not organised and not structured. In addition to that, there is no standard terminology used to describe the knowledge of the reference architecture. &lt;br/&gt;&#13;\n&lt;br/&gt;To tackle this issue, a mixed method research approach has been adopted in this research. In order to achieve the aim and objectives of the research, a qualitative approach, utilising multiple case studies, has been adopted to collect the qualitative data, and a quantitative approach, utilising survey questionnaires, has been adopted to collect the quantitative data. &lt;br/&gt;&#13;\n&lt;br/&gt;This thesis aims at facilitating the instantiation process of the software system architecture from the reference architecture by using an ontology. The ontology has been used as a tool to present the artefacts of a reference architecture in an organised and structured way. &lt;br/&gt;&#13;\n&lt;br/&gt;General vocabularies have been defined based on understanding the domain and the literature and by using multiple case studies from the literature. These vocabularies have been utilised as a basis to construct an ontological model. The ontological model will be utilised to organise and structure the artefacts of the reference architecture. It aims at providing vocabularies to software architects and developers to reduce the misunderstanding between them. Furthermore, to enable clear communication between software architects and developers and to achieve the unique representation of concepts by avoiding redundancies.&lt;br/&gt;&#13;\n&lt;br/&gt;User study has been adopted to evaluate the usability of the proposed methodology in term of the simplicity of the instantiation process of the software system architecture from the reference architecture. The results achieved in the evaluation study offered an evidence that the ontological model can positively affect the development of software system architectures. In addition to that, it can reduce the development time. Based on the final evaluation results, it can be concluded that our research has been successful in introducing the proposed methodology as a new idea to reduce complexity in the development process.","Z. Al-Bayati","2019","University of Salford Institutional Repository (University of Salford)","-","1","Include"
"Ontology-Based Knowledge Management Tools for Knowledge Sharing in Organization—A Review","Knowledge management (KM) comprises several processes, and one of the most important is the knowledge sharing activities. The ability of an organization to manage its organizational knowledge, specifically in the context of knowledge sharing, may enhance the organization’s overall performance. Various approaches and technologies have been introduced to assist the process in achieving that target. Ontology as one of the knowledge representation methods has been becoming popular to assist knowledge sharing in the organization. Previous reviews have mainly focused on general KM issues, with little emphasis on the use of ontology in knowledge sharing. Thus, this article reviews several ontology-based KM tools that can support knowledge-sharing activities to provide some insight into future research in this area. Thirteen ontology-based KM tools were reviewed using ten elements’ comparison criteria: the motivation, domain, source of knowledge, type of knowledge, knowledge extraction, knowledge input process, knowledge retrieval process, knowledge sharing technology, source of ontology component, and ontology methodology. The review found that several elements can be further studied to improve KM implementation in the organization, especially on the knowledge sharing dimension. This includes simplifying the knowledge extraction and retrieval process to explore various knowledge domains from implicit knowledge sources. The review’s outcome also includes proposed components and functions of an ideal ontology-based KM tool.","M. A. Osman; Shahrul Azman Mohd Noah; S. Saad","2022","IEEE Access","10.1109/access.2022.3163758","35","Include"
