DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.3389/fpsyt.2022.819623,Digital Therapeutic Alliance With Fully Automated Mental Health Smartphone Apps: A Narrative Review,"Fangziyun Tong, Reeva M. Lederman, Simon D’Alfonso, K. Berry, S. Bucci",Frontiers in Psychiatry,2022,"Fully automated mental health smartphone apps show strong promise in increasing access to psychological support. Therefore, it is crucial to understand how to make these apps effective. The therapeutic alliance (TA), or the relationship between healthcare professionals and clients, is considered fundamental to successful treatment outcomes in face-to-face therapy. Thus, understanding the TA in the context of fully automated apps would bring us insights into building effective smartphone apps which engage users. However, the concept of a digital therapeutic alliance (DTA) in the context of fully automated mental health smartphone apps is nascent and under-researched, and only a handful of studies have been published in this area. In particular, no published review paper examined the DTA in the context of fully automated apps. The objective of this review was to integrate the extant literature to identify research gaps and future directions in the investigation of DTA in relation to fully automated mental health smartphone apps. Our findings suggest that the DTA in relation to fully automated smartphone apps needs to be conceptualized differently to traditional face-to-face TA. First, the role of bond in the context of fully automated apps is unclear. Second, human components of face-to-face TA, such as empathy, are hard to achieve in the digital context. Third, some users may perceive apps as more non-judgmental and flexible, which may further influence DTA formation. Subdisciplines of computer science, such as affective computing and positive computing, and some human-computer interaction (HCI) theories, such as those of persuasive technology and human-app attachment, can potentially help to foster a sense of empathy, build tasks and goals and develop bond or an attachment between users and apps, which may further contribute to DTA formation in fully automated smartphone apps. Whilst the review produced a relatively limited quantity of literature, this reflects the novelty of the topic and the need for further research.",17227496,89,143,,
10.3390/su15042949,From Sport Policy to National Federation Sport Policy: An Integrative Literature Review and Conceptualisation Attempt,"Bastien Viollet, Nicolas Scelles, Qi Peng",Sustainability,2023,"The notion of sport policy is a relatively recent subject of study, but it has been frequently used over the last 20 years, particularly referring to governmental sport policies. However, less research has been conducted in the field of national sport federations (NSFs), which are key non-governmental structures in governing, organising and sustaining the development of sports. The objective of this article is to propose a conceptualisation of the notion of sport policy adapted to NSFs. The proposed approach consists of two steps: first, we conducted an extensive integrative literature review around the notion of sport policy. Second, based on the literature review, we developed a model that conceptualises what an NSF sport policy is. This conceptual model is intended to be a useful analytical tool to design, implement and assess the success of a sport policy for both researchers and practitioners working in the field of NSFs.",253844310,12,125,,
10.1080/15228053.2019.1637087,Challenges and facilitators practices for knowledge management in large-scale scrum teams,"Fernando Almeida, Emanuel Miranda, João Falcão",Journal of information technology case and application research,2019,"ABSTRACTSharing and managing knowledge is an essential resource for the success of a Scrum team. However, widely known knowledge management practices typically address only team level collaboration...",131456550,22,67,,
10.1038/s42256-023-00623-7,Introducing contextual transparency for automated decision systems,"Mona Sloane, Ian Solano-Kamaiko, Jun Yuan, Aritra Dasgupta, Julia Stoyanovich",Nature Machine Intelligence,2023,(missing abstract),255076583,15,122,,
10.3389/fcomp.2025.1601621,Exploring the usability of platforms for individuals with visual impairments: a systematic literature review,"Fahrobby Adnan, Januar Adi Putra, Maulida Dwi Agustiningsih, Eva Oktaviana, Nabila Anjani Robi’atul Adawiyah",Frontiers in Computer Science,2025,"The digital platform’s usability is crucial for users but is often overlooked for those with visual impairments. The study aims to review and analyze the usability of platforms for users with visual impairments. The study is a Systematic Literature Review (SLR) that adapts the preferred reporting items for Systematic Reviews and Meta-Analysis (PRISMA) model to review 49 out of 137 publications from 2019 to 2023 indexed in Scopus. Key themes emerging from the analysis include accessibility, navigation, daily activities, screen division layout, and audio guidance. The success of platform implementation is evaluated using the System Usability Scale (SUS), Think Aloud, and Heuristic Evaluation. Building upon the exploration of 49 findings and categorization, a subsequent search is conducted for similar studies that can reinforce the strength of the arguments presented in the 49 studies. The analysis in the study is examined through research questions to provide a comprehensive and in-depth insight into the use of technology to enhance the quality of daily life for users with visual impairment. In addition to evaluating the success of platform implementation and popular evaluation methods, the systematic literature review explores the evolution of assistive technologies over the reviewed period and identifies emerging trends. The study delves into the ethical considerations surrounding developing and implementing technologies catering to individuals with visual impairments. The research aims to contribute not only to the usability aspects but also to the responsible and inclusive advancement of technology for users with visual impairments. In conclusion, this systematic literature review provides a comprehensive overview of the current state of usability in platforms designed for individuals with visual impairments. The findings of this study contribute valuable insights for designers, developers, and policymakers to enhance the inclusivity of platforms for users with visual impairments. Recommendations based on the identified themes aim to guide future research and development, fostering continuous improvement in usability and user experience for this often-neglected user demographic.",288942146,2,52,,
10.1080/15228053.2019.1637087,Challenges and facilitators practices for knowledge management in large-scale scrum teams,"F. Almeida, Emanuel Miranda, João Falcão",Journal of IT Cases and Applications,2019,"ABSTRACT Sharing and managing knowledge is an essential resource for the success of a Scrum team. However, widely known knowledge management practices typically address only team level collaboration, which cannot be easily scaled to multiple Scrum teams. In this sense, this paper conducts an empirical study at one of the largest information technology companies operating in Portugal, in which multiple Scrum teams working locally and in remote offices develops e-commerce solutions for the African market. Several facilitators’ knowledge practices are identified and discussed, and also the main challenges and difficulties of scaling Scrum practices for large-scale teams are addressed.",280102984,19,63,,
10.3390/futuretransp6010049,Decarbonizing Freight Through Intermodal Transport: An Operations Research Perspective—Part I: Methodological Foundations and Model-Driven Insights,"Madelaine Martinez-Ferguson, Aliza Sharmin, Mustafa Can Camur, Xueping Li",Future Transportation,2026,"Intermodal transportation (IMT) has long been recognized as a key strategy for decarbonizing freight transportation (FT), which is one of the most polluting sectors worldwide. While IMT has been extensively examined using operations research (OR) methods, the integration of decarbonization objectives has only recently gained momentum. Despite this growing interest, to the best of our knowledge, no prior comprehensive review has systematically synthesized OR methodologies specifically addressing IMT decarbonization. To address this gap, we conduct a systematic literature review of OR studies on IMT decarbonization and organize the survey into two complementary parts. Part I focuses on methodological foundations of OR applications in IMT decarbonization. We classify studies by problem type and OR technique, analyzing modeling characteristics, solution approaches, and uncertainty treatment. Our analysis reveals that exact methods dominate the literature (41% of studies), while meta-heuristics show rapid recent growth with 50% of studies published recently. Approximately 20% of studies incorporate uncertainty, and they are predominantly demand-focused. We identify critical research gaps including limited multistage stochastic frameworks to capture cascading uncertainties, insufficient attention to terminal operations and network reliability, and the underutilization of emerging technologies such as reinforcement learning and digital twins. This systematic synthesis establishes the current state of OR methodologies in IMT decarbonization and provides a foundation for future innovations in sustainable freight systems.",300308166,0,166,,
10.1109/re48521.2020.00043,Towards Semantically Guided Traceability,"Yalin Liu, Jinfeng Lin, Qingkai Zeng, Meng Jiang, J. Cleland-Huang",IEEE International Requirements Engineering Conference,2020,"In many regulated domains, traceability is established across diverse artifacts such as requirements, design, code, test cases, and hazards – either manually or with the help of supporting tools, and the resulting trace links are used to support activities such as impact analysis, compliance verification, and safety inspections. Automated tracing techniques need to leverage the semantics of underlying artifacts in order to establish more accurate trace links and to provide explanations of links that have been created in either a manual or automated fashion. To support this, we propose an automated technique which leverages source code, project artifacts and an external domain corpus to generate a domain-specific concept model. We then use the generated concept model to improve traceability results and to provide explanations of the results. Our approach overcomes existing problems with deep-learning traceability algorithms, as it does not require a training set of existing trace links. Finally, as an initial proof-of-concept, we apply our semantically-guided approach to the Dronology project, and show that it improves over other tracing techniques that do not use a concept model.",140434103,11,37,,
10.1016/j.jclepro.2025.145611,CirDEF: Standardised Information Framework to address the Information Needs of Circularity Indicators,"Ravindu Kahandawa, Ruchini Senarath Jayasinghe, Kasun Gomis",Journal of Cleaner Production,2025,(missing abstract),286577489,1,61,,
10.3389/fphar.2019.00415,Computational Advances in Drug Safety: Systematic and Mapping Review of Knowledge Engineering Based Approaches,"P. Natsiavas, A. Malousi, C. Bousquet, M. Jaulent, V. Koutkias",Frontiers in Pharmacology,2019,"Drug Safety (DS) is a domain with significant public health and social impact. Knowledge Engineering (KE) is the Computer Science discipline elaborating on methods and tools for developing “knowledge-intensive” systems, depending on a conceptual “knowledge” schema and some kind of “reasoning” process. The present systematic and mapping review aims to investigate KE-based approaches employed for DS and highlight the introduced added value as well as trends and possible gaps in the domain. Journal articles published between 2006 and 2017 were retrieved from PubMed/MEDLINE and Web of Science® (873 in total) and filtered based on a comprehensive set of inclusion/exclusion criteria. The 80 finally selected articles were reviewed on full-text, while the mapping process relied on a set of concrete criteria (concerning specific KE and DS core activities, special DS topics, employed data sources, reference ontologies/terminologies, and computational methods, etc.). The analysis results are publicly available as online interactive analytics graphs. The review clearly depicted increased use of KE approaches for DS. The collected data illustrate the use of KE for various DS aspects, such as Adverse Drug Event (ADE) information collection, detection, and assessment. Moreover, the quantified analysis of using KE for the respective DS core activities highlighted room for intensifying research on KE for ADE monitoring, prevention and reporting. Finally, the assessed use of the various data sources for DS special topics demonstrated extensive use of dominant data sources for DS surveillance, i.e., Spontaneous Reporting Systems, but also increasing interest in the use of emerging data sources, e.g., observational healthcare databases, biochemical/genetic databases, and social media. Various exemplar applications were identified with promising results, e.g., improvement in Adverse Drug Reaction (ADR) prediction, detection of drug interactions, and novel ADE profiles related with specific mechanisms of action, etc. Nevertheless, since the reviewed studies mostly concerned proof-of-concept implementations, more intense research is required to increase the maturity level that is necessary for KE approaches to reach routine DS practice. In conclusion, we argue that efficiently addressing DS data analytics and management challenges requires the introduction of high-throughput KE-based methods for effective knowledge discovery and management, resulting ultimately, in the establishment of a continuous learning DS system.",43887078,18,178,,
