DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Designing Hybrid Work Organization in the Post-Pandemic Era: A Systematic Literature Review,"Ana Cristina Martins Bruno, Francisco José de Castro Moura Duarte",Work,2026,"BackgroundIn the post-COVID-19 context, hybrid work (HW) expanded rapidly, often without systematic organizational design or alignment to task demands, generating conceptual ambiguities and limited guidance for configuring HW as an organizational system.ObjectiveTo update the conceptualization of HW and identify elements for designing hybrid work organization (HWO) from a task-based perspective.MethodsA systematic literature review was conducted from June to August 2025 following PRISMA guidelines. Peer-reviewed English-language articles (2020-2025) were retrieved from Scopus, and grey literature (2022-2025) was incorporated through complementary searches and snowballing. Research quality was appraised using MMAT and AACODS tools. Of 363 records screened, 110 full texts were assessed, and 25 met inclusion criteria.ResultsHW emerges as a sociotechnical phenomenon embedded in the digital transformation of work. A multidimensional lens - spatial, temporal, digital/virtual, and social - applied to task categories (individual, collaborative, coordination) identified key designable elements for HWO. Findings indicate that HW extends beyond fixed remote-on-site ratios, emphasizing intentional alternation, task-fit configurations, and dynamic adjustments as work evolves.ConclusionsHWO is context-specific and adaptive, shaped by task requirements rather than predefined schedules or locations. No single model prevails; instead, tailored configurations reflect the variability of real work. Advancing HW as a sociotechnical system requires rethinking organizational culture and management logic, shifting from presence and control-oriented paradigms toward flexible, task-driven, and performance-focused approaches. Progress depends on treating organizational design as a participatory process that aligns arrangements with demands.",300837392,0,30,(missing PubMedId)
(missing DOI),Decarbonizing Freight Through Intermodal Transport: An Operations Research Perspective—Part I: Methodological Foundations and Model-Driven Insights,"Madelaine Martinez-Ferguson, Aliza Sharmin, Mustafa Can Camur, Xueping Li",Future Transportation,2026,"Intermodal transportation (IMT) has long been recognized as a key strategy for decarbonizing freight transportation (FT), which is one of the most polluting sectors worldwide. While IMT has been extensively examined using operations research (OR) methods, the integration of decarbonization objectives has only recently gained momentum. Despite this growing interest, to the best of our knowledge, no prior comprehensive review has systematically synthesized OR methodologies specifically addressing IMT decarbonization. To address this gap, we conduct a systematic literature review of OR studies on IMT decarbonization and organize the survey into two complementary parts. Part I focuses on methodological foundations of OR applications in IMT decarbonization. We classify studies by problem type and OR technique, analyzing modeling characteristics, solution approaches, and uncertainty treatment. Our analysis reveals that exact methods dominate the literature (41% of studies), while meta-heuristics show rapid recent growth with 50% of studies published recently. Approximately 20% of studies incorporate uncertainty, and they are predominantly demand-focused. We identify critical research gaps including limited multistage stochastic frameworks to capture cascading uncertainties, insufficient attention to terminal operations and network reliability, and the underutilization of emerging technologies such as reinforcement learning and digital twins. This systematic synthesis establishes the current state of OR methodologies in IMT decarbonization and provides a foundation for future innovations in sustainable freight systems.",300308166,0,166,(missing PubMedId)
(missing DOI),Chaos Engineering Strategies for Enhancing Resilience in Complex Cyber-Physical (CPS) and Industrial Control Systems (ICS) : a Literature Review,"Ali S. Ismailov, Nadia Saad Noori","IEEE International Conference on Systems, Man and Cybernetics",2025,"Chaos engineering has emerged as a proactive discipline for assessing and enhancing the resilience of complex cyber-physical and industrial control systems. In this literature review, we systematically synthesize recent advances in applying chaos engineering principles to critical infrastructure domains such as power grids, water treatment facilities, and industrial processes. Guided by two central research questions, our review employs a systematic snowball literature review methodology complemented by Boolean keyword searches to identify key experimental studies and frameworks. The literature reveals that deliberate fault injection from sensor disruptions to simulated cyberattacks can effectively uncover hidden vulnerabilities and validate system safeguards. In addition, we highlight the benefits of a modular approach to chaos engineering, whereby complex industrial control systems are decomposed into discrete modules for targeted testing, including the integration of digital twin technologies and cloud-based platforms. Our analysis addresses significant challenges such as safety management, system interdependencies, and the need for domain-specific frameworks, ultimately charting a course for future research and practical applications aimed at designing more robust and reliable critical infrastructures.",298628355,0,16,(missing PubMedId)
(missing DOI),Assessing Diversity in Creating Seed Set for Snowballing Search for Systematic Literature Review in Software Engineering,"K. Felizardo, Francisco Carlos Souza, A. C. Correa Souza, B. Napoleão, Igor Steinmacher, M. Gerosa",International Symposium on Empirical Software Engineering and Measurement,2025,"Background: Systematic literature reviews (SLRs) require robust search strategies to ensure comprehensive coverage. Although database searches have traditionally been the primary method, snowballing has emerged as an effective alternative strategy in software engineering research. However, the success of snowballing heavily depends on the initial seed set's composition, particularly regarding diversity across authors, publication years, and venues. Objective: This study investigates how different diversity characteristics in seed set creation influence snowballing performance and effectiveness in identifying relevant literature. Method: We conducted replication studies of two existing SLRs, comparing their conventional seed set creation approaches with our diversity-driven methodology, where we systematically incorporated diversity characteristics into constructing the seed sets. Results: Our diversity-based approach demonstrated substantial improvements, with a precision of 0.019 (compared to 0.006 in the original), a relative recall of 0.97 (versus 0.921), and an F-measure of 0.0372 (improving from 0.0119). Conclusions: The empirical evidence suggests that incorporating diversity criteria in seed set creation enhances snowballing efficacy while maintaining comprehensive coverage of relevant literature. This approach offers a systematic and effective method for conducting snowballbased literature reviews in software engineering research.",297795950,0,39,(missing PubMedId)
10.1145/3777379,"A Review of Open-RAN Intelligence: Opportunities, Challenges, Real-Life Applications and Impacts","Haitham Mahmoud, De Mi, Adel Aneiba, Moad Idrissi, Gaurav Sharma, Chuan Heng Foh, Pei Xiao",ACM Computing Surveys,2025,"The dynamic nature of modern network settings presents challenges for traditional base stations, leading to inefficient resource utilisation. These issues are exacerbated by the unpredictability of network scenarios, such as unexpected hardware problems or sudden increases in user demand. More adaptive and intelligent systems that can handle these issues are becoming increasingly critical and essential. Open-RAN is an intelligent and adaptable mobile network architecture featuring learning-based capabilities and a software layer for adaptation that can incorporate AI and ML to optimise communication networks and improve resource efficiency. Hence, this article aims to systematically review intelligence for Open-RAN through the adoption of the RAN Intelligent Controller (RIC). This comprehensive review also includes (1) real-world use cases for various industries, (2) the potential use cases for various intelligent models in terms of 5G core, RAN and air interface, (3) the advantages and challenges of AI incorporation within Open-RAN, and (4) the societal, environmental and economic impact of Open-RAN intelligence. This article outlines the significance of intelligence in the context of Open-RAN and highlights potential use cases, examining their impact and presenting challenges for further exploration by researchers in the field.",d4e9e842-ba05-4c76-9dba-4294bc7ac6fd,0,95,(missing PubMedId)
10.3389/FCOMP.2025.1601621,Exploring the usability of platforms for individuals with visual impairments: a systematic literature review,"Fahrobby Adnan,  Januar Adi Putra,  Maulida Dwi Agustiningsih,  Eva Oktaviana,  Nabila Anjani Robi’atul Adawiyah",Frontiers in Computer Science,2025,"The digital platform’s usability is crucial for users but is often overlooked for those with visual impairments. The study aims to review and analyze the usability of platforms for users with visual impairments. The study is a Systematic Literature Review (SLR) that adapts the preferred reporting items for Systematic Reviews and Meta-Analysis (PRISMA) model to review 49 out of 137 publications from 2019 to 2023 indexed in Scopus. Key themes emerging from the analysis include accessibility, navigation, daily activities, screen division layout, and audio guidance. The success of platform implementation is evaluated using the System Usability Scale (SUS), Think Aloud, and Heuristic Evaluation. Building upon the exploration of 49 findings and categorization, a subsequent search is conducted for similar studies that can reinforce the strength of the arguments presented in the 49 studies. The analysis in the study is examined through research questions to provide a comprehensive and in-depth insight into the use of technology to enhance the quality of daily life for users with visual impairment. In addition to evaluating the success of platform implementation and popular evaluation methods, the systematic literature review explores the evolution of assistive technologies over the reviewed period and identifies emerging trends. The study delves into the ethical considerations surrounding developing and implementing technologies catering to individuals with visual impairments. The research aims to contribute not only to the usability aspects but also to the responsible and inclusive advancement of technology for users with visual impairments. In conclusion, this systematic literature review provides a comprehensive overview of the current state of usability in platforms designed for individuals with visual impairments. The findings of this study contribute valuable insights for designers, developers, and policymakers to enhance the inclusivity of platforms for users with visual impairments. Recommendations based on the identified themes aim to guide future research and development, fostering continuous improvement in usability and user experience for this often-neglected user demographic.",bf8e380d-d82b-4d21-adf6-d87aa41083ed,2,52,(missing PubMedId)
10.1016/J.JTTE.2024.01.003,A scientometric review of research on built environment influence on public transportation demand,"Yuji Shi,  Z Zhang,  Zhuofan Yan",Journal of Traffic and Transportation Engineering (English Edition),2025,(missing abstract),cebba767-9f2c-4b36-a1a3-0d00f174acec,3,95,(missing PubMedId)
10.1016/J.JCLEPRO.2025.145611,CirDEF: Standardised Information Framework to address the Information Needs of Circularity Indicators,"Ravindu Kahandawa,  Ruchini Senarath Jayasinghe,  Kasun Gomis",Journal of Cleaner Production,2025,(missing abstract),4275e03c-8c35-47f1-8e68-32b803fdc1d3,1,61,(missing PubMedId)
10.1108/IJCS-09-2018-0024,Mobile devices compatibility testing strategy via crowdsourcing,"Qamar Naith, Fabio Ciravegna",International Journal of Crowd Science,2018,"
Purpose
This paper aims to support small mobile application development teams or companies performing testing on a large variety of operating systems versions and mobile devices to ensure their seamless working.


Design/methodology/approach
This paper proposes a “hybrid crowdsourcing” method that leverages the power of public crowd testers. This leads to generating a novel crowdtesting workflow Developer/Tester- Crowdtesting (DT-CT) that focuses on developers and crowd testers as key elements in the testing process without the need for intermediate as managers or leaders. This workflow has been used in a novel crowdtesting platform (AskCrowd2Test). This platform enables testing the compatibility of mobile devices and applications at two different levels, high-level (device characteristics) or low-level (code). Additionally, a “crowd-powered knowledge base” has been developed that stores testing results, relevant issues and their solutions.


Findings
The comparison of the presented DT-CT workflow with the common and most recent crowdtesting workflows showed that DT-CT may positively impact the testing process by reducing time-consuming and budget spend because of the direct interaction of developers and crowd testers.


Originality/value
To authors’ knowledge, this paper is the first to propose crowdtesting workflow based on developers and public crowd testers without crowd managers or leaders, which light the beacon for the future research in this field. Additionally, this work is the first that authorizes crowd testers with a limited level of experience to participate in the testing process, which helps in studying the behaviors and interaction of end-users with apps and obtains more concrete results.
",af1dd064-6488-4da4-8e66-1a0342966699,4,17,(missing PubMedId)
(missing DOI),A Review on Intermodal Transportation and Decarbonization: An Operations Research Perspective,"Madelaine Martinez Ferguson, Aliza Sharmin, Mustafa Can Camur, Xueping Li",(missing journal),2025,"This paper reviews intermodal transportation systems and their role in decarbonizing freight networks from an operations research perspective, analyzing over a decade of studies (2010-2024). We present a chronological analysis of the literature, illustrating how the field evolved over time while highlighting the emergence of new research avenues. We observe a significant increase in research addressing decarbonization since 2018, driven by regulatory pressures and technological advancements. Our integrated analysis is organized around three themes: a) modality, b) sustainability, and c) solution techniques. Key recommendations include the development of multistage stochastic models to better manage uncertainties and disruptions within intermodal transportation systems. Further research could leverage innovative technologies like machine learning and blockchain to improve decision-making and resource use through stakeholder collaboration. Life cycle assessment models are also suggested to better understand emissions across transportation stages and support the transition to alternative energy sources.",bf9f3016-34e9-4f9b-b41f-10e99afefa95,1,231,(missing PubMedId)
