title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Factors shaping non-expert trust in AI: A systematic snowballing review of explainable AI design considerations,"Background Trust in artificial intelligence (AI) systems is critical for ethical and effective adoption, particularly among non-expert users. This review aimed to identify factors influencing trust and practical considerations for designing explainable AI (XAI) systems. Methods We systematically reviewed the literature following PRISMA 2020 guidelines and using backward and forward citation searches. The primary search was carried out in Web of Science (WoS), with the final search completed in January 2025. Eligible studies were peer-reviewed publications examining trust in AI among non-expert users and/or design considerations for XAI. Exclusion criteria removed studies focused solely on expert users or unrelated to trust or explainability. Results 35 studies involving diverse non-expert populations were included. We used a thematic synthesis approach to identify 33 trust-related factors grouped into personal characteristics, sociocultural influences, design and interaction attributes, and system-level properties (e.g., age, emotions, digital literacy, social norms, usability, aesthetics, explanation type, accuracy, transparency, regulatory compliance). Additionally, 120 design considerations were extracted across nine domains, including type and form of explanation; user experience and interaction; trust, transparency and human oversight; robustness, safety and reliability; data, traceability and the AI lifecycle; regulation and compliance; ethics, values and social responsibility; evaluation methods and metrics; and usage context and organizational factors. Conclusions The review synthesizes emerging perspectives on AI trust and explainability and identifies six domains that warrant further research to support the responsible design and deployment of XAI systems. Limitations include heterogeneous evaluation practices and inconsistent operationalization of trust among non-expert users, which complicates comparability across studies and hinder the responsible deployment of XAI systems.","[{'authorId': '31864842', 'name': 'L. Wright'}, {'authorId': '1475758262', 'name': 'Iker Legarda'}, {'authorId': '39254130', 'name': 'Ganix Lasa'}, {'authorId': '2339386585', 'name': 'Oscar Escallada'}]",2026.0,Open Research Europe,{'name': 'Open Research Europe'},https://www.semanticscholar.org/paper/dbf9abb30c77d17d11c2b5e11b8e6d6ce48c6e50,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.12688/openreseurope.22034.1?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.12688/openreseurope.22034.1, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,38,,"['JournalArticle', 'Review']",,"{'DOI': '10.12688/openreseurope.22034.1', 'CorpusId': 287650943}",0,"L. Wright, Iker Legarda, Ganix Lasa, Oscar Escallada","JournalArticle, Review","DOI:10.12688/openreseurope.22034.1, CorpusId:287650943"
Designing Hybrid Work Organization in the Post-Pandemic Era: A Systematic Literature Review.,"BackgroundIn the post-COVID-19 context, hybrid work (HW) expanded rapidly, often without systematic organizational design or alignment to task demands, generating conceptual ambiguities and limited guidance for configuring HW as an organizational system.ObjectiveTo update the conceptualization of HW and identify elements for designing hybrid work organization (HWO) from a task-based perspective.MethodsA systematic literature review was conducted from June to August 2025 following PRISMA guidelines. Peer-reviewed English-language articles (2020-2025) were retrieved from Scopus, and grey literature (2022-2025) was incorporated through complementary searches and snowballing. Research quality was appraised using MMAT and AACODS tools. Of 363 records screened, 110 full texts were assessed, and 25 met inclusion criteria.ResultsHW emerges as a sociotechnical phenomenon embedded in the digital transformation of work. A multidimensional lens - spatial, temporal, digital/virtual, and social - applied to task categories (individual, collaborative, coordination) identified key designable elements for HWO. Findings indicate that HW extends beyond fixed remote-on-site ratios, emphasizing intentional alternation, task-fit configurations, and dynamic adjustments as work evolves.ConclusionsHWO is context-specific and adaptive, shaped by task requirements rather than predefined schedules or locations. No single model prevails; instead, tailored configurations reflect the variability of real work. Advancing HW as a sociotechnical system requires rethinking organizational culture and management logic, shifting from presence and control-oriented paradigms toward flexible, task-driven, and performance-focused approaches. Progress depends on treating organizational design as a participatory process that aligns arrangements with demands.","[{'authorId': '2414165849', 'name': 'Ana Cristina Martins Bruno'}, {'authorId': '2368758928', 'name': 'Francisco José de Castro Moura Duarte'}]",2026.0,Work,"{'pages': '\n          10519815261423140\n        ', 'name': 'Work'}",https://www.semanticscholar.org/paper/8adf16754b04f426b8112ca35c203dc8629cd7a5,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1177/10519815261423140?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1177/10519815261423140, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,22,,"['Review', 'JournalArticle']",['Medicine'],"{'DOI': '10.1177/10519815261423140', 'CorpusId': 285812847, 'PubMed': '41719175'}",0,"Ana Cristina Martins Bruno, Francisco José de Castro Moura Duarte","Review, JournalArticle","DOI:10.1177/10519815261423140, CorpusId:285812847, PubMed:41719175"
Decarbonizing Freight Through Intermodal Transport: An Operations Research Perspective—Part I: Methodological Foundations and Model-Driven Insights,"Intermodal transportation (IMT) has long been recognized as a key strategy for decarbonizing freight transportation (FT), which is one of the most polluting sectors worldwide. While IMT has been extensively examined using operations research (OR) methods, the integration of decarbonization objectives has only recently gained momentum. Despite this growing interest, to the best of our knowledge, no prior comprehensive review has systematically synthesized OR methodologies specifically addressing IMT decarbonization. To address this gap, we conduct a systematic literature review of OR studies on IMT decarbonization and organize the survey into two complementary parts. Part I focuses on methodological foundations of OR applications in IMT decarbonization. We classify studies by problem type and OR technique, analyzing modeling characteristics, solution approaches, and uncertainty treatment. Our analysis reveals that exact methods dominate the literature (41% of studies), while meta-heuristics show rapid recent growth with 50% of studies published recently. Approximately 20% of studies incorporate uncertainty, and they are predominantly demand-focused. We identify critical research gaps including limited multistage stochastic frameworks to capture cascading uncertainties, insufficient attention to terminal operations and network reliability, and the underutilization of emerging technologies such as reinforcement learning and digital twins. This systematic synthesis establishes the current state of OR methodologies in IMT decarbonization and provides a foundation for future innovations in sustainable freight systems.","[{'authorId': '2409383103', 'name': 'Madelaine Martinez-Ferguson'}, {'authorId': '2143034520', 'name': 'Aliza Sharmin'}, {'authorId': '21702647', 'name': 'M. C. Camur'}, {'authorId': '2394254241', 'name': 'Xueping Li'}]",2026.0,Future Transportation,{'name': 'Future Transportation'},https://www.semanticscholar.org/paper/32d98eb50e47fb1d483dc1259cafb04b431a42c8,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.3390/futuretransp6010049?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/futuretransp6010049, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,155,,"['JournalArticle', 'Review']",,"{'DOI': '10.3390/futuretransp6010049', 'CorpusId': 285851425}",0,"Madelaine Martinez-Ferguson, Aliza Sharmin, M. C. Camur, Xueping Li","JournalArticle, Review","DOI:10.3390/futuretransp6010049, CorpusId:285851425"
"A Review of Open-RAN Intelligence: Opportunities, Challenges, Real-Life Applications and Impacts","The dynamic nature of modern network settings presents challenges for traditional base stations, leading to inefficient resource utilisation. These issues are exacerbated by the unpredictability of network scenarios, such as unexpected hardware problems or sudden increases in user demand. More adaptive and intelligent systems that can handle these issues are becoming increasingly critical and essential. Open-RAN is an intelligent and adaptable mobile network architecture featuring learning-based capabilities and a software layer for adaptation that can incorporate AI and ML to optimise communication networks and improve resource efficiency. Hence, this article aims to systematically review intelligence for Open-RAN through the adoption of the RAN Intelligent Controller (RIC). This comprehensive review also includes (1) real-world use cases for various industries, (2) the potential use cases for various intelligent models in terms of 5G core, RAN and air interface, (3) the advantages and challenges of AI incorporation within Open-RAN, and (4) the societal, environmental and economic impact of Open-RAN intelligence. This article outlines the significance of intelligence in the context of Open-RAN and highlights potential use cases, examining their impact and presenting challenges for further exploration by researchers in the field.","[{'authorId': '2304786545', 'name': 'Haitham H. Mahmoud'}, {'authorId': '2320435239', 'name': 'De Mi'}, {'authorId': '2380139743', 'name': 'Adel Aneiba'}, {'authorId': '1573606621', 'name': 'Moad Idrissi'}, {'authorId': '2286164487', 'name': 'Gaurav Sharma'}, {'authorId': '1690137', 'name': 'C. Foh'}, {'authorId': '2293392561', 'name': 'Pei Xiao'}]",2025.0,ACM Computing Surveys,"{'volume': '58', 'pages': '1 - 36', 'name': 'ACM Computing Surveys'}",https://www.semanticscholar.org/paper/3021d6f6c5cca48095bd3082a1086d1d9e824014,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3777379?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3777379, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,108,,"['JournalArticle', 'Review']",,"{'DOI': '10.1145/3777379', 'CorpusId': 283152223}",0,"Haitham H. Mahmoud, De Mi, Adel Aneiba, Moad Idrissi, Gaurav Sharma, C. Foh, Pei Xiao","JournalArticle, Review","DOI:10.1145/3777379, CorpusId:283152223"
Chaos Engineering Strategies for Enhancing Resilience in Complex Cyber-Physical (CPS) and Industrial Control Systems (ICS) : a Literature Review,"Chaos engineering has emerged as a proactive discipline for assessing and enhancing the resilience of complex cyber-physical and industrial control systems. In this literature review, we systematically synthesize recent advances in applying chaos engineering principles to critical infrastructure domains such as power grids, water treatment facilities, and industrial processes. Guided by two central research questions, our review employs a systematic snowball literature review methodology complemented by Boolean keyword searches to identify key experimental studies and frameworks. The literature reveals that deliberate fault injection from sensor disruptions to simulated cyberattacks can effectively uncover hidden vulnerabilities and validate system safeguards. In addition, we highlight the benefits of a modular approach to chaos engineering, whereby complex industrial control systems are decomposed into discrete modules for targeted testing, including the integration of digital twin technologies and cloud-based platforms. Our analysis addresses significant challenges such as safety management, system interdependencies, and the need for domain-specific frameworks, ultimately charting a course for future research and practical applications aimed at designing more robust and reliable critical infrastructures.","[{'authorId': '2407278581', 'name': 'Ali S. Ismailov'}, {'authorId': '2407279069', 'name': 'Nadia Saad Noori'}]",2025.0,"IEEE International Conference on Systems, Man and Cybernetics","{'pages': '1360-1364', 'name': '2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)'}",https://www.semanticscholar.org/paper/75f52a3f58e3c644001b2bf1e573daf2ad4e0a9a,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/SMC58881.2025.11343018?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/SMC58881.2025.11343018, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,15,,"['JournalArticle', 'Conference', 'Review']",['Computer Science'],"{'DBLP': 'conf/smc/IsmailovN25', 'DOI': '10.1109/SMC58881.2025.11343018', 'CorpusId': 285109144}",0,"Ali S. Ismailov, Nadia Saad Noori","JournalArticle, Conference, Review","DBLP:conf/smc/IsmailovN25, DOI:10.1109/SMC58881.2025.11343018, CorpusId:285109144"
Assessing Diversity in Creating Seed Set for Snowballing Search for Systematic Literature Review in Software Engineering,"Background: Systematic literature reviews (SLRs) require robust search strategies to ensure comprehensive coverage. Although database searches have traditionally been the primary method, snowballing has emerged as an effective alternative strategy in software engineering research. However, the success of snowballing heavily depends on the initial seed set's composition, particularly regarding diversity across authors, publication years, and venues. Objective: This study investigates how different diversity characteristics in seed set creation influence snowballing performance and effectiveness in identifying relevant literature. Method: We conducted replication studies of two existing SLRs, comparing their conventional seed set creation approaches with our diversity-driven methodology, where we systematically incorporated diversity characteristics into constructing the seed sets. Results: Our diversity-based approach demonstrated substantial improvements, with a precision of 0.019 (compared to 0.006 in the original), a relative recall of 0.97 (versus 0.921), and an F-measure of 0.0372 (improving from 0.0119). Conclusions: The empirical evidence suggests that incorporating diversity criteria in seed set creation enhances snowballing efficacy while maintaining comprehensive coverage of relevant literature. This approach offers a systematic and effective method for conducting snowballbased literature reviews in software engineering research.","[{'authorId': '2326165113', 'name': 'K. Felizardo'}, {'authorId': '32848316', 'name': 'Francisco Carlos M. Souza'}, {'authorId': '2116771819', 'name': 'A. Souza'}, {'authorId': '23176743', 'name': 'B. Napoleão'}, {'authorId': '2266325363', 'name': 'Igor Steinmacher'}, {'authorId': '2336303346', 'name': 'M. Gerosa'}]",2025.0,International Symposium on Empirical Software Engineering and Measurement,"{'pages': '01-11', 'name': '2025 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)'}",https://www.semanticscholar.org/paper/94e527ad26c819885775cdcb44f50f44289c603e,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ESEM64174.2025.00028?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ESEM64174.2025.00028, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,33,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'conf/esem/FelizardoSSNSG25', 'DOI': '10.1109/ESEM64174.2025.00028', 'CorpusId': 284722009}",0,"K. Felizardo, Francisco Carlos M. Souza, A. Souza, B. Napoleão, Igor Steinmacher, M. Gerosa","JournalArticle, Review","DBLP:conf/esem/FelizardoSSNSG25, DOI:10.1109/ESEM64174.2025.00028, CorpusId:284722009"
Exploring the usability of platforms for individuals with visual impairments: a systematic literature review,"The digital platform’s usability is crucial for users but is often overlooked for those with visual impairments. The study aims to review and analyze the usability of platforms for users with visual impairments. The study is a Systematic Literature Review (SLR) that adapts the preferred reporting items for Systematic Reviews and Meta-Analysis (PRISMA) model to review 49 out of 137 publications from 2019 to 2023 indexed in Scopus. Key themes emerging from the analysis include accessibility, navigation, daily activities, screen division layout, and audio guidance. The success of platform implementation is evaluated using the System Usability Scale (SUS), Think Aloud, and Heuristic Evaluation. Building upon the exploration of 49 findings and categorization, a subsequent search is conducted for similar studies that can reinforce the strength of the arguments presented in the 49 studies. The analysis in the study is examined through research questions to provide a comprehensive and in-depth insight into the use of technology to enhance the quality of daily life for users with visual impairment. In addition to evaluating the success of platform implementation and popular evaluation methods, the systematic literature review explores the evolution of assistive technologies over the reviewed period and identifies emerging trends. The study delves into the ethical considerations surrounding developing and implementing technologies catering to individuals with visual impairments. The research aims to contribute not only to the usability aspects but also to the responsible and inclusive advancement of technology for users with visual impairments. In conclusion, this systematic literature review provides a comprehensive overview of the current state of usability in platforms designed for individuals with visual impairments. The findings of this study contribute valuable insights for designers, developers, and policymakers to enhance the inclusivity of platforms for users with visual impairments. Recommendations based on the identified themes aim to guide future research and development, fostering continuous improvement in usability and user experience for this often-neglected user demographic.","[{'authorId': '40770106', 'name': 'Fahrobby Adnan'}, {'authorId': '2070311494', 'name': 'Januar Adi Putra'}, {'authorId': '2129257671', 'name': 'Maulida Dwi Agustiningsih'}, {'authorId': '2373173216', 'name': 'Eva Oktaviana'}, {'authorId': '2425499247', 'name': ""Nabila Anjani Robi'atul Adawiyah""}]",2025.0,Frontiers Comput. Sci.,"{'volume': '7', 'name': 'Frontiers Comput. Sci.'}",https://www.semanticscholar.org/paper/f8bd9d6d6773aaefeaec5dd570cc133bc4bfd607,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.3389/fcomp.2025.1601621?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3389/fcomp.2025.1601621, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",3,50,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/fcomp/AdnanPAOA25', 'DOI': '10.3389/fcomp.2025.1601621', 'CorpusId': 280194526}",1,"Fahrobby Adnan, Januar Adi Putra, Maulida Dwi Agustiningsih, Eva Oktaviana, Nabila Anjani Robi'atul Adawiyah","JournalArticle, Review","DBLP:journals/fcomp/AdnanPAOA25, DOI:10.3389/fcomp.2025.1601621, CorpusId:280194526"
A scientometric review of research on built environment influence on public transportation demand,,"[{'authorId': '2240383614', 'name': 'Yuji Shi'}, {'authorId': '2365961792', 'name': 'Zan Zhang'}, {'authorId': '2239954561', 'name': 'Zhuofan Yan'}]",2025.0,Journal of Traffic and Transportation Engineering,{'name': 'Journal of Traffic and Transportation Engineering (English Edition)'},https://www.semanticscholar.org/paper/c9df4acc1beeee71b271354d515bcf2f1fbbf804,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jtte.2024.01.003?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jtte.2024.01.003, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,80,,"['JournalArticle', 'Review']",,"{'DOI': '10.1016/j.jtte.2024.01.003', 'CorpusId': 279215123}",0,"Yuji Shi, Zan Zhang, Zhuofan Yan","JournalArticle, Review","DOI:10.1016/j.jtte.2024.01.003, CorpusId:279215123"
CirDEF: Standardised Information Framework to address the Information Needs of Circularity Indicators,,"[{'authorId': '1518247044', 'name': 'Ravindu Kahandawa'}, {'authorId': '108586362', 'name': 'R. Jayasinghe'}, {'authorId': '2325996088', 'name': 'Kasun Gomis'}]",2025.0,Journal of Cleaner Production,{'name': 'Journal of Cleaner Production'},https://www.semanticscholar.org/paper/a38fb35d475debe55a045f73604ef6cb02a27386,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jclepro.2025.145611?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jclepro.2025.145611, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,49,,['JournalArticle'],,"{'DOI': '10.1016/j.jclepro.2025.145611', 'CorpusId': 278190453}",0,"Ravindu Kahandawa, R. Jayasinghe, Kasun Gomis",JournalArticle,"DOI:10.1016/j.jclepro.2025.145611, CorpusId:278190453"
A Review on Intermodal Transportation and Decarbonization: An Operations Research Perspective,"This paper reviews intermodal transportation systems and their role in decarbonizing freight networks from an operations research perspective, analyzing over a decade of studies (2010-2024). We present a chronological analysis of the literature, illustrating how the field evolved over time while highlighting the emergence of new research avenues. We observe a significant increase in research addressing decarbonization since 2018, driven by regulatory pressures and technological advancements. Our integrated analysis is organized around three themes: a) modality, b) sustainability, and c) solution techniques. Key recommendations include the development of multistage stochastic models to better manage uncertainties and disruptions within intermodal transportation systems. Further research could leverage innovative technologies like machine learning and blockchain to improve decision-making and resource use through stakeholder collaboration. Life cycle assessment models are also suggested to better understand emissions across transportation stages and support the transition to alternative energy sources.","[{'authorId': '2328292040', 'name': 'Madelaine Martinez Ferguson'}, {'authorId': '2143034520', 'name': 'Aliza Sharmin'}, {'authorId': '21702647', 'name': 'M. C. Camur'}, {'authorId': '2303805053', 'name': 'Xueping Li'}]",2025.0,,,https://www.semanticscholar.org/paper/a8ef3ebdb3aba1bde3c98e0840dd1a398aca88fe,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2503.12322, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,218,,['Review'],['Mathematics'],"{'ArXiv': '2503.12322', 'CorpusId': 277065965}",0,"Madelaine Martinez Ferguson, Aliza Sharmin, M. C. Camur, Xueping Li",Review,"ArXiv:2503.12322, CorpusId:277065965"
