Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Factors shaping non-expert trust in AI: A systematic snowballing review of explainable AI design considerations","Background Trust in artificial intelligence (AI) systems is critical for ethical and effective adoption, particularly among non-expert users. This review aimed to identify factors influencing trust and practical considerations for designing explainable AI (XAI) systems. Methods We systematically reviewed the literature following PRISMA 2020 guidelines and using backward and forward citation searches. The primary search was carried out in Web of Science (WoS), with the final search completed in January 2025. Eligible studies were peer-reviewed publications examining trust in AI among non-expert users and/or design considerations for XAI. Exclusion criteria removed studies focused solely on expert users or unrelated to trust or explainability. Results 35 studies involving diverse non-expert populations were included. We used a thematic synthesis approach to identify 33 trust-related factors grouped into personal characteristics, sociocultural influences, design and interaction attributes, and system-level properties (e.g., age, emotions, digital literacy, social norms, usability, aesthetics, explanation type, accuracy, transparency, regulatory compliance). Additionally, 120 design considerations were extracted across nine domains, including type and form of explanation; user experience and interaction; trust, transparency and human oversight; robustness, safety and reliability; data, traceability and the AI lifecycle; regulation and compliance; ethics, values and social responsibility; evaluation methods and metrics; and usage context and organizational factors. Conclusions The review synthesizes emerging perspectives on AI trust and explainability and identifies six domains that warrant further research to support the responsible design and deployment of XAI systems. Limitations include heterogeneous evaluation practices and inconsistent operationalization of trust among non-expert users, which complicates comparability across studies and hinder the responsible deployment of XAI systems.","L. Wright; Iker Legarda; Ganix Lasa; Oscar Escallada","2026","Open Research Europe","10.12688/openreseurope.22034.1","-","-","https://doi.org/10.12688/openreseurope.22034.1","","-","-","Include"
"Designing Hybrid Work Organization in the Post-Pandemic Era: A Systematic Literature Review.","BackgroundIn the post-COVID-19 context, hybrid work (HW) expanded rapidly, often without systematic organizational design or alignment to task demands, generating conceptual ambiguities and limited guidance for configuring HW as an organizational system.ObjectiveTo update the conceptualization of HW and identify elements for designing hybrid work organization (HWO) from a task-based perspective.MethodsA systematic literature review was conducted from June to August 2025 following PRISMA guidelines. Peer-reviewed English-language articles (2020-2025) were retrieved from Scopus, and grey literature (2022-2025) was incorporated through complementary searches and snowballing. Research quality was appraised using MMAT and AACODS tools. Of 363 records screened, 110 full texts were assessed, and 25 met inclusion criteria.ResultsHW emerges as a sociotechnical phenomenon embedded in the digital transformation of work. A multidimensional lens - spatial, temporal, digital/virtual, and social - applied to task categories (individual, collaborative, coordination) identified key designable elements for HWO. Findings indicate that HW extends beyond fixed remote-on-site ratios, emphasizing intentional alternation, task-fit configurations, and dynamic adjustments as work evolves.ConclusionsHWO is context-specific and adaptive, shaped by task requirements rather than predefined schedules or locations. No single model prevails; instead, tailored configurations reflect the variability of real work. Advancing HW as a sociotechnical system requires rethinking organizational culture and management logic, shifting from presence and control-oriented paradigms toward flexible, task-driven, and performance-focused approaches. Progress depends on treating organizational design as a participatory process that aligns arrangements with demands.","Ana Cristina Martins Bruno; Francisco José de Castro Moura Duarte","2026","Work","10.1177/10519815261423140","-","-","https://doi.org/10.1177/10519815261423140","","-","-","Include"
"Decarbonizing Freight Through Intermodal Transport: An Operations Research Perspective—Part I: Methodological Foundations and Model-Driven Insights","Intermodal transportation (IMT) has long been recognized as a key strategy for decarbonizing freight transportation (FT), which is one of the most polluting sectors worldwide. While IMT has been extensively examined using operations research (OR) methods, the integration of decarbonization objectives has only recently gained momentum. Despite this growing interest, to the best of our knowledge, no prior comprehensive review has systematically synthesized OR methodologies specifically addressing IMT decarbonization. To address this gap, we conduct a systematic literature review of OR studies on IMT decarbonization and organize the survey into two complementary parts. Part I focuses on methodological foundations of OR applications in IMT decarbonization. We classify studies by problem type and OR technique, analyzing modeling characteristics, solution approaches, and uncertainty treatment. Our analysis reveals that exact methods dominate the literature (41% of studies), while meta-heuristics show rapid recent growth with 50% of studies published recently. Approximately 20% of studies incorporate uncertainty, and they are predominantly demand-focused. We identify critical research gaps including limited multistage stochastic frameworks to capture cascading uncertainties, insufficient attention to terminal operations and network reliability, and the underutilization of emerging technologies such as reinforcement learning and digital twins. This systematic synthesis establishes the current state of OR methodologies in IMT decarbonization and provides a foundation for future innovations in sustainable freight systems.","Madelaine Martinez-Ferguson; Aliza Sharmin; M. C. Camur; Xueping Li","2026","Future Transportation","10.3390/futuretransp6010049","-","-","https://doi.org/10.3390/futuretransp6010049","","-","-","Include"
"A Review of Open-RAN Intelligence: Opportunities, Challenges, Real-Life Applications and Impacts","The dynamic nature of modern network settings presents challenges for traditional base stations, leading to inefficient resource utilisation. These issues are exacerbated by the unpredictability of network scenarios, such as unexpected hardware problems or sudden increases in user demand. More adaptive and intelligent systems that can handle these issues are becoming increasingly critical and essential. Open-RAN is an intelligent and adaptable mobile network architecture featuring learning-based capabilities and a software layer for adaptation that can incorporate AI and ML to optimise communication networks and improve resource efficiency. Hence, this article aims to systematically review intelligence for Open-RAN through the adoption of the RAN Intelligent Controller (RIC). This comprehensive review also includes (1) real-world use cases for various industries, (2) the potential use cases for various intelligent models in terms of 5G core, RAN and air interface, (3) the advantages and challenges of AI incorporation within Open-RAN, and (4) the societal, environmental and economic impact of Open-RAN intelligence. This article outlines the significance of intelligence in the context of Open-RAN and highlights potential use cases, examining their impact and presenting challenges for further exploration by researchers in the field.","Haitham H. Mahmoud; De Mi; Adel Aneiba; Moad Idrissi; Gaurav Sharma; C. Foh; Pei Xiao","2025","ACM Computing Surveys","10.1145/3777379","-","-","https://doi.org/10.1145/3777379","","-","-","Include"
"Chaos Engineering Strategies for Enhancing Resilience in Complex Cyber-Physical (CPS) and Industrial Control Systems (ICS) : a Literature Review","Chaos engineering has emerged as a proactive discipline for assessing and enhancing the resilience of complex cyber-physical and industrial control systems. In this literature review, we systematically synthesize recent advances in applying chaos engineering principles to critical infrastructure domains such as power grids, water treatment facilities, and industrial processes. Guided by two central research questions, our review employs a systematic snowball literature review methodology complemented by Boolean keyword searches to identify key experimental studies and frameworks. The literature reveals that deliberate fault injection from sensor disruptions to simulated cyberattacks can effectively uncover hidden vulnerabilities and validate system safeguards. In addition, we highlight the benefits of a modular approach to chaos engineering, whereby complex industrial control systems are decomposed into discrete modules for targeted testing, including the integration of digital twin technologies and cloud-based platforms. Our analysis addresses significant challenges such as safety management, system interdependencies, and the need for domain-specific frameworks, ultimately charting a course for future research and practical applications aimed at designing more robust and reliable critical infrastructures.","Ali S. Ismailov; Nadia Saad Noori","2025","IEEE International Conference on Systems, Man and Cybernetics","10.1109/smc58881.2025.11343018","-","-","https://doi.org/10.1109/smc58881.2025.11343018","","-","-","Include"
"Assessing Diversity in Creating Seed Set for Snowballing Search for Systematic Literature Review in Software Engineering","Background: Systematic literature reviews (SLRs) require robust search strategies to ensure comprehensive coverage. Although database searches have traditionally been the primary method, snowballing has emerged as an effective alternative strategy in software engineering research. However, the success of snowballing heavily depends on the initial seed set's composition, particularly regarding diversity across authors, publication years, and venues. Objective: This study investigates how different diversity characteristics in seed set creation influence snowballing performance and effectiveness in identifying relevant literature. Method: We conducted replication studies of two existing SLRs, comparing their conventional seed set creation approaches with our diversity-driven methodology, where we systematically incorporated diversity characteristics into constructing the seed sets. Results: Our diversity-based approach demonstrated substantial improvements, with a precision of 0.019 (compared to 0.006 in the original), a relative recall of 0.97 (versus 0.921), and an F-measure of 0.0372 (improving from 0.0119). Conclusions: The empirical evidence suggests that incorporating diversity criteria in seed set creation enhances snowballing efficacy while maintaining comprehensive coverage of relevant literature. This approach offers a systematic and effective method for conducting snowballbased literature reviews in software engineering research.","K. Felizardo; Francisco Carlos M. Souza; A. Souza; B. Napoleão; Igor Steinmacher; M. Gerosa","2025","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem64174.2025.00028","-","-","https://doi.org/10.1109/esem64174.2025.00028","","-","-","Include"
"Exploring the usability of platforms for individuals with visual impairments: a systematic literature review","The digital platform’s usability is crucial for users but is often overlooked for those with visual impairments. The study aims to review and analyze the usability of platforms for users with visual impairments. The study is a Systematic Literature Review (SLR) that adapts the preferred reporting items for Systematic Reviews and Meta-Analysis (PRISMA) model to review 49 out of 137 publications from 2019 to 2023 indexed in Scopus. Key themes emerging from the analysis include accessibility, navigation, daily activities, screen division layout, and audio guidance. The success of platform implementation is evaluated using the System Usability Scale (SUS), Think Aloud, and Heuristic Evaluation. Building upon the exploration of 49 findings and categorization, a subsequent search is conducted for similar studies that can reinforce the strength of the arguments presented in the 49 studies. The analysis in the study is examined through research questions to provide a comprehensive and in-depth insight into the use of technology to enhance the quality of daily life for users with visual impairment. In addition to evaluating the success of platform implementation and popular evaluation methods, the systematic literature review explores the evolution of assistive technologies over the reviewed period and identifies emerging trends. The study delves into the ethical considerations surrounding developing and implementing technologies catering to individuals with visual impairments. The research aims to contribute not only to the usability aspects but also to the responsible and inclusive advancement of technology for users with visual impairments. In conclusion, this systematic literature review provides a comprehensive overview of the current state of usability in platforms designed for individuals with visual impairments. The findings of this study contribute valuable insights for designers, developers, and policymakers to enhance the inclusivity of platforms for users with visual impairments. Recommendations based on the identified themes aim to guide future research and development, fostering continuous improvement in usability and user experience for this often-neglected user demographic.","Fahrobby Adnan; Januar Adi Putra; Maulida Dwi Agustiningsih; Eva Oktaviana; Nabila Anjani Robi'atul Adawiyah","2025","Frontiers Comput. Sci.","10.3389/fcomp.2025.1601621","3","-","https://doi.org/10.3389/fcomp.2025.1601621","","-","-","Include"
"A scientometric review of research on built environment influence on public transportation demand","There is a rich amount of reviews offer valuable references on the topic of exploring relationship between built environment and public transportation demand, but they often focus on certain perspectives and none of them provide a comprehensive and quantitative overview on available publications. To fill this gap, this study employed bibliometric analysis to develop a comprehensive review of relevant literature retrieved from the WOS core collection database from 2001 to 2022, aiming to identify the evolutionary trends and hot topics at global level, including historical and geographical trends, leading journals and institutions, keyword characteristics, citation network analysis and content analysis. The output results show that there is an increasing geographic spread along with the growth spurt of research publications on the topic of built environment influence on public transportation demand. According to results output from the keywords’ distribution and citation network analysis, hot topics of available studies as well as future research directions were identified based on their research objects, built environment measurement, and applied models. It is hoped that the output results will help researchers gain a deeper understanding of the development of research in this area, and help urban planning decision makers determine the most effective decisions and the most appropriate practices. • There is an increasing geographic spread along with the growth spurt of research publications on this topic. • The research object of available studies covered various transit modes, as well as intermodal transfers between them. • Various sources of big data offer opportunities to measure with increasingly higher spatial and temporal resolutions. • Recent literature has addressed the nonlinear association between the built environment and public transportation usage.","Yuji Shi; Zan Zhang; Zhuofan Yan","2025","Journal of Traffic and Transportation Engineering","10.1016/j.jtte.2024.01.003","2","true","https://doi.org/10.1016/j.jtte.2024.01.003","Public transport; Business; Transport engineering; Regional science; Engineering; Geography","en","-","Include"
"CirDEF: Standardised Information Framework to address the Information Needs of Circularity Indicators","Circularity indicators are widely used to assess progress toward sustainability through circular economic practices. However, the diverse data requirements for these indicators often result in inconsistencies, overlaps and misinterpretations when evaluating circularity. This study addresses the absence of a unified, standardised approach to defining and applying circularity indicators, by developing a framework, named “CirDEF”. This standardised and holistic information framework supports the varied information needs of circularity indicators across system scales, indicator types, and stakeholder contexts. A systematic literature review was conducted, analysing 75 resources to identify existing circularity indicators. The resulting standardised information framework structured around input, process, and output model incorporated with key attributes such as business, time, dimensional, impact, and performance. This allows for the creation of a holistic platform that can redefine existing circularity indicators and improve decision-making. The framework was validated through expert interviews using face, content, and construct validation methods, to ensure theoretical and practical relevance. CirDEF enables dynamic, context-specific circularity assessments by allowing users to apply any relevant circularity indicators instead of relying on fixed indicators. This adaptability supports real-time decision-making, traceability, and proactive implementation of the circular economy. By resolving ambiguities, overlaps, and the static measurement limitations, CirDEF serves as a comprehensive system that facilitates data-driven decisions and aligns with SDGs. This is the first study of its kind to provide a thorough resource for academics, industry practitioners, and policymakers, enabling a holistic evaluation of circularity indicators through a standardised information framework across various processes and life cycles on a global scale. • Examines the functionality of circularity indicators (CIs) in circular economy (CE) using a systematic literature review. • Analyse the circularity sub-indicators to determine the information needs related to circularity. • Categorizes CIs into five themes: Resource Re-consumption, Production LCA, Resource Optimisation, Environmental Impact, and Social Wellbeing. • Defines key components and information needs across input, process, output, and attribute levels. • Proposes a standardised framework to holistically map information needs for assessing circularity.","Ravindu Kahandawa; R. Jayasinghe; Kasun Gomis","2025","Journal of Cleaner Production","10.1016/j.jclepro.2025.145611","2","true","https://doi.org/10.1016/j.jclepro.2025.145611","Computer science; Management science; Business; Knowledge management; Data science; Engineering","en","-","Include"
"A Review on Intermodal Transportation and Decarbonization: An Operations Research Perspective","This paper reviews intermodal transportation systems and their role in decarbonizing freight networks from an operations research perspective, analyzing over a decade of studies (2010-2024). We present a chronological analysis of the literature, illustrating how the field evolved over time while highlighting the emergence of new research avenues. We observe a significant increase in research addressing decarbonization since 2018, driven by regulatory pressures and technological advancements. Our integrated analysis is organized around three themes: a) modality, b) sustainability, and c) solution techniques. Key recommendations include the development of multistage stochastic models to better manage uncertainties and disruptions within intermodal transportation systems. Further research could leverage innovative technologies like machine learning and blockchain to improve decision-making and resource use through stakeholder collaboration. Life cycle assessment models are also suggested to better understand emissions across transportation stages and support the transition to alternative energy sources.","Madelaine Martinez Ferguson; Aliza Sharmin; M. C. Camur; Xueping Li","2025","Pressacademia","10.17261/pressacademia.2017.387","1","-","https://doi.org/10.17261/pressacademia.2017.387","","en","12","Include"
