Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"NT Nguyễn, HCT Trần, NP Vũ","Xây dựng bộ tiêu chí đánh giá mức độ sẵn sàng áp dụng E-learning tại các trường đại học Việt Nam bằng phương pháp Delphi",2024,"Tạp chí Giáo dục","tcgd.tapchigiaoduc.edu.vn","https://tcgd.tapchigiaoduc.edu.vn/index.php/tapchi/article/view/2678","",92,"2026-05-13 23:06:06","","","","",,,,,0,0.00,0,3,2,"Tóm tắt In the context of the Fourth Industrial Revolution, E-learning is becoming an inevitable trend in global higher education. In Vietnam, the implementation of E-learning still …","https://tcgd.tapchigiaoduc.edu.vn/index.php/tapchi/article/download/2678/998","https://scholar.google.com/scholar?q=related:oEl6pHvSF3oJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"O Armbrust, M Katahira, T Kaneko, Y Miyamoto…","Which Processes Are Needed in Five Years? Strategic Process Portfolio Management at the Japan Aerospace Exploration Agency (JAXA)",2010,"","ove-armbrust.de","http://www.ove-armbrust.de/downloads/Armbrust-Strategic-Process-Portfolio-Management-at-JAXA.pdf","",103,"2026-05-13 23:06:06","PDF","","","",,,,,0,0.00,0,5,16,"During the course of a strategic cooperation, a method was developed that supports an organization in adjusting its process scope. The approach systematically analyzes process …","http://www.ove-armbrust.de/downloads/Armbrust-Strategic-Process-Portfolio-Management-at-JAXA.pdf","https://scholar.google.com/scholar?q=related:pseroe4teTsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Maurere, PM Maurer","We're Drowning in Errors",2023,"2023 International Conference on …","computer.org","https://www.computer.org/csdl/proceedings-article/csci/2023/615100b594/1YHQ5mIaB20","",75,"2026-05-13 23:06:06","","","","",,,,,0,0.00,0,2,3,"We're Drowning in Errors Toggle navigation IEEE Computer Society Digital Library Jobs Tech News Resource Center Press Room Advertising About Us IEEE IEEE Computer …","https://ieeexplore.ieee.org/iel8/10590067/10590000/10590178.pdf?casa_token=tW-ATVH5BBgAAAAA:4XQiE_BxuqrW8wPp8EurRxGDTN9h3qFZ81ne2KTFg3nWQxMwv-iOn8ROVNPrJvbx8ygFoyyLUg","https://scholar.google.com/scholar?q=related:7w2fGDzxHbYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
15,"LJ Osterweil, A Wise","Using process definitions to support reasoning about satisfaction of process requirements",2010,"International Conference on Software Process","Springer","https://link.springer.com/chapter/10.1007/978-3-642-14347-2_2","https://scholar.google.com/scholar?cites=5032561076812035525&as_sdt=2005&sciodt=0,5&hl=en",48,"2026-05-13 23:06:06","","10.1007/978-3-642-14347-2_2","","",,,,,15,0.94,8,2,16,"This paper demonstrates how a precise definition of a software development process can be used to determine whether the process definition satisfies certain of its requirements. The …","https://www.researchgate.net/profile/Alexander-Wise-2/publication/221421524_Using_Process_Definitions_to_Support_Reasoning_about_Satisfaction_of_Process_Requirements/links/02e7e529f6a76a35c4000000/Using-Process-Definitions-to-Support-Reasoning-about-Satisfaction-of-Process-Requirements.pdf","https://scholar.google.com/scholar?q=related:xbXWvaI_10UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
33,"M Felderer, A Beer","Using defect taxonomies to improve the maturity of the system test process: Results from an industrial case study",2013,"International Conference on Software Quality","Springer","https://link.springer.com/chapter/10.1007/978-3-642-35702-2_9","https://scholar.google.com/scholar?cites=14991218649072146748&as_sdt=2005&sciodt=0,5&hl=en",23,"2026-05-13 23:06:06","","10.1007/978-3-642-35702-2_9","","",,,,,33,2.54,17,2,13,"Defect taxonomies collect and organize the domain knowledge and project experience of experts and are a valuable instrument of system testing for several reasons. They provide …","","https://scholar.google.com/scholar?q=related:PBkoOO-BC9AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
70,"KK Tp, M Ramachandran","Using a ELECTRE MCDM method for Software Testing Techniques",2019,"REST Journal on Emerging trends in …","researchgate.net","https://www.researchgate.net/profile/Ramachandran-Manickam/publication/364759334_Using_a_ELECTRE_MCDM_method_for_Software_Testing_Techniques/links/6359c65696e83c26eb5a86a1/Using-a-ELECTRE-MCDM-method-for-Software-Testing-Techniques.pdf","https://scholar.google.com/scholar?cites=5915012503711587797&as_sdt=2005&sciodt=0,5&hl=en",6,"2026-05-13 23:06:06","PDF","","","",,,,,70,10.00,35,2,7,"Software testing techniques are gleaned from business to test the application under test against functional or non-functional requirements The methods used are Each testing …","https://www.researchgate.net/profile/Ramachandran-Manickam/publication/364759334_Using_a_ELECTRE_MCDM_method_for_Software_Testing_Techniques/links/6359c65696e83c26eb5a86a1/Using-a-ELECTRE-MCDM-method-for-Software-Testing-Techniques.pdf","https://scholar.google.com/scholar?q=related:1R25dYhYFlIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
21,"S Bauersfeld, TEJ Vos, K Lakhotia","Unit testing tool competitions–lessons learned",2013,"International Workshop on Future …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-07785-7_5","https://scholar.google.com/scholar?cites=5863121973891100366&as_sdt=2005&sciodt=0,5&hl=en",30,"2026-05-13 23:06:06","","10.1007/978-3-319-07785-7_5","","",,,,,21,1.62,7,3,13,"This paper reports about the two rounds of the Java Unit Testing Tool Competition that ran in the context of the Search Based Software Testing (SBST) workshop at ICST 2013 and the …","https://www.academia.edu/download/43163897/Unit_Testing_Tool_Competitions__Lessons_20160228-24480-1yt7ail.pdf","https://scholar.google.com/scholar?q=related:zu6QAF_-XVEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"U Rueda, TEJ Vos, I Prasetya","Unit testing tool competition--round three",2015,"2015 IEEE/ACM 8th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7173585/?casa_token=wlTejzqdVrcAAAAA:GQROtD6aB2jCB_BHA9ORPDnElpl1EnsSGPHuOtMR2AetLuXCneiRIIdQiNTJpU_mJ5W8LBIaRA","https://scholar.google.com/scholar?cites=15063178044698959202&as_sdt=2005&sciodt=0,5&hl=en",24,"2026-05-13 23:06:06","","","","",,,,,25,2.27,8,3,11,"This paper describes the third round of the Java Unit Testing Tool Competition. This edition of the contest evaluates no less than seven automated testing tools! And, like during the …","https://ieeexplore.ieee.org/iel7/7173357/7173573/07173585.pdf?casa_token=cMYc9MT2t7cAAAAA:1qMt1CGzk5fR-dqNbA4qHpAw1A0ahoJbxFXjNjRD3SqKDI46apKBUCPL8iZQVCyOZY5if79S1A","https://scholar.google.com/scholar?q=related:Yp2-np8oC9EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
19,"S Bauersfeld, TEJ Vos, K Lakhotia…","Unit testing tool competition",2013,"2013 IEEE Sixth …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6571663/?casa_token=oYDacVYFzHUAAAAA:deHiw5ElBBoEps8fbDbNsPJj6OxGqw2SoNHRo8hGDZ0fgL4HA20kcRrWpPTxFLZYYTl-Pm14bg","https://scholar.google.com/scholar?cites=8871054428890783526&as_sdt=2005&sciodt=0,5&hl=en",34,"2026-05-13 23:06:06","","","","",,,,,19,1.46,5,4,13,"This paper describes the Java Unit Testing Tool Competition that ran in the context of the Search Based Software Testing (SBST) workshop at ICST 2013. It describes the main …","https://ieeexplore.ieee.org/iel7/6570842/6571592/06571663.pdf?casa_token=o4kZyZ31sIEAAAAA:vcJog3Sjgxh4D4hntnNzuf2IoJEBkhZQaO3q_nYXXrgJnWSdjCZTWuUMESXlynG--FrnLQHgFw","https://scholar.google.com/scholar?q=related:Jt8wkQBRHHsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"AS Grande","Um framework de apoio à instanciação de técnicas de seleção de tecnologias de software baseadas em estratégias de busca",2013,"","tede.ufam.edu.br","https://tede.ufam.edu.br/handle/tede/2902","",112,"2026-05-13 23:06:06","","","","",,,,,0,0.00,0,1,13,"The quality of software design is directly related to the decisions taken during its execution, because wrong decisions may cause significant damage in a software project. Among the …","https://tede.ufam.edu.br/bitstream/tede/2902/1/AUR%C3%89LIO%20DA%20SILVA%20GRANDE.pdf","https://scholar.google.com/scholar?q=related:qT6kCgBFcXYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
