"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"88NQWDBL","journalArticle","2020","Santos, Ítalo; Melo, Silvana Morita; Souza, Paulo Sergio Lopes de; Souza, Simone do Rocio Senger de","Towards a unified catalog of attributes to guide industry in software testing technique selection","2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","","","","https://api.semanticscholar.org/CorpusID:221107557","","2020","2026-05-02 14:15:01","2026-05-02 14:15:01","","398-407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MR38A88D","journalArticle","2017","Zeng, Wenwen; Huang, Ying; Zheng, Xue-en; Zhao, Wenqiang","Study on Engine Control Software Testing Based on Hardware-in-the-Loop Simulation Platform","Lecture Notes in Electrical Engineering","","","","https://api.semanticscholar.org/CorpusID:69605534","","2017","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNUJ899X","journalArticle","2018","Wnuk, Krzysztof; Garrepalli, Thrinay","Knowledge Management in Software Testing: A Systematic Snowball Literature Review","e Informatica Softw. Eng. J.","","","","https://api.semanticscholar.org/CorpusID:52275199","","2018","2026-05-02 14:15:02","2026-05-02 14:15:02","","51-78","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38PTXDGR","conferencePaper","2008","Shabbir, Khadija; Amar, Muhammad Yunus","Systematic Review on Testing Aspect-orientedPrograms : Challenges, Techniques and Their Effectiveness","","","","","https://api.semanticscholar.org/CorpusID:13964006","","2008","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6D7QGBA","conferencePaper","2006","Winkler, Dietmar","Integration of Analytical Quality Assurance Methods into Agile Software Construction Practice Research Proposal for a Family of Controlled Experiments","","","","","https://api.semanticscholar.org/CorpusID:17908108","","2006","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SFP7CPC","journalArticle","2021","Hulule, Pritee Nivrutti","The Fundamental of TCP Techniques","Control Theory in Engineering [Working Title]","","","","https://api.semanticscholar.org/CorpusID:245781777","","2021","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ZRAPMMC","journalArticle","2024","","Solid Waste Management from a systems perspective using GRA methodology","Journal on Applied and Chemical Physics","","","","https://api.semanticscholar.org/CorpusID:267011402","","2024","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDREHX2A","conferencePaper","2010","Dias-Neto, Arilo Claudio; Travassos, Guilherme Horta","Seleção de Técnicas de Teste Baseado em Modelos","Brazilian Symposium on Software Quality","","","","https://api.semanticscholar.org/CorpusID:248268706","","2010","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3R34KM9Q","conferencePaper","2008","Armbrust, Ove; Katahira, Masafumi; Miyamoto, Yuko; Münch, Jürgen; Nakao, Haruka; Ocampo, Alexis","Scoping Software Process Models - Initial Concepts and Experience from Defining Space Standards","International Conference on the Software Process","","","","https://api.semanticscholar.org/CorpusID:560287","","2008","2026-05-02 14:15:02","2026-05-02 14:15:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBSFGNQW","journalArticle","2015","Souza, Érica Ferreira de; Falbo, Ricardo de Almeida; Vijaykumar, Nandamudi Lankalapalli","Knowledge management initiatives in software testing: A mapping study","Inf. Softw. Technol.","","","","https://api.semanticscholar.org/CorpusID:13058621","","2015","2026-05-02 14:15:02","2026-05-02 14:15:02","","378-391","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
