Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"ÉF Souza, RA Falbo…","Using the findings of a mapping study to conduct a research project: a case in knowledge management in software testing",2015,"2015 41st Euromicro …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7302453/?casa_token=UdS37Q_rIbUAAAAA:O9JqV2TWtoa9vNbakiRwilBlvxGMb7T5QmNYh9Rz3M3XDcYkUROTdRkrI0aR8rb2XRIXtnknlQ","https://scholar.google.com/scholar?cites=3405504402478880291&as_sdt=2005&sciodt=0,5&hl=en",7,"2026-05-13 23:08:43","","","","",,,,,11,1.00,4,3,11,"A mapping study provides a broad overview of a research area in order to determine whether there is research evidence on a particular topic. Results of a systematic mapping …","https://ieeexplore.ieee.org/iel7/7302131/7302413/07302453.pdf?casa_token=fgyKM7mvwwsAAAAA:1qFEcrgWouHTvh_9ZdbmqbDuYNj1mTOH5L0wSxcREVSuhqextFLrn8zxFeChXRx6o8m0SSDvrQ","https://scholar.google.com/scholar?q=related:I1bI_jXIQi8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
48,"EF Souza, RA Falbo…","Using ontology patterns for building a reference software testing ontology",2013,"2013 17th IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6690530/?casa_token=dP43YXpqFAkAAAAA:hC6BLjyfd6qv_xHPYZ7wv4pj834DWagytFNw4k9s4Ukzm4tb7AJvDvQUEqVcD8ESVc6BgNlCeQ","https://scholar.google.com/scholar?cites=15266126754048241651&as_sdt=2005&sciodt=0,5&hl=en",2,"2026-05-13 23:08:43","","","","",,,,,48,3.69,16,3,13,"Software testing is a critical process for achieving product quality. Its importance is more and more recognized, and there is a growing concern in improving the accomplishment of this …","https://ieeexplore.ieee.org/iel7/6689801/6690517/06690530.pdf?casa_token=y8KIKnZ65PYAAAAA:2dnT0U6g6vtKXVxRA5lUlP2foGyM75H8LCNWUAuGTKxsFBoFWTR66Mkp9GGZ1--ryWp3QzC7lA","https://scholar.google.com/scholar?q=related:8-8hP2Yt3NMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Rozo, I Casanovas…","Transferencia de Conocimiento en la Gestión de Calidad de la Ingeniería de Software",2020,"… virtual, 5 al 9 de octubre …","sedici.unlp.edu.ar","https://sedici.unlp.edu.ar/handle/10915/114345","https://scholar.google.com/scholar?cites=9081439194981095774&as_sdt=2005&sciodt=0,5&hl=en",11,"2026-05-13 23:08:43","","","","",,,,,3,0.50,1,3,6,"Los procesos y actividades en la gestión de calidad de la ingeniería de software generan un gran volumen de conocimiento, con lo cual es considerado como un factor crítico para la …","https://sedici.unlp.edu.ar/bitstream/handle/10915/114345/Documento_completo.pdf-PDFA.pdf?sequence=1","https://scholar.google.com/scholar?q=related:XlkoEtXAB34J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"IS Santos, RMC Andrade, PA Santos Neto","Templates for textual use cases of software product lines: results from a systematic mapping study and a controlled experiment",2015,"Journal of Software …","Springer","https://link.springer.com/article/10.1186/s40411-015-0020-3","https://scholar.google.com/scholar?cites=6162075211503686287&as_sdt=2005&sciodt=0,5&hl=en",5,"2026-05-13 23:08:43","HTML","10.1186/s40411-015-0020-3","","",,,,,18,1.64,6,3,11,"Use case templates can be used to describe functional requirements of a Software Product Line. However, to the best of our knowledge, no efforts have been made to collect and …","https://link.springer.com/article/10.1186/s40411-015-0020-3","https://scholar.google.com/scholar?q=related:j9LqvMEWhFUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"HM Idrus, N Ali","Tacit knowledge in software testing: A systematic review",2019,"… 6th International Conference on Research and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9073275/?casa_token=FSsjoCPriR8AAAAA:A2HTADralHl2wVE7_00Cdg0UCt6aYHZIhMuFRnCPeIjrD8Zed6YMNA5Hpn0lmKvvsgHi77LU2g","https://scholar.google.com/scholar?cites=11628584729395656910&as_sdt=2005&sciodt=0,5&hl=en",6,"2026-05-13 23:08:43","","","","",,,,,8,1.14,4,2,7,"This paper presents a systematic review of tacit knowledge in software testing. The main objectives of conducting this systematic review is to identify and synthesize issues and …","https://ieeexplore.ieee.org/iel7/9057351/9073268/09073275.pdf?casa_token=2KdKnitD05kAAAAA:seRqb41f5dXt0AdXtRbDF0ynGMZWRe2JSLTWVQNxk8L8ium4V5MZO2_At0rPKStx6M0HIHe7wA","https://scholar.google.com/scholar?q=related:zvgoVDMIYaEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"Z Muharam, M Yit…","Status of Knowledge Management In A Professional Services Firm To Address Turnaround Time and Quality of Service",2021,"People in Organisation …","mail.cscjournals.org","http://mail.cscjournals.org/manuscript/Journals/SIBRM7/SIBRM7-6.pdf","https://scholar.google.com/scholar?cites=16336598792557143125&as_sdt=2005&sciodt=0,5&hl=en",10,"2026-05-13 23:08:43","PDF","","","",,,,,1,0.20,0,3,5,"Abstract Knowledge management is crucial for knowledge-intensive organizations, such as professional service providers. A study was conducted on a firm which specialized in survey …","http://mail.cscjournals.org/manuscript/Journals/SIBRM7/SIBRM7-6.pdf","https://scholar.google.com/scholar?q=related:VaRx_AtCt-IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
86,"ÉF de Souza, R de Almeida Falbo…","Knowledge management initiatives in software testing: A mapping study",2015,"Information and Software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584914001335?casa_token=YNOZ-o-6pC8AAAAA:BbC_E5vj1Hd6m-rDVMFIWr347VCtThmyApXNC4B6ex4Cz7MZ-n-BVr0VsGEcWn3g9jY7LmusmQ","https://scholar.google.com/scholar?cites=5214429026259150154&as_sdt=2005&sciodt=0,5&hl=en",3,"2026-05-13 23:08:43","HTML","","","",,,,,86,7.82,29,3,11,"Context Software testing is a knowledge intensive process, and, thus, Knowledge Management (KM) principles and techniques should be applied to manage software testing …","https://www.sciencedirect.com/science/article/pii/S0950584914001335?casa_token=YNOZ-o-6pC8AAAAA:BbC_E5vj1Hd6m-rDVMFIWr347VCtThmyApXNC4B6ex4Cz7MZ-n-BVr0VsGEcWn3g9jY7LmusmQ","https://scholar.google.com/scholar?q=related:SqWpeJJfXUgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
52,"K Wnuk, T Garrepalli","Knowledge management in software testing: a systematic snowball literature review",2018,"e-Informatica Software Engineering …","yadda.icm.edu.pl","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-fd27294c-dc79-4c73-a97a-9fd519b0a713","https://scholar.google.com/scholar?cites=10016090599045724182&as_sdt=2005&sciodt=0,5&hl=en",1,"2026-05-13 23:08:43","","","","",,,,,52,6.50,26,2,8,"Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core …","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-fd27294c-dc79-4c73-a97a-9fd519b0a713/c/wnuk_knowledge_1_2018.pdf","https://scholar.google.com/scholar?q=related:Fvg_ElVNAIsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"IS Santos, RMCC Andrade…","How to describe spl variabilities in textual use cases: A systematic mapping study",2014,"2014 Eighth Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7012983/?casa_token=XaebLu5oYN8AAAAA:6-HiiDrdZyW8UYvqdJ2vra45gSU2p3pYK_9M8WRMqGMsqkh5jcy2StJeKdYhkf7Pah4ktdR8aw","https://scholar.google.com/scholar?cites=15215372088306398023&as_sdt=2005&sciodt=0,5&hl=en",8,"2026-05-13 23:08:43","","","","",,,,,6,0.50,2,3,12,"In the Software Product Line (SPL) paradigm, the variability description is an important issue for the requirements engineering process. In this scenario, there are several approaches in …","https://ieeexplore.ieee.org/iel7/7001439/7012965/07012983.pdf?casa_token=vpMRsDnuV9QAAAAA:b1lOP0WHuzi8WV6CGW4BkiSYeRdw94l1YfjyetUP4FO99pjtwQ1-umvoKHnTXcFD3lHcSkN56g","https://scholar.google.com/scholar?q=related:R3PlwEzcJ9MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"G Guizzardi, JPA Almeida","Engineering Ontologies and Ontologies for Engineering",2020,"Engineering Ontologies &Ontologies …","researchgate.net","https://www.researchgate.net/profile/Giancarlo-Guizzardi-2/publication/339313749_Engineering_Ontologies_Ontologies_for_Engineering_Celebrating/links/5e4ae0d1458515072da6e018/Engineering-Ontologies-Ontologies-for-Engineering-Celebrating.pdf#page=9","https://scholar.google.com/scholar?cites=14327021945882844851&as_sdt=2005&sciodt=0,5&hl=en",9,"2026-05-13 23:08:43","PDF","","","",,,,,3,0.50,2,2,6,"This paper is written in honour of Ricardo de Almeida Falbo, on the occasion of his formal retirement. Some aspects of his career are discussed from two complementary directions …","https://www.researchgate.net/profile/Giancarlo-Guizzardi-2/publication/339313749_Engineering_Ontologies_Ontologies_for_Engineering_Celebrating/links/5e4ae0d1458515072da6e018/Engineering-Ontologies-Ontologies-for-Engineering-Celebrating.pdf#page=9","https://scholar.google.com/scholar?q=related:s56STY3O08YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
70,"S Vasanthapriyan, J Tian…","A survey on knowledge management in software engineering",2015,"2015 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7322153/?casa_token=2nIe955ZVGsAAAAA:cJcDGHRqaOA2VksHWFus_pSsAfKxdKTNLvUxqfBhONrX75OtcZrJKXbL8soszx-GvNMelh-Fxg","https://scholar.google.com/scholar?cites=16260020967774901214&as_sdt=2005&sciodt=0,5&hl=en",4,"2026-05-13 23:08:43","","","","",,,,,70,6.36,23,3,11,"Software development is a knowledge intensive and collaborative activity. The success of the project totally depends on knowledge and experience of the developers. Increasing …","https://ieeexplore.ieee.org/iel7/7321176/7322103/07322153.pdf?casa_token=ZB2r6o6vqYAAAAAA:cD3w4niH-lx458v-R0E9UkxbdAZGmzXtnx7J_sJpNzia-SqiALpLznCIkZ3wex7GQ1q5oRtTRw","https://scholar.google.com/scholar?q=related:3lOgwOsyp-EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
