DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1109/icss.2015.9,The Impact of Knowledge Acquisition and Knowledge Integration of IT Outsourcing Supplier on Outsourcing Success -- Knowledge Sticky's Moderating Effect,"Jiang Qian, Hu Guo-jie",2015 International Conference on Service Science (ICSS),2015,"In this study we analyze the emerging patterns of knowledge management of IT outsourcing supplier, which divided it into knowledge acquisition and knowledge integration, Since outsourcing success is related to a large amount of knowledge, it is of great significance to realize effective knowledge management to achieve outsourcing success. Using SEM methods to test the impact of knowledge acquisition and knowledge integration on outsourcing success, and then discuss knowledge sticky's moderating effect on them. Our results show that knowledge acquisition and knowledge integration of IT outsourcing supplier have significant positive influence on outsourcing success, knowledge sticky has negative moderating function between their relations.",147204936,5,20,,
10.1016/j.infsof.2008.09.001,Investigating the relationship between schedules and knowledge transfer in software testing,"Katja Karhu, Ossi Taipale, Kari Smolander",Information & Software Technology,2009,(missing abstract),30482622,21,61,,
10.14257/ijunesst.2014.7.2.02,Value Added from Knowledge Collaboration: Convergence of Intellectual Capital and Social Capital,"Chen Jianbin, Guo Yanli, Xu Kaibo",(missing journal),2014,"Efficiency of team knowledge management in outsourcing plays a vital role in competitive advantage building. Knowledge collaboration (KC) is a strategy method of knowledge management, which pay more attention not only on efficiency of knowledge cooperation, but also on value added of intellectual capital and social capital. In this paper, the nature of KC and its relations with intellectual capital and social capital has been discussed firstly, then a KC performance evaluation system has been proposed, which combined two aspects, collaboration effect measurement through value added count and cooperation efficiency measurement through accuracy and timeliness calculation. This evaluation system is very benefit for KC research and practicing. Key Word: Knowledge collaboration, Intellectual capital, Social capital, value added view, evaluation system",38274891,10,23,,
(missing DOI),A Knowledge Management Analysis of an In-House Manual Software Testing,"Richard Gentry, Farid Shirazi, Ted Rogers",(missing journal),2015,"This case study uses the Transaction Cost andKnowledge Management theoriesto investigate to what extent software development companies will employ in-house Manual Software Testers.This will allow us to analyze the extent to which knowledge management is influencing the future of manual software testers.Our empirical study covering a survey of 15 Canadian software development companies show that 1) Software development companies will likely employ in-house Manual Software Testers when tacit knowledge (i.e. specific domain knowledge) is required to effectively test a software application or service; 2) Software development companies will likely keep manual testing in-house, since relationships between Testers and other internal employees may increase the effectiveness of testing; and 3) Software development companies are less likely to outsource manual testing, in order to increase production, when domain-specific knowledge is needed to test the product or service.",94297222,1,35,,
(missing DOI),Software Test Factory (A proposal of a process model to create a Test Factory),V. Vinoline,(missing journal),2010,"Software Quality Assurance (SQA) is becoming a critical issue in software development and maintenance. This paper discusses the existing organizational approaches to implementing testing practices. Today the scenario, software development organizations are beginning to outsource the testing related activities to organizations (testing factories) in order to reduce the resources and increasing the quality and reliability of the software products and services. This model must be composed of a testing process model and an organizational structure establishing the required roles, responsibilities and competences.",236855415,0,14,,
(missing DOI),M ULTI - LEVEL K NOWLEDGE T RANSFER IN S OFTWARE D EVELOPMENT O UTSOURCING P ROJECTS : T HE A GENCY T HEORY V IEW Research-in-Progress,"Maduka Subasingha, D. Sedera",(missing journal),2012,"In recent years, software development outsourcing has become even more complex. Outsourcing partner have begun‘re-outsourcing’ components of their projects to other outsourcing companies to minimize cost and gain efficiencies, creating a multi-level hierarchy of outsourcing. This research in progress paper presents preliminary findings of a study designed to understand knowledge transfer effectiveness of multi-level software development outsourcing projects. We conceptualize the SD-outsourcing entities using the Agency Theory. This study conceptualizes, operationalises and validates the concept of Knowledge Transfer as a three-phase multidimensional formative index of 1) Domain knowledge, 2) Communication behaviors, and 3) Clarity of requirements. Data analysis identified substantial, significant differences between the Principal and the Agent on two of the three constructs. Using Agency Theory, supported by preliminary findings, the paper also provides prescriptive guidelines of reducing the friction between the Principal and the Agent in multi-level software outsourcing. on outsourcing level 2 and it discusses the effective knowledge transfer factors of the outsourcing process from Principal–L2 to Agent-L2 of the outsourcing partner 1. The preliminary survey was conducted at outsourcing partner 1 as an exploratory exercise designed to elicit knowledge transfer perspectives of; 1) Principle-L2: Business Analysts, Senior Business Analysts, Business Consultants and Senior Business Consultants, 2) Agents-L2: Software Engineers, Senior Software Engineers, Tech Leads, Tech Specialists and Software Architects.",231684454,0,95,,
10.22059/jitm.2017.61852,Infrastructure Analysis of Sazeh Gostar Saipa Outsourcing Company to Select Knowledge Management Strategy: Qualitative Approach,"H. Khanifar, Rohollah Nnikkhah keyarmash, M. Ravandi",(missing journal),2017,"In today's turbulent business environment, organizations have to make changes in their structure such as outsourcing. This change that is a requirement to provide for the needs of that organization and for competitive advantage can be considered as a new trouble for that organization as well. Because of such changes, an organization may lose the workers' (employee) knowledge that is the most important element of the competitive advantage. Thus, the organizations are required to use the most effective knowledge management strategy that is proposed according to the analysis of the key aspects of those organizations. This study examines Sazeh Gostar, the most important suppliers of spare parts for Saipa Automobile Company. At first, the two coding and personalization strategies were applied provided that they were reviewed in the literature. The influential factors were then classified according to McKenzie 7S model. Then, the data were obtained using snowball and targeted sampling from interviews with 9 experts, and through reviewing the company documents. Current status of the company was identified using Theme Analysis. Finally, comparing the influential factors on the company's knowledge management strategy, the appropriate coding strategy was selected.",35184667,0,26,,
10.1007/s13198-011-0065-6,Trade-off between automated and manual software testing,"Ossi Taipale, Jussi Kasurinen, Katja Karhu, Kari Smolander",International Journal of Systems Assurance Engineering and Management,2011,"The study explores the current state of test automation in software testing organizations by focusing on the views and observations of managers, testers and developers in each organization. The case study was conducted in selected organizational units that develop and test technical software for industrial automation or telecommunication domains. The data was collected with 41 theme-based interviews in each unit. The interview data was analyzed qualitatively by using the grounded theory research method. It was found that although test automation was viewed as beneficial, it was not utilized widely in the companies. The main benefits of test automation were quality improvement, the possibility to execute more tests in less time and fluent reuse of testware. The major disadvantages were the costs associated with developing test automation especially in dynamic customized environments. Such issues as properties of tested products, attitudes of employees, resource limitations, and customers influenced the level of test automation in the case organizations.",28310519,56,52,,
(missing DOI),An Initial Proposal for a Test Governance Framework in Business Organizations,Michal Doležel,(missing journal),2013,"Software testing as a part of software quality management is currently not a well-covered topic in the information system research, especially from the organizational viewpoint a serious gap between research and industry exists and continues to broaden. This article helps to bridge this gap. It addresses several organizational aspects of testing and test management, and proposes concept of test governance process framework as a response to the industry needs. Presented framework will allow business organizations to utilize testing outsourcing and offshoring in the future, while they are able to keep key knowledge for strategic and tactical management of testing in-house.",204061704,1,22,,
10.1016/j.infsof.2012.03.003,An architectural model for software testing lesson learned systems,"J.M. Andrade, Juan Ares, María-Aurora Martínez, Juan Pazos, Santiago Rodríguez, Julio Romera, Sonia Suárez",Information & Software Technology,2013,(missing abstract),204829893,34,80,,
