Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Assessing Diversity in Creating Seed Set for Snowballing Search for Systematic Literature Review in Software Engineering","Background: Systematic literature reviews (SLRs) require robust search strategies to ensure comprehensive coverage. Although database searches have traditionally been the primary method, snowballing has emerged as an effective alternative strategy in software engineering research. However, the success of snowballing heavily depends on the initial seed set's composition, particularly regarding diversity across authors, publication years, and venues. Objective: This study investigates how different diversity characteristics in seed set creation influence snowballing performance and effectiveness in identifying relevant literature. Method: We conducted replication studies of two existing SLRs, comparing their conventional seed set creation approaches with our diversity-driven methodology, where we systematically incorporated diversity characteristics into constructing the seed sets. Results: Our diversity-based approach demonstrated substantial improvements, with a precision of 0.019 (compared to 0.006 in the original), a relative recall of 0.97 (versus 0.921), and an F-measure of 0.0372 (improving from 0.0119). Conclusions: The empirical evidence suggests that incorporating diversity criteria in seed set creation enhances snowballing efficacy while maintaining comprehensive coverage of relevant literature. This approach offers a systematic and effective method for conducting snowballbased literature reviews in software engineering research.","K. Felizardo; Francisco Carlos M. Souza; A. Souza; B. Napoleão; Igor Steinmacher; M. Gerosa","2025","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem64174.2025.00028","-","Include"
"A Framework for Managing Software Testing Outsourcing Projects","Software testing aims to ensure that the software produced is reliable and able to function correctly. In order to do so, the testing execution requires experts and technology that might not be available within an organisation. Therefore, shifting to outsourcing for testing is one preferred option. This alternative provides benefits such as testing expertise, costs and time reduction, better testing technology and high-quality software products. Translating these benefits into practice has, however, proved challenging. Some testing outsourcing projects have failed outright. These projects either exceed the specified time or the allocated budget or failed to deliver the anticipated quality. This paper therefore intends to address this concern by providing guidance in managing software testing outsourcing projects in the form of a framework based on identified success factors. Previous studies have collected the success factors from theoretical and empirical perspectives. The investigation continues by ratifying the factors via software testing and project management experts from both the client and vendor sides. In order to develop the framework, this study adopted a qualitative approach, in which semi-structured interviews were employed to confirm the factors. The data were then analysed using content analysis. The framework consists of two aspects, namely People and Process. Four factors make up the People aspect, while another ten constitute the Process aspect. Each factor contains elements, which represent either the roles that should be played or activities that should be conducted. This framework contributes to the understanding of conducting successful software testing outsourcing projects. It could also act as a reference for future research in the software testing domain.","F. Ismail; R. Razali","2017","Journal of Telecommunication Electronic and Computer Engineering (JTEC)","-","2","Include"
"The Impact of Knowledge Acquisition and Knowledge Integration of IT Outsourcing Supplier on Outsourcing Success -- Knowledge Sticky's Moderating Effect","In this study we analyze the emerging patterns of knowledge management of IT outsourcing supplier, which divided it into knowledge acquisition and knowledge integration, Since outsourcing success is related to a large amount of knowledge, it is of great significance to realize effective knowledge management to achieve outsourcing success. Using SEM methods to test the impact of knowledge acquisition and knowledge integration on outsourcing success, and then discuss knowledge sticky's moderating effect on them. Our results show that knowledge acquisition and knowledge integration of IT outsourcing supplier have significant positive influence on outsourcing success, knowledge sticky has negative moderating function between their relations.","Jiang Qian; Guo-Jie Hu","2015","International Conference on Service Science","10.1109/icss.2015.9","4","Include"
"Value Added from Knowledge Collaboration: Convergence of Intellectual Capital and Social Capital","Efficiency of team knowledge management in outsourcing plays a vital role in competitive advantage building. Knowledge collaboration (KC) is a strategy method of knowledge management, which pay more attention not only on efficiency of knowledge cooperation, but also on value added of intellectual capital and social capital. In this paper, the nature of KC and its relations with intellectual capital and social capital has been discussed firstly, then a KC performance evaluation system has been proposed, which combined two aspects, collaboration effect measurement through value added count and cooperation efficiency measurement through accuracy and timeliness calculation. This evaluation system is very benefit for KC research and practicing. Key Word: Knowledge collaboration, Intellectual capital, Social capital, value added view, evaluation system","Jianbin Chen; Guo Yanli; Xu Kaibo","2014","International Journal of u- and e- Service Science and Technology","10.14257/ijunesst.2014.7.2.02","9","Include"
"Multi-Level Knowledge Transfer In Software Development Outsourcing Projects: The Agency Theory View","In recent years, software development outsourcing has become even more complex. Outsourcing partner have begun‘re- outsourcing’ components of their projects to other outsourcing companies to minimize cost and gain efficiencies, creating a multi-level hierarchy of outsourcing. This research in progress paper presents preliminary findings of a study designed to understand knowledge transfer effectiveness of multi-level software development outsourcing projects. We conceptualize the SD-outsourcing entities using the Agency Theory. This study conceptualizes, operationalises and validates the concept of Knowledge Transfer as a three-phase multidimensional formative index of 1) Domain knowledge, 2) Communication behaviors, and 3) Clarity of requirements. Data analysis identified substantial, significant differences between the Principal and the Agent on two of the three constructs. Using Agency Theory, supported by preliminary findings, the paper also provides prescriptive guidelines of reducing the friction between the Principal and the Agent in multi-level software outsourcing.","Subasinghage Maduka Nuwangi; Darshana Sedera; G. Murphy","2012","International Conference on Interaction Sciences","-","36","Include"
"Software Test Process Development","In this thesis, the components important for testing work and organisational test process are identified and analysed. This work focuses on the testing activities in reallife software organisations, identifying the important test process components, observing testing work in practice, and analysing how the organisational test process could be developed. &#13;\n&#13;\nSoftware professionals from 14 different software organisations were interviewed to collect data on organisational test process and testing‐related factors. Moreover, additional data on organisational aspects was collected with a survey conducted on 31 organisations. This data was further analysed with the Grounded Theory method to identify the important test process components, and to observe how real‐life test organisations develop their testing activities. &#13;\n&#13;\nThe results indicate that the test management at the project level is an important factor; the organisations do have sufficient test resources available, but they are not necessarily applied efficiently. In addition, organisations in general are reactive; they develop their process mainly to correct problems, not to enhance their efficiency or output quality. The results of this study allows organisations to have a better understanding of the test processes, and develop towards better practices and a culture of preventing problems, not reacting to them.","Jussi Kasurinen","2011","LUTPub (LUT University)","-","10","Include"
"Trade-off between automated and manual software testing","-","Ossi Taipale; Jussi Kasurinen; Katja Karhu; K. Smolander","2011","International Journal of Systems Assurance Engineering and Management","10.1007/s13198-011-0065-6","59","Include"
"Test case selection and prioritization: risk-based or design-based?","The objective of this qualitative study was to observe and empirically study how software organizations decide on which test cases to select for their software projects. As the software test processes are limited in resources such as time or money, a selection process usually exists for tested features. In this study we conducted a survey on 31 software-producing organizations, and interviewed 36 software professionals from 12 focus organizations to gain a better insight into testing practices. Our findings indicated that the basic approaches to test case selection are usually oriented towards two possible objectives. One is the risk-based selection, where the aim is to focus testing on those parts that are too expensive to fix after launch. The other is design-based selection, where the focus is on ensuring that the software is capable of completing the core operations it was designed to do. These results can then be used to develop testing organizations and to identify better practices for test case selection.","Jussi Kasurinen; Ossi Taipale; K. Smolander","2010","International Symposium on Empirical Software Engineering and Measurement","10.1145/1852786.1852800","36","Include"
"A proposal of a process model to create a test factory","Software Quality Assurance (SQA) is becoming a critical issue in software development and maintenance. Software development organizations are dedicating significant resources to testing as their contribution to SQA. This paper discusses the existing organizational approaches to implementing testing practices. Nowadays, software development organizations are beginning to outsource the testing-related activities to organizations (testing factories) in order to reduce the resources dedicated to testing and increasing the quality and reliability of the final software products and services. A software factory needs a specific organizational model for its management. The organizational model must be composed of a testing process model and an organizational structure establishing the required roles, responsibilities and competences. This paper focuses on describing a proposed process model to manage a software factory. Finally, this paper introduces the current experiences obtained from the proposed model.","Ana Sanz; Javier García; J. Saldaña; Antonio Amescua","2009","2009 ICSE Workshop on Software Quality","10.1109/wosq.2009.5071559","10","Include"
"Investigating the relationship between schedules and knowledge transfer in software testing","-","Katja Karhu; Ossi Taipale; K. Smolander","2009","Information and Software Technology","10.1016/j.infsof.2008.09.001","19","Include"
"A Knowledge Management Analysis of an In-House Manual Software Testing","-","Richard Gentry; F. Shirazi; Ted C. Rogers","2015","-","-","1","Include"
"International Journal of Computer Application Issue 5, Volume 1 (Jan.- Feb. 2015) Available online on http://www.rspublication.com/ijca/ijca_index.htm ISSN: 2250-1797","-","Arunalatha; Ramachandra; Tejaswi; Shaila; Raja; Dinesh Anvekar; Venugopal; S. Iyengar; L. Patnaik","2015","-","-","3","Include"
"An Initial Proposal for a Test Governance Framework in Business Organizations","Software testing as a part of software quality management is currently not a well-covered topic in the information system research, especially from the organizational viewpoint a serious gap between research and industry exists and continues to broaden. This article helps to bridge this gap. It addresses several organizational aspects of testing and test management, and proposes concept of test governance process framework as a response to the industry needs. Presented framework will allow business organizations to utilize testing outsourcing and offshoring in the future, while they are able to keep key knowledge for strategic and tactical management of testing in-house.","Michal Dolezel","2013","-","-","1","Include"
"An architectural model for software testing lesson learned systems","Context: Software testing is a key aspect of software reliability and quality assurance in a context where software development constantly has to overcome mammoth challenges in a continuously changing environment. One of the characteristics of software testing is that it has a large intellectual capital component and can thus benefit from the use of the experience gained from past projects. Software testing can, then, potentially benefit from solutions provided by the knowledge management discipline. There are in fact a number of proposals concerning effective knowledge management related to several software engineering processes. Objective: We defend the use of a lesson learned system for software testing. The reason is that such a system is an effective knowledge management resource enabling testers and managers to take advantage of the experience locked away in the brains of the testers. To do this, the experience has to be gathered, disseminated and reused. Method: After analyzing the proposals for managing software testing experience, significant weaknesses have been detected in the current systems of this type. The architectural model proposed here for lesson learned systems is designed to try to avoid these weaknesses. This model (i) defines the structure of the software testing lessons learned; (ii) sets up procedures for lesson learned management; and (iii) supports the design of software tools to manage the lessons learned. Results: A different approach, based on the management of the lessons learned that software testing engineers gather from everyday experience, with two basic goals: usefulness and applicability. Conclusion: The architectural model proposed here lays the groundwork to overcome the obstacles to sharing and reusing experience gained in the software testing and test management. As such, it provides guidance for developing software testing lesson learned systems.","Javier Andrade Garda; J. A. Casal; María-Aurora Martínez; J. Pazos; Santiago Rodríguez Yáñez; Julio Romera; S. Suárez","2013","Information and Software Technology","10.1016/j.infsof.2012.03.003","33","Include"
"Multi-level knowledge transfer in software development outsourcing projects : the agency theory view Research-in-Progress","In recent years, software development outsourcing has become even more complex. Outsourcing partner have begun‘re-outsourcing ’ components of their projects to other outsourcing companies to minimize cost and gain efficiencies, creating a multi-level hierarchy of outsourcing. This research in progress paper presents preliminary findings of a study designed to understand knowledge transfer effectiveness of multi-level software development outsourcing projects. We conceptualize the SD-outsourcing entities using the Agency Theory. This study conceptualizes, operationalises and validates the concept of Knowledge Transfer as a three-phase multidimensional formative index of 1) Domain knowledge, 2) Communication behaviors, and 3) Clarity of requirements. Data analysis identified substantial, significant differences between the Principal and the Agent on two of the three constructs. Using Agency Theory, supported by preliminary findings, the paper also provides prescriptive guidelines of reducing the friction between the Principal and the Agent in multi-level software outsourcing.","Maduka Subasingha; Darshana Sedera; Glen D. Murphy","2012","-","-","-","Include"
"Software Test Factory (A proposal of a process model to create a Test Factory)","Software Quality Assurance (SQA) is becoming a critical issue in software development and maintenance. This paper discusses the existing organizational approaches to implementing testing practices. Today the scenario, software development organizations are beginning to outsource the testing related activities to organizations (testing factories) in order to reduce the resources and increasing the quality and reliability of the software products and services. This model must be composed of a testing process model and an organizational structure establishing the required roles, responsibilities and competences.","A. Venkatasubramanian","2010","-","-","3","Include"
