title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
A Framework for Managing Software Testing Outsourcing Projects,,"[{'authorId': '9336060', 'name': 'Fatin Filzahti Ismail'}, {'authorId': '34689457', 'name': 'R. Razali'}]",2017,,"{'volume': '9', 'pages': '35-44', 'name': 'Journal of Telecommunication, Electronic and Computer Engineering'}",https://www.semanticscholar.org/paper/3caa676a57780062261feaeb0d1b74e9b3828316,False,"{'url': '', 'status': None, 'license': None}",2,41,,,['Computer Science'],"{'MAG': '2767937109', 'CorpusId': 168655944}",0,"Fatin Filzahti Ismail, R. Razali",,"MAG:2767937109, CorpusId:168655944"
The Impact of Knowledge Acquisition and Knowledge Integration of IT Outsourcing Supplier on Outsourcing Success -- Knowledge Sticky's Moderating Effect,,"[{'authorId': '2113336844', 'name': 'Jiang Qian'}, {'authorId': '2239194742', 'name': 'Guo-Jie Hu'}]",2015,International Conference on Service Science,"{'pages': '57-62', 'name': '2015 International Conference on Service Science (ICSS)'}",https://www.semanticscholar.org/paper/ffc4a557c74a159d79a0b86e87d37df7a451c29b,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICSS.2015.9?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICSS.2015.9, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",4,26,,['Conference'],['Business'],"{'MAG': '2532547073', 'DOI': '10.1109/ICSS.2015.9', 'CorpusId': 33274140}",0,"Jiang Qian, Guo-Jie Hu",Conference,"MAG:2532547073, DOI:10.1109/ICSS.2015.9, CorpusId:33274140"
Value Added from Knowledge Collaboration: Convergence of Intellectual Capital and Social Capital,,"[{'authorId': '2239166942', 'name': 'Jianbin Chen'}, {'authorId': '9227736', 'name': 'Guo Yanli'}, {'authorId': '2090939997', 'name': 'Xu Kaibo'}]",2014,,"{'volume': '7', 'pages': '15-26', 'name': 'International Journal of u- and e- Service, Science and Technology'}",https://www.semanticscholar.org/paper/6608bae82dada71562839e01563bbb13016afcc5,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.14257/IJUNESST.2014.7.2.02?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.14257/IJUNESST.2014.7.2.02, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",9,44,,,['Business'],"{'MAG': '2556370996', 'DOI': '10.14257/IJUNESST.2014.7.2.02', 'CorpusId': 168183087}",0,"Jianbin Chen, Guo Yanli, Xu Kaibo",,"MAG:2556370996, DOI:10.14257/IJUNESST.2014.7.2.02, CorpusId:168183087"
Multi-Level Knowledge Transfer In Software Development Outsourcing Projects: The Agency Theory View,,"[{'authorId': '2406921', 'name': 'Subasinghage Maduka Nuwangi'}, {'authorId': '1741161', 'name': 'Darshana Sedera'}, {'authorId': '39166080', 'name': 'G. Murphy'}]",2012,International Conference on Interaction Sciences,"{'volume': '', 'pages': '4292-4305', 'name': ''}",https://www.semanticscholar.org/paper/2a8ec90d85a113f2451a8d10ff3073a9784f3c20,False,"{'url': '', 'status': None, 'license': None}",35,104,,"['JournalArticle', 'Conference']","['Computer Science', 'Business', 'Engineering']","{'MAG': '2398424720', 'DBLP': 'conf/icis/NuwangiSM12', 'CorpusId': 14771883}",0,"Subasinghage Maduka Nuwangi, Darshana Sedera, G. Murphy","JournalArticle, Conference","MAG:2398424720, DBLP:conf/icis/NuwangiSM12, CorpusId:14771883"
Software Test Process Development,,"[{'authorId': '1694561', 'name': 'Jussi Kasurinen'}]",2011,,"{'volume': '', 'name': ''}",https://www.semanticscholar.org/paper/e0b9102cb9b212cb39b7f2cc8a967c5f2c090b60,False,"{'url': '', 'status': None, 'license': None}",10,156,,,['Engineering'],"{'MAG': '2276169632', 'CorpusId': 113305545}",0,Jussi Kasurinen,,"MAG:2276169632, CorpusId:113305545"
Trade-off between automated and manual software testing,,"[{'authorId': '3173701', 'name': 'Ossi Taipale'}, {'authorId': '1694561', 'name': 'Jussi Kasurinen'}, {'authorId': '1993364', 'name': 'Katja Karhu'}, {'authorId': '1726281', 'name': 'K. Smolander'}]",2011,International Journal of Systems Assurance Engineering and Management,"{'volume': '2', 'pages': '114-125', 'name': 'International Journal of System Assurance Engineering and Management'}",https://www.semanticscholar.org/paper/01c3a339665ba84d88b780b17617a86d6fad7262,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/S13198-011-0065-6?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/S13198-011-0065-6, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",58,50,,['JournalArticle'],"['Computer Science', 'Engineering']","{'DBLP': 'journals/saem/TaipaleKKS11', 'MAG': '1973637110', 'DOI': '10.1007/S13198-011-0065-6', 'CorpusId': 9263505}",3,"Ossi Taipale, Jussi Kasurinen, Katja Karhu, K. Smolander",JournalArticle,"DBLP:journals/saem/TaipaleKKS11, MAG:1973637110, DOI:10.1007/S13198-011-0065-6, CorpusId:9263505"
Test case selection and prioritization: risk-based or design-based?,,"[{'authorId': '1694561', 'name': 'Jussi Kasurinen'}, {'authorId': '3173701', 'name': 'Ossi Taipale'}, {'authorId': '1726281', 'name': 'K. Smolander'}]",2010,International Symposium on Empirical Software Engineering and Measurement,"{'volume': '', 'pages': '10', 'name': ''}",https://www.semanticscholar.org/paper/9d2a133f7e74cb37d4bcf0137eeabda8dd77f557,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1852786.1852800?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1852786.1852800, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",35,39,,"['JournalArticle', 'Review']","['Engineering', 'Computer Science']","{'DBLP': 'conf/esem/KasurinenTS10', 'MAG': '1979610121', 'DOI': '10.1145/1852786.1852800', 'CorpusId': 9827775}",1,"Jussi Kasurinen, Ossi Taipale, K. Smolander","JournalArticle, Review","DBLP:conf/esem/KasurinenTS10, MAG:1979610121, DOI:10.1145/1852786.1852800, CorpusId:9827775"
A proposal of a process model to create a test factory,,"[{'authorId': '2148770884', 'name': 'Ana Sanz'}, {'authorId': '2110194270', 'name': 'Javier García'}, {'authorId': '2054480727', 'name': 'J. Saldaña'}, {'authorId': '2075666986', 'name': 'Antonio Amescua'}]",2009,2009 ICSE Workshop on Software Quality,"{'pages': '65-70', 'name': '2009 ICSE Workshop on Software Quality'}",https://www.semanticscholar.org/paper/ec3745ee9f0f46466a02c94c1fe939778a6ce8b7,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/WOSQ.2009.5071559?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/WOSQ.2009.5071559, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",10,18,,,['Engineering'],"{'MAG': '2152823912', 'DOI': '10.1109/WOSQ.2009.5071559', 'CorpusId': 197413899}",1,"Ana Sanz, Javier García, J. Saldaña, Antonio Amescua",,"MAG:2152823912, DOI:10.1109/WOSQ.2009.5071559, CorpusId:197413899"
Investigating the relationship between schedules and knowledge transfer in software testing,,"[{'authorId': '1993364', 'name': 'Katja Karhu'}, {'authorId': '3173701', 'name': 'Ossi Taipale'}, {'authorId': '1726281', 'name': 'K. Smolander'}]",2009,Information and Software Technology,"{'volume': '51', 'pages': '663-677', 'name': 'Inf. Softw. Technol.'}",https://www.semanticscholar.org/paper/aa4ab4dcdb7818f5fd6479edf0e6e9ac68f8aa64,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.infsof.2008.09.001?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.infsof.2008.09.001, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",19,62,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/infsof/KarhuTS09', 'MAG': '2026748126', 'DOI': '10.1016/j.infsof.2008.09.001', 'CorpusId': 31291383}",0,"Katja Karhu, Ossi Taipale, K. Smolander","JournalArticle, Review","DBLP:journals/infsof/KarhuTS09, MAG:2026748126, DOI:10.1016/j.infsof.2008.09.001, CorpusId:31291383"
A Knowledge Management Analysis of an In-House Manual Software Testing,,"[{'authorId': '119772502', 'name': 'Richard Gentry'}, {'authorId': '1944182', 'name': 'F. Shirazi'}, {'authorId': '2058205627', 'name': 'Ted Rogers'}]",2015,,"{'volume': '', 'name': ''}",https://www.semanticscholar.org/paper/0a1dc443e237b9c1cb7e07e07cb6a65ed0099aea,False,"{'url': '', 'status': None, 'license': None}",1,34,,['Review'],['Engineering'],"{'MAG': '2184554283', 'CorpusId': 110976211}",0,"Richard Gentry, F. Shirazi, Ted Rogers",Review,"MAG:2184554283, CorpusId:110976211"
