Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A Sharafkhaneh, M Hirshkowitz, J Razjouyan…","Artificial Intelligence in Sleep Medicine I: Diagnosis, Treatment, Care, and Research",2026,"Sleep Medicine …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1087079226000675","",178,"2026-04-29 13:59:59","HTML","","","",,,,,0,0.00,0,4,1,"Artificial intelligence (AI) is transforming sleep medicine (SM) through improved diagnostics, therapeutics, and research. AI enhances diagnostic accuracy, treatment personalization …","https://www.sciencedirect.com/science/article/pii/S1087079226000675","https://scholar.google.com/scholar?q=related:wsSkFKmF9OwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"P Ranjan, S Singh, SK Mangla","Technological transformation in the manufacturing industry for sustainable development",2026,"Management of Environmental …","emerald.com","https://www.emerald.com/meq/article/doi/10.1108/MEQ-05-2025-0363/1340547","",181,"2026-04-29 13:59:59","","10.1108/MEQ-05-2025-0363/1340547","","",,,,,0,0.00,0,3,1,"Purpose Sustainable development needs systemic adjustments combining economic, environmental, and social objectives. The circular economy is designed to fulfil these goals …","","https://scholar.google.com/scholar?q=related:hGnElYSgy94J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"H Gao, A Ghahramani","A Structured Review of Physiological-Based Thermal Comfort Models: Evaluating Sensing Systems, Data Preprocessing, and Modeling Approaches",2025,"Energy and Buildings","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378778825014203","",183,"2026-04-29 13:59:59","HTML","","","",,,,,0,0.00,0,2,1,"Thermal comfort significantly affects occupant health and productivity in indoor environments and has traditionally been evaluated using subjective surveys. However, survey fatigue …","https://www.sciencedirect.com/science/article/pii/S0378778825014203","https://scholar.google.com/scholar?q=related:aa-QiYf5STYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Gwabavu, RC Bansal, W Shakantu, L Nyandeni…","Intelligent optimisation for sustainable development of onshore wind farm battery energy storage systems: A systematic review",2026,"Energy Strategy …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2211467X26000751","",185,"2026-04-29 13:59:59","HTML","","","",,,,,0,0.00,0,5,1,"The global shift toward renewable energy is driven by the urgent need to combat climate change and achieve net-zero emissions, with wind power emerging as a key pillar due to its …","https://www.sciencedirect.com/science/article/pii/S2211467X26000751","https://scholar.google.com/scholar?q=related:9A8dk8R8eIEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Squire, A Madgett, D Burdon, B Scott, J Marlow…","Understanding the role of offshore energy structures in ecosystem service delivery: Applying global findings to the North Sea",2026,"Ecosystem Services","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212041625001159","",194,"2026-04-29 13:59:59","HTML","","","",,,,,0,0.00,0,6,1,"The marine environment provides a wealth of ecosystem services, which can deliver human benefit when combined with built, human or social capital. Through the expansion of …","https://www.sciencedirect.com/science/article/pii/S2212041625001159","https://scholar.google.com/scholar?q=related:DW9rqjYHsT8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Raihan","Sustainable Human Settlements in the 21st Century: A Multidimensional Review of Challenges and Solutions",2026,"Human Settlements and Sustainability","Elsevier","https://www.sciencedirect.com/science/article/pii/S3050607726000127","",196,"2026-04-29 13:59:59","HTML","","","",,,,,0,0.00,0,1,1,"Sustainable human settlements are central to addressing the intertwined challenges of rapid urbanization, climate change, resource scarcity, and socio-spatial inequality in the 21st …","https://www.sciencedirect.com/science/article/pii/S3050607726000127","https://scholar.google.com/scholar?q=related:x9MEvASumFYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"CG Leo, A Bodini, MR Tumolo, S Sabina…","Effect of Active and Assisted Living technologies on psychosocial well-being in older adults: systematic review",2026,"Frontiers in Public …","frontiersin.org","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1717154/full?utm_source=email-sig&utm_medium=email&utm_content=100_VIEWS&utm_campaign=imp_mile_2024_fall_en_aut-ww","",197,"2026-04-29 13:59:59","HTML","10.3389/fpubh.2025.1717154","","",,,,,0,0.00,0,5,1,"BackgroundIn a rapidly aging society, the concept of psychosocial well-being becomes increasingly relevant, independent of health. Indeed, psychosocial well-being is closely …","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1717154/full?utm_source=email-sig&utm_medium=email&utm_content=100_VIEWS&utm_campaign=imp_mile_2024_fall_en_aut-ww","https://scholar.google.com/scholar?q=related:0CYkrE_Rkn4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"R Awasthy, S Singh, A Gupta","Workers' perception of gig platform governance: scale development and validation",2026,"Information Technology &People","emerald.com","https://www.emerald.com/itp/article/doi/10.1108/ITP-05-2025-0655/1360098","",198,"2026-04-29 13:59:59","","10.1108/ITP-05-2025-0655/1360098","","",,,,,0,0.00,0,3,1,"Purpose Gig platforms are progressively accepted as the potential catalyst for redefining the employment landscape. Studies call for exploring how well the platforms govern and …","","https://scholar.google.com/scholar?q=related:Cmhc4Lmq7dsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Jaiswal, MKP Naik, R Kumar…","Sustainability and customer perceptions in contemporary service experiences: a literature review",2026,"International Journal of …","emerald.com","https://www.emerald.com/ijqss/article/doi/10.1108/IJQSS-09-2025-0247/1354028","",201,"2026-04-29 13:59:59","","10.1108/IJQSS-09-2025-0247/1354028","","",,,,,0,0.00,0,4,1,"Purpose Sustainability is important in-service experiences, yet research on how customers perceive these initiatives remains fragmented across sectors and disciplines. This study …","","https://scholar.google.com/scholar?q=related:9IhEf8ep7SsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Scouvemont, C Elsen, V Tannoia, G Schaff…","Associations between the living environment and sleep through the mediation of the physical activity: a systematic review",2025,"BMC Public Health","Springer","https://link.springer.com/article/10.1186/s12889-025-25404-2","",204,"2026-04-29 13:59:59","HTML","10.1186/s12889-025-25404-2","","",,,,,0,0.00,0,5,1,"Objective To review the role of physical activity as a mediator in the association between the living environment and sleep. Materials and methods Observational and experimental …","https://link.springer.com/article/10.1186/s12889-025-25404-2","https://scholar.google.com/scholar?q=related:shmi-jvBSrEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
