oci,citing,cited,creation,timespan,journal_sc,author_sc
06320175841-061103131093,10.1002/rhc3.12270,10.1016/j.infsof.2022.106908,2023-05-07,P0Y10M,no,no
06204745688-061103131093,10.59899/eco-inno-c3,10.1016/j.infsof.2022.106908,2024-07-31,P2Y0M,no,no
062304355676-061103131093,10.1109/eiecs59936.2023.10435574,10.1016/j.infsof.2022.106908,2023-09-22,P1Y2M,no,no
06803849751-061103131093,10.1016/j.jclepro.2022.133805,10.1016/j.infsof.2022.106908,2022-11,P0Y4M,no,no
06010973750-061103131093,10.1007/978-3-032-04200-2_29,10.1016/j.infsof.2022.106908,2025-09-09,P3Y2M,no,yes
06430141745-061103131093,10.3390/s23094259,10.1016/j.infsof.2022.106908,2023-04-25,P0Y9M,no,no
0642086189-061103131093,10.3390/agriengineering5010006,10.1016/j.infsof.2022.106908,2023-01-09,P0Y6M,no,no
06503977548-061103131093,10.33736/jcshd.4745.2022,10.1016/j.infsof.2022.106908,2022-09-29,P0Y2M,no,no
06270479882-061103131093,10.1097/nor.0000000000001059,10.1016/j.infsof.2022.106908,2024-09,P2Y2M,no,no
06011074262-061103131093,10.1007/s10661-025-14157-5,10.1016/j.infsof.2022.106908,2025-06-05,P2Y11M,no,no
061504270632-061103131093,10.33141/po.2023.04.02,10.1016/j.infsof.2022.106908,2023-12-30,P1Y5M,no,no
0606807156-061103131093,10.1093/iwc/iwaf001,10.1016/j.infsof.2022.106908,2025-02-01,P2Y7M,no,no
06280564440-061103131093,10.1108/mrr-05-2023-0377,10.1016/j.infsof.2022.106908,2023-11-22,P1Y4M,no,no
06011382994-061103131093,10.5753/jserd.2025.3696,10.1016/j.infsof.2022.106908,2025-04-14,P2Y9M,no,no
0604980948-061103131093,10.1016/j.cbrev.2024.100183,10.1016/j.infsof.2022.106908,2025-03,P2Y8M,no,no
062104201725-061103131093,10.3389/ffgc.2024.1322087,10.1016/j.infsof.2022.106908,2024-02-28,P1Y7M,no,no
0604997043-061103131093,10.1145/3641554.3701904,10.1016/j.infsof.2022.106908,2025-02-12,P2Y7M,no,no
0607198786-061103131093,10.1016/j.rser.2025.115520,10.1016/j.infsof.2022.106908,2025-05,P2Y10M,no,no
06104738100-061103131093,10.3390/polym16050689,10.1016/j.infsof.2022.106908,2024-03-03,P1Y8M,no,no
06410191288-061103131093,10.1016/j.scitotenv.2023.166611,10.1016/j.infsof.2022.106908,2023-12,P1Y5M,no,no
06370193938-061103131093,10.3390/su15021634,10.1016/j.infsof.2022.106908,2023-01-13,P0Y6M,no,no
06012326015-061103131093,10.3390/ijerph22040595,10.1016/j.infsof.2022.106908,2025-04-10,P2Y9M,no,no
06804790418-061103131093,10.1016/j.exis.2024.101552,10.1016/j.infsof.2022.106908,2024-12,P2Y5M,no,no
0609038251-061103131093,10.1016/j.ijnurstu.2025.105103,10.1016/j.infsof.2022.106908,2025-08,P3Y1M,no,no
062304366454-061103131093,10.1016/j.infsof.2024.107586,10.1016/j.infsof.2022.106908,2025-01,P2Y6M,yes,no
0606193174-061103131093,10.1016/j.erss.2025.103938,10.1016/j.infsof.2022.106908,2025-03,P2Y8M,no,no
06010777819-061103131093,10.2196/preprints.79762,10.1016/j.infsof.2022.106908,2025-06-27,P2Y11M,no,no
06012520635-061103131093,10.1111/cen.70042,10.1016/j.infsof.2022.106908,2025-09-25,P3Y2M,no,no
061804266293-061103131093,10.5753/webmedia.2024.241929,10.1016/j.infsof.2022.106908,2024-10-14,P2Y3M,no,no
0609396867-061103131093,10.1016/j.ejmp.2025.105037,10.1016/j.infsof.2022.106908,2025-08,P3Y1M,no,no
062604247676-061103131093,10.1007/978-3-031-50590-4_21,10.1016/j.infsof.2022.106908,2024,P1Y,no,no
