Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
002-009-840-866-59X,CESI@ICSE - Protocol and tools for conducting agile software engineering research in an industrial-academic setting: a preliminary study,2018-05-28,2018,conference proceedings article,Proceedings of the 6th International Workshop on Conducting Empirical Studies in Industry,,ACM,,Katarzyna Biesialska; Xavier Franch; Victor Muntés-Mulero,"Conducting empirical research in software engineering industry is a process, and as such, it should be generalizable. The aim of this paper is to discuss how academic researchers may address some of the challenges they encounter during conducting empirical research in the software industry by means of a systematic and structured approach. The protocol developed in this paper should serve as a practical guide for researchers and help them with conducting empirical research in this complex environment.",,,29,32,Engineering management; Empirical research; Agile software development; Software; Design science; Agile software engineering; Computer science; Process (engineering); Action research; Protocol (object-oriented programming),Research Methodology; Industry Collaboration; Software Research; Empirical Studies; Empirical Software Engineering; Design Science; Action Research; Agile; Lean,,,Generalitat de Catalunya; European Commission,https://upcommons.upc.edu/handle/2117/124568 https://dblp.uni-trier.de/db/journals/corr/corr1804.html#abs-1804-03416 https://ieeexplore.ieee.org/document/8473423 https://dl.acm.org/doi/10.1145/3193965.3193970 http://doi.org/10.1145/3193965.3193970 https://core.ac.uk/download/185528525.pdf,http://dx.doi.org/10.1145/3193965.3193970,,10.1145/3193965.3193970,2797734574; 3103763775,,0,002-652-949-750-489; 012-907-621-061-860; 019-344-621-582-605; 022-198-978-906-065; 022-433-931-814-136; 022-510-128-734-90X; 023-271-752-717-768; 046-358-758-810-206; 049-566-754-487-419; 049-984-444-879-021; 057-267-597-523-585; 062-354-693-721-369; 073-268-545-664-25X; 074-590-798-630-041; 075-419-961-148-949; 079-212-739-651-006; 086-569-305-309-25X; 088-009-868-324-258; 100-957-310-331-152; 101-256-507-314-676; 105-923-927-752-981; 106-035-480-742-250; 107-147-942-291-152; 128-046-510-524-425; 141-666-804-534-299; 178-994-954-054-659; 189-934-842-837-59X; 197-236-322-599-032,5,true,,green
005-044-109-144-224,Challenges of Conducting Research in Software Engineering: A case of graduate students in low resource contexts,2025-05-03,2025,conference proceedings article,2025 IEEE/ACM Symposium on Software Engineering in the Global South (SEiGS),,IEEE,,Rashidah Kasauli; Hawa Nyende; Halimu Chongomweru; Nasser Kimbugwe,"Software engineering in low-resourced countries is just gaining momentum. A considerable number of students enroll for the masters program at Makerere University in hope of achieving the successful promises that come with undertaking studies in software engineering. However, many find themselves not completing studies, especially during the research year. Based on interviews with 10 of the 24 students opting for software engineering and at different stages of research, this paper presents challenges that graduate students face while undertaking software engineering research. We find challenges relating to the technical aspects of the research being conducted as well as administrative concerns. We conclude by highlighting the need for funding and improved domain support.",,,41,46,Resource (disambiguation); Computer science; Software engineering; Graduate students; Software; Engineering management; Engineering; Psychology; Pedagogy; Programming language; Computer network,,,,,,http://dx.doi.org/10.1109/seigs66664.2025.00017,,10.1109/seigs66664.2025.00017,,,0,006-022-620-723-126; 017-172-674-150-143; 020-657-689-318-424; 035-060-140-856-80X; 038-370-221-734-911; 062-974-740-395-63X; 066-185-950-092-112; 072-201-335-156-975; 075-419-961-148-949; 079-212-739-651-006; 103-824-359-809-786; 127-304-350-817-896; 132-507-555-191-410; 197-236-322-599-032,0,false,,
005-577-233-995-343,SERP-test: a taxonomy for supporting industry–academia communication,2016-06-28,2016,journal article,Software Quality Journal,09639314; 15731367,Springer Science and Business Media LLC,Netherlands,Emelie Engström; Kai Petersen; Nauman Bin Ali; Elizabeth Bjarnason,"This paper presents the construction and evaluation of SERP-test, a taxonomy aimed to improve communication between researchers and practitioners in the area of software testing. SERP-test can be utilized for direct communication in industry academia collaborations. It may also facilitate indirect communication between practitioners adopting software engineering research and researchers who are striving for industry relevance. SERP-test was constructed through a systematic and goal-oriented approach which included literature reviews and interviews with practitioners and researchers. SERP-test was evaluated through an online survey and by utilizing it in an industry–academia collaboration project. SERP-test comprises four facets along which both research contributions and practical challenges may be classified: Intervention, Scope, Effect target and Context constraints. This paper explains the available categories for each of these facets (i.e., their definitions and rationales) and presents examples of categorized entities. Several tasks may benefit from SERP-test, such as formulating research goals from a problem perspective, describing practical challenges in a researchable fashion, analyzing primary studies in a literature review, or identifying relevant points of comparison and generalization of research.",25,4,1269,1305,Perspective (graphical); Test (assessment); Context (language use); Scope (project management); Computer science; Information and Computer Science; Knowledge management; Intervention (law); Relevance (information retrieval); Taxonomy (general),,,,ELLIIT Strategic Research Area,http://www.diva-portal.org/smash/record.jsf?pid=diva2:1023820 https://lup.lub.lu.se/record/ae9e97f6-324f-40ea-9377-50a4637fba5c https://portal.research.lu.se/sv/publications/serp-test-a-taxonomy-for-supporting-industryacademia-communicatio https://link.springer.com/article/10.1007/s11219-016-9322-x/fulltext.html https://dblp.uni-trier.de/db/journals/sqj/sqj25.html#EngstromPAB17 https://www.lunduniversity.lu.se/lup/publication/ae9e97f6-324f-40ea-9377-50a4637fba5c https://link.springer.com/article/10.1007/s11219-016-9322-x,http://dx.doi.org/10.1007/s11219-016-9322-x,,10.1007/s11219-016-9322-x,2470503866,,0,002-117-483-089-70X; 002-444-493-392-09X; 004-090-533-755-164; 004-761-640-211-191; 019-017-034-352-081; 019-986-065-727-926; 020-185-247-515-735; 022-198-978-906-065; 026-535-468-248-728; 032-832-666-404-929; 043-269-042-996-996; 045-349-476-987-950; 052-084-111-072-267; 052-334-524-770-441; 059-329-467-417-702; 060-572-290-053-960; 060-587-291-443-153; 064-069-650-453-587; 064-577-692-438-191; 065-126-081-899-777; 066-729-130-331-678; 074-995-537-656-089; 076-720-121-806-207; 079-283-653-218-656; 085-335-765-366-169; 085-753-444-087-507; 090-274-125-907-988; 090-945-691-784-85X; 092-076-519-328-693; 092-674-935-992-868; 094-672-783-001-722; 095-489-351-679-581; 096-544-245-912-322; 100-526-027-414-02X; 101-013-127-738-649; 106-035-480-742-250; 107-386-602-927-685; 112-086-169-622-886; 113-494-636-177-208; 114-614-438-068-377; 126-159-147-014-102; 131-733-183-012-125; 135-807-482-654-421; 135-952-816-062-014; 137-515-505-427-271; 138-995-280-154-71X; 143-045-322-791-672; 155-333-022-205-039; 169-643-480-975-462; 174-602-506-943-697; 179-397-843-259-628; 179-560-966-726-721; 197-236-322-599-032,31,false,,
007-971-175-169-067,Complex System Modelling and Control Through Intelligent Soft Computations - Measuring Software Reliability: A Trend Using Machine Learning Techniques,2014-11-30,2014,book,Studies in Fuzziness and Soft Computing,14349922; 18600808,Springer International Publishing,Germany,Nishikant Kumar; Soumya Banerjee,"It has become inevitable for every software developer to understand, to follow that how and why software fails, and to express reliability in quantitative terms. This has led to a proliferation of software reliability models to estimate and predict reliability. The basic approach is to model past failure data to predict future behavior. Most of the models have three major components: assumptions, factors and a mathematical function, usually high order exponential or logarithmic used to relate factors to reliability. Software reliability models are used to forecast the curve of failure rate by statistical evidence available during testing phase. They also can indicate about the extra time required to carry out the test procedure in order to meet the specifications and deliver desired functionality with minimum number of defects. Therefore there are challenges whether, autonomous or machine learning techniques like other predictive methods could be able to forecast the reliability measures for a specific software application. This chapter contemplates reliability issue through a generic Machine Learning paradigm while referring the most common aspects of Support Vector Machine scenario. Couples of customized simulation and experimental results have been presented to support the proposed reliability measures and strategies.",,,807,829,Software quality; Machine learning; Support vector machine; Artificial intelligence; Failure rate; Order (business); Software; Logarithm; Computer science; Reliability (statistics); Software reliability testing,,,,,https://rd.springer.com/chapter/10.1007/978-3-319-12883-2_28 https://dblp.uni-trier.de/db/series/sfsc/sfsc319.html#KumarB15 https://link.springer.com/chapter/10.1007/978-3-319-12883-2_28 https://link.springer.com/chapter/10.1007/978-3-319-12883-2_28/fulltext.html https://doi.org/10.1007/978-3-319-12883-2_28,http://dx.doi.org/10.1007/978-3-319-12883-2_28,,10.1007/978-3-319-12883-2_28,281331680,,0,002-402-030-745-121; 007-147-991-078-491; 012-536-052-688-785; 013-245-211-521-55X; 015-108-616-392-671; 016-461-401-478-199; 016-987-290-245-371; 021-242-063-504-948; 023-421-188-871-596; 024-600-760-861-541; 024-622-642-198-387; 028-474-533-253-897; 033-112-945-145-000; 038-063-612-015-500; 040-840-890-975-822; 044-064-526-207-241; 046-496-691-845-29X; 059-281-942-631-282; 059-426-945-334-712; 066-476-049-153-509; 072-747-238-552-751; 082-667-529-956-679; 105-443-199-857-562; 105-489-605-506-391; 106-035-480-742-250; 106-398-400-789-140; 109-115-849-610-311; 109-733-187-647-999; 113-397-727-554-780; 120-345-021-931-790; 143-157-781-514-865; 157-787-972-163-257; 159-681-317-540-842; 159-860-771-240-94X; 161-771-060-883-604; 169-522-720-739-856; 172-664-982-687-437; 175-027-893-074-118; 179-975-725-582-258; 192-212-353-640-773; 197-236-322-599-032,3,false,,
009-477-275-662-19X,A bibliometric analysis of the Turkish software engineering research community,2015-08-12,2015,journal article,Scientometrics,01389130; 15882861,Springer Science and Business Media LLC,Hungary,Vahid Garousi,"This paper presents a bibliometric analysis of the Turkish software engineering (SE) community (researchers and institutions). The bibliometric analysis has been conducted based on the number of papers published in the software-engineering-related venues and indexed in the Scopus academic search engine until year 2014. According to the bibliometric analysis, the top-ranked institution is Middle East Technical University, and the top-ranked scholar is Ayse Basar Bener (formerly with Bogazici University and now with Ryerson University in Canada). The analysis reveals other important findings and presents a set of implications for the Turkish SE community and stakeholders (e.g., funding agencies and decision makers) such as the followings: (1) Turkey produces only about 0.49 % of the world-wide SE knowledge, as measured by the number of papers in Scopus, which is very negligible unfortunately. To take a more active role in the global SE community, the Turkish SE community has to increase their outputs. (2) We notice a lack of diversity in the general SE spectrum, e.g., we noticed very little focus on requirements engineering, software maintenance and evolution, and architecture. This denotes the need to further diversification in SE research topics in Turkey. (3) In total, 89 papers in the pool (30.8 % of the total) are internationally-authored SE papers. Having a good level of international collaborations is a good sign for the Turkish SE community. The highest international collaborations have been with researchers from United States, Canada and Netherlands. (4) In general, the involvement of industry in SE search is low. All stakeholders (e.g., government, industry and academia) should aim at increasing the level of industry-academia collaboration in the Turkish SE community, (5) Citation to Turkish SE papers, in general, are significantly lower than a set of three representative pools of SE papers. This is an area of concern which needs further investigation, and (6) In general, there is a need to increase both the quantity and quality of the Turkish SE papers, in the global stage. The approach we use in this study could be replicated in other countries to provide insights and trends about the SE research performance in other countries.",105,1,23,49,Software engineering; Government; Political science; Diversification (marketing strategy); Citation; Notice; Turkish; Social science; Middle East; Requirements engineering; Scopus,,,,,https://doi.org/10.1007/s11192-015-1663-x https://dblp.uni-trier.de/db/journals/scientometrics/scientometrics105.html#Garousi15 https://dl.acm.org/doi/10.1007/s11192-015-1663-x https://link.springer.com/article/10.1007/s11192-015-1663-x/fulltext.html https://link.springer.com/article/10.1007/s11192-015-1663-x https://pure.qub.ac.uk/en/publications/a-bibliometric-analysis-of-the-turkish-software-engineering-resea https://ideas.repec.org/a/spr/scient/v105y2015i1d10.1007_s11192-015-1663-x.html,http://dx.doi.org/10.1007/s11192-015-1663-x,,10.1007/s11192-015-1663-x,1450260283,,0,000-608-137-271-879; 000-777-738-898-770; 003-663-159-224-265; 005-688-363-332-013; 012-242-041-410-071; 015-826-329-976-224; 017-891-934-168-309; 018-091-024-170-005; 024-316-978-181-153; 025-074-585-154-696; 026-521-089-877-594; 038-325-111-409-808; 039-330-925-829-660; 040-731-457-789-17X; 041-891-130-085-647; 046-930-139-794-432; 048-294-047-066-655; 059-825-422-094-99X; 066-185-950-092-112; 070-390-205-281-156; 071-878-836-294-733; 076-498-170-063-038; 079-229-615-171-802; 083-880-264-741-865; 087-742-015-833-275; 091-304-565-014-05X; 094-336-360-386-20X; 101-752-490-869-458; 105-923-927-752-981; 106-035-480-742-250; 106-565-229-987-301; 108-722-715-285-793; 109-792-805-014-284; 110-394-084-674-830; 111-594-722-964-713; 121-271-295-947-99X; 127-673-160-583-623; 132-723-851-457-646; 142-925-316-317-21X; 143-879-883-934-611; 148-847-094-980-282; 151-066-640-236-837; 161-686-570-809-715; 169-299-603-058-323; 170-787-861-763-357; 172-952-698-734-140; 181-940-823-653-015; 197-236-322-599-032,49,false,,
009-713-358-478-445,Gap between academia and industry: a case of empirical evaluation of three software testing methods,2019-10-28,2019,journal article,International Journal of System Assurance Engineering and Management,09756809; 09764348,Springer Science and Business Media LLC,India,Umar Farooq,"Doing the right kind of testing has always been one of main challenging and a decisive task for industry. To choose right software testing method(s), industry needs to have an exact objective knowledge of their effectiveness, efficiency, and applicability conditions. The most common way to evaluate testing methods, for such knowledge, is with empirical studies. Reliable and comprehensive evidence can be obtained by aggregating the results of different empirical studies (family of experiments) taking into account their findings and limitations. We conducted a study to investigate the current state of the art of empirical knowledge base of three testing methods. We found that although the empirical studies conducted so far to evaluate testing methods contain many important and interesting results; however, we still lack factual and generalizable knowledge about performance and applicability conditions of testing methods(s), making it unfeasible to be readily adopted by the industry. Moreover, we tried to identify the major factors responsible for limiting academia from producing significantly reliable results having an industrial impact. We believe that besides effective and long-term academia-industry collaboration, there is a need for more systematic, quantifiable and comprehensive empirical studies (which provides scope for aggregation using rigorous techniques), mainly replications so as to create an effective and applicable knowledge base about testing methods which potentially can fill the gap between academia and industry.",10,6,1487,1504,Risk analysis (engineering); Empirical research; Empirical evidence; Limiting; Task (project management); Scope (project management); Software testing; Family of experiments; Computer science; Knowledge base,,,,University Grants Commission,https://link.springer.com/article/10.1007/s13198-019-00899-2 https://dblp.uni-trier.de/db/journals/saem/saem10.html#Farooq19,http://dx.doi.org/10.1007/s13198-019-00899-2,,10.1007/s13198-019-00899-2,2982452422,,0,001-857-067-670-033; 002-671-227-022-352; 004-873-951-596-742; 005-654-406-223-410; 007-907-879-018-818; 008-705-605-748-70X; 010-024-779-204-102; 010-370-553-354-265; 012-639-277-719-88X; 012-907-621-061-860; 023-029-176-093-807; 024-514-997-798-383; 027-069-863-390-936; 027-173-653-033-690; 028-514-691-858-852; 030-211-531-200-81X; 030-814-393-257-246; 032-832-666-404-929; 033-755-176-625-921; 034-520-540-866-378; 037-240-275-943-979; 037-571-966-594-735; 039-996-923-510-884; 044-404-964-703-729; 045-327-642-894-024; 046-491-247-607-786; 046-960-916-997-304; 047-217-131-432-149; 047-831-665-759-20X; 049-397-115-481-34X; 050-480-392-899-51X; 060-299-665-294-230; 060-652-931-223-182; 064-114-812-593-217; 064-591-697-476-331; 068-385-766-565-839; 073-472-944-742-17X; 075-174-330-632-424; 077-696-267-542-303; 079-212-739-651-006; 083-356-377-304-484; 087-024-456-042-747; 088-556-055-384-598; 093-945-327-349-252; 098-646-602-348-601; 106-035-480-742-250; 112-221-451-378-257; 115-111-392-439-540; 115-291-000-805-224; 116-895-348-595-583; 122-869-464-770-084; 131-823-586-333-125; 145-223-812-227-03X; 148-796-810-986-953; 160-709-371-174-289; 172-615-057-145-736; 180-935-997-178-864; 181-043-228-751-569; 184-129-734-662-602; 197-236-322-599-032,1,false,,
009-974-368-780-053,Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,2016-06-01,2016,journal article,Software Quality Journal,09639314; 15731367,Springer Science and Business Media LLC,Netherlands,Vahid Garousi; Matt M. Eskandar; Kadir Herkiloglu,"Collaboration between industry and academia supports improvement and innovation in industry and helps to ensure industrial relevance in academic research. However, many researchers and practitioners believe that the level of joint industry–academia collaborations (IAC) in software engineering (SE) is still relatively very low, compared to the amount of activity in each of the two communities. The goal of the empirical study reported in this paper is to characterize a set of collaborative industry–academia R&D projects in the area of software testing conducted by the authors (based in Canada and Turkey) with respect to a set of challenges, patterns and anti-patterns identified by a recent Systematic Literature Review study, with the aim of contributing to the body of evidence in the area of IAC, for the benefit of SE researchers and practitioners in conducting successful IAC projects in software testing and in software engineering in general. To address the above goal, a pool of ten IAC projects (six completed, two failed and two ongoing) all in the area of software testing, which the authors have led or have had active roles in, were selected as objects of study and were analyzed (both quantitatively and qualitatively) with respect to the set of selected challenges, patterns and anti-patterns. As outputs, the study presents a set of empirical findings and evidence-based recommendations, e.g.: it has been observed that even if an IAC project may seem perfect from many aspects, one single major challenge (e.g., disagreement in confidentiality agreements) can lead to its failure. Thus, we recommend that both parties (academics and practitioners) consider all the challenges early on and proactively work together to eliminate the risk of challenges in IAC projects. We furthermore report correlation and interrelationship of challenges, patterns and anti-patterns with project success measures. This study hopes to encourage and benefit other SE researchers and practitioners in conducting successful IAC projects in software testing and in software engineering in general in the future.",25,4,1091,1143,Empirical research; Engineering; Set (psychology); Work (electrical); Systematic review; Software testing; Project success; Management science; Knowledge management; Confidentiality; Relevance (information retrieval),Industry-academia collaborations; software engineering; software testing; empirical study; experience report; evidence; challenges; success factors (patterns); anti-patterns,,,Hacettepe Üniversitesi (TR); TÜBİTAK,https://link.springer.com/article/10.1007/s11219-016-9319-5 https://www.narcis.nl/publication/RecordID/oai%3Alibrary.wur.nl%3Awurpubs%2F532749 https://dblp.uni-trier.de/db/journals/sqj/sqj25.html#GarousiEH17 https://core.ac.uk/download/pdf/148789626.pdf,http://dx.doi.org/10.1007/s11219-016-9319-5,,10.1007/s11219-016-9319-5,2466590866,,0,000-051-713-975-36X; 000-431-287-943-115; 000-569-182-294-94X; 002-444-493-392-09X; 003-656-336-053-300; 004-145-572-246-376; 005-581-015-958-634; 007-476-800-156-352; 007-881-046-965-80X; 008-958-277-087-804; 010-081-393-133-162; 010-396-921-724-422; 010-432-633-444-325; 011-544-671-678-010; 012-907-621-061-860; 015-276-436-539-843; 017-485-806-018-927; 019-986-065-727-926; 021-639-880-719-442; 022-198-978-906-065; 022-510-128-734-90X; 023-271-752-717-768; 031-938-899-456-075; 032-299-948-416-394; 033-677-968-656-338; 034-402-234-497-861; 038-055-586-136-447; 038-403-201-106-780; 039-688-502-139-381; 041-916-163-785-971; 045-933-727-740-788; 046-167-493-945-540; 046-825-714-365-251; 047-583-581-550-695; 050-504-653-280-904; 050-736-728-900-411; 052-572-686-579-766; 055-563-387-809-044; 057-076-982-289-607; 058-725-073-311-735; 063-733-363-616-247; 064-604-663-720-72X; 075-419-961-148-949; 076-761-977-791-103; 077-468-070-126-168; 084-347-471-637-842; 086-569-305-309-25X; 090-476-065-400-127; 090-997-573-535-443; 092-234-856-249-997; 092-454-464-733-709; 092-523-445-325-968; 093-590-950-099-590; 095-782-248-858-533; 096-140-968-331-571; 096-700-610-089-998; 102-314-552-495-241; 104-059-482-678-348; 104-264-539-898-708; 105-923-927-752-981; 106-035-480-742-250; 113-622-434-842-007; 117-416-167-410-987; 120-252-162-615-043; 131-733-183-012-125; 136-639-753-658-392; 137-989-443-238-882; 139-470-628-361-571; 141-303-369-356-949; 141-666-804-534-299; 145-208-137-221-375; 147-815-395-653-784; 148-727-678-762-928; 149-541-903-132-246; 152-673-071-710-682; 155-333-022-205-039; 158-464-082-365-922; 164-720-640-437-271; 165-148-217-335-560; 168-609-601-788-773; 169-643-480-975-462; 171-816-063-925-100; 182-305-215-228-297; 184-331-190-859-587; 189-483-918-651-282; 194-193-802-341-923; 197-236-322-599-032; 199-315-486-905-516,43,true,cc-by-nc-nd,green
025-714-125-346-374,University-software industry collaboration: an empirical study based on knowledge management,2020-07-07,2020,journal article,Knowledge Management Research & Practice,14778238; 14778246,Informa UK Limited,United Kingdom,Marcello Chedid; Teresa Carvalho; Leonor Teixeira,,20,4,593,605,,,,,,,http://dx.doi.org/10.1080/14778238.2020.1789002,,10.1080/14778238.2020.1789002,,,0,000-326-807-732-713; 000-581-558-420-636; 006-112-437-958-188; 010-783-826-302-782; 013-493-700-925-283; 015-276-436-539-843; 019-019-797-263-000; 023-540-680-720-425; 027-074-281-210-401; 032-328-674-780-497; 034-702-120-144-00X; 037-060-991-918-653; 040-627-860-870-111; 045-808-922-120-83X; 046-389-606-812-052; 050-839-202-830-852; 056-979-524-766-454; 058-509-363-884-308; 058-821-081-159-26X; 065-128-726-645-870; 071-720-497-199-810; 074-603-420-132-243; 082-842-733-229-845; 083-239-436-219-827; 085-130-605-063-389; 086-569-305-309-25X; 092-807-118-306-502; 100-072-532-695-56X; 111-525-157-945-704; 119-754-369-956-00X; 121-068-657-078-32X; 122-151-321-556-862; 128-740-147-843-471; 130-043-215-186-10X; 132-575-338-217-260; 134-377-031-796-304; 136-924-464-271-696; 140-091-234-548-507; 163-841-595-616-661; 165-290-548-290-747; 176-202-621-507-09X; 178-631-240-904-321; 180-813-779-294-458; 187-333-949-177-433; 188-047-440-663-69X; 197-236-322-599-032,7,false,,
025-869-310-375-683,NBiS - From Ivory Tower to Democratization and Industrialization: A Landscape View of Real-World Adaptation of Artificial Intelligence,2019-08-15,2019,book chapter,Advances in Intelligent Systems and Computing,21945357; 21945365,Springer International Publishing,,Toshihiko Yamakami,"Deep learning is a hot research topic during 2010s. The rapid advances and data and computing-intensive characteristics of deep learning isolated ordinary people from the technology. However, as the technology advances, there are some visible signs of socialization in deep learning. The author presents the concept of democratization and industrialization of deep learning. Then, the author describes this trend as a new landscape view of AI technology. Finally, the author describes a 3-stage model of interaction between social community and technology in the era of digital transformation.",,,200,211,Deep learning; Digital transformation; Artificial intelligence; Democratization; Ivory tower; Socialization (Marxism); Social community; Computer science; Industrialisation; Engineering ethics; Adaptation (computer science),,,,,https://dblp.uni-trier.de/db/conf/nbis/nbis2019.html#Yamakami19 https://link.springer.com/chapter/10.1007%2F978-3-030-29029-0_19 https://rd.springer.com/chapter/10.1007/978-3-030-29029-0_19,http://dx.doi.org/10.1007/978-3-030-29029-0_19,,10.1007/978-3-030-29029-0_19,2968787989,,0,014-409-101-003-393; 029-461-459-293-076; 037-847-024-025-680; 064-581-364-424-075; 106-035-480-742-250; 127-520-110-754-714; 161-307-627-181-613; 197-236-322-599-032,0,false,,
030-525-561-468-720,Knowledge Management in University-Software Industry Collaboration,,2021,book chapter,"Handbook of Research on Modern Educational Technologies, Applications, and Management",,IGI Global,,Marcello Chedid; Leonor Teixeira,"<jats:p>The university-software industry collaboration relationship has been represented a key resource, to the extent that together they can more easily promote technological development that underpins innovation solutions. Through a literature review, this chapter aims to explore the concepts and the facilitator or inhibitor factors associated with the collaboration relationships between university and software industry, taking knowledge management into account. This chapter is organized as follows. In the first section, the authors briefly introduce university, software industry, and knowledge management. The following section, based on the literature reviewed, provides a critical discussion of the university-software industry collaboration relationship, knowledge management in knowledge intensive organizations or community, and knowledge management in collaboration relationship between these two types of industries. Finally, in the rest of the sections, the authors point to future research directions and conclude. </jats:p>",,,114,130,Business; Software; Knowledge management,,,,,https://www.igi-global.com/chapter/knowledge-management-in-university-software-industry-collaboration/258788,http://dx.doi.org/10.4018/978-1-7998-3476-2.ch028,,10.4018/978-1-7998-3476-2.ch028,3042914639,,0,001-145-759-828-115; 003-177-391-803-68X; 006-112-437-958-188; 010-783-826-302-782; 018-837-230-802-77X; 021-378-111-821-140; 022-491-571-466-160; 023-458-090-551-34X; 023-540-680-720-425; 023-548-623-329-645; 024-600-901-460-400; 032-328-674-780-497; 032-966-002-671-323; 034-702-120-144-00X; 036-236-919-665-583; 039-593-356-531-50X; 042-512-768-703-41X; 045-119-187-307-855; 046-836-865-430-472; 046-944-799-921-959; 050-364-579-379-620; 052-904-014-932-406; 056-838-802-252-973; 056-979-524-766-454; 058-821-081-159-26X; 062-354-693-721-369; 072-619-825-046-689; 074-603-420-132-243; 075-691-879-945-036; 083-239-436-219-827; 084-548-044-629-363; 092-774-658-987-267; 093-525-400-935-725; 095-800-725-968-513; 100-072-532-695-56X; 106-035-480-742-250; 107-304-769-582-63X; 113-752-539-676-864; 117-796-898-078-153; 124-073-101-350-792; 126-277-308-746-046; 128-437-705-133-414; 128-740-147-843-471; 130-655-731-772-743; 134-377-031-796-304; 136-881-407-999-579; 138-674-573-908-864; 147-815-395-653-784; 149-881-359-055-742; 163-841-595-616-661; 165-290-548-290-747; 178-631-240-904-321; 186-324-864-013-13X; 187-345-017-029-869; 188-047-440-663-69X; 189-852-626-609-868; 197-236-322-599-032,1,false,,
