oci,citing,cited,creation,timespan,journal_sc,author_sc
061502560902-061801206592,10.1145/2647648.2647652,10.1109/ms.2011.92,2014-09-16,P2Y6M,no,no
0604953153-061801206592,10.1145/3701625.3701690,10.1109/ms.2011.92,2024-11-05,P12Y8M,no,no
0608487026-061801206592,10.1007/978-3-031-89277-6_7,10.1109/ms.2011.92,2025,P12Y,no,no
061401030448-061801206592,10.1007/s10664-019-09711-y,10.1109/ms.2011.92,2019-04-23,P7Y1M,no,no
06701774594-061801206592,10.1017/pds.2022.1,10.1109/ms.2011.92,2022-05,P10Y2M,no,no
06902948100-061801206592,10.1109/cesi.2013.6618466,10.1109/ms.2011.92,2013-05,P1Y2M,no,no
06401712591-061801206592,10.1007/978-3-030-65854-0_9,10.1109/ms.2011.92,2021,P8Y,no,no
061903488809-061801206592,10.1007/978-3-031-10873-0_7,10.1109/ms.2011.92,2015,P2Y,no,no
062202490833-061801206592,10.1145/2896839.2896845,10.1109/ms.2011.92,2016,P3Y,no,no
061103131203-061801206592,10.1016/j.infsof.2021.106678,10.1109/ms.2011.92,2021-12,P9Y9M,no,yes
06602606827-061801206592,10.5367/ihe.2016.0291,10.1109/ms.2011.92,2016-02,P3Y11M,no,no
061402535216-061801206592,10.1145/2647648.2647650,10.1109/ms.2011.92,2014-09-16,P2Y6M,no,no
06904283701-061801206592,10.1007/978-3-031-53227-6_16,10.1109/ms.2011.92,2024,P11Y,no,no
061601083938-061801206592,10.1080/0309877x.2022.2050687,10.1109/ms.2011.92,2022-03-22,P10Y0M,no,no
06601357378-061801206592,10.1002/smr.2251,10.1109/ms.2011.92,2020-02-06,P7Y11M,no,no
06420152585-061801206592,10.1145/3589227,10.1109/ms.2011.92,2023-05-28,P11Y2M,no,no
061704225469-061801206592,10.5753/sbes.2024.3456,10.1109/ms.2011.92,2024-09-30,P12Y6M,no,no
0630594021-061801206592,10.1016/j.jss.2015.07.018,10.1109/ms.2011.92,2015-11,P3Y8M,no,no
061203116252-061801206592,10.1016/j.infsof.2016.07.006,10.1109/ms.2011.92,2016-11,P4Y8M,no,no
062202621702-061801206592,10.1007/978-3-658-04680-4_16,10.1109/ms.2011.92,2014,P1Y,no,no
06012186981-061801206592,10.5753/sbsi_estendido.2025.246884,10.1109/ms.2011.92,2025-05-19,P13Y2M,no,no
061202248901-061801206592,10.1145/3366424.3384373,10.1109/ms.2011.92,2020-04-20,P8Y1M,no,no
061302486034-061801206592,10.1109/icst.2016.7,10.1109/ms.2011.92,2016-04,P4Y1M,no,no
061402535528-061801206592,10.1145/2647648.2647657,10.1109/ms.2011.92,2014-09-16,P2Y6M,no,no
0607255201-061801206592,10.1007/978-981-97-8752-4_18,10.1109/ms.2011.92,2024,P11Y,no,no
06502913727-061801206592,10.1109/wicsa.2016.10,10.1109/ms.2011.92,2016-04,P4Y1M,no,no
06702874395-061801206592,10.1145/2993352.2993358,10.1109/ms.2011.92,2016-11-28,P4Y8M,no,no
0630594006-061801206592,10.1016/j.jss.2015.08.009,10.1109/ms.2011.92,2015-11,P3Y8M,no,yes
061602535637-061801206592,10.1109/cesi.2015.11,10.1109/ms.2011.92,2015-05,P3Y2M,no,no
061903488805-061801206592,10.1007/978-3-031-10873-0_13,10.1109/ms.2011.92,2022,P9Y,no,no
06130245779-061801206592,10.1016/j.protcy.2016.08.052,10.1109/ms.2011.92,2016,P3Y,no,no
06150907609-061801206592,10.1108/tg-05-2020-0074,10.1109/ms.2011.92,2020-08-10,P8Y5M,no,no
06204866443-061801206592,10.1007/978-3-031-57327-9_12,10.1109/ms.2011.92,2024,P11Y,no,no
06502752325-061801206592,10.23919/mipro55190.2022.9803528,10.1109/ms.2011.92,2022-05-23,P10Y2M,no,no
062103923686-061801206592,10.23919/cisti58278.2023.10211674,10.1109/ms.2011.92,2023-06-20,P11Y3M,no,no
06120675597-061801206592,10.1145/3494519,10.1109/ms.2011.92,2022-07-31,P10Y4M,no,no
061902960495-061801206592,10.1109/ser-ip52554.2021.00017,10.1109/ms.2011.92,2021-06,P9Y3M,no,no
062502779877-061801206592,10.1007/978-3-642-29044-2_2,10.1109/ms.2011.92,2012,P0Y,no,no
061601897228-061801206592,10.1007/978-3-030-61362-4_31,10.1109/ms.2011.92,2020,P7Y,no,no
062302918314-061801206592,10.1109/re.2013.6636751,10.1109/ms.2011.92,2013-07,P1Y4M,no,no
061202664840-061801206592,10.1007/978-3-642-37395-4_10,10.1109/ms.2011.92,2013,P0Y,no,yes
06310187197-061801206592,10.3390/su15054596,10.1109/ms.2011.92,2023-03-04,P11Y0M,no,no
06503317997-061801206592,10.1145/2593690.2593694,10.1109/ms.2011.92,2014,P1Y,no,no
061202921592-061801206592,10.1109/cesi.2013.6618469,10.1109/ms.2011.92,2013-05,P1Y2M,no,yes
061903488813-061801206592,10.1007/978-3-031-10873-0_15,10.1109/ms.2011.92,2020,P7Y,no,no
06902914310-061801206592,10.1145/3461001.3474301,10.1109/ms.2011.92,2021-09-06,P9Y6M,no,no
061903488816-061801206592,10.1007/978-3-031-10873-0_9,10.1109/ms.2011.92,2022,P9Y,no,no
061903488817-061801206592,10.1007/978-3-031-10873-0_10,10.1109/ms.2011.92,2015,P2Y,no,no
061402926697-061801206592,10.1145/2460999.2461020,10.1109/ms.2011.92,2013,P0Y,no,no
062602265547-061801206592,10.1007/978-3-319-63874-4_15,10.1109/ms.2011.92,2017,P4Y,no,no
061502560356-061801206592,10.1145/2647648.2647654,10.1109/ms.2011.92,2014-09-16,P2Y6M,no,no
