title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Attributes to Support the Formulation of Practically Relevant Research Problems in Software Engineering,"[Background] A well-formulated research problem is essential for achieving practical relevance in Software Engineering (SE), yet there is a lack of structured guidance in this early phase. [Aims] Our goal is to introduce and evaluate seven attributes identified in the SE literature as relevant for formulating research problems (practical problem, context, implications/impacts, practitioners, evidence, objective, and research questions) in terms of their perceived importance and completeness, and learn how they can be applied. [Method] We conducted a workshop with 42 senior SE researchers during the ISERN 2024 meeting. The seven attributes were presented using a Problem Vision board filled with a research example. Participants discussed attributes in groups, shared written feedback, and individually completed a survey assessing their importance, completeness, and suggestions for improvement. [Results] The findings confirm the importance of the seven attributes in the formulation of industry-oriented research problems. Qualitative feedback illustrated how they can be applied in practice and revealed suggestions to refine them, such as incorporating financial criteria (e.g., ROI) into implications/impacts and addressing feasibility and constraints under evidence. [Conclusion] The results reaffirm the importance of the seven attributes in supporting a reflective and context-aware problem formulation. Adapting their use to specific research contexts can help to improve the alignment between academic research and industry needs.","[{'authorId': '2109774979', 'name': 'A. F. Pereira'}, {'authorId': '1894096', 'name': 'M. T. Baldassarre'}, {'authorId': '2243005010', 'name': 'Daniel Méndez'}, {'authorId': '2261312645', 'name': 'Jürgen Börstler'}, {'authorId': '2339584330', 'name': 'Nauman bin Ali'}, {'authorId': '2288965244', 'name': 'Rahul Mohanani'}, {'authorId': '1835666', 'name': 'Darja Šmite'}, {'authorId': '2257002259', 'name': 'Stefan Biffl'}, {'authorId': '2843941', 'name': 'Rogardt Heldal'}, {'authorId': '2330245915', 'name': 'Davide Falessi'}, {'authorId': '2304789946', 'name': 'Daniel Graziotin'}, {'authorId': '2273057870', 'name': 'Marcos Kalinowski'}]",2025.0,arXiv.org,"{'volume': 'abs/2512.12699', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/d5345d9f5cb21897094332564bb657a0fd487501,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2512.12699, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,27,,"['JournalArticle', 'Review']",['Computer Science'],"{'ArXiv': '2512.12699', 'DBLP': 'journals/corr/abs-2512-12699', 'DOI': '10.48550/arXiv.2512.12699', 'CorpusId': 283897248}",0,"A. F. Pereira, M. T. Baldassarre, Daniel Méndez, Jürgen Börstler, Nauman bin Ali, Rahul Mohanani, Darja Šmite, Stefan Biffl, Rogardt Heldal, Davide Falessi, Daniel Graziotin, Marcos Kalinowski","JournalArticle, Review","ArXiv:2512.12699, DBLP:journals/corr/abs-2512-12699, DOI:10.48550/arXiv.2512.12699, CorpusId:283897248"
Towards AI Agents Supported Research Problem Formulation,"Poorly formulated research problems can compromise the practical relevance of Software Engineering studies by not reflecting the complexities of industrial practice. This vision paper explores the use of artificial intelligence agents to support SE researchers during the early stage of a research project, the formulation of the research problem. Based on the Lean Research Inception framework and using a published study on code maintainability in machine learning as a reference, we developed a descriptive evaluation of a scenario illustrating how AI agents, integrated into LRI, can support SE researchers by pre filling problem attributes, aligning stakeholder perspectives, refining research questions, simulating multiperspective assessments, and supporting decision making. The descriptive evaluation of the scenario suggests that AI agent support can enrich collaborative discussions and enhance critical reflection on the value, feasibility, and applicability of the research problem. Although the vision of integrating AI agents into LRI was perceived as promising to support the context aware and practice oriented formulation of research problems, empirical validation is needed to confirm and refine the integration of AI agents into problem formulation.","[{'authorId': '2109774979', 'name': 'A. F. Pereira'}, {'authorId': '1894096', 'name': 'M. T. Baldassarre'}, {'authorId': '2243005010', 'name': 'Daniel Méndez'}, {'authorId': '2273057870', 'name': 'Marcos Kalinowski'}]",2025.0,arXiv.org,"{'volume': 'abs/2512.12719', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/ace3906e34f616e25ae5a5462427455989148da3,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2512.12719, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,27,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/corr/abs-2512-12719', 'ArXiv': '2512.12719', 'DOI': '10.48550/arXiv.2512.12719', 'CorpusId': 283896483}",0,"A. F. Pereira, M. T. Baldassarre, Daniel Méndez, Marcos Kalinowski",JournalArticle,"DBLP:journals/corr/abs-2512-12719, ArXiv:2512.12719, DOI:10.48550/arXiv.2512.12719, CorpusId:283896483"
Applying generative artificial intelligence for vulnerability fixing in a proprietary software ecosystem,,"[{'authorId': '2112778588', 'name': 'L. A. Costa'}, {'authorId': '2373463898', 'name': 'A. Fontão'}, {'authorId': '2362326049', 'name': 'Rodrigo Pereira dos Santos'}, {'authorId': '2282469341', 'name': 'Alexander Serebrenik'}]",2025.0,Journal of Systems and Software,"{'volume': '234', 'pages': '112723', 'name': 'J. Syst. Softw.'}",https://www.semanticscholar.org/paper/620a4562279e7f7ed190eace65cbc10bc2542352,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jss.2025.112723?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jss.2025.112723, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,58,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/jss/CostaFSS26', 'DOI': '10.1016/j.jss.2025.112723', 'CorpusId': 283695555}",0,"L. A. Costa, A. Fontão, Rodrigo Pereira dos Santos, Alexander Serebrenik",JournalArticle,"DBLP:journals/jss/CostaFSS26, DOI:10.1016/j.jss.2025.112723, CorpusId:283695555"
A systematic mapping study of information retrieval-based requirements traceability methods,,"[{'authorId': '2237265572', 'name': 'Hongyan Wan'}, {'authorId': '2284935353', 'name': 'Xinyu He'}, {'authorId': '2196230524', 'name': 'Yang Deng'}, {'authorId': '2237547516', 'name': 'Bangchao Wang'}]",2025.0,Information Processing & Management,"{'volume': '62', 'pages': '104287', 'name': 'Inf. Process. Manag.'}",https://www.semanticscholar.org/paper/26e84a5ca9a98c4ebcedd6b3ae0ff071047986b6,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.ipm.2025.104287?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.ipm.2025.104287, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",3,59,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/ipm/WanHDW25', 'DOI': '10.1016/j.ipm.2025.104287', 'CorpusId': 280216286}",1,"Hongyan Wan, Xinyu He, Yang Deng, Bangchao Wang",JournalArticle,"DBLP:journals/ipm/WanHDW25, DOI:10.1016/j.ipm.2025.104287, CorpusId:280216286"
An accountability evaluation model for systems-of-information systems,,"[{'authorId': '2064430917', 'name': 'Felipe Cordeiro'}, {'authorId': '2327038637', 'name': 'Aline Vasconcelos'}, {'authorId': '2348312864', 'name': 'R. Santos'}, {'authorId': '2256224361', 'name': 'Patricia Lago'}]",2025.0,Journal of Systems and Software,"{'volume': '232', 'pages': '112652', 'name': 'J. Syst. Softw.'}",https://www.semanticscholar.org/paper/8619e19c7b22d3bb21988965847896d99772c49a,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jss.2025.112652?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jss.2025.112652, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,59,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/jss/CordeiroVSL26', 'DOI': '10.1016/j.jss.2025.112652', 'CorpusId': 282669102}",0,"Felipe Cordeiro, Aline Vasconcelos, R. Santos, Patricia Lago",JournalArticle,"DBLP:journals/jss/CordeiroVSL26, DOI:10.1016/j.jss.2025.112652, CorpusId:282669102"
Iterative Development of a Semi-Structured Interview Guide to Explore Clinicians’ Experiences with Connected Mental Health,"Understanding how connected mental health (CMH) tools affect the work environment of mental health clinicians requires carefully designed qualitative inquiry. This paper presents an experience report detailing the iterative development of a semi-structured interview guide used to explore clinicians’ experiences with CMH. The process involved internal workshops, feedback from experts, and pilot testing. Each stage contributed to refining the guide’s clarity, contextual relevance, and alignment with the study’s objectives. The final guide comprised 9 screening questions, 12 background questions, and 10 main interview questions, which were reduced and refined from an initial set of 21 interview questions across three thematic areas; pilot feedback led to revisions in the form of more concrete prompts and clarified language. While semi-structured interviews are widely used in health technology research, the development process is often underreported. By presenting our iterative design process, we highlight how interview guide development can be conceived, validated, and refined to enhance methodological rigor. This paper offers practical insights for researchers conducting qualitative studies in healthcare and technology settings, particularly those working on eliciting perceptions and experiences with CMH.","[{'authorId': '98263115', 'name': 'Shweta Premanandan'}, {'authorId': '2248808701', 'name': 'Sofia Ouhbi'}, {'authorId': '2278631621', 'name': 'M. Stadin'}, {'authorId': '2248918237', 'name': 'C. Blease'}, {'authorId': '2248803906', 'name': 'Å. Cajander'}, {'authorId': '2259975034', 'name': 'M. Hägglund'}]",2025.0,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),"{'pages': '598-604', 'name': '2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW)'}",https://www.semanticscholar.org/paper/8ae70fd4a2a693ed0e2832f3a7ac3b70112b71bc,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/REW66121.2025.00088?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/REW66121.2025.00088, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,18,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/re/PremanandanOSBCH25', 'DOI': '10.1109/REW66121.2025.00088', 'CorpusId': 282086964}",0,"Shweta Premanandan, Sofia Ouhbi, M. Stadin, C. Blease, Å. Cajander, M. Hägglund","JournalArticle, Conference","DBLP:conf/re/PremanandanOSBCH25, DOI:10.1109/REW66121.2025.00088, CorpusId:282086964"
An Advanced Process Control Application Framework: Development and Test-Bench Validation,"In this paper, we present a software framework implementing Model Predictive Control (MPC), a widely adopted method in industrial automation. Designed for versatility, it operates with a range of target platforms-such as programmable logic controllers and distributed control systems. Notably, beyond its core MPC functionality, the framework supports multiple real-time simulation models, positioning it not merely as a conventional controller but also as a foundational digital twin for industrial processes. This capability facilitates a seamless transition from academic research to real-world application-an area that often proves challenging due to the gap between laboratory settings and practical industry requirements. The experimental validation on a laboratory test bench demonstrates the effectiveness of the proposed solution, underscoring its role as a bridge between academic developments and industrial implementation.","[{'authorId': '2086960', 'name': 'V. Vansovits'}, {'authorId': '2975825', 'name': 'E. Petlenkov'}, {'authorId': '1974842', 'name': 'A. Tepljakov'}, {'authorId': '2608204', 'name': 'K. Vassiljeva'}]",2025.0,2025 IEEE 19th International Conference on Control & Automation (ICCA),"{'pages': '124-129', 'name': '2025 IEEE 19th International Conference on Control & Automation (ICCA)'}",https://www.semanticscholar.org/paper/5c00187f477e73c8d0791a011ebfca35845e164d,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICCA65672.2025.11129770?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICCA65672.2025.11129770, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,36,,['Conference'],,"{'DOI': '10.1109/ICCA65672.2025.11129770', 'CorpusId': 281095545}",0,"V. Vansovits, E. Petlenkov, A. Tepljakov, K. Vassiljeva",Conference,"DOI:10.1109/ICCA65672.2025.11129770, CorpusId:281095545"
Define-ML: An Approach to Ideate Machine Learning-Enabled Systems,"[Context] The increasing adoption of machine learning (ML) in software systems demands specialized ideation approaches that address ML-specific challenges, including data dependencies, technical feasibility, and alignment between business objectives and probabilistic system behavior. Traditional ideation methods like Lean Inception lack structured support for these ML considerations, which can result in misaligned product visions and unrealistic expectations. [Goal] This paper presents Define-ML, a framework that extends Lean Inception with tailored activities - Data Source Mapping, Feature-to-Data Source Mapping, and ML Mapping - to systematically integrate data and technical constraints into early-stage ML product ideation. [Method] We developed and validated Define-ML following the Technology Transfer Model, conducting both static validation (with a toy problem) and dynamic validation (in a real-world industrial case study). The analysis combined quantitative surveys with qualitative feedback, assessing utility, ease of use, and intent of adoption. [Results] Participants found Define-ML effective for clarifying data concerns, aligning ML capabilities with business goals, and fostering cross-functional collaboration. The approach's structured activities reduced ideation ambiguity, though some noted a learning curve for ML-specific components, which can be mitigated by expert facilitation. All participants expressed the intention to adopt Define-ML. [Conclusion] Define-ML provides an openly available, validated approach for ML product ideation, building on Lean Inception's agility while aligning features with available data and increasing awareness of technical feasibility.","[{'authorId': '2054339353', 'name': 'Silvio Alonso'}, {'authorId': '2257030415', 'name': 'Antonio Pedro Santos Alves'}, {'authorId': '2312396401', 'name': 'Lucas Romao'}, {'authorId': '2242532889', 'name': 'Hélio Lopes'}, {'authorId': '2224433693', 'name': 'Marcos Kalinowski'}]",2025.0,EUROMICRO Conference on Software Engineering and Advanced Applications,{'pages': '79-96'},https://www.semanticscholar.org/paper/1a913504dcd0339749a8c0af5090fe26b4e2eab5,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2506.20621, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,19,,"['JournalArticle', 'Review']",['Computer Science'],"{'ArXiv': '2506.20621', 'DBLP': 'journals/corr/abs-2506-20621', 'DOI': '10.48550/arXiv.2506.20621', 'CorpusId': 280012437}",0,"Silvio Alonso, Antonio Pedro Santos Alves, Lucas Romao, Hélio Lopes, Marcos Kalinowski","JournalArticle, Review","ArXiv:2506.20621, DBLP:journals/corr/abs-2506-20621, DOI:10.48550/arXiv.2506.20621, CorpusId:280012437"
QUPER-MAn: Benchmark-Guided Target Setting for Maintainability Requirements,"Maintainable source code is essential for sustainable development. Yet, many studies show that maintainability often receives less attention than it deserves. We argue that requirements engineering can help close this gap by fostering discussions and setting appropriate targets in a responsible manner. In this preliminary work, we explore industry practices related to requirements engineering for maintainability. Our findings confirm previous studies: maintainability remains a second-class quality concern. Explicit requirements often make sweeping references to coding conventions. Tools providing maintainability proxies are common but typically only used in implicit requirements related to engineering practices. To address this, we propose QUPER-MAn, a maintainability adaption of the QUPER model, originally developed for performance requirements. Developed using a design science approach, QUPER-MAn integrates maintainability benchmarks and supports target setting. We posit that it can shift maintainability from an overlooked development consequence to an actively managed goal driven by informed and responsible engineering decisions.","[{'authorId': '2215402032', 'name': 'Markus Borg'}, {'authorId': '2059474299', 'name': 'Martin Larsson'}, {'authorId': '2367238907', 'name': 'Philip Breid'}, {'authorId': '2367240686', 'name': 'Nadim Hagatulah'}]",2025.0,ResponibleSE@SIGSOFT FSE,{'name': 'Proceedings of the 1st International Workshop on Responsible Software Engineering'},https://www.semanticscholar.org/paper/88c75cef1b72b15f91461e947040d61dce55985e,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2508.15512, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,48,,"['JournalArticle', 'Book']",['Computer Science'],"{'ArXiv': '2508.15512', 'DBLP': 'conf/responibleSE/BorgLBH25', 'DOI': '10.1145/3711919.3728680', 'CorpusId': 279406905}",0,"Markus Borg, Martin Larsson, Philip Breid, Nadim Hagatulah","JournalArticle, Book","ArXiv:2508.15512, DBLP:conf/responibleSE/BorgLBH25, DOI:10.1145/3711919.3728680, CorpusId:279406905"
Large Language Models for API Classification: An Explorative Study,"Linking APIs to the business functions they implement is crucial for handling software operations, especially during recovery from disasters or outages. In this context, the speed and accuracy of operators in linking them impact response time during mission-critical operation activities. Besides, this linkage is essential to designing preventive actions, such as resilience strategies. Automatic API classification using Large Language Models (LLMs) may simplify and speed up APIs-business function linkage. However, previous studies unveiled the barriers practitioners face when deciding on and adopting LLMs in software engineering (SE) tasks due to a lack of guidance for non-experts. This paper aims to lower barriers to using LLMs by systems operators and site reliability engineers (SREs), focusing on the API classification task in the context of operational activities. Based on three cases from the finance industry, we extracted requirements for LLM usage, and assessed 14 recently released LLMs on this task. Our results demonstrate that LLMs accurately classify APIs using business function targets with an F1–Score of 89.5 for the leading LLM without requiring specific LLM expertise and resource-intensive fine-tuning. Besides, our findings on LLMs’ performance and reliability mark a significant advancement in comparing open and closed-source and general and domain-specific LLMs in an SE classification task. Eventually, our experiments yield practical guidance for implementing LLMs in this context. Artifacts used in and generated by the experiments are publicly available at https://bit.ly/llms4apiclassification.","[{'authorId': '2324565903', 'name': 'Gabriel Morais'}, {'authorId': '2324560006', 'name': 'Edwin Lemelin'}, {'authorId': '2320916605', 'name': 'Meddi Adda'}, {'authorId': '2285176838', 'name': 'Dominik Bork'}]",2025.0,International Conference on Evaluation & Assessment in Software Engineering,{'name': 'Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering'},https://www.semanticscholar.org/paper/9b297217d2ac17c93eeaaff32944dce877a03b6d,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3756681.3756997?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3756681.3756997, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,55,,"['Book', 'JournalArticle']",['Computer Science'],"{'DBLP': 'conf/ease/MoraisLAB25', 'DOI': '10.1145/3756681.3756997', 'CorpusId': 284135876}",0,"Gabriel Morais, Edwin Lemelin, Meddi Adda, Dominik Bork","Book, JournalArticle","DBLP:conf/ease/MoraisLAB25, DOI:10.1145/3756681.3756997, CorpusId:284135876"
