Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Experiences and challenges from developing cyber‐physical systems in industry‐academia collaboration","Cyber‐physical systems (CPSs) are increasing in developmental complexity. Several emerging technologies, such as Model‐based engineering, DevOps, and Artificial intelligence, are expected to alleviate the associated complexity by introducing more advanced capabilities. The AIDOaRt research project investigates how the aforementioned technologies can assist in developing complex CPSs in various industrial use cases. In this paper, we discuss the experiences of industry and academia collaborating to improve the development of complex CPSs through the experiences in the research project. In particular, the paper presents the results of two working groups that examined the challenges of developing complex CPSs from an industrial and academic perspective when considering the previously mentioned technologies. We present five identified challenge areas from developing complex CPSs and discuss them from the perspective of industry and academia: data, modeling, requirements engineering, continuous software and system engineering, as well as intelligence and automation. Furthermore, we highlight practical experience in collaboration from the project via two explicit use cases and connect them to the challenge areas. Finally, we discuss some lessons learned through the collaborations, which might foster future collaborative efforts.","Johan Cederbladh; Romina Eramo; V. Muttillo; P. Strandberg","2024","Software, Practice & Experience","10.1002/spe.3312","11","-","https://doi.org/10.1002/spe.3312","","-","-","Include"
"Software test results exploration and visualization with continuous integration and nightly testing","Software testing is key for quality assurance of embedded systems. However, with increased development pace, the amount of test results data risks growing to a level where exploration and visualization of the results are unmanageable. This paper covers a tool, Tim, implemented at a company developing embedded systems, where software development occurs in parallel branches and nightly testing is partitioned over software branches, test systems and test cases. Tim aims to replace a previous solution with problems of scalability, requirements and technological flora. Tim was implemented with a reference group over several months. For validation, data were collected both from reference group meetings and logs from the usage of the tool. Data were analyzed quantitatively and qualitatively. The main contributions from the study include the implementation of eight views for test results exploration and visualization, the identification of four solutions patterns for these views (filtering, aggregation, previews and comparisons), as well as six challenges frequently discussed at reference group meetings (expectations, anomalies, navigation, integrations, hardware details and plots). Results are put in perspective with related work and future work is proposed, e.g., enhanced anomaly detection and integrations with more systems such as risk management, source code and requirements repositories.","P. Strandberg; W. Afzal; Daniel Sundmark","2022","International Journal on Software Tools for Technology Transfer (STTT)","10.1007/s10009-022-00647-1","17","-","https://doi.org/10.1007/s10009-022-00647-1","","-","-","Include"
"Automated System-Level Software Testing of Industrial Networked Embedded Systems","Embedded systems are ubiquitous and play critical roles in management systems for industry and transport. Software failures in these domains may lead to loss of production or even loss of life, so the software in these systems needs to be reliable. Software testing is a standard approach for quality assurance of embedded software, and many software development processes strive for test automation. Out of the many challenges for successful software test automation, this thesis addresses five: (i) understanding how updated software reaches a test environment, how testing is conducted in the test environment, and how test results reach the developers that updated the software in the first place; (ii) selecting which test cases to execute in a test suite given constraints on available time and test systems; (iii) given that the test cases are run on different configurations of connected devices, selecting which hardware to use for each test case to be executed; (iv) analyzing test cases that, when executed over time on evolving software, testware or hardware revisions, appear to randomly fail; and (v) making test results information actionable with test results exploration and visualization. The challenges are tackled in several ways. [Abstract truncated.]","P. Strandberg","2021","arXiv.org","10.48550/arxiv.2111.08312","10","-","https://doi.org/10.48550/arxiv.2111.08312","","-","-","Include"
"An Industry-Academia, Multidisciplinary and Expertise-Heterogeneous Design Approach: A Case Study on Designing for Mobility","-","F. Lima; A. Burrows; Lídia Lemos; Priscila Lucena; Ricardo Pessoa; R. Jose; P. Trigueiros","2021","Springer Series in Design and Innovation","10.1007/978-3-030-89735-2_23","3","true","https://doi.org/10.1007/978-3-030-89735-2_23","Multidisciplinary approach; Leverage (statistics); Knowledge management; Key (lock); Discipline; Boundary object; Process (computing); Process management; Computer science; Engineering management","en","274-286","Include"
"Ethical Interviews in Software Engineering","Background: Despite a long history, numerous laws and regulations, ethics remains an unnatural topic for many software engineering researchers. Poor research ethics may lead to mistrust of research results, lost funding and retraction of publications. A core principle for research ethics is confidentiality, and anonymization is a standard approach to guarantee it. Many guidelines for qualitative software engineering research, and for qualitative research in general, exist, but these do not penetrate how and why to anonymize interview data. Aims: In this paper we aim to identify ethical guidelines for software engineering interview studies involving industrial practitioners. Method: By learning from previous experiences and listening to the authority of existing guidelines in the more mature field of medicine as well as in software engineering, a comprehensive set of checklists for interview studies was distilled. Results: The elements of an interview study were identified and ethical considerations and recommendations for each step were produced, in particular with respect to anonymization. Important ethical principles are: consent, beneficence, confidentiality, scientific value, researcher skill, justice, respect for law, and ethical reviews. Conclusions: The most important contribution of this study is the set of checklists for ethical interview studies. Future work is needed to refine these guidelines with respect to legal aspects and ethical boards.","P. Strandberg","2019","International Symposium on Empirical Software Engineering and Measurement","10.1109/esem.2019.8870192","48","-","https://doi.org/10.1109/esem.2019.8870192","","-","-","Include"
"Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review","-","V. Garousi; K. Petersen; B. Ozkan","2016","Information and Software Technology","10.1016/j.infsof.2016.07.006","220","true","https://doi.org/10.1016/j.infsof.2016.07.006","Best practice; Context (archaeology); Thematic analysis; Agile software development; Systematic review; Champion; Knowledge management; Extreme programming practices; Engineering; Relevance (law)","en","106-127","Include"
"Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey","-","V. Garousi; M. M. Eskandar; Kadir Herkiloglu","2016","Software quality journal","10.1007/s11219-016-9319-5","48","true","https://doi.org/10.1007/s11219-016-9319-5","Empirical research; Relevance (law); Confidentiality; Set (abstract data type); Software; Engineering; Engineering management; Knowledge management; Computer science; Software engineering","en","1091-1143","Include"
"Planning for the Unknown: Lessons Learned from Ten Months of Non-participant Exploratory Observations in the Industry","Convincing industrial partners to support an exploratory study can be difficult, as benefits are often fuzzy at the beginning. The objective of this paper is to present recommendations for industrial exploratory studies based on our experience. The recommendations are based on ten months of observations during a non-participant, exploratory study with a single industrial partner. This study confirms a number of methodological challenges already identified in the software engineering literature. Based on recommendations from the literature and our own experience, we propose a process for future observational exploratory studies.","Mathieu Lavallée; P. Robillard","2015","2015 IEEE/ACM 3rd International Workshop on Conducting Empirical Studies in Industry","10.1109/cesi.2015.10","4","false","https://doi.org/10.1109/cesi.2015.10","Exploratory research; Observational study; Process (computing); Knowledge management; Computer science; Software; Management science; Process management; Engineering; Medicine","en","-","Include"
"Enablers and impediments for collaborative research in software testing: an empirical exploration","When it comes to industrial organizations, current collaboration efforts in software engineering research are very often kept in-house, depriving these organizations of the skills necessary to build independent collaborative research. The current trend, towards empirical software engineering research, requires certain standards to be established which would guide these collaborative efforts in creating a strong partnership that promote independent, evidence-based, software engineering research. This paper examines key enabling factors for an efficient and effective industry-academia collaboration in the software testing domain. A major finding of the research was that while technology is a strong enabler to better collaboration, it must be complemented with industrial openness to disclose research results and the use of a dedicated tooling platform. We use as an example an automated test generation approach that has been developed in the last two years collaboratively with Bombardier Transportation AB in Sweden.","Eduard Paul Enoiu; Adnan Causevic","2014","WISE@ASE","10.1145/2647648.2647655","10","-","https://doi.org/10.1145/2647648.2647655","","-","-","Include"
"A Researcher’s Experiences in Supporting Industrial Software Process Improvement","-","K. Petersen","2016","Managing Software Process Evolution","10.1007/978-3-319-31545-4_12","-","false","https://doi.org/10.1007/978-3-319-31545-4_12","Agile software development; Software Engineering Process Group; Lean software development; Process (computing); Asset (computer security); Personal software process; Relevance (law); Software; Engineering; Engineering management","en","235-255","Include"
