DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.2307/23043488,Action Design Research,"M. Sein, O. Henfridsson, S. Purao, M. Rossi, R. Lindgren",MIS Q.,2011,"Design research (DR) positions information technology artifacts at the core of the Information Systems discipline. However, dominant DR thinking takes a technological view of the IT artifact, paying scant attention to its shaping by the organizational context. Consequently, existing DR methods focus on building the artifact and relegate evaluation to a subsequent and separate phase. They value technological rigor at the cost of organizational relevance, and fail to recognize that the artifact emerges from interaction with the organizational context even when its initial design is guided by the researchers' intent. 
 
We propose action design research (ADR) as a new DR method to address this problem. ADR reflects the premise that IT artifacts are ensembles shaped by the organizational context during development and use. The method conceptualizes the research process as containing the inseparable and inherently interwoven activities of building the IT artifact, intervening in the organization, and evaluating it concurrently. The essay describes the stages of ADR and associated principles that encapsulate its underlying beliefs and values. We illustrate ADR through a case of competence management at Volvo IT.",260930327,2220,90,,
10.1111/j.1365-2575.2004.00162.x,Principles of canonical action research,"R. Davison, Maris G. Martinsons, N. Kock",Inf. Syst. J.,2004,"Abstract.  Despite the growing prominence of canonical action research (CAR) in the information systems discipline, a paucity of methodological guidance continues to hamper those conducting and evaluating such studies. This article elicits a set of five principles and associated criteria to help assure both the rigor and the relevance of CAR in information systems. The first principle relates to the development of an agreement that facilitates collaboration between the action researcher and the client. The second principle is based upon a cyclical process model for action research that consists of five stages: diagnosis, planning, intervention, evaluation and reflection. Additional principles highlight the critical roles of theory, change through action, and the specification of learning in terms of implications for both research and practice. The five principles are illustrated through the analysis of one recently published CAR study.",101116265,1027,91,,
10.1007/978-1-4020-8265-8_101175,Universal,"M. Nest, Akimasa Miyake, Wolfgang D¨ur, H. Briegel",Definitions,2020,"We investigate which entanglement resources allow universal measurement-based quantum computation via single-qubit operations. We find that any entanglement feature exhibited by the 2D cluster state must also be present in any other universal resource. We obtain a powerful criterion to assess the universality of graph states by introducing an entanglement measure which necessarily grows unboundedly with the system size for all universal resource states. Furthermore, we prove that graph states associated with 2D lattices such as the hexagonal and triangular lattice are universal, and obtain the first example of a universal nongraph state.",110518862,906,2242,,
10.25300/misq/2017/41.1.12,Embracing Digital Innovation in Incumbent Firms: How Volvo Cars Managed Competing Concerns,"F. Svahn, L. Mathiassen, R. Lindgren",MIS Q.,2017,"Past research provides instructive yet incomplete answers as to how incumbent firms can address competing concerns as they embrace digital innovation. In particular, it offers only partial explanations of why different concerns emerge, how they manifest, and how firms can manage them. In response, we present a longitudinal case study of Volvo Cars'connected car initiative. Combining extant literature with insights from the case, we argue that incumbent firms face four competing concerns—capability (existing versus requisite), focus (product versus process), collaboration (internal versus external), and governance (control versus flexibility)—and that these concerns are systemically interrelated. Firms must therefore manage these concerns cohesively by continuously balancing new opportunities and established practices.",143774151,894,82,,
10.1057/ejis.2011.54,Pragmatism vs interpretivism in qualitative information systems research,Göran Goldkuhl,European Journal of Information Systems,2012,"Qualitative research is often associated with interpretivism, but alternatives do exist. Besides critical research and sometimes positivism, qualitative research in information systems can be performed following a paradigm of pragmatism. This paradigm is associated with action, intervention and constructive knowledge. This paper has picked out interpretivism and pragmatism as two possible and important research paradigms for qualitative research in information systems. It clarifies each paradigm in an ideal-typical fashion and then conducts a comparison revealing commonalities and differences. It is stated that a qualitative researcher must either adopt an interpretive stance aiming towards an understanding that is appreciated for being interesting; or a pragmatist stance aiming for constructive knowledge that is appreciated for being useful in action. The possibilities of combining pragmatism and interpretivism in qualitative research in information systems are analysed. A research case (conducted through action research (AR) and design research (DR)) that combines interpretivism and pragmatism is used as an illustration. It is stated in the paper that pragmatism has influenced IS research to a fairly large extent, albeit in a rather implicit way. The paradigmatic foundations are seldom known and explicated. This paper contributes to a further clarification of pragmatism as an explicit research paradigm for qualitative research in information systems. Pragmatism is considered an appropriate paradigm for AR and DR.",148587128,792,121,,
10.1002/aris.2007.1440410121,Scientific collaboration,D. Sonnenwald,Annual Review of Information Science and Technology,2007,"Introduction As an informational technology, the World Wide Web has enjoyed spectacular success. In just ten years it has transformed the way information is produced, stored, and shared in arenas as diverse as shopping, family photo albums, and high-level academic research. The “Semantic Web” is touted by its developers as equally revolutionary, although it has not yet achieved anything like the Web’s exponential uptake. It seeks to transcend a current limitation of the Web-that it largely requires indexing to be accomplished merely on specific character strings. Thus, a person searching for information about “turkey” (the bird) receives from current search engines many irrelevant pages about “Turkey” (the country) and nothing about the Spanish “pavo” even if he or she is a Spanish-speaker able to understand such pages. The Semantic Web vision is to develop technology to facilitate retrieval of information via meanings, not just spellings. For this to be possible, most commentators believe, Semantic Web applications will have to draw on some kind of shared, structured, machine-readable conceptual scheme. Thus, there has been a convergence between the Semantic Web research community and an older tradition with roots in classical Artificial Intelligence (AI) research (sometimes referred to as “knowledge representation”) whose goal is to develop a formal ontology. A formal ontology is a machine-readable theory of the most fundamental concepts or “categories” required in order to understand information pertaining to any knowledge domain. A review of the attempts that have been made to realize this goal provides an opportunity to reflect in interestingly concrete ways on various research questions such as the following:",220963807,759,1969,,
10.1002/aris.2007.1440410111,Universal access,"Harmeet S. Sawhney, Krishna P. Jayakar",Annual Review of Information Science and Technology,2019,"In 2003, the world produced about 800MB of information for each man, woman, and child on earth [2]. Much of this information, such as supermarket scanner data and the like, is pretty dull. But some of it, such as the material contained in books, magazines, newspapers, movies, music, and family photos, is potentially of great interest to people.",220545860,735,2240,,
10.1002/aris.144.v41:1,Credibility: A multidisciplinary framework,"Ronald D. Houston, Glynn Harmon",Annual Review of Information Science and Technology,2007,",",99655760,734,2248,,
10.1002/aris.144.v41:1,Context in information behavior research,Christina Courtright,Annual Review of Information Science and Technology,2007,",",18428606,730,2243,,
10.1002/aris.2007.1440410111,Universal access,"Harmeet S. Sawhney, Krishna P. Jayakar",Annual Review of Information Science and Technology,2019,"In 2003, the world produced about 800MB of information for each man, woman, and child on earth [2]. Much of this information, such as supermarket scanner data and the like, is pretty dull. But some of it, such as the material contained in books, magazines, newspapers, movies, music, and family photos, is potentially of great interest to people.",266096403,675,2227,,
10.1002/aris.144.v41:1,Vannevar Bush and memex,"Ronald D. Houston, Glynn Harmon",Annual Review of Information Science and Technology,2007,",",271118053,656,2220,,
(missing DOI),Scientific Collaboration: A Synthesis of Challenges and Strategies,Diane H. Sonnenwald,(missing journal),2007,"Scientific collaboration continues to increase in frequency and importance. It has the potential to solve complex scientific problems and promote various political, economic and social agendas, such as democracy, sustainable development, and cultural understanding and integration. Bibliometric studies over the past two decades have shown a continuous increase in the number of coauthored papers in every scientific discipline as well as within and across countries and geographic areas (e.g. see Grossman, 2002; Wagner & Leyesdorff, 2005; Cronin, Shaw & LaBarre, 2003, 2004; Cronin, 2005; Moddy, 2004; National Science Board, 2004). Subauthorship, as measured by the number of colleagues thanked in acknowledgement sections of papers, has also consistently increased (Cronin, 2005; Cronin, et al 2003, 2004). In general coauthored publications are cited more frequently than single authored papers (Persson, Glanzel & Danell, 2004). Increasingly, public and private research funding agencies require interdisciplinary, international and inter-institutional collaboration. Examples include the National Science Foundation Science & Technology Center (http://www.nsf.gov/od/oia/programs/stc) and Industry University Corporative Research Center (http://www.nsf.gov/eng/iurcc)programs, and the European Commission Sixth Research Framework (http://europa.eu.int/comm/research/fp6/index_en.cfm?p=0).",196468319,524,1968,,
