Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"БВ Єгоров","УДОСКОНАЛЕННЯ ТЕХНОЛОГІЇ ТА МЕТОДИЧНОГО ЗАБЕЗПЕЧЕННЯ ЯКІСНОЇ ВИЩОЇ ОСВІТИ",,"otfk.od.ua","","https://otfk.od.ua/conference/files/17_01_2025_1.pdf","",149,"2026-05-05 09:48:35","PDF","","","",,,,,0,0.00,0,1,,"Реформування вищої школи України на сучасному етапі потребує інноваційних технологій навчання [1] та високоефективного навчальнометодичного забезпечення [2] …","https://otfk.od.ua/conference/files/17_01_2025_1.pdf","https://scholar.google.com/scholar?q=related:SSLs4OpJCegJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"A Fuller, P Croll, O Garcia","Why software engineering is riskier than ever",2001,"Proceedings Second Asia-Pacific …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/990009/?casa_token=fGSzZI8vUawAAAAA:p91Jj3qPg0yj4_WRo2bz-BftxaOlIeHSstfWdaI4mvxUwGeHUkYzCggJMPKNcT0xbIET6rrgWvOJ","https://scholar.google.com/scholar?cites=2918410752105128993&as_sdt=2005&sciodt=0,5&hl=en",98,"2026-05-05 09:48:35","","","","",,,,,8,0.32,3,3,25,"The ultimate aim of software engineering methods and tools is to reduce risks associated with the development of software products. Accepted risk management procedures …","https://ieeexplore.ieee.org/iel5/7761/21328/00990009.pdf?casa_token=hXFixVFGQPoAAAAA:jDdNZjleUeqIWUVHtS6RMplkSuGTa9kwbpMi-upf1HI7jBp9Bs44JLRbh7SlMV7EbxR_tfYRka2z","https://scholar.google.com/scholar?q=related:ISTo2x1HgCgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"D Mihailescu","What characterizes an Enterprise Systems Implementation Methodology?",2010,"","aisel.aisnet.org","https://aisel.aisnet.org/amcis2010/147/","https://scholar.google.com/scholar?cites=6319968195553104594&as_sdt=2005&sciodt=0,5&hl=en",125,"2026-05-05 09:48:35","","","","",,,,,2,0.13,2,1,16,"Abstract Enterprise Systems Implementation Methodology (ESIM) is considered to be a critical factor for successful Enterprise Systems (ES) implementations. In spite of ESIM's …","","https://scholar.google.com/scholar?q=related:0pK115YJtVcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
40,"A Rainer","Using argumentation theory to analyse software practitioners' defeasible evidence, inference and belief",2017,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584917300769?casa_token=kh_h_I4wBjoAAAAA:rnRjd3qez5TXQccX3EGM931ecmLEL1QIVGcHBYAHh8WhtK55pLI2el3srXiCugegQfBNymNck0cx","https://scholar.google.com/scholar?cites=4997715038506899293&as_sdt=2005&sciodt=0,5&hl=en",22,"2026-05-05 09:48:35","HTML","","","",,,,,40,4.44,40,1,9,"Context Software practitioners are often the primary source of information for software engineering research. They naturally produce information about their experiences of …","https://www.sciencedirect.com/science/article/pii/S0950584917300769?casa_token=kh_h_I4wBjoAAAAA:rnRjd3qez5TXQccX3EGM931ecmLEL1QIVGcHBYAHh8WhtK55pLI2el3srXiCugegQfBNymNck0cx","https://scholar.google.com/scholar?q=related:XdfUNllzW0UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"K Mohan","Understanding the acceptance and usage of IT project management methodologies: Towards a conceptual model supported by case studies",2010,"","aisel.aisnet.org","https://aisel.aisnet.org/amcis2010/264/","https://scholar.google.com/scholar?cites=16369504339771011234&as_sdt=2005&sciodt=0,5&hl=en",109,"2026-05-05 09:48:35","","","","",,,,,4,0.25,4,1,16,"Organizations invest considerable resources in the development and implementation of IT project management (IT PM) methodologies to increase productivity and quality as well as to …","https://www.researchgate.net/profile/Frederik_Ahlemann/publication/288375687_Understanding_the_acceptance_and_usage_of_IT_project_management_methodologies_Towards_a_conceptual_model_supported_by_case_studies/links/5772b57608aeeec389541242.pdf","https://scholar.google.com/scholar?q=related:ojBEuXcpLOMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"SK Kim, J Kim","Understanding software developers' intentions to adopt secure coding methods",,"Chakra Bahadur Khadka (Research Director, Uniglobe …","itamsociety.com","https://itamsociety.com/img/proceedings/110_ITAM_Open_IT_book.pdf#page=217","",142,"2026-05-05 09:48:35","PDF","","","",,,,,0,0.00,0,2,,"This study proposed an extended model based on TAM to investigate the impact of two specific constructs of support programs on software developers' intention to adopt secure …","https://itamsociety.com/img/proceedings/110_ITAM_Open_IT_book.pdf#page=217","https://scholar.google.com/scholar?q=related:xL6aeGvIArAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
32,"K Mohan, F Ahlemann","Understanding acceptance of information system development and management methodologies by actual users: A review and assessment of existing …",2013,"International Journal of Information Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0268401213000856?casa_token=8JkL5Q5TazkAAAAA:A_ty7RjqX_5OXy6BCDhHdxJWtb9On9xSmTVA3G0lyEKdhHPCIvHzoRRSqACXJ5mEfQVuQpmdwvgP","https://scholar.google.com/scholar?cites=5456472776663551020&as_sdt=2005&sciodt=0,5&hl=en",42,"2026-05-05 09:48:35","HTML","","","",,,,,32,2.46,16,2,13,"Despite the advantages of using IS methodologies, they are often rejected by actual users. Consequently, researchers have repeatedly attempted to understand why individuals accept …","https://www.sciencedirect.com/science/article/pii/S0268401213000856?casa_token=8JkL5Q5TazkAAAAA:A_ty7RjqX_5OXy6BCDhHdxJWtb9On9xSmTVA3G0lyEKdhHPCIvHzoRRSqACXJ5mEfQVuQpmdwvgP","https://scholar.google.com/scholar?q=related:LMyeqxRJuUsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"S Poosanam","Transition resistance to agile in a healthcare IT industry: An intrinsic case study",2018,"","search.proquest.com","https://search.proquest.com/openview/59776d7e8484415281ed8dd3debf8ef8/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=8143277284334695037&as_sdt=2005&sciodt=0,5&hl=en",103,"2026-05-05 09:48:35","","","","",,,,,2,0.25,2,1,8,"When transitioning from traditional software to Agile practice, numerous challenges arise and resistance to change to Agile is one of them. The purpose of the case study is to …","","https://scholar.google.com/scholar?q=related:ffJGkIu7AnEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"P Ponce, A Molina","Transfering Software Form Univesities to Industries: A Case Study ICTL",2018,"2018 IEEE International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8436375/","",143,"2026-05-05 09:48:35","","","","",,,,,0,0.00,0,2,8,"To develop digital control systems (software) is a very attractive idea for solving industrial control problems because the required budget for designing it could be lower than …","","https://scholar.google.com/scholar?q=related:iWLIWvLwcwEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"WK Tan, HH Teo","Training students to be innovative information systems developers: synergizing project-based learning with problem-based learning",2009,"Proceedings of the special interest group on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1542130.1542136","https://scholar.google.com/scholar?cites=15313667606073579581&as_sdt=2005&sciodt=0,5&hl=en",100,"2026-05-05 09:48:35","","10.1145/1542130.1542136","","",,,,,6,0.35,3,2,17,"The competitive nature of today's business environment has made it necessary for educators to inculcate in our students a sense of innovativeness in Information Systems (IS) …","https://dl.acm.org/doi/pdf/10.1145/1542130.1542136","https://scholar.google.com/scholar?q=related:PRhsbI0ThdQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
