id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W1564623840,,,,Forrest Shull,https://openalex.org/A5027573308,,US,Fraunhofer USA Center Mid-Atlantic CMA,https://openalex.org/I4210162509,True,,0.97202342,1003,https://openalex.org/I4210162509,Guide to Advanced Empirical Software Engineering,https://doi.org/10.1007/978-1-84800-044-5,,8.1903,False,en,False,closed,,,,,,,Software Engineering Techniques and Practices,2007-11-20,2007,book
https://openalex.org/W2152417223,"Development of techniques and tools that will help component users integrate and test the components with their applications more efficiently and effectively Creation of techniques and tools that can use precode artifacts, such as architectural specifications, for planning and implementing testing activities. Development of techniques and tools for use in estimating, predicting, and performing testing on evolving software systems. Establishment of effective processes for analyzing and testing software systems. Investigation of methods that use testing artifacts to assist in software development.",,,Mary Jean Harrold,https://openalex.org/A5038406724,,US,Georgia Institute of Technology,https://openalex.org/I130701444,True,,0.99403579,359,https://openalex.org/I130701444,Testing,https://doi.org/10.1145/336512.336532,National Science Foundation|Computing Research Association|Ohio State University,17.452,False,en,True,gold,,,,,,,Software Testing and Debugging Techniques,2000-05-01,2000,article
https://openalex.org/W2066253558,,,,Tony Gorschek|Per Garre|Stig Larsson|Claes Wohlin,https://openalex.org/A5047199297|https://openalex.org/A5015330691|https://openalex.org/A5009306701|https://openalex.org/A5037810527,https://orcid.org/0000-0002-3646-235X||https://orcid.org/0000-0002-0921-0878|https://orcid.org/0000-0003-0460-5253,SE|SE|SE|CH|SE,Blekinge Institute of Technology|Blekinge Institute of Technology|Danaher (Sweden)|ABB (Sweden)|ABB (Switzerland),https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I4210160385|https://openalex.org/I4210086503|https://openalex.org/I885143765,True|False|False|False,,0.9941586,341,https://openalex.org/I52719799,A Model for Technology Transfer in Practice,https://doi.org/10.1109/ms.2006.147,,24.3376,False,en,False,closed,IEEE Software,https://openalex.org/P4310320439,IEEE Computer Society,https://openalex.org/S6725529,0740-7459,journal,Technology Assessment and Management,2006-11-01,2006,article
https://openalex.org/W2015232149,,2290,,Martin Ivarsson|Tony Gorschek,https://openalex.org/A5063760582|https://openalex.org/A5047199297,|https://orcid.org/0000-0002-3646-235X,SE|SE,Chalmers University of Technology|Blekinge Institute of Technology,https://openalex.org/I66862912|https://openalex.org/I52719799,True|False,,0.9918777,279,https://openalex.org/I66862912,A method for evaluating rigor and industrial relevance of technology evaluations,https://doi.org/10.1007/s10664-010-9146-4,,21.4247,False,en,False,closed,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Techniques and Practices,2010-10-05,2010,article
https://openalex.org/W2106676191,,,,Cynthia K. Riemenschneider|Bill C. Hardgrave|Fred D. Davis,https://openalex.org/A5049252740|https://openalex.org/A5051610108|https://openalex.org/A5103061328,https://orcid.org/0000-0002-6932-4439||https://orcid.org/0000-0002-7774-2016,US|US|US,University of Arkansas at Fayetteville|University of Arkansas at Fayetteville|University of Arkansas at Fayetteville,https://openalex.org/I78715868|https://openalex.org/I78715868|https://openalex.org/I78715868,True|False|False,,0.99179752,278,https://openalex.org/I78715868,Explaining software developer acceptance of methodologies: a comparison of five theoretical models,https://doi.org/10.1109/tse.2002.1158287,University of Arkansas,18.8052,False,en,False,closed,IEEE Transactions on Software Engineering,https://openalex.org/P4310320439,IEEE Computer Society,https://openalex.org/S8351582,0098-5589,journal,Open Source Software Innovations,2002-12-01,2002,article
https://openalex.org/W1560399420,,,,Bill C. Hardgrave|Fred D. Davis|Cynthia K. Riemenschneider,https://openalex.org/A5051610108|https://openalex.org/A5103061328|https://openalex.org/A5049252740,|https://orcid.org/0000-0002-7774-2016|https://orcid.org/0000-0002-6932-4439,||,,,True|False|False,,0.99318569,269,,Investigating Determinants of Software Developers' Intentions to Follow Methodologies,https://doi.org/10.1080/07421222.2003.11045751,,21.3986,False,en,False,closed,Journal of Management Information Systems,https://openalex.org/P4310320547,Taylor & Francis,https://openalex.org/S9954729,0742-1222,journal,Open Source Software Innovations,2003-07-01,2003,article
https://openalex.org/W1974807659,,3280,,Frank K. Y. Chan|James Y.L. Thong,https://openalex.org/A5029030721|https://openalex.org/A5090618401,https://orcid.org/0000-0001-9301-7634|https://orcid.org/0000-0002-1640-0581,HK|HK,Hong Kong University of Science and Technology|University of Hong Kong|Hong Kong University of Science and Technology|University of Hong Kong,https://openalex.org/I200769079|https://openalex.org/I889458895|https://openalex.org/I200769079|https://openalex.org/I889458895,False|True,,0.9896978,249,https://openalex.org/I200769079|https://openalex.org/I889458895,Acceptance of agile methodologies: A critical review and conceptual framework,https://doi.org/10.1016/j.dss.2008.11.009,Hong Kong University of Science and Technology,18.3697,False,en,False,closed,Decision Support Systems,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S11479521,0167-9236,journal,Software Engineering Techniques and Practices,2008-11-21,2008,review
https://openalex.org/W2494902551,,3350,,Vahid Garousi|Kai Petersen|Barış Özkan,https://openalex.org/A5000712015|https://openalex.org/A5071394068|https://openalex.org/A5023204635,https://orcid.org/0000-0001-6590-7576|https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0002-5489-6274,TR|SE|TR,Hacettepe University|Blekinge Institute of Technology|Atilim University,https://openalex.org/I66514158|https://openalex.org/I52719799|https://openalex.org/I45542416,True|False|False,other-oa,0.9980928,237,https://openalex.org/I66514158,Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,https://doi.org/10.1016/j.infsof.2016.07.006,,44.8859,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2016-07-30,2016,article
https://openalex.org/W2158338135,,,,Lionel Briand|Yvan Labiche|Massimiliano Di Penta|H. Yan-Bondoc,https://openalex.org/A5078533117|https://openalex.org/A5007057846|https://openalex.org/A5025099559|https://openalex.org/A5047397484,https://orcid.org/0000-0002-1393-1010|https://orcid.org/0000-0001-8880-4836|https://orcid.org/0000-0002-0340-9747|,CA|CA|IT|CA,Carleton University|Carleton University|University of Sannio|Nortel (Canada),https://openalex.org/I67031392|https://openalex.org/I67031392|https://openalex.org/I16337185|https://openalex.org/I153908563,True|False|False|False,,0.98748389,115,https://openalex.org/I67031392,An experimental investigation of formality in UML-based development,https://doi.org/10.1109/tse.2005.105,,16.1159,False,en,False,closed,IEEE Transactions on Software Engineering,https://openalex.org/P4310320439,IEEE Computer Society,https://openalex.org/S8351582,0098-5589,journal,Software Engineering Research,2005-10-01,2005,article
https://openalex.org/W4392593558,"To foster a sustainable society within a sustainable environment, we must dramatically reshape our work and consumption activities, most of which are facilitated through software. Yet, most software engineers hardly consider the effects on the sustainability of the IT products and services they deliver. This issue is exacerbated by a lack of methods and tools for this purpose. Despite the practical need for methods and tools that explicitly support consideration of the effects that IT products and services have on the sustainability of their intended environments, such methods and tools remain largely unavailable. Thus, urgent research is needed to understand how to design such tools for the IT community properly. In this article, we describe our experience using design science to create the Sustainability Awareness Framework (SusAF), which supports software engineers in anticipating and mitigating the potential sustainability effects during system development. More specifically, we identify and present the challenges faced during this process. The challenges that we have faced and addressed in the development of the SusAF are likely to be relevant to others who aim to create methods and tools to integrate sustainability analysis into their IT products and services development. Thus, the lessons learned in SusAF development are shared for the benefit of researchers and other professionals who design tools for that end.",,,Stefanie Betz|Birgit Penzenstadler|Letícia Duboc|Ruzanna Chitchyan|Sedef Akinli Koçak|Ian Brooks|Shola Oyedeji|Jari Porras|Norbert Seyff|Colin C. Venters,https://openalex.org/A5057087037|https://openalex.org/A5081094387|https://openalex.org/A5012560528|https://openalex.org/A5011114199|https://openalex.org/A5026969522|https://openalex.org/A5052041139|https://openalex.org/A5063527726|https://openalex.org/A5016300783|https://openalex.org/A5037356139|https://openalex.org/A5042766006,https://orcid.org/0000-0002-3613-5893|https://orcid.org/0000-0002-5771-0455|https://orcid.org/0000-0002-7437-2101|https://orcid.org/0000-0001-6293-3445|https://orcid.org/0009-0009-6271-415X|https://orcid.org/0000-0002-6227-327X|https://orcid.org/0000-0003-3202-3752|https://orcid.org/0000-0003-3669-8503|https://orcid.org/0000-0002-0138-892X|https://orcid.org/0000-0001-8664-9107,DE|SE|ES|GB|CA|GB|FI|FI|CH|GB,Furtwangen University|Chalmers University of Technology|Universitat Ramon Llull|University of Bristol|Vector Institute|University of the West of England|Lappeenranta-Lahti University of Technology|Lappeenranta-Lahti University of Technology|FHNW University of Applied Sciences and Arts|University of Huddersfield,https://openalex.org/I882953328|https://openalex.org/I66862912|https://openalex.org/I5593406|https://openalex.org/I36234482|https://openalex.org/I4210127509|https://openalex.org/I178535277|https://openalex.org/I63548447|https://openalex.org/I63548447|https://openalex.org/I2972652528|https://openalex.org/I133837150,True|False|False|False|False|False|False|False|False|False,cc-by,0.92032517,16,https://openalex.org/I882953328,Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science,https://doi.org/10.1145/3649597,Engineering and Physical Sciences Research Council,3.1812,False,en,True,hybrid,ACM Transactions on Software Engineering and Methodology,https://openalex.org/P4310319798,Association for Computing Machinery,https://openalex.org/S142627899,1049-331X,journal,Green IT and Sustainability,2024-03-08,2024,article
https://openalex.org/W2122454446,,2190,,Martin Ivarsson|Tony Gorschek,https://openalex.org/A5063760582|https://openalex.org/A5047199297,|https://orcid.org/0000-0002-3646-235X,SE|SE,Chalmers University of Technology|Blekinge Institute of Technology,https://openalex.org/I66862912|https://openalex.org/I52719799,True|False,,0.99036971,94,https://openalex.org/I66862912,Technology transfer decision support in requirements engineering research: a systematic review of REj,https://doi.org/10.1007/s00766-009-0080-1,,18.5937,False,en,False,closed,Requirements Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S207090427,0947-3602,journal,Software Engineering Techniques and Practices,2009-03-07,2009,review
https://openalex.org/W2099223743,,,,Roel Wieringa,https://openalex.org/A5000853046,https://orcid.org/0000-0003-2121-9928,NL,University of Twente,https://openalex.org/I94624287,True,,0.93946044,64,https://openalex.org/I94624287,Design science methodology,https://doi.org/10.1145/1810295.1810446,,3.4685,False,en,False,closed,,,,,,,Software Engineering Techniques and Practices,2010-05-01,2010,article
https://openalex.org/W2047909612,,2000,,María Díaz-Ley|Félix García|Mario Piattini,https://openalex.org/A5036420755|https://openalex.org/A5100625685|https://openalex.org/A5083263115,|https://orcid.org/0000-0001-6460-0353|https://orcid.org/0000-0002-7212-8279,ES|ES|ES,Técnicas y Servicios de Ingeniería (Spain)|University of Castilla-La Mancha|University of Castilla-La Mancha,https://openalex.org/I4210093587|https://openalex.org/I79189158|https://openalex.org/I79189158,True|False|False,,0.95166105,59,https://openalex.org/I4210093587,Implementing a software measurement program in small and medium enterprises: a suitable framework,https://doi.org/10.1049/iet-sen:20080026,,5.0759,False,en,False,closed,IET Software,https://openalex.org/P4310311714,Institution of Engineering and Technology,https://openalex.org/S164201770,1751-8806,journal,Software Engineering Research,2008-10-20,2008,article
https://openalex.org/W2117018107,,,,Parmit K. Chilana|Amy J. Ko|Jacob O. Wobbrock,https://openalex.org/A5051092148|https://openalex.org/A5037160778|https://openalex.org/A5086377685,https://orcid.org/0009-0007-0173-1752|https://orcid.org/0000-0001-7461-4783|https://orcid.org/0000-0003-3675-5491,CA|US|US,University of Waterloo|University of Washington|University of Washington,https://openalex.org/I151746483|https://openalex.org/I201448701|https://openalex.org/I201448701,True|False|False,,0.97240723,58,https://openalex.org/I151746483,From User-Centered to Adoption-Centered Design,https://doi.org/10.1145/2702123.2702412,,8.7121,False,en,False,closed,,,,,,,Open Source Software Innovations,2015-04-17,2015,article
https://openalex.org/W2109987801,,,,Julio Cesar Ponce Sánchez|Laurie Williams|E. Michael Maximilien,https://openalex.org/A5038028066|https://openalex.org/A5028171895|https://openalex.org/A5033642209,|https://orcid.org/0000-0003-3300-6540|,US|US|US,IBM (United States)|North Carolina State University|IBM (United States),https://openalex.org/I1341412227|https://openalex.org/I137902535|https://openalex.org/I1341412227,True|False|False,,0.9827258,53,https://openalex.org/I1341412227,On the Sustained Use of a Test-Driven Development Practice at IBM,https://doi.org/10.1109/agile.2007.43,North Carolina State University,12.4247,False,en,False,closed,,,,,,,Software Engineering Research,2007-08-01,2007,article
https://openalex.org/W2767744171,,3350,,Tommi Mikkonen|Casper Lassenius|Tomi Männistö|Markku Oivo|Janne Järvinen,https://openalex.org/A5074223722|https://openalex.org/A5043683970|https://openalex.org/A5057718373|https://openalex.org/A5064264297|https://openalex.org/A5043467989,https://orcid.org/0000-0002-8540-9918|https://orcid.org/0000-0003-4192-7024|https://orcid.org/0000-0001-7470-5183|https://orcid.org/0000-0002-1698-2323|https://orcid.org/0000-0002-2000-6552,|FI|FI|FI|FI,|Aalto University|University of Helsinki|University of Oulu|F-Secure (Finland),|https://openalex.org/I9927081|https://openalex.org/I133731052|https://openalex.org/I98381234|https://openalex.org/I4210128912,True|False|False|False|False,,0.98229109,48,,Continuous and collaborative technology transfer: Software engineering research with real-time industry impact,https://doi.org/10.1016/j.infsof.2017.10.013,,10.5893,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2017-11-07,2017,article
https://openalex.org/W3097490803,"Research collaborations between software engineering industry and academia can provide significant benefits to both sides, including improved innovation capacity for industry, and real-world environment for motivating and validating research ideas. However, building scalable and effective research collaborations in software engineering is known to be challenging. While such challenges can be varied and many, in this paper we focus on the challenges of achieving participative knowledge creation supported by active dialog between industry and academia and continuous commitment to joint problem solving. This paper aims to understand what are the elements of a successful industry-academia collaboration that enable the culture of participative knowledge creation. We conducted participant observation collecting qualitative data spanning 8 years of collaborative research between a software engineering research group on software V&V and the Norwegian IT sector. The collected data was analyzed and synthesized into a practical collaboration model, named the Certus Model. The model is structured in seven phases, describing activities from setting up research projects to the exploitation of research results. As such, the Certus model advances other collaborations models from literature by delineating different phases covering the complete life cycle of participative research knowledge creation. The Certus model describes the elements of a research collaboration process between researchers and practitioners in software engineering, grounded on the principles of research knowledge co-creation and continuous commitment to joint problem solving. The model can be applied and tested in other contexts where it may be adapted to the local context through experimentation.",3350,3350,Dusica Marijan|Arnaud Gotlieb,https://openalex.org/A5056500610|https://openalex.org/A5013313145,https://orcid.org/0000-0001-9345-5431|https://orcid.org/0000-0002-8980-7585,NO|NO,Simula Research Laboratory|Simula Research Laboratory,https://openalex.org/I2799829267|https://openalex.org/I2799829267,True|False,cc-by,0.97208787,47,https://openalex.org/I2799829267,Industry-Academia research collaboration in software engineering: The Certus model,https://doi.org/10.1016/j.infsof.2020.106473,Norges Forskningsråd,7.2316,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2020-11-02,2020,article
https://openalex.org/W2466590866,,2390,,Vahid Garousi|Matt M. Eskandar|Kadir Herkiloğlu,https://openalex.org/A5000712015|https://openalex.org/A5006049345|https://openalex.org/A5023268747,https://orcid.org/0000-0001-6590-7576||https://orcid.org/0000-0003-3258-7240,TR||TR,Hacettepe University||Aselsan (Turkey),https://openalex.org/I66514158||https://openalex.org/I56303344,True|False|False,cc-by-nc-nd,0.98756207,46,https://openalex.org/I66514158,Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,https://doi.org/10.1007/s11219-016-9319-5,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu|Hacettepe Üniversitesi,14.5016,False,en,True,green,Software Quality Journal,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S7504070,0963-9314,journal,Software Engineering Techniques and Practices,2016-06-01,2016,article
https://openalex.org/W2005033567,,3350,,Yulkeidi Martínez|Cristina Cachero|Santiago Meliá,https://openalex.org/A5015864461|https://openalex.org/A5102973607|https://openalex.org/A5079590036,https://orcid.org/0000-0003-2221-0650|https://orcid.org/0000-0001-6281-8287|https://orcid.org/0000-0003-3782-6626,CU|ES|ES,Universidad de Ciego de Ávila|University of Alicante|University of Alicante,https://openalex.org/I14414995|https://openalex.org/I130194489|https://openalex.org/I130194489,True|False|False,other-oa,0.94887757,40,https://openalex.org/I14414995,MDD vs. traditional software development: A practitioner’s subjective perspective,https://doi.org/10.1016/j.infsof.2012.07.004,"Universidad de Alicante|Ministerio de Educación, Cultura y Deporte",4.4592,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Model-Driven Software Engineering Techniques,2012-07-20,2012,article
https://openalex.org/W2035008258,,4190,,María Díaz-Ley|Félix García|Mario Piattini,https://openalex.org/A5036420755|https://openalex.org/A5100625685|https://openalex.org/A5083263115,|https://orcid.org/0000-0001-6460-0353|https://orcid.org/0000-0002-7212-8279,ES|ES|ES,Técnicas y Servicios de Ingeniería (Spain)|University of Castilla-La Mancha|University of Castilla-La Mancha,https://openalex.org/I4210093587|https://openalex.org/I79189158|https://openalex.org/I79189158,True|False|False,,0.95536176,34,https://openalex.org/I4210093587,MIS-PyME software measurement capability maturity model – Supporting the definition of software measurement programs and capability determination,https://doi.org/10.1016/j.advengsoft.2010.06.007,,5.038,False,en,False,closed,Advances in Engineering Software,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S16540516,0965-9978,journal,Software Engineering Research,2010-08-08,2010,article
https://openalex.org/W2583209614,,3350,,Austen Rainer,https://openalex.org/A5063087518,https://orcid.org/0000-0001-8868-263X,NZ,University of Canterbury,https://openalex.org/I185492890,True,,0.9673514,34,https://openalex.org/I185492890,"Using argumentation theory to analyse software practitioners’ defeasible evidence, inference and belief",https://doi.org/10.1016/j.infsof.2017.01.011,,6.5766,False,en,False,closed,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2017-02-03,2017,article
