Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
005-743-314-946-229,Knowledge management and dynamic capabilities based on knowledge in companies in the IT sector. An epistemic analysis about it,2021-06-23,2021,conference proceedings article,2021 16th Iberian Conference on Information Systems and Technologies (CISTI),,IEEE,,José Rafael García-González; Alexis Rafael Messino Soza; Paola Andrea Sánchez-Sánchez; Manuel Alfonso Garzon-Castrillon,"In this article, a conceptual structure is presented from the review of the theoretical and epistemological foundations associated with knowledge management and knowledge-based dynamic capabilities. Methodologically the contributions are structured from the systematization of the categories defined in a case study, their relationships and dynamics; supported by the different taxonomic analyzes and the widely accepted knowledge management models. It defines the bases of a categorical apparatus that theoretically supports the definition of a conceptual model for the management and development of dynamic capabilities based on knowledge for companies in the IT sector.",,,1,6,Epistemology; Knowledge-based systems; Information system; Conceptual model (computer science); Dynamic capabilities; Conceptual structure; Computer science; Categorical variable; Knowledge management,,,,,http://xplorestaging.ieee.org/ielx7/9476245/9476219/09476300.pdf?arnumber=9476300 http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=9476300,http://dx.doi.org/10.23919/cisti52073.2021.9476300,,10.23919/cisti52073.2021.9476300,3181023605,,0,010-965-326-417-302; 011-409-696-624-228; 018-121-540-353-603; 018-883-827-318-937; 021-213-254-415-996; 021-671-737-690-018; 027-201-963-785-033; 027-679-654-997-860; 030-195-748-810-881; 031-079-695-271-092; 036-078-207-938-765; 041-108-775-364-224; 048-621-429-064-802; 049-254-341-082-189; 050-038-341-311-390; 051-975-164-698-08X; 052-863-929-748-203; 053-398-216-129-539; 054-395-138-857-858; 058-821-081-159-26X; 062-223-024-314-483; 062-720-304-824-899; 069-306-137-780-454; 083-337-665-192-620; 083-857-148-846-007; 087-795-612-593-686; 089-621-912-811-772; 092-483-625-623-416; 096-638-316-633-732; 100-294-259-882-658; 101-302-604-384-056; 106-163-086-050-770; 111-277-557-636-345; 125-352-415-077-037; 133-864-048-299-189; 138-052-987-464-478; 141-982-582-272-557; 143-747-693-222-192; 146-855-688-901-147; 150-619-214-006-351; 157-346-370-700-605; 158-394-934-925-555; 159-787-541-273-617; 177-827-934-996-740; 191-265-689-837-601,0,false,,
027-510-044-354-688,KnowEval: A Tool for Supporting Knowledge Transfer Evaluation,2025-09-22,2025,conference proceedings article,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),,Sociedade Brasileira de Computação,,José Wilson Cavalcanti Ferreira Junior; Williby Ferreira; Juliana Saraiva; Sérgio Soares,"<jats:p>The evaluation of Knowledge Transfer (KT) processes is essential for promoting organizational learning, enhancing operational efficiency, and fostering innovation. However, existing tools described in the literature offer limited support to organizations in this area. In general, knowledge about these tools remains unsystematized, lacks empirical validation, and is not widely adopted in practice. This article presents an overview of the key features of KnowEval, a decision support tool designed to recommend appropriate processes for KT evaluation based on strategic input variables. Furthermore, we describe the structured and dynamic database that enables the continuous integration of new evaluation processes. Finally, we present the validation results of KnowEval, using scenarios derived from an exploratory review of the literature. Video Available on: https://zenodo.org/records/15485087</jats:p>",,,928,934,Computer science; Key (lock); Knowledge management; Knowledge transfer; Process management; Decision support system; Empirical research; Process (computing); Knowledge-based systems; Management science; Knowledge integration; Knowledge base; Information system; Flexibility (engineering); Exploratory research; Data science; Exploratory analysis; Systematic review,,,,,https://sol.sbc.org.br/index.php/sbes/article/download/37080/36865 https://doi.org/10.5753/sbes.2025.11170,http://dx.doi.org/10.5753/sbes.2025.11170,,10.5753/sbes.2025.11170,,,0,007-454-119-517-826; 013-804-411-988-822; 021-154-941-560-143; 025-214-649-678-627; 027-033-732-654-343; 038-531-483-605-532; 043-006-005-135-746; 047-733-933-166-63X; 054-370-116-018-622; 060-829-511-244-99X; 076-756-910-592-12X; 088-525-005-535-050; 091-271-376-470-285; 095-971-819-348-354; 096-638-316-633-732; 109-282-627-309-978; 109-576-747-964-962; 146-702-902-907-21X; 147-724-863-924-60X; 149-881-359-055-742; 181-114-597-077-018; 184-727-076-574-60X,0,true,,gold
031-024-731-320-114,I4CS - Knowledge Management for the Digital Transformation of Enterprises – Literature Based Trend Analysis,2019-06-01,2019,book chapter,Communications in Computer and Information Science,18650929; 18650937,Springer International Publishing,Germany,Marcus Wolf; Christian Erfurth,"The digital transformation of companies and society is progressing. The rapid realization of projects or the accelerated implementation of new “disruptive” technologies endanger aspects of sustainability. A sustainable aspect can be seen in the knowledge management of companies: The digital transformation, new technologies and the new production factor knowledge are putting established models for knowledge management under pressure. This paper presents the current state of research on knowledge management in relation to digital transformation. It could be worked out that knowledge management must gain more importance in companies. The way in which knowledge management is operated is changing at the same time, which makes new rules necessary. Due to the plurality of concepts and models, knowledge management is difficult to apply holistically for companies. Enterprises experience a technological upgrading which makes learning of the organization together with technology and humans possible. New forms of access to knowledge enable more target-oriented access in each situation.",,,142,155,Digital transformation; Trend analysis; Business; Emerging technologies; Relation (database); Realization (linguistics); Literature based; State (computer science); Knowledge management; Sustainability,,,,,https://link.springer.com/chapter/10.1007%2F978-3-030-22482-0_11 https://dblp.uni-trier.de/db/conf/iics/i4cs2019.html#WolfE19 https://rd.springer.com/chapter/10.1007/978-3-030-22482-0_11,http://dx.doi.org/10.1007/978-3-030-22482-0_11,,10.1007/978-3-030-22482-0_11,2947141126,,0,011-998-507-114-447; 028-303-176-901-641; 061-457-927-292-671; 067-259-374-317-138; 077-984-516-565-378; 089-351-399-161-934; 096-638-316-633-732; 118-484-600-503-190; 131-342-284-713-053; 137-439-794-435-603; 147-724-863-924-60X; 171-030-180-518-163; 181-551-912-160-619; 191-265-689-837-601,4,false,,
048-478-679-684-108,CSCWD - An Instrument to Define the Product Scope at Preselling Time,2021-05-05,2021,conference proceedings article,2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD),,IEEE,,Tomas Vera; Daniel Perovich; Sergio F. Ochoa,"At project pre-selling time, customers and software providers collaborate to define the product required by the former; and based on it, the latter can generate a project proposal and a bid. This collaborative activity, that we have named product scoping, is not properly supported by the current tools and techniques, mainly due to the constraints imposed by the preselling phase; e.g., the activity has to be done quickly, accurately, and involving few resources. This article presents an instrument that supports the product scoping in bespoke projects, dealing with the main constraints involved in the pre-selling phase. The instrument is a canvas, and its design was particularly conceived to support the product scoping of data processing projects; however, the canvas can be adapted to address other project types. The instrument has been evaluated with real customers and providers, and the obtained results show that it helps conduct the product scoping process in a cost-effective way.",,,604,608,Product (category theory); Data processing; Phase (combat); Process management; Software; Scope (project management); Project proposal; Computer science; Process (engineering); Bespoke,,,,,https://ieeexplore.ieee.org/document/9437717 https://dblp.uni-trier.de/db/conf/cscwd/cscwd2021.html#VeraPO21,http://dx.doi.org/10.1109/cscwd49262.2021.9437717,,10.1109/cscwd49262.2021.9437717,3170079371,,0,015-095-265-179-915; 025-615-723-446-304; 040-006-880-796-770; 048-301-814-693-979; 058-567-842-589-512; 072-324-009-242-229; 084-515-270-682-903; 089-008-597-634-087; 096-638-316-633-732; 098-596-895-583-134; 120-734-443-503-98X; 141-104-177-981-107,3,false,,
070-531-281-893-329,Mastering Agile Practice Adoption through a Model-Driven Approach for the Combination of Development Methods,2022-12-24,2022,journal article,Business & Information Systems Engineering,23637005; 18670202; 09376429,Springer Science and Business Media LLC,Germany,Giovanni Giachetti; José Luis de la Vara; Beatriz Marín,,65,2,103,125,Agile software development; Agile Unified Process; Agile usability engineering; Software engineering; Lean software development; Suite; Process (computing); Computer science; Process management; Context (archaeology); Identification (biology); Knowledge management; Scrum; Systems engineering; Engineering; Engineering management; Software development; Software development process; Software; Operating system; Botany; Programming language; History; Biology; Paleontology; Archaeology,,,,,https://riunet.upv.es/bitstream/10251/204476/7/GiachettiVaraMarin%20-%20Mastering%20Agile%20Practice%20Adoption%20through%20a%20Model-Driven%20Approach%20for%20the%20Co....pdf http://hdl.handle.net/10251/204476,http://dx.doi.org/10.1007/s12599-022-00785-5,,10.1007/s12599-022-00785-5,,,0,009-966-878-573-185; 010-081-393-133-162; 014-257-330-895-874; 020-481-598-079-652; 023-219-145-353-87X; 024-252-884-186-148; 031-315-178-555-283; 034-834-831-885-984; 037-216-590-998-996; 039-728-023-324-591; 040-736-307-019-439; 041-782-721-935-188; 043-269-108-276-124; 047-311-946-082-398; 049-983-838-315-881; 050-050-733-935-663; 053-749-673-274-362; 061-870-637-873-362; 077-908-400-532-06X; 079-430-559-428-232; 082-871-405-813-754; 084-054-524-858-771; 086-468-778-180-561; 092-489-195-130-319; 096-638-316-633-732; 099-331-355-737-692; 106-983-053-880-165; 107-292-983-096-266; 109-837-179-594-176; 113-788-047-797-162; 118-448-708-624-818; 124-895-453-276-146; 149-819-709-254-77X; 150-863-553-200-292; 158-253-621-523-361; 164-551-237-248-409; 169-902-962-733-793; 180-624-366-515-758,5,true,,green
076-804-444-656-758,Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,2024-05-20,2024,conference proceedings article,Proceedings of the 20th Brazilian Symposium on Information Systems,,ACM,,Wesley Souza; Williamson Silva; Gilleanes Thorwald Araujo Guedes,"Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.",,,1,10,Computer science; Extension (predicate logic); Software engineering; Systematic review; Knowledge management; Programming language; Political science; MEDLINE; Law,,,,Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,,http://dx.doi.org/10.1145/3658271.3658273,,10.1145/3658271.3658273,,,0,000-351-755-892-161; 002-593-823-476-325; 004-872-825-309-867; 008-446-415-484-631; 009-894-948-227-158; 018-686-227-374-270; 021-932-016-269-55X; 023-548-623-329-645; 024-765-221-486-282; 027-636-843-387-05X; 030-816-877-867-488; 033-655-133-983-667; 035-366-701-122-622; 039-821-887-640-846; 042-281-332-233-925; 057-492-700-743-510; 057-665-911-976-763; 058-821-081-159-26X; 061-794-661-168-338; 066-268-783-309-348; 068-204-415-223-065; 070-664-192-959-671; 071-483-296-522-275; 078-905-691-240-640; 080-351-706-015-893; 084-403-517-354-009; 090-224-941-605-894; 092-252-320-406-228; 093-810-742-297-682; 096-638-316-633-732; 104-334-748-401-615; 106-093-896-685-216; 108-160-600-540-043; 113-031-910-577-52X; 114-306-424-542-379; 115-359-809-378-632; 126-104-835-411-242; 134-416-870-429-344; 137-821-747-159-877; 171-432-562-242-045,0,true,,green
093-287-746-684-790,A Deep Drive into Software Development Agile Methodologies for Software Quality Assurance,2023-02-08,2023,other,Agile Software Development,,Wiley,,Mitali Chugh; Neeraj Chugh,"Agile software development has enhanced software quality assurance from merely considering it as fulfilling the needs of clients, verification, and validation. Agile development innovatively unlocks the novel horizons in software quality assurance. Agility in software development is a step ahead of the conventional development method that aims to meet the clients' changing requirements until the product deployment. This chapter systematically analyses software development agile methodologies from the viewpoint of software quality assurance and presents a technique to understand similarities in diverse agile processes. The understanding of the agile software development methodology is presented from the different perspectives as theoretical, scientific, and contextual. Even though software development projects that incorporate agile methodologies have extended the margins that cannot be overlooked in the context of product relevance or timely delivery, few are following this innovative methodology of software development because of not having a clear understanding of core agile methodologies. Therefore, this chapter comprehensively defines agile methodologies and reveals the role of agile methodologies over the traditional approaches in the perspective of software quality assurance. Next, a technique is presented that will expose agile methods viz . scrum, crystal methodology, lean development, Kanban, extreme programming, etc. using a new approach and discuss the adoption apprehensions of agile methodologies. The idea of the proposed technique is to explore each state of art agile methodology focusing on core values and practices and present to incorporate an additional layer in agile projects for quality assurance. The intent is to utilize the expert's knowledge for software process improvement, resulting in better product quality. The subsequent sections of the chapter will cover the issues and controversies in agile software development that are the grey areas to agile methodology related to innovative thinking, cost of projects developed using agile methodologies, etc. The chapter finally concludes with a discussion on the challenges in agile software development.",,,235,255,Agile software development; Agile Unified Process; Lean software development; Software development; Agile usability engineering; Computer science; Software engineering; Software development process; Software quality control; Software quality analyst; Extreme programming practices; Engineering; Software quality; Systems engineering; Software; Programming language,,,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9781119896838.ch12 http://dx.doi.org/10.1002/9781119896838.ch12,http://dx.doi.org/10.1002/9781119896838.ch12,,10.1002/9781119896838.ch12,,,0,006-138-898-483-061; 007-457-067-177-80X; 014-755-392-090-790; 046-761-971-051-974; 047-037-167-677-473; 047-141-976-759-137; 051-205-204-954-797; 061-032-552-176-223; 065-416-749-584-966; 071-105-489-357-423; 096-638-316-633-732; 103-453-012-429-821; 104-276-089-803-81X; 104-771-352-814-283; 105-516-302-941-872; 113-420-374-066-943; 137-127-568-332-152; 188-777-525-865-64X,2,true,,gold
144-312-320-765-892,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,2024-11-05,2024,conference proceedings article,Proceedings of the XXIII Brazilian Symposium on Software Quality,,ACM,,Daniela dos Santos Alves; Deivid José Smek; Érica Ferreira de Souza; Katia Romero Felizardo; Nandamudi L. Vijaykumar,,,,125,135,Computer science; Software engineering; Software development; Data science; Software; Knowledge management; Programming language,,,,,,http://dx.doi.org/10.1145/3701625.3701652,,10.1145/3701625.3701652,,,0,001-162-203-276-487; 001-319-036-333-28X; 005-842-894-870-067; 024-043-679-120-974; 024-843-062-294-216; 027-476-833-806-054; 031-056-855-501-837; 031-307-112-855-507; 034-702-120-144-00X; 040-795-814-553-281; 043-894-684-983-680; 044-647-273-143-44X; 047-260-023-419-020; 049-382-806-003-484; 063-332-637-558-607; 072-340-374-829-378; 080-351-706-015-893; 088-605-958-352-819; 096-638-316-633-732; 103-127-105-768-597; 103-584-554-904-850; 113-031-910-577-52X; 118-731-693-819-164; 124-763-383-906-979; 125-039-593-949-415; 137-137-797-450-610; 140-397-216-738-245; 143-193-604-404-049; 147-724-863-924-60X; 157-368-136-778-081; 182-097-887-968-892; 182-198-474-715-865; 195-773-468-220-401,1,false,,
180-192-367-621-812,An Interactive Visual Instrument to Address the Scoping of Bespoke Information Systems,2024-06-01,2024,book chapter,Lecture Notes in Computer Science,03029743; 16113349,Springer Nature Switzerland,Germany,Anelis Pereira-Vale; Tomás Vera; Daniel Perovich; Sergio F. Ochoa; Fabiane Benitti,,,,253,263,Bespoke; Computer science; Human–computer interaction; Visual analytics; Information system; Multimedia; Data science; Visualization; Artificial intelligence; Engineering; Law; Political science; Electrical engineering,,,,,,http://dx.doi.org/10.1007/978-3-031-60107-1_18,,10.1007/978-3-031-60107-1_18,,,0,007-084-699-832-439; 018-528-540-246-781; 025-615-723-446-304; 030-922-454-397-92X; 040-006-880-796-770; 048-301-814-693-979; 048-478-679-684-108; 058-567-842-589-512; 063-363-226-031-095; 089-008-597-634-087; 096-638-316-633-732; 108-841-977-626-852; 120-734-443-503-98X; 141-104-177-981-107; 143-135-768-307-338; 165-924-171-576-148,0,false,,
199-890-007-325-655,"Strategies, Information Technologies and Models for Knowledge Management in Software Development Companies: A Systematic Review of the Literature",2023-10-27,2023,book chapter,Communications in Computer and Information Science,18650929; 18650937,Springer Nature Switzerland,Germany,Evelin Fragoso; Luisa F. Villa; Lillyana María Giraldo Marín,,,,388,398,Computer science; Knowledge management; Software; Data science; Information retrieval; Programming language,,,,,,http://dx.doi.org/10.1007/978-3-031-46739-4_34,,10.1007/978-3-031-46739-4_34,,,0,001-718-687-171-34X; 006-832-511-561-070; 009-456-880-353-704; 009-966-878-573-185; 015-185-634-199-284; 015-650-056-752-885; 016-580-667-879-303; 029-312-414-199-757; 030-445-845-732-503; 048-813-871-624-629; 048-876-760-071-61X; 049-680-434-315-879; 053-743-885-428-717; 054-788-504-741-52X; 058-815-768-524-162; 067-032-457-846-354; 071-829-036-497-97X; 082-506-498-113-531; 084-071-412-178-557; 096-638-316-633-732; 102-158-610-410-874; 102-660-063-776-589; 106-652-122-020-972; 109-907-179-936-085; 111-317-737-884-382; 116-984-350-335-590; 122-127-022-898-31X; 129-350-574-886-161; 129-452-575-264-628; 163-621-209-808-16X; 175-890-944-560-165; 188-345-974-957-591,1,false,,
