DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1007/s12599-022-00785-5,Mastering Agile Practice Adoption through a Model-Driven Approach for the Combination of Development Methods,"Giovanni Giachetti, J. L. de la Vara, B. Marín",Business &amp; Information Systems Engineering,2022,(missing abstract),252780259,8,69,,
10.1109/cscwd49262.2021.9437717,An Instrument to Define the Product Scope at Preselling Time,"Tomás Vera, Daniel Perovich, S. Ochoa",2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD),2021,"At project pre-selling time, customers and software providers collaborate to define the product required by the former; and based on it, the latter can generate a project proposal and a bid. This collaborative activity, that we have named product scoping, is not properly supported by the current tools and techniques, mainly due to the constraints imposed by the preselling phase; e.g., the activity has to be done quickly, accurately, and involving few resources. This article presents an instrument that supports the product scoping in bespoke projects, dealing with the main constraints involved in the pre-selling phase. The instrument is a canvas, and its design was particularly conceived to support the product scoping of data processing projects; however, the canvas can be adapted to address other project types. The instrument has been evaluated with real customers and providers, and the obtained results show that it helps conduct the product scoping process in a cost-effective way.",225456611,5,15,,
10.1007/978-3-030-22482-0_11,Knowledge Management for the Digital Transformation of Enterprises – Literature Based Trend Analysis,"Marcus Wolf, Christian Erfurth",International Conference on Innovations for Community Services,2019,"The digital transformation of companies and society is progressing. The rapid realization of projects or the accelerated implementation of new “disruptive” technologies endanger aspects of sustainability. A sustainable aspect can be seen in the knowledge management of companies: The digital transformation, new technologies and the new production factor knowledge are putting established models for knowledge management under pressure. This paper presents the current state of research on knowledge management in relation to digital transformation. It could be worked out that knowledge management must gain more importance in companies. The way in which knowledge management is operated is changing at the same time, which makes new rules necessary. Due to the plurality of concepts and models, knowledge management is difficult to apply holistically for companies. Enterprises experience a technological upgrading which makes learning of the organization together with technology and humans possible. New forms of access to knowledge enable more target-oriented access in each situation.",203829554,5,22,,
10.5753/cbsoft_estendido.2019.7662,A Tool for Automation of Knowledge Management Diagnostics in Software Development Companies,"Vinicius dos Santos, João Gabriel Salgado, É. Souza, K. Felizardo, N. Vijaykumar",Anais Estendidos da Conferência Brasileira de Software: Teoria e Prática,2019,"Knowledge Management (KM) is responsible for using the intellectual resources of an organization. KM principles are both determining and effective factors for the software product quality. Several KM process have been proposed in the literature. However, for a KM initiative to be successful, it is important to consider the current state of KM activities in a company. In this context, the objective of this work is to measure KM activities in software engineering companies by means of a tool that automates the process of KM diagnosis. This paper presents the Software Engineering KNOWledge management diagnosis (SEKNOW) tool, its main functionalities, the potential users profile and examples of use. In addition, we show how the architecture was implemented in order to make the tool extensible to multiple diagnostics and how the companies can employ the tool to fetch data to their systems. Finally, we present similar tools and compare their functionalities.",19423703,4,19,,
10.1145/3701625.3701652,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,"Daniela dos Santos Alves, Deivid José Smek, Érica Ferreira de Souza, K. Felizardo, N. L. Vijaykumar",Proceedings of the XXIII Brazilian Symposium on Software Quality,2024,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.",282731425,1,50,,
10.1007/978-3-031-46739-4_34,"Strategies, Information Technologies and Models for Knowledge Management in Software Development Companies: A Systematic Review of the Literature","Evelin Fragoso, Luisa F. Villa, Lillyana María Giraldo Marín",Communications in Computer and Information Science,2023,(missing abstract),291736565,0,35,,
10.5753/sbes.2025.11170,KnowEval: A Tool for Supporting Knowledge Transfer Evaluation,"José Wilson Cavalcanti Ferreira Junior, Williby Ferreira, Juliana Saraiva, Sérgio Soares",Brazilian Symposium on Software Engineering,2025,"The evaluation of Knowledge Transfer (KT) processes is essential for promoting organizational learning, enhancing operational efficiency, and fostering innovation. However, existing tools described in the literature offer limited support to organizations in this area. In general, knowledge about these tools remains unsystematized, lacks empirical validation, and is not widely adopted in practice. This article presents an overview of the key features of KnowEval, a decision support tool designed to recommend appropriate processes for KT evaluation based on strategic input variables. Furthermore, we describe the structured and dynamic database that enables the continuous integration of new evaluation processes. Finally, we present the validation results of KnowEval, using scenarios derived from an exploratory review of the literature. Video Available on: https://zenodo.org/records/15485087",292155045,0,38,,
10.23919/cisti52073.2021.9476300,Knowledge management and dynamic capabilities based on knowledge in companies in the IT sector. An epistemic analysis about it,"José Rafael García-González, Alexis Rafael Messino Soza, Paola Andrea Sánchez-Sánchez, Manuel Alfonso Garzon-Castrillon",(missing journal),2021,"In this article, a conceptual structure is presented from the review of the theoretical and epistemological foundations associated with knowledge management and knowledge-based dynamic capabilities. Methodologically the contributions are structured from the systematization of the categories defined in a case study, their relationships and dynamics; supported by the different taxonomic analyzes and the widely accepted knowledge management models. It defines the bases of a categorical apparatus that theoretically supports the definition of a conceptual model for the management and development of dynamic capabilities based on knowledge for companies in the IT sector.",178224056,0,34,,
10.33022/ijcs.v12i6.3515,Analysis The Success of Knowledge Management in Agile Team Study Case: Ecommerce in Indonesia,"Agas Yanpratama, Teguh Raharjo",Indonesian Journal of Computer Science,2023,"Information in organizations needs to be managed to gain a competitive advantage in competitions. E-commerce, one of the most prominent industries in Indonesia, has dynamic market conditions that frequently change requirements and recent layoffs, which can harm the companies if not correctly managed. Knowledge and information usually stored in a knowledge management system (KMS) are essential to negate this, and Agile software development methodologies can manage frequent requirement changes. However, a study about KMS's success in Agile teams, primarily e-commerce, needs to be conducted to know if KMS can help companies sustain their business in Indonesia. This research analyses the KMS success in Indonesia's e-commerce companies that use Agile as their software development methodologies. This study used a quantitative approach with 31 respondents who worked or previously worked in an e-commerce company in Indonesia, using Agile as software development methodologies and experienced using KMS daily. Data was processed and analyzed using the Partial Least Square-Structural Equation Modeling (PLS-SEM) and SmartPLS tools. The results of this study indicate that KMS net benefits in Agile teams in E-commerce in Indonesia are influenced by the user's intentions to use and user satisfaction when using the KMS.",268649881,0,28,,
10.1145/3658271.3658273,Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,"Wesley Souza, Williamson Silva, Gilleanes Thorwald Araujo Guedes",Brazilian Symposium on Information Systems,2024,"Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.",271876503,0,62,,
