oci,citing,cited,creation,timespan,journal_sc,author_sc
06504353935-061801824366,10.1108/tlo-05-2022-0066,10.1108/tlo-09-2018-0149,2023-05-04,P4Y3M20D,yes,no
061102100319-061801824366,10.3389/fcomm.2022.837386,10.1108/tlo-09-2018-0149,2022-02-25,P3Y1M11D,no,no
062401478603-061801824366,10.1177/20438869211028855,10.1108/tlo-09-2018-0149,2021-08-26,P2Y7M12D,no,no
061801824358-061801824366,10.1108/tlo-01-2019-169,10.1108/tlo-09-2018-0149,2019-01-14,P0Y0M0D,yes,no
061801824314-061801824366,10.1108/tlo-11-2019-0166,10.1108/tlo-09-2018-0149,2020-01-02,P0Y11M19D,yes,no
062104179918-061801824366,10.1016/j.heliyon.2024.e27092,10.1108/tlo-09-2018-0149,2024-03,P5Y1M,no,no
061801824355-061801824366,10.1108/tlo-01-2019-171,10.1108/tlo-09-2018-0149,2019-01-14,P0Y0M0D,yes,no
06302466321-061801824366,10.1108/crr-05-2020-0012,10.1108/tlo-09-2018-0149,2020-06-08,P1Y4M25D,no,no
06180186068-061801824366,10.1108/vjikms-04-2019-0053,10.1108/tlo-09-2018-0149,2019-11-11,P0Y9M28D,no,no
0604956648-061801824366,10.1145/3701625.3701652,10.1108/tlo-09-2018-0149,2024-11-05,P5Y9M22D,no,no
0606645870-061801824366,10.1111/epic.12210,10.1108/tlo-09-2018-0149,2024-11,P5Y9M,no,no
06490176999-061801824366,10.1109/icatiece56365.2022.10047519,10.1108/tlo-09-2018-0149,2022-12-16,P3Y11M2D,no,no
06401898527-061801824366,10.1109/ase.2019.00047,10.1108/tlo-09-2018-0149,2019-11,P0Y9M,no,no
06340139187-061801824366,10.1002/smr.2607,10.1108/tlo-09-2018-0149,2023-09-12,P4Y7M29D,no,no
