Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Investigating the Level of Experience in Using More Effective Software Design Tools for Enhancing Security among Federal College of Education, Gidan Madi Staff and Students","Higher education institutions operate under strict regulations and standards to ensure compliance with data protection rules, safeguard sensitive information, and preserve the privacy of employees and students. This study evaluates the expertise of staff and students at the Federal College of Education, Gidan Madi, in employing software design tools to enhance security. Using a mixed-methods approach, the research involves a wide range of stakeholders, including academics, non-academics, and students. The findings reveal that software design tools significantly improve the institution's ability to detect and respond to security events. Participants highlighted the importance of data encryption, expressed confidence in their knowledge of the latest advancements in security tools, and rated institutional support for security measures as excellent. The study also identified gaps in network monitoring capabilities, which are critical for proactive security management. Based on these findings, the study recommends the implementation of advanced network monitoring tools to enhance security measures at the institution. These results are expected to benefit higher education stakeholders, IT administrators, and decision-makers responsible for designing and maintaining robust security systems. By addressing current challenges and improving expertise in using security tools, this research contributes to the broader goal of strengthening data protection in higher education institutions.","Hajara Abdulkadir; B. Alhaji; Buhari; A. Umar","2025","Journal of Computers and Digital Business","10.56427/jcbd.v4i1.629","-","Include"
"Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.","Daniela dos Santos Alves; Deivid José Smek; É. Souza; K. Felizardo; N. L. Vijaykumar","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701652","1","Include"
"Exploring the Black Box of Knowledge Capture in Public Complaint Management","This paper examines the risk of knowledge loss in managing public complaints. Drawing upon the literature on public complaint management and knowledge management (KM), in-depth interviews were carried out with the Public Complaint Bureau (PCB), a government agency responsible for handling public complaints. Interview data was meticulously recorded and transcribed to elicit an understanding of prominent factors of knowledge capture and knowledge organisation in handling public complaints. Focus-group discussions were also carried out to generate further insights. Documentation such Standard Operating Procedures (SOP), circulars and public reports were scrutinised to corroborate interview data. Research findings strongly indicate that inadequate knowledge capture and organisation have created a ‘black box’ in public complaint management. This black box has led to an ambiguous operating environment for PCB employees, caused by knowledge dissipation and evaporation. These issues stem from diverse individual knowledge practices and poorly designed knowledge flows within the organisation, resulting in significant knowledge loss. This qualitative research is expected to benefit organisations, mainly the government in improving knowledge capture and organisation practices by critically considering implementing KM efforts to avoid severe knowledge loss. It will also benefit the academic community for future reference.","Rozaina Ali; Ahmad Shaharudin Abdul Latiff; Sazali Abdul Wahab","2024","Malaysian Journal of Social Sciences and Humanities","10.47405/mjssh.v9i9.2998","-","Include"
"Knowledge Capture in Agile Organizations: Methods and Strategies for Enhancing Effective and Efficient Process","The competitive landscape of modern organizations relies on efficient knowledge utilization and management, underscoring the crucial role of knowledge capture in effective Knowledge Management (KM). This study explores the relationship between knowledge capture, organizational agility, and employee proficiency within KM, pinpointing critical gaps in understanding the optimal utilization of knowledge capture methods within agile-based setups. By addressing these gaps, the study aims to identify effective knowledge capture methods and propose strategies for their seamless integration into agile organizations. The research investigates five hypotheses, affirming the positive impacts of expert interviews, focus groups, interviews, surveys, and questionnaires on the efficiency and effectiveness of knowledge capture processes in agile contexts. Utilizing a mixed-method approach, this study evaluates qualitative and quantitative data derived from interviews and questionnaires. The results highlight the importance of various knowledge capture methods in augmenting the efficiency and efficacy of the knowledge capture process. Additionally, the study outlines implementation strategies customized for each method's application within agile-based organizations. The objective of this research is to provide practical solutions that narrow the disparity between the potential of knowledge capture and the particular needs of agile setups.","Maharani Eka Pratiwi; Yudistira Ramadhan; D. Sensuse; Sofian Lusa; Nadya Safitri; Damayanti Elisabeth","2024","International Journal of Artificial Intelligence Research","10.29099/ijair.v8i1.1164","1","Include"
"Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension","Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.","Wesley Souza; Williamson Silva; G. Guedes","2024","Brazilian Symposium on Information Systems","10.1145/3658271.3658273","-","Include"
"Procedures for transferring organizational knowledge during generational change: A systematic review","The loss of organizational knowledge has emerged as a prevalent issue for 21st-century organizations. This systematic review aims to scrutinize knowledge transfer procedures applied to individuals in managerial and intermediate positions during generational change or knowledge management initiatives. Following the PRISMA statement [1], this review progressed through four stages, applying inclusion and exclusion criteria, and ultimately identifying 28 articles for the final analysis. Descriptive indicators and content-related metrics were employed in the study. Key findings include: (1) predominant investment in knowledge retention studies and procedure design is observed among large companies, primarily in the secondary sector; (2) digitalization emerges as a critical aspect of effective organizational knowledge transfer procedures and protocols; (3) intra-organizational communication styles are predominantly employed for knowledge transfer; (4) organizations prefer a collective approach to transferring both tacit and explicit knowledge. In summary, this research offers fresh insights into a pivotal area of business management, showcasing originality in its exploration of knowledge transfer within the realms of generational change and knowledge management.","Elene Igoa-Iraola; Fernando Díez","2024","Heliyon","10.1016/j.heliyon.2024.e27092","3","Include"
"People aspect of learning organisation and performance of administrative staff in a public university context","
Purpose
The purpose of this study was to examine effects of the human aspects of the learning organisation (i.e. continuous learning; inquiry and dialogue; team collaboration and learning; and employee empowerment) on the performance of a public university’s administrative staff. Differences in the human aspects of the learning organisation across perhaps the two most important demographic characteristics (educational attainment and years of experience) were also examined.


Design/methodology/approach
This study focused exclusively on the human aspect of the dimensions of the learning organisation questionnaire. Specifically, differences in the people aspect of learning organization (PALO) across demographic characteristics were analysed using the Kruskal–Wallis test with a Bonferroni adjustment to the alpha values in the Mann–Whitney U tests that followed. Hierarchical linear regression using the standard (enter) method was adopted in analysing the PALO and administrative staff performance while controlling for age and gender.


Findings
This study demonstrated that a difference in the PALO existed across the education level and years of experience of the administrative staff. Specifically, Diploma holders performed better than those with Postgraduate degree. Also, administrative staff with 5–10 years of experience did better than the staff who had more than 15 years of experience. In addition, continuous learning; inquiry and dialogue; and collaboration and team learning each had a significant effect on administrative staff performance.


Practical implications
Employees, especially those with higher levels of education and more work experience, should be motivated through rewards as well as challenging and thought-provoking tasks as they could serve as mechanisms that would make them contribute substantially to the sustainability of the PALO. Again, public universities should pay attention to the PALO, which is at the individual and team levels.


Originality/value
This study focuses solely on the people aspect of the dimensions of the learning organisation questionnaire and sheds light on its importance to the learning organisation culture.
","E. Annan-Prah; F. Baffoe; R. P. Andoh","2023","Learning Organization","10.1108/tlo-12-2022-0162","7","Include"
"Strategic HRM practices, learning orientation and learning competence: study from retail industry","
Purpose
This study aims to examine the effect of strategic human resource management (SHRM) practices on two learning outcomes, learning orientation and learning competence, which past research has seldom examined in the UAE context. SHRM practices consisted of four factors, namely, talent acquisition, learning and development, performance appraisal and developmental pay.


Design/methodology/approach
Primary data was collected from 285 employees from retail outlets operating in Dubai. Partial least squares regression analysis using the tool, SmartPLS, was used to empirically validate the measurement model and test the structural model.


Findings
Findings reveal that SHRM practices talent acquisition, learning and development and developmental pay have a positive association with learning orientation, and learning and development and performance appraisal have a positive association with learning competence of employees. The path coefficient and total effects signify that learning orientation acts as a conduit to pass on the effect of the SHRM practices to learning competence.


Research limitations/implications
The sample considered for the study was from the retail industry. Furthermore, to generalize the findings of this research, cross-national studies should be conducted across various sectors and organizations.


Originality/value
To the best of the authors’ knowledge, this research study is the first of its kind in retail firms in Dubai (UAE) to empirically test the association of SHRM practices with learning outcomes. Retail outlets can implement SHRM practices to improve learning orientation and learning competence in a highly dynamic operating environment such as retail industry.
","A. P.; Chitra Dey; Nivethitha Santhanam; Kamarul Zaman Bin Ahmad","2023","Learning Organization","10.1108/tlo-05-2022-0066","5","Include"
"English Online Learning Platform Based on Mobile Android App","The advancement of mobile computing technology and various information terminals has greatly promoted the development of mobile learning platforms based on Internet+. Digital and mobile online learning has become a new way for people to receive education. This paper aims to study the English online learning platform based on mobile Android apps. Based on the analysis of the characteristics of mobile learning, the classification of English learning apps and the non-functional requirements of the system, the online learning platform for English is designed. The performance of the system was tested. The test results show that when the number of concurrent users is 100, the network utilization rate, average memory usage rate and CPU usage rate of the server are 4%, 20% and 6% respectively; Memory usage and CPU usage are 53%, 38%, and 56%, respectively. It can be seen that the performance of the English online learning platform designed in this paper basically meets the needs of this paper.","Qiongqiong Yang; Wei Zhou","2022","2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)","10.1109/icatiece56365.2022.10047519","-","Include"
"Building Organizational Resilience Through Organizational Learning: A Systematic Review","With organizational environments becoming increasingly complex and volatile, the concept of “organizational resilience” has become the “new normal”. Organizational resilience is a complex and multidimensional concept which builds on the myriad of capabilities that an organization develops during its lifecycle. As learning is an inherent and essential part of these developments, it has become a central theme in literature on organizational resilience. Although organizational resilience and organizational learning are inherently interrelated, little is known of the dynamics of effective learning that may enhance organizational resilience. This study explores how to achieve organizational learning that can serve to promote organizational resilience. Our aim is to contribute to a more comprehensive knowledge of the relation between organizational resilience and organizational learning. We present the results of a systematic literature review to assess how organizational learning may make organizations more resilient. As both organizational resilience and organizational learning are topics of practical importance, our study offers a specifically targeted investigation of this relation. We examine the relevant literature on organizational learning and resilience, identifying core themes and the connection between the two concepts. Further, we provide a detailed description of data collection and analysis. Data were analyzed thematically using the qualitative research software NVivo. Our review covered 41 empirical, 12 conceptual and 6 literature review articles, all indicating learning as mainly linked to adaptation capabilities. However, we find that learning is connected to all three stages of resilience that organizations need to develop resilience: anticipation, coping, and adaptation. Effective learning depends upon appropriate management of experiential learning, on a systemic approach to learning, on the organizational ability to unlearn, and on the existence of the context that facilitates organizational learning.","L. L. Evenseth; Maria Sydnes; A. Gausdal","2022","Frontiers in Communication","10.3389/fcomm.2022.837386","74","Include"
