DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Challenges and Practices for Knowledge Transfer in Global Software Development: An Updated Literature Review,"Michael Benigno, Matheus Argôlo, Carlos Eduardo Barbosa, Lucas da Nóbrega, Luiz Felipe Martinez, Yuri Lima, Jano de Souza",European Conference on Knowledge Management,2025,"In recent years, the evolution of technology and the increasing globalization of work have significantly transformed the software development industry. Global Software Development (GSD) has become a prevalent practice, enabling companies to reduce costs, leverage time zone differences for continuous development, and access diverse talent pools worldwide. However, knowledge transfer among distributed teams remains a significant challenge, often resulting in inefficiencies, project delays, and decreased software quality. As organizations increasingly rely on geographically dispersed teams, understanding the barriers to effective knowledge transfer in GSD is essential. This study is motivated by the need to reassess knowledge transfer in GSD, especially considering recent advancements in communication tools, collaboration platforms, and the widespread shift to remote work. While previous studies, such as those conducted by Zahedi et al. (2016), have examined knowledge transfer challenges and practices in GSD, the rapid technological and organizational shifts over the past decade necessitate an updated literature review. This work aims to provide a comprehensive overview of distributed teams’ challenges in knowledge transfer and the emerging practices to address these issues. A systematic literature review was conducted, building on the work of Zahedi et al. (2016) by analyzing research published between 2014 and 2024. The study followed a rigorous research protocol, utilizing the Scopus database to identify relevant papers and extract key insights. The findings highlight persistent challenges, including communication barriers, cultural differences, time zone constraints, and difficulties managing knowledge within distributed teams. Social and organizational factors hinder effective knowledge transfer, such as a lack of trust and inadequate coordination. The literature points to several best practices for facilitating knowledge transfer, including on-site visits for remote employees, synchronous and asynchronous communication tools, structured documentation, training programs, and establishing communities of practice. This study contributes to the field by offering an updated perspective on knowledge transfer in GSD, providing valuable insights for organizations aiming to optimize their global collaboration strategies. Future work should compare these findings with previous studies to track the evolution of knowledge transfer practices over time and explore new organizational approaches that have emerged in response to the changing dynamics of distributed software development.",290519050,0,39,(missing PubMedId)
(missing DOI),Foundations of Practice: An Ethnographic Exploration of Software Documentation and its Cultural Implications for an Agile Startup,"NICOLE TIETZ‐SOKOLSKAYA, Sean Walsh",Ethnographic Praxis in Industry Conference Proceedings,2024,"This case study offers an in‐depth analysis of the foundational role of documentation for software quality, efficiency, and organizational success. It includes an inside look how a start‐up overcame inefficiencies and scaling challenges by implementing a sociotechnical documentation practice, and 10 recommendations for implementation or assessment based the case study data and a wider analysis of research and expertise. Time pressures of agile workflows that prioritize writing code, coupled with rapidly scaling software and startups, create an environment where documentation often takes a back seat. But its value to organizations and engineering teams as a source of knowledge and a practice of knowledge sharing becomes clear when critical inefficiencies and even chaos to prompt an overhaul of norms and behaviors. The experience at Remesh demonstrates the value of an ethnographic approach to gain a holistic understanding of engineering and work practices and to implement positive change.",284245592,0,35,(missing PubMedId)
(missing DOI),Information Technology Management System of Sharing Knowledge Between Universities Using Systematic Literature Review,"Ricky Fernando, Hendi Sama",Jurnal Teknologi Dan Sistem Informasi Bisnis,2025,"Knowledge is a vital resource for academic institutions, driving innovation dan development. However, universities face challenges in effective knowledge sharing due to cultural barriers, lack of trust, and technological constraints. This research, conducted using a Systematic Literature Review (SLR), identifies key variables influencing knowledge sharing, highlights challenges, and proposes solutions to foster collaboration. The findings reveal that cultural barriers, such as competitive organizational environments and technological constraints, including high costs and user-friendly systems, significantly hinder knowledge sharing. To address these issues, the study recommends implementing user-friendly technologies, promoting collaboration through seminars and workshops, and encouraging cross-departmental projects. These solutions provide actionable insights to enhance knowledge sharing frameworks and support innovation across academic institutions",283643958,0,19,(missing PubMedId)
(missing DOI),Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,"Daniela dos Santos Alves, Deivid José Smek, Érica Ferreira de Souza, K. Felizardo, N. L. Vijaykumar",Proceedings of the XXIII Brazilian Symposium on Software Quality,2024,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.",282731425,0,45,(missing PubMedId)
(missing DOI),A theoretical literature review on knowledge management framework,"Villy Satria Praditha, Muharman Lubis",AIP conference proceedings,2023,(missing abstract),272972873,0,14,(missing PubMedId)
(missing DOI),Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,"Wesley Souza, Williamson Silva, Gilleanes Thorwald Araujo Guedes",Brazilian Symposium on Information Systems,2024,"Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.",271876503,0,60,(missing PubMedId)
(missing DOI),Comparative analysis of identity-based-broadcast encryption with attribute-based encryption for reduced storage cost of multi users in a public cloud,"Y. Mahi Gayathri, K. S. Rekha",AIP Conference Proceedings,2023,Aim: To minimize the size of public key for public cloud data using Identity-Based Broadcast Encryption (IBBE) algorithm. Materials and Methods: Novel Identity-Based Broadcast Encryption with sample size =20 and Attribute-Based-Encryption (ABE) with sample size = 20 was iterated 10 times to minimize the public key size of text messages. Encryption and Decryption in IBBE depends upon the Identity of the user (E-mail). The identity helps to minimize the public-key size. Results and discussion: IBBE appear to have significantly better public-key size (616 bytes) compared to ABE ciphertext size (789bytes). IBBE algorithm shows a slight increase in significant value of p=1.000 (p>0.05) Conclusion: IBBE appears to have less public-key size of 616 bytes than the ABE algorithm with 789 bytes.,268963899,1,28,(missing PubMedId)
(missing DOI),Hospital Management System Based on IoT,"Meraj Ahmed, Navneet Kaur, Shikha Uniyal Gairola",International Conference Control and Robots,2022,"An overall organization of the Internet of Things (IoT) will be the future organization, which associates objects of various application fields, usefulness and innovation. These items are remarkably addressable and utilize standard correspondence convention and impart in a heterogeneous network environment. Anytime, wherever interfacing anything, thought got out huge headways in the medical services space. This paper examines the actual situation of a brilliant independent HOSPITAL MANAGEMENT SYSTEM using of IoT. The paper targets clarifying the innovation drivers exhaustively behind the IoT and medical services with the data on information demonstrating clinical gadgets, information approval of basic occurrence information, planning of existing IoT information into various other related framework information, work process or the interaction stream behind the specialized tasks of the distant gadget coordination, the design of the organization, middleware, data sets, application administrations. The difficulties and the related arrangement in this field are examined with the use case.",252045568,1,21,(missing PubMedId)
(missing DOI),Real Time Object Detection,"Simranjeet Kaur, Anup Lal Yadav, A. Joshi",International Conference Control and Robots,2022,"Introducing YOLO, another way to deal with object identification. Previous object detection function re-uses separators to create location. All things considered, we present the identification object as a repetitive problem in geographically separated jump boxes and related class opportunities. All acquisition pipes are an independent entity, they may be well developed to begin to finish directly on-site operations. Our integrated design is very fast. Our Consequences should be discarded photo rotations continuously at 45 edge every second. An additional moderate practice of the organization, YOLO, processes 155 shocking casings per second. Compared to the best class identification frameworks, YOLO makes many limitations yet very different to expect misleading sides on the basis. Finally, YOLO learns the typical presentation of articles. It overcomes other local techniques, including SSD and R-CNN, while summarizing from conventional images to as diverse as art.",252036184,87,12,(missing PubMedId)
(missing DOI),Agile Lifestyle of Development,"Ayushi, Damandeep Kaur, S. Sehgal",International Conference Control and Robots,2022,"An iterative technique to software development and management that facilitates teams delivering value to their customers rapidly and with fewer problems. Agile method is extensively used in different corporate industry level projects as a light development strategy that aims to meet the changing needs. Short-term repetitions are best used for successful product development. Conventional software development processes do not seem to be very effective in managing rapid change of needs. Aside from the benefits of Agile, criticism of the agile approach claims that it fails to identify structural and aesthetic issues and is therefore hesitant to offer minor decisions throughout the design process. Here, in the middle of this research paper, we try to identify the effects of a much better approach in terms of efficiency and pace to s consistent software development procedure within an organizational and cultural framework.",252065981,2,28,(missing PubMedId)
(missing DOI),JavaScript Quiz Game,"Gurpartap Singh, Anup Lal Yadav, S. Sehgal",International Conference Control and Robots,2022,"This paper recounts my experience creating a JavaScript quiz software that contains multiple quiz executions. All of these modules have been enciphered collectively and are structurally distinct from the antedating bones. These were erected in stages, with each bone being distinct from the one before it. Each of them has a score system (in some form) that allows druggies to compare their results to those of others. This, in my opinion, is the primary provocation for taking the quiz, and the stoner is given an objective score grounded on their capability position. HTML (HyperText Markup Language), CSS (Slinging Style Wastes), JS (JavaScript), API (Operation Programming Interface) (Operation Programming Interface)",252108025,0,13,(missing PubMedId)
