Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alves, Daniela dos Santos; Smek, Deivid José; Souza, Érica Ferreira de; Felizardo, Katia Romero; Vijaykumar, Nandamudi L; ",Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,Proceedings of the XXIII Brazilian Symposium on Software Quality,,,125-135,2024,
"Santos, Jadson; da Costa, Daniel Alencar; McIntosh, Shane; Kulesza, Uirá; ",On the need to monitor continuous integration practices,Empirical Software Engineering,30,5,125,2025,Springer
"Santos, Jadson; da Costa, Daniel Alencar; McIntosh, Shane; Kulesza, Uirá; ",On the Need to Monitor Continuous Integration Practices--An Empirical Study,arXiv preprint arXiv:2409.05101,,,,2024,
"Khan, Habib Ullah; Afsar, Waseem; Nazir, Shah; Noor, Asra; Kundi, Mahwish; Maashi, Mashael; Alshahrani, Haya Mesfer; ",Revolutionizing software developmental processes by utilizing continuous software approaches,The Journal of Supercomputing,80,7,9579-9608,2024,Springer
"Santos, Jadson José dos; ",A deep dive into continuous integration monitoring practices,,,,,2024,Universidade Federal do Rio Grande do Norte
"Júnior, Paulo Sérgio Santos; Barcellos, Monalessa Perini; Ruy, Fabiano Borges; Omêna, Moises Savedra; ",Flying over brazilian organizations with zeppelin: A preliminary panoramic picture of continuous software engineering,Proceedings of the XXXVI Brazilian Symposium on Software Engineering,,,279-288,2022,
"dos Santos Júnior, Paulo Sérgio; Ruy, Fabiano B; Omêna, Moisés S; Barcellos, Monalessa Perini; ",A Preliminary Panoramic View of Continuous Software Engineering Adoption in Brazilian Organizations,Journal of Software Engineering Research and Development,13,1,13: 89-13: 113,2025,
"Santos Júnior, Paulo Sérgio dos; Ruy, Fabiano B; Omêna, Moisés S; Barcellos, Monalessa P; ",A Preliminary Panoramic View of Continuous Software Engineering Adoption in Brazilian Organizations.,Journal of Software Engineering Research & Development,13,1,,2025,
"dos Santos Júnior, Paulo Sérgio; Barcellos, Monalessa Perini; Calhau, Rodrigo Fernandes; ",First step climbing the Stairway to Heaven Model-Results from a Case Study in Industry,Journal of Software Engineering Research and Development,10,,5: 1-5: 18,2022,
"dos Santos Júnior, Paulo Sérgio; Barcellos, Monalessa P; Almeida, João Paulo A; ",An Ontology-based Approach to Enable Data-Driven Decision-Making in Agile Software Organizations.,ONTOBRAS,,,279-284,2021,
"Edan, Naktal Moaid; Mahmood, Basim; ",Usage one of Reverse Engineering Application (Node. js Web) to Construct Software Engineering Documents.,Technium,4,4,,2022,
"dos Santos Júnior, Paulo Sérgio; Barcellos, Monalessa P; Ruy, Fabiano B; Omêna, Moisés S; ",Flying over Brazilian Organizations with Zeppelin,,,,,2022,
