id,abstract,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4391718619,"This paper introduces a knowledge discovery approach focused on comparing topic modeling techniques within the realm of digital health research. Knowledge discovery has been applied in massive data repositories (databases) and also in various field studies, which use these techniques for finding patterns in the data, determining which models and parameters might be suitable, and looking for patterns of interest in a specific representational. Unfortunately, the investigation delves into the utilization of Latent Dirichlet Allocation (LDA) and Pachinko Allocation Models (PAM) as generative probabilistic models in knowledge discovery, which is still limited. The study's findings position PAM as the superior technique, showcasing the greatest number of distinctive tokens per topic and the fastest processing time. Notably, PAM identifies 87 unique tokens across 10 topics, surpassing LDA Gensim's identification of only 27 unique tokens. Furthermore, PAM demonstrates remarkable efficiency by swiftly processing 404 documents within an incredibly short span of 0.000118970870 seconds, in contrast to LDA Gensim's considerably longer processing time of 0.368770837783 seconds. Ultimately, PAM emerges as the optimum method for digital health research's topic modeling, boasting unmatched efficiency in analyzing extensive digital health text data.",Siti Rohajawati|Puji Rahayu|Afny Tazkiyatul Misky|Khansha Nafi Rasyidatus Sholehah|Normala Rahim|R.R. Hutanti Setyodewi,https://openalex.org/A5034999905|https://openalex.org/A5089207956|https://openalex.org/A5093904200|https://openalex.org/A5093904201|https://openalex.org/A5063753119|https://openalex.org/A5113116783,https://orcid.org/0000-0002-6775-8997|https://orcid.org/0000-0002-6684-9774|https://orcid.org/0009-0005-4555-5901|https://orcid.org/0009-0008-1259-5837|https://orcid.org/0000-0002-2094-7694|,ID|ID|ID|ID|MY|IT,Bakrie University|Mercu Buana University|Mercu Buana University|Mercu Buana University|Sultan Zainal Abidin University|Azienda Ospedaliera San Gerardo,https://openalex.org/I205458487|https://openalex.org/I177671886|https://openalex.org/I177671886|https://openalex.org/I177671886|https://openalex.org/I51569856|https://openalex.org/I4210110840,True|False|False|False|False|False,cc-by-sa,4,https://openalex.org/I205458487,Unveiling Insights: A Knowledge Discovery Approach to Comparing Topic Modeling Techniques in Digital Health Research,https://doi.org/10.29407/intensif.v8i1.22058,,15.05573388,False,en,True,gold,INTENSIF Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi,https://openalex.org/S4210197954,2549-6824,journal,Computational and Text Analysis Methods,2024-02-10,2024,article
https://openalex.org/W4303475920,,Mahmut Demir|Şirvan Şen Demir|Emre Yaşar,https://openalex.org/A5046160440|https://openalex.org/A5058918164|https://openalex.org/A5060464194,https://orcid.org/0000-0002-5878-2717|https://orcid.org/0000-0003-3253-1001|https://orcid.org/0000-0003-1573-0930,TR|KZ|TR|TR,Isparta University of Applied Sciences|Suleyman Demirel University|Süleyman Demirel University|Isparta University of Applied Sciences,https://openalex.org/I4210118295|https://openalex.org/I4210120897|https://openalex.org/I175124709|https://openalex.org/I4210118295,True|False|False,,13,https://openalex.org/I4210118295,Big data and innovative organizational performance: Evidence from a moderated‐mediated model,https://doi.org/10.1111/caim.12525,,3.74766376,False,en,False,closed,Creativity and Innovation Management,https://openalex.org/S132285554,0963-1690,journal,Big Data and Business Intelligence,2022-10-07,2022,article
https://openalex.org/W4372268959,,G Gokilakrishnan|D Prabha|S Srinivasan|S Thirumurugaveerakumar|M Vigneshkumar|H Anandakumar,https://openalex.org/A5021550514|https://openalex.org/A5033719642|https://openalex.org/A5064996283|https://openalex.org/A5041404643|https://openalex.org/A5012070459|https://openalex.org/A5030956995,|||||,IN|US|IN|||IN,Sri Ramakrishna Institute of Paramedical Sciences|Sri Eshwar College of Engineering|ASA College|KPR Institute of Engineering and Technology|||Sri Eshwar College of Engineering,https://openalex.org/I4210099837|https://openalex.org/I4387155381|https://openalex.org/I2802823369|https://openalex.org/I4210133257|||https://openalex.org/I4387155381,True|False|False|False|False|False,,6,https://openalex.org/I4210099837|https://openalex.org/I4387155381,A Critical Analysis of the Block Chain in Manufacturing System Implementation,https://doi.org/10.1109/icaccs57279.2023.10112828,,3.71092576,False,en,False,closed,,,,,Blockchain Technology Applications and Security,2023-03-17,2023,article
https://openalex.org/W4399052238,"This paper explores the challenges of open access in South Africa and draws from knowledge management concepts and principles to suggest strategies to enhance open access. A comprehensive analysis of the existing literature was undertaken to address these challenges. A systematic review was undertaken to address the obstacles associated with open access using a well-defined search protocol. Some of the challenges were limited funding, inequality in access to technology, limited awareness, resistance from publishers, copyright issues, and lack of infrastructure. The article suggests that knowledge management initiatives such as knowledge awareness of open access, knowledge sharing, leadership, rewards and incentives, and a positive culture will enhance open access.",Kwame Kodua‐Ntim|Madelein Fombad,https://openalex.org/A5028683626|https://openalex.org/A5104314317,https://orcid.org/0000-0002-3736-3054|,ZA|ZA,University of South Africa|University of South Africa,https://openalex.org/I165390105|https://openalex.org/I165390105,True|False,cc-by-nc,3,https://openalex.org/I165390105,Challenges and strategies for open access in South Africa: A knowledge management approach,https://doi.org/10.1177/02666669241257188,,5.66507617,False,en,True,hybrid,Information Development,https://openalex.org/S61286511,0266-6669,journal,Knowledge Management and Sharing,2024-05-26,2024,article
https://openalex.org/W4405672011,,Daniela de Castro Pereira Alves|Deivid José Smek|Érica Ferreira de Souza|Katia Romero Felizardo|Nandamudi L. Vijaykumar,https://openalex.org/A5023050521|https://openalex.org/A5115578628|https://openalex.org/A5013949373|https://openalex.org/A5043877845|https://openalex.org/A5042368174,|https://orcid.org/0000-0003-1865-8620|https://orcid.org/0000-0001-7262-7863|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0002-9025-0841,BR|BR|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|National Institute for Space Research,https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I80849659,True|False|False|False|False,,1,https://openalex.org/I1283613182,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,https://doi.org/10.1145/3701625.3701652,,1.52765026,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2024-11-05,2024,article
https://openalex.org/W4408183136,,Wahyu Sardjono|Maryani Maryani|Astari Retnowardhani|Erma Lusia|Muhammad Zarlis|Widhilaga Gia Perdana,https://openalex.org/A5001776124|https://openalex.org/A5101569392|https://openalex.org/A5067836136|https://openalex.org/A5074122913|https://openalex.org/A5107937380|https://openalex.org/A5065881339,https://orcid.org/0000-0002-9471-8026|https://orcid.org/0009-0005-4657-4493||||,ID|ID|ID|ID|ID|ID,Binus University|Binus University|Binus University|Binus University|Binus University|State University of Jakarta,https://openalex.org/I166073570|https://openalex.org/I166073570|https://openalex.org/I166073570|https://openalex.org/I166073570|https://openalex.org/I166073570|https://openalex.org/I3133421993,True|False|False|False|False|False,,1,https://openalex.org/I166073570,Evaluation Model of Urban Regional Knowledge Management Systems in Indonesia for Natural Disaster Mitigation,https://doi.org/10.1109/icoris63540.2024.10903773,,0.63877855,False,en,False,closed,,,,,Edcuational Technology Systems,2024-11-29,2024,article
https://openalex.org/W4411048161,,Ikhsan A. Fattah|Harjanto Prabowo|Viany Utami Tjhin|Rano Kartono Rahim,https://openalex.org/A5093446556|https://openalex.org/A5023517546|https://openalex.org/A5033188498|https://openalex.org/A5017039642,https://orcid.org/0009-0007-4768-2992|https://orcid.org/0000-0002-9317-2818|https://orcid.org/0000-0002-7320-9927|https://orcid.org/0000-0002-4920-750X,|||,,,True|False|False|False,,1,,The interplay between business analytics capabilities and decision-making performance in Indonesia's public sector,https://doi.org/10.1016/j.digbus.2025.100132,Lembaga Pengelola Dana Pendidikan,6.28404381,False,en,True,gold,Digital Business,https://openalex.org/S4210225848,2666-9544,journal,Big Data and Business Intelligence,2025-06-05,2025,article
https://openalex.org/W4316038461,"The department of Boyacá accounts for only 0.93% of national exports, which means that the participation of exporting companies in the region is low. One of the most important factors within these organizations is the knowledge of the collaborators, since it is an asset that contributes to the daily activities carried out within an organization. Hence, the objective of this research was to analyze the incidence of the forgotten factors in knowledge management through the conversion of knowledge and the routines of the personnel in Boyacá’s exporting companies, by means of causal analysis using fuzzy methodologies. The participants are exporting activity collaborators in the companies, who were consulted as sources of information for the Boyacá chamber of commerce. For the treatment, the forgotten effects theory, the experton method, and the adequacy coefficient are used. The information collected is processed using FuzzyLog software. The findings highlight that there are forgotten factors between the knowledge conversion and routines related to informal communication and social interactions. It is worth noting that it is important to carry out a more in-depth analysis of each of the individual knowledge spiral pillars in exporting companies in different regions of the country, focusing on social interactions (linguistic expression) and informal communication (electronic meetings).",Fabio Blanco‐Mesa|Omar Vinchira|Yesica Cuy,https://openalex.org/A5051604532|https://openalex.org/A5079530293|https://openalex.org/A5067422642,https://orcid.org/0000-0002-9462-6498||,CO|CO|CO,Pedagogical and Technological University of Colombia|Pedagogical and Technological University of Colombia|Pedagogical and Technological University of Colombia,https://openalex.org/I222202552|https://openalex.org/I222202552|https://openalex.org/I222202552,True|False|False,cc-by,1,https://openalex.org/I222202552,Forgotten Factors in Knowledge Conversion and Routines: A Fuzzy Analysis of Employee Knowledge Management in Exporting Companies in Boyacá,https://doi.org/10.3390/math11020412,,0.61515467,False,en,True,gold,Mathematics,https://openalex.org/S4210192031,2227-7390,journal,"Business, Innovation, and Economy",2023-01-12,2023,article
https://openalex.org/W4386445884,"The transformations on the labour market related to the work modes, but also to the fact of new pension arrangements allowing early retirement, as well as the massive entry of the youngest generation of workers, known as generation Z, into the labour market, create numerous risks related to the irreversible loss of organisational knowledge, which cannot be replaced by external knowledge. New challenges that appear in modern companies are also connected with the massive implementation of remote work as a result of COVID pandemic. In these circumstances knowledge management and particularly knowledge transfer from employee to employee faced with new obstacles. In the context of the outlined econo-socio-demographic changes, the author of this paper focuses her analysis on answering the question of how remote working influences selected aspects of learning processes in organisations as experienced by Generation Z. The research was conducted in December 2022 on a sample of the Generation Z representatives with the aim to identify their experiences and opinions about the remote type of work. For the research purposes, the Likert scale-based questionnaire technique was applied. The data was analysed in the STATISTICA program using Kruskal-Wallis ANOVA on ranks test, Mann-Whitney test, and the Pearson's chi-square test. The results of the research reveal interesting dependencies between the respondents’ opinions and variables such as gender, the industry in which the remote work was conducted, size of the organisation, experience in remote working and the preferred form of work in the future.",Anna Albrychiewicz-Słocińska,https://openalex.org/A5016986354,https://orcid.org/0000-0002-7245-4461,PL,Częstochowa University of Technology,https://openalex.org/I130294970,True,cc-by-nc-nd,1,https://openalex.org/I130294970,Learning Problems in a Remote Working Situation: A Generation Z Perspective,https://doi.org/10.34190/eckm.24.1.1811,,1.79628065,False,en,True,diamond,European Conference on Knowledge Management,https://openalex.org/S4387282814,2048-8963,journal,Social Issues in Poland,2023-09-05,2023,article
https://openalex.org/W4393339606,"This study utilizes knowledge management (KM) to highlight a documentation-centric approach that is enhanced through artificial intelligence. Knowledge management can improve the decision-making process for predicting models that involved datasets, such as air pollution. Currently, air pollution has become a serious global issue, impacting almost every major city worldwide. As the capital and a central hub for various activities, Jakarta experiences heightened levels of activity, resulting in increased vehicular traffic and elevated air pollution levels. The comparative study aims to measure the accuracy levels of the naïve bayes, decision trees, and random forest prediction models. Additionally, the study uses evaluation measurements to assess how well the machine learning performs, utilizing a confusion matrix. The dataset’s duration is three years, from 2019 until 2021, obtained through Jakarta Open Data. The study found that the random forest achieved the best results with an accuracy rate of 94%, followed by the decision tree at 93%, and the naïve bayes had the lowest at 81%. Hence, the random forest emerges as a reliable predictive model for prediction of air pollution.",Siti Rohajawati|Hutanti SETYODEWI|Ferryansyah Muji Agustian TRESNANTO|Debora MARIANTHI|Maruli Tua Baja Sihotang,https://openalex.org/A5034999905|https://openalex.org/A5113156089|https://openalex.org/A5094283729|https://openalex.org/A5094283730|https://openalex.org/A5087860532,https://orcid.org/0000-0002-6775-8997||https://orcid.org/0009-0007-7830-7415|https://orcid.org/0009-0002-8610-1357|https://orcid.org/0000-0002-9348-5400,ID||ID|ID|,Bakrie University||Bakrie University|Bakrie University|,https://openalex.org/I205458487||https://openalex.org/I205458487|https://openalex.org/I205458487|,True|False|True|True|True,cc-by,1,https://openalex.org/I205458487,KNOWLEDGE MANAGEMENT APPROACH IN COMPARATIVE STUDY OF AIR POLLUTION PREDICTION MODEL,https://doi.org/10.35784/acs-2024-11,,0.38747512,False,en,True,gold,Applied Computer Science,https://openalex.org/S2764569393,1895-3735,journal,Air Quality Monitoring and Forecasting,2024-03-30,2024,article
