Title,Doi
"The learning effect on organizational performance during a crisis: a serial mediation analysis with knowledge creation, storage and sharing",10.1108/EJMBE-03-2021-0107
Towards an effective approach for architectural knowledge management considering global software development,doi.org/10.1504/IJGUC.2020.110908
Socio-Technical Challenges Inhibiting Effective Knowledge Sharing Among ICT Workers in Under-Resourced E-Government Project Teams,
Influencing factors on knowledge sharing in virtual teams,doi.org/10.3233/WOR-2112
Perceptions of knowledge management in Brazilian software development companies,doi.org/10.5753/cibse.2022.20975
Implementing Knowledge Management in an IT Startup: A Case Study,doi.org/10.1007/978-3-030-85990-9_59
Ontology Learning for Systems Engineering Body of Knowledge,10.1109/TII.2020.2990953
Framework of Data Analytics and Integrating Knowledge Management,doi.org/10.1016/j.ijin.2021.09.004
The role of knowledge-based resources in Agile Software Development contexts,doi.org/10.1016/j.jss.2022.111572
Development of an Ontology-based Approach for Knowledge Management in Software Testing,doi.org/10.5753/jserd.2021.1898
