Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","WILEY","0007-9235","1542-4863","ONCOLOGY","SCIE","65,932","521.6","Q1","82.09","92.5"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","48,178","122.8","Q1","13.36","9.91"%,
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","NATURE PORTFOLIO","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY","SCIE","48,178","122.8","Q1","13.36","9.91"%,
"LANCET","LANCET","ELSEVIER SCIENCE INC","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","SCIE","336,206","98.4","Q1","24.4","19.94"%,
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","SCIE","405,033","96.3","Q1","25.31","1.27"%,
"BMJ-British Medical Journal","BMJ-BRIT MED J","BMJ PUBLISHING GROUP","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","SCIE","163,131","93.7","Q1","10.16","78.86"%,
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","NATURE PORTFOLIO","1471-0072","1471-0080","CELL BIOLOGY","SCIE","65,660","81.4","Q1","8.79","1.37"%,
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","NATURE PORTFOLIO","1759-4774","1759-4782","ONCOLOGY","SCIE","27,715","81.1","Q1","10.57","0.74"%,
"Nature Reviews Materials","NAT REV MATER","NATURE PORTFOLIO","2058-8437","2058-8437","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","35,625","79.8","Q1","4.35","1.99"%,
"Nature Reviews Materials","NAT REV MATER","NATURE PORTFOLIO","2058-8437","2058-8437","NANOSCIENCE & NANOTECHNOLOGY","SCIE","35,625","79.8","Q1","4.35","1.99"%,
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","NATURE PORTFOLIO","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","SCIE","31,343","79","Q1","18.75","3.48"%,
"NATURE REVIEWS CANCER","NAT REV CANCER","NATURE PORTFOLIO","1474-175X","1474-1768","ONCOLOGY","SCIE","59,511","72.5","Q1","9.95","0.76"%,
"MMWR Recommendations and Reports","MMWR RECOMM REP","CENTERS DISEASE CONTROL & PREVENTION","1057-5987","1545-8601","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","3,078","70.2","Q1","9.36","80"%,
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","NATURE PORTFOLIO","1740-1526","1740-1534","MICROBIOLOGY","SCIE","53,228","69.2","Q1","7.63","6.49"%,
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","NATURE PORTFOLIO","1474-1733","1474-1741","IMMUNOLOGY","SCIE","61,982","67.7","Q1","8.78","4.27"%,
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","NOW PUBLISHERS INC","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,742","65.4","Q1","7.19","0"%,
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","AMER MEDICAL ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","SCIE","189,966","63.5","Q1","11.9","0.8"%,
"World Psychiatry","WORLD PSYCHIATRY","WILEY","1723-8617","2051-5545","PSYCHIATRY","SCIE, SSCI","12,039","60.5","Q1","10.2","0"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","129,334","58.7","Q1","13.63","46.85"%,
"NATURE MEDICINE","NAT MED","NATURE PORTFOLIO","1078-8956","1546-170X","CELL BIOLOGY","SCIE","129,334","58.7","Q1","13.63","46.85"%,
